match_year,match_round,team,team_rank,team_points,team_goal_difference,team_goal_fatti,team_goal_subiti
2017,2,Bor. Dortmund,1,3,3,3,0
2017,2,Bayern Munich,2,3,2,3,1
2017,2,Hertha BSC,3,3,2,2,0
2017,2,FC Schalke 04,4,3,2,2,0
2017,2,TSG Hoffenheim,5,3,1,1,0
2017,2,Bor. M'gladbach,6,3,1,1,0
2017,2,Hamburger SV,7,3,1,1,0
2017,2,Hannover 96,8,3,1,1,0
2017,2,SC Freiburg,9,1,0,0,0
2017,2,E. Frankfurt,10,1,0,0,0
2017,2,1. FC Köln,11,0,-1,0,1
2017,2,Werder Bremen,12,0,-1,0,1
2017,2,FC Augsburg,13,0,-1,0,1
2017,2,1.FSV Mainz 05,14,0,-1,0,1
2017,2,Bay. Leverkusen,15,0,-2,1,3
2017,2,RB Leipzig,16,0,-2,0,2
2017,2,VfB Stuttgart,17,0,-2,0,2
2017,2,VfL Wolfsburg,18,0,-3,0,3
2017,3,Bor. Dortmund,1,6,5,5,0
2017,3,Bayern Munich,2,6,4,5,1
2017,3,Hamburger SV,3,6,3,4,1
2017,3,Hannover 96,4,6,2,2,0
2017,3,TSG Hoffenheim,5,4,1,3,2
2017,3,Bor. M'gladbach,6,4,1,3,2
2017,3,RB Leipzig,7,3,1,4,3
2017,3,FC Schalke 04,8,3,1,2,1
2017,3,Hertha BSC,9,3,0,2,2
2017,3,VfB Stuttgart,10,3,-1,1,2
2017,3,VfL Wolfsburg,11,3,-2,1,3
2017,3,FC Augsburg,12,1,-1,2,3
2017,3,E. Frankfurt,13,1,-1,0,1
2017,3,Bay. Leverkusen,14,1,-2,3,5
2017,3,SC Freiburg,15,1,-3,1,4
2017,3,1.FSV Mainz 05,16,0,-2,0,2
2017,3,1. FC Köln,17,0,-3,1,4
2017,3,Werder Bremen,18,0,-3,0,3
2017,4,Bor. Dortmund,1,7,5,5,0
2017,4,TSG Hoffenheim,2,7,3,5,2
2017,4,Hannover 96,3,7,2,3,1
2017,4,RB Leipzig,4,6,3,6,3
2017,4,FC Schalke 04,5,6,3,5,2
2017,4,Bayern Munich,6,6,2,5,3
2017,4,Hamburger SV,7,6,1,4,3
2017,4,FC Augsburg,8,4,2,5,3
2017,4,Hertha BSC,9,4,0,3,3
2017,4,Bor. M'gladbach,10,4,0,3,3
2017,4,E. Frankfurt,11,4,0,1,1
2017,4,VfL Wolfsburg,12,4,-2,2,4
2017,4,1.FSV Mainz 05,13,3,0,3,3
2017,4,VfB Stuttgart,14,3,-3,2,5
2017,4,SC Freiburg,15,2,-3,1,4
2017,4,Werder Bremen,16,1,-3,1,4
2017,4,Bay. Leverkusen,17,1,-4,4,8
2017,4,1. FC Köln,18,0,-6,1,7
2017,5,Bor. Dortmund,1,10,10,10,0
2017,5,Hannover 96,2,10,4,5,1
2017,5,Bayern Munich,3,9,6,9,3
2017,5,FC Schalke 04,4,9,4,7,3
2017,5,TSG Hoffenheim,5,8,3,6,3
2017,5,RB Leipzig,6,7,3,8,5
2017,5,FC Augsburg,7,7,3,7,4
2017,5,Hamburger SV,8,6,-1,4,5
2017,5,VfB Stuttgart,9,6,-2,3,5
2017,5,Bor. M'gladbach,10,5,0,5,5
2017,5,Hertha BSC,11,5,0,4,4
2017,5,Bay. Leverkusen,12,4,0,8,8
2017,5,E. Frankfurt,13,4,-1,2,3
