match_year,match_round,team,team_rank,team_points,team_goal_difference,team_goal_fatti,team_goal_subiti
2017,2,Man Utd,1,3,4,4,0
2017,2,Huddersfield,2,3,3,3,0
2017,2,Spurs,3,3,2,2,0
2017,2,Man City,4,3,2,2,0
2017,2,Arsenal,5,3,1,4,3
2017,2,Burnley,6,3,1,3,2
2017,2,Everton,7,3,1,1,0
2017,2,West Brom,8,3,1,1,0
2017,2,Liverpool,9,1,0,3,3
2017,2,Watford,10,1,0,3,3
2017,2,Southampton,11,1,0,0,0
2017,2,Swansea,12,1,0,0,0
2017,2,Leicester,13,0,-1,3,4
2017,2,Chelsea,14,0,-1,2,3
2017,2,Bournemouth,15,0,-1,0,1
2017,2,Stoke City,16,0,-1,0,1
2017,2,Newcastle,17,0,-2,0,2
2017,2,Brighton,18,0,-2,0,2
2017,2,Crystal Palace,19,0,-3,0,3
2017,2,West Ham,20,0,-4,0,4
2017,3,Man Utd,1,6,8,8,0
2017,3,Huddersfield,2,6,4,4,0
2017,3,West Brom,3,6,2,2,0
2017,3,Watford,4,4,2,5,3
2017,3,Man City,5,4,2,3,1
2017,3,Liverpool,6,4,1,4,3
2017,3,Southampton,7,4,1,3,2
2017,3,Everton,8,4,1,2,1
2017,3,Leicester,9,3,1,5,4
2017,3,Spurs,10,3,1,3,2
2017,3,Chelsea,11,3,0,4,4
2017,3,Arsenal,12,3,0,4,4
2017,3,Burnley,13,3,0,3,3
2017,3,Stoke City,14,3,0,1,1
2017,3,Swansea,15,1,-4,0,4
2017,3,Bournemouth,16,0,-3,0,3
2017,3,Newcastle,17,0,-3,0,3
2017,3,Crystal Palace,18,0,-4,0,4
2017,3,Brighton,19,0,-4,0,4
2017,3,West Ham,20,0,-5,2,7
2017,4,Man Utd,1,9,10,10,0
2017,4,Liverpool,2,7,5,8,3
2017,4,Huddersfield,3,7,4,4,0
2017,4,Man City,4,7,3,5,2
2017,4,West Brom,5,7,2,3,1
2017,4,Chelsea,6,6,2,6,4
2017,4,Watford,7,5,2,5,3
2017,4,Southampton,8,5,1,3,2
2017,4,Spurs,9,4,1,4,3
2017,4,Burnley,10,4,0,4,4
2017,4,Stoke City,11,4,0,2,2
2017,4,Everton,12,4,-1,2,3
2017,4,Swansea,13,4,-2,2,4
2017,4,Newcastle,14,3,0,3,3
2017,4,Leicester,15,3,-1,5,6
2017,4,Arsenal,16,3,-4,4,8
2017,4,Brighton,17,1,-4,0,4
2017,4,Bournemouth,18,0,-4,1,5
2017,4,Crystal Palace,19,0,-6,0,6
2017,4,West Ham,20,0,-8,2,10
2017,5,Man Utd,1,10,10,12,2
2017,5,Man City,2,10,8,10,2
2017,5,Chelsea,3,9,3,8,5
2017,5,Watford,4,8,4,7,3
2017,5,Spurs,5,7,4,7,3
2017,5,Huddersfield,6,7,2,4,2
2017,5,Burnley,7,7,1,5,4
2017,5,Liverpool,8,7,0,8,8
2017,5,West Brom,9,7,0,4,4
2017,5,Newcastle,10,6,1,4,3
2017,5,Arsenal,11,6,-1,7,8
2017,5,Stoke City,12,5,0,4,4
2017,5,Southampton,13,5,-1,3,4
2017,5,Brighton,14,4,-2,3,5
2017,5,Swansea,15,4,-3,2,5
2017,5,Everton,16,4,-4,2,6
2017,5,Leicester,17,3,-2,6,8
2017,5,West Ham,18,3,-6,4,10
2017,5,Bournemouth,19,0,-7,1,8
2017,5,Crystal Palace,20,0,-7,0,7
2017,6,Man City,1,13,14,16,2
2017,6,Man Utd,2,13,14,16,2
2017,6,Chelsea,3,10,3,8,5
2017,6,Newcastle,4,9,2,6,4
2017,6,Spurs,5,8,4,7,3
2017,6,Huddersfield,6,8,2,5,3
2017,6,Burnley,7,8,1,6,5
2017,6,Liverpool,8,8,0,9,9
2017,6,Southampton,9,8,0,4,4
2017,6,West Brom,10,8,0,4,4
2017,6,Watford,11,8,-2,7,9
2017,6,Arsenal,12,7,-1,7,8
2017,6,Stoke City,13,5,-1,5,6
2017,6,Swansea,14,5,-3,2,5
2017,6,Leicester,15,4,-2,7,9
2017,6,Brighton,16,4,-3,4,7
2017,6,West Ham,17,4,-6,4,10
2017,6,Everton,18,4,-8,2,10
2017,6,Bournemouth,19,3,-6,3,9
2017,6,Crystal Palace,20,0,-8,0,8
2017,7,Man City,1,16,19,21,2
2017,7,Man Utd,2,16,15,17,2
2017,7,Chelsea,3,13,7,12,5
2017,7,Spurs,4,11,5,10,5
2017,7,Liverpool,5,11,1,12,11
2017,7,Watford,6,11,-1,9,10
2017,7,Arsenal,7,10,1,9,8
2017,7,Huddersfield,8,9,2,5,3
2017,7,Burnley,9,9,1,6,5
2017,7,Newcastle,10,9,1,6,5
2017,7,Southampton,11,8,-1,4,5
2017,7,West Brom,12,8,-2,4,6
2017,7,Brighton,13,7,-2,5,7
2017,7,Everton,14,7,-7,4,11
2017,7,Swansea,15,5,-4,3,7
2017,7,Stoke City,16,5,-5,5,10
2017,7,Leicester,17,4,-3,9,12
2017,7,West Ham,18,4,-7,6,13
2017,7,Bournemouth,19,3,-7,4,11
2017,7,Crystal Palace,20,0,-13,0,13
2017,8,Man City,1,19,20,22,2
2017,8,Man Utd,2,19,19,21,2
2017,8,Spurs,3,14,9,14,5
2017,8,Chelsea,4,13,6,12,6
2017,8,Arsenal,5,13,3,11,8
2017,8,Burnley,6,12,2,7,5
2017,8,Liverpool,7,12,1,13,12
2017,8,Watford,8,12,-1,11,12
2017,8,Newcastle,9,10,1,7,6
2017,8,West Brom,10,9,-2,6,8
2017,8,Huddersfield,11,9,-2,5,7
2017,8,Southampton,12,8,-2,5,7
2017,8,Stoke City,13,8,-4,7,11
2017,8,Brighton,14,7,-4,5,9
2017,8,West Ham,15,7,-6,7,13
2017,8,Everton,16,7,-8,4,12
2017,8,Leicester,17,5,-3,9,12
2017,8,Swansea,18,5,-5,3,8
2017,8,Bournemouth,19,4,-7,4,11
2017,8,Crystal Palace,20,0,-17,0,17
2017,9,Man City,1,22,25,29,4
2017,9,Man Utd,2,20,19,21,2
2017,9,Spurs,3,17,10,15,5
2017,9,Watford,4,15,0,13,13
2017,9,Chelsea,5,13,5,13,8
2017,9,Arsenal,6,13,2,12,10
2017,9,Burnley,7,13,2,8,6
2017,9,Liverpool,8,13,1,13,12
2017,9,Newcastle,9,11,1,9,8
2017,9,West Brom,10,10,-2,7,9
2017,9,Southampton,11,9,-2,7,9
2017,9,Huddersfield,12,9,-4,5,9
2017,9,Swansea,13,8,-3,5,8
2017,9,Brighton,14,8,-4,6,10
2017,9,West Ham,15,8,-6,8,14
2017,9,Everton,16,8,-8,5,13
2017,9,Stoke City,17,8,-9,9,18
2017,9,Leicester,18,6,-3,10,13
2017,9,Bournemouth,19,4,-8,4,12
2017,9,Crystal Palace,20,3,-16,2,18
2017,10,Man City,1,25,28,32,4
2017,10,Man Utd,2,20,18,22,4
2017,10,Spurs,3,20,13,19,6
2017,10,Chelsea,4,16,7,17,10
2017,10,Arsenal,5,16,5,17,12
2017,10,Watford,6,15,-2,15,17
2017,10,Newcastle,7,14,2,10,8
2017,10,Burnley,8,13,-1,8,9
2017,10,Liverpool,9,13,-2,14,16
2017,10,Southampton,10,12,-1,8,9
2017,10,Huddersfield,11,12,-3,7,10
2017,10,Brighton,12,11,-1,9,10
2017,10,West Brom,13,10,-3,7,10
2017,10,Leicester,14,9,-2,12,14
2017,10,Swansea,15,8,-4,6,10
2017,10,West Ham,16,8,-9,8,17
2017,10,Stoke City,17,8,-10,10,20
2017,10,Everton,18,8,-11,7,18
2017,10,Bournemouth,19,7,-7,6,13
2017,10,Crystal Palace,20,3,-17,2,19
2017,11,Man City,1,28,29,35,6
2017,11,Man Utd,2,23,19,23,4
2017,11,Spurs,3,20,12,19,7
2017,11,Chelsea,4,19,8,18,10
2017,11,Arsenal,5,19,6,19,13
2017,11,Liverpool,6,16,1,17,16
2017,11,Burnley,7,16,0,9,9
2017,11,Watford,8,15,-3,15,18
2017,11,Newcastle,9,14,1,10,9
2017,11,Southampton,10,13,-1,9,10
2017,11,Leicester,11,12,0,14,14
2017,11,Brighton,12,12,-1,10,11
2017,11,Huddersfield,13,12,-6,7,13
2017,11,Stoke City,14,11,-9,11,20
2017,11,West Brom,15,10,-4,9,13
2017,11,West Ham,16,9,-9,10,19
2017,11,Swansea,17,8,-5,7,12
2017,11,Everton,18,8,-13,7,20
2017,11,Bournemouth,19,7,-8,6,14
2017,11,Crystal Palace,20,4,-17,4,21
2017,12,Man City,1,31,31,38,7
2017,12,Man Utd,2,23,18,23,5
2017,12,Spurs,3,23,13,20,7
2017,12,Chelsea,4,22,9,19,10
2017,12,Liverpool,5,19,4,21,17
2017,12,Arsenal,6,19,4,20,16
2017,12,Burnley,7,19,1,10,9
2017,12,Brighton,8,15,0,11,11
2017,12,Watford,9,15,-4,17,21
2017,12,Huddersfield,10,15,-5,8,13
2017,12,Newcastle,11,14,0,10,10
2017,12,Leicester,12,13,0,16,16
2017,12,Southampton,13,13,-2,9,11
2017,12,Stoke City,14,12,-9,13,22
2017,12,Everton,15,11,-12,10,22
2017,12,West Brom,16,10,-5,9,14
2017,12,Bournemouth,17,10,-7,7,14
2017,12,West Ham,18,9,-12,11,23
2017,12,Swansea,19,8,-6,7,13
2017,12,Crystal Palace,20,4,-18,4,22
2017,13,Man City,1,34,33,40,7
2017,13,Man Utd,2,26,21,27,6
2017,13,Chelsea,3,25,13,23,10
2017,13,Spurs,4,23,11,20,9
2017,13,Liverpool,5,22,7,24,17
2017,13,Arsenal,6,22,6,22,16
2017,13,Burnley,7,22,3,12,9
2017,13,Watford,8,18,-2,19,21
2017,13,Brighton,9,16,0,13,13
2017,13,Huddersfield,10,15,-9,8,17
2017,13,Newcastle,11,14,-3,11,14
2017,13,Leicester,12,13,-2,16,18
2017,13,Bournemouth,13,13,-3,11,14
2017,13,Southampton,14,13,-5,9,14
2017,13,Stoke City,15,13,-9,15,24
2017,13,Everton,16,12,-12,12,24
2017,13,West Brom,17,10,-9,9,18
2017,13,West Ham,18,9,-14,11,25
2017,13,Swansea,19,8,-8,7,15
2017,13,Crystal Palace,20,5,-18,6,24
2017,14,Man City,1,37,34,42,8
2017,14,Man Utd,2,29,22,28,6
2017,14,Chelsea,3,26,13,24,11
2017,14,Arsenal,4,25,7,23,16
2017,14,Spurs,5,24,11,21,10
2017,14,Liverpool,6,23,7,25,18
2017,14,Burnley,7,22,2,12,10
2017,14,Watford,8,21,1,22,21
2017,14,Brighton,9,16,-1,13,14
2017,14,Southampton,10,16,-2,13,15
2017,14,Huddersfield,11,15,-10,9,19
2017,14,Leicester,12,14,-2,17,19
2017,14,Bournemouth,13,14,-3,11,14
2017,14,Newcastle,14,14,-6,11,17
2017,14,Stoke City,15,13,-10,16,26
2017,14,Everton,16,12,-15,13,28
2017,14,West Brom,17,11,-9,10,19
2017,14,West Ham,18,10,-14,12,26
2017,14,Swansea,19,9,-8,7,15
2017,14,Crystal Palace,20,8,-17,8,25
2017,15,Man City,1,40,35,44,9
2017,15,Man Utd,2,32,24,32,8
2017,15,Chelsea,3,29,14,25,11
2017,15,Arsenal,4,28,12,28,16
2017,15,Liverpool,5,26,10,28,18
2017,15,Burnley,6,25,3,14,11
2017,15,Spurs,7,24,10,22,12
2017,15,Watford,8,21,-1,24,25
2017,15,Leicester,9,17,-1,19,20
2017,15,Brighton,10,17,-1,13,14
2017,15,Southampton,11,16,-3,14,17
2017,15,Newcastle,12,15,-6,13,19
2017,15,Everton,13,15,-11,17,28
2017,15,Huddersfield,14,15,-15,9,24
2017,15,Bournemouth,15,14,-4,12,16
2017,15,Stoke City,16,13,-13,16,29
2017,15,West Brom,17,12,-9,12,21
2017,15,West Ham,18,10,-18,12,30
2017,15,Swansea,19,9,-9,7,16
2017,15,Crystal Palace,20,9,-17,8,25
2017,16,Man City,1,43,36,46,10
2017,16,Man Utd,2,35,26,35,9
2017,16,Chelsea,3,32,16,28,12
2017,16,Liverpool,4,29,14,33,19
2017,16,Arsenal,5,28,10,29,19
2017,16,Spurs,6,25,10,23,13
2017,16,Burnley,7,25,2,14,12
2017,16,Watford,8,22,-1,25,26
2017,16,Leicester,9,20,0,20,20
2017,16,Everton,10,18,-9,19,28
2017,16,Southampton,11,17,-3,15,18
2017,16,Brighton,12,17,-5,14,19
2017,16,Stoke City,13,16,-12,18,30
2017,16,Bournemouth,14,15,-4,13,17
2017,16,Newcastle,15,15,-8,14,22
2017,16,Huddersfield,16,15,-17,9,26
2017,16,West Brom,17,13,-9,12,21
2017,16,Crystal Palace,18,10,-17,8,25
2017,16,West Ham,19,10,-19,13,32
2017,16,Swansea,20,9,-10,8,18
2017,17,Man City,1,46,37,48,11
2017,17,Man Utd,2,35,25,36,11
2017,17,Chelsea,3,32,15,28,13
2017,17,Liverpool,4,30,14,34,20
2017,17,Arsenal,5,29,10,30,20
2017,17,Spurs,6,28,14,28,14
2017,17,Burnley,7,28,3,15,12
2017,17,Leicester,8,23,1,23,22
2017,17,Watford,9,22,-2,25,27
2017,17,Everton,10,19,-9,20,29
2017,17,Southampton,11,18,-3,16,19
2017,17,Huddersfield,12,18,-15,11,26
2017,17,Brighton,13,17,-7,14,21
2017,17,Bournemouth,14,16,-4,15,19
2017,17,Stoke City,15,16,-16,19,35
2017,17,Newcastle,16,15,-9,16,25
2017,17,West Brom,17,13,-10,12,22
2017,17,West Ham,18,13,-18,14,32
2017,17,Swansea,19,12,-9,9,18
2017,17,Crystal Palace,20,11,-17,10,27
2017,18,Man City,1,49,41,52,11
2017,18,Man Utd,2,38,26,37,11
2017,18,Chelsea,3,35,17,31,14
2017,18,Spurs,4,31,16,30,14
2017,18,Liverpool,5,31,14,34,20
2017,18,Burnley,6,31,4,16,12
2017,18,Arsenal,7,30,10,30,20
2017,18,Leicester,8,26,4,27,23
2017,18,Watford,9,22,-3,26,29
2017,18,Everton,10,22,-8,21,29
2017,18,Southampton,11,18,-6,17,23
2017,18,Huddersfield,12,18,-17,12,29
2017,18,Brighton,13,17,-9,14,23
2017,18,Bournemouth,14,16,-5,15,20
2017,18,Stoke City,15,16,-17,19,36
2017,18,Newcastle,16,15,-10,16,26
2017,18,West Brom,17,14,-10,12,22
2017,18,Crystal Palace,18,14,-16,12,28
2017,18,West Ham,19,14,-18,14,32
2017,18,Swansea,20,12,-13,9,22
2017,19,Man City,1,52,44,56,12
2017,19,Man Utd,2,41,27,39,12
2017,19,Chelsea,3,38,18,32,14
2017,19,Liverpool,4,34,18,38,20
2017,19,Arsenal,5,33,11,31,20
2017,19,Burnley,6,32,4,16,12
2017,19,Spurs,7,31,13,31,18
2017,19,Leicester,8,26,1,27,26
2017,19,Everton,9,25,-6,24,30
2017,19,Watford,10,22,-6,27,33
2017,19,Huddersfield,11,21,-14,16,30
2017,19,Southampton,12,18,-7,17,24
2017,19,Brighton,13,18,-9,14,23
2017,19,Crystal Palace,14,17,-13,15,28
2017,19,West Ham,15,17,-15,17,32
2017,19,Bournemouth,16,16,-9,15,24
2017,19,Stoke City,17,16,-20,19,39
2017,19,Newcastle,18,15,-11,16,27
2017,19,West Brom,19,14,-11,13,24
2017,19,Swansea,20,12,-15,10,25
2017,20,Man City,1,55,48,60,12
2017,20,Man Utd,2,42,27,41,14
2017,20,Chelsea,3,39,18,32,14
2017,20,Liverpool,4,35,18,41,23
2017,20,Spurs,5,34,16,34,18
2017,20,Arsenal,6,34,11,34,23
2017,20,Burnley,7,32,1,16,15
2017,20,Leicester,8,27,1,29,28
2017,20,Everton,9,26,-6,24,30
2017,20,Watford,10,22,-7,27,34
2017,20,Huddersfield,11,22,-14,17,31
2017,20,Brighton,12,21,-8,15,23
2017,20,Southampton,13,19,-7,18,25
2017,20,Stoke City,14,19,-18,22,40
2017,20,Newcastle,15,18,-10,19,29
2017,20,Crystal Palace,16,18,-13,16,29
2017,20,West Ham,17,17,-16,19,35
2017,20,Bournemouth,18,16,-13,15,28
2017,20,West Brom,19,14,-13,14,27
2017,20,Swansea,20,13,-15,11,26
2017,21,Man City,1,58,49,61,12
2017,21,Man Utd,2,43,27,43,16
2017,21,Chelsea,3,42,20,34,14
2017,21,Liverpool,4,38,23,46,23
2017,21,Spurs,5,37,19,39,20
2017,21,Arsenal,6,37,12,37,25
2017,21,Burnley,7,33,1,18,17
2017,21,Leicester,8,27,0,30,30
2017,21,Everton,9,27,-6,24,30
2017,21,Watford,10,25,-6,29,35
2017,21,Huddersfield,11,23,-14,18,32
2017,21,Brighton,12,21,-10,15,25
2017,21,Stoke City,13,20,-18,23,41
2017,21,Southampton,14,19,-10,20,30
2017,21,Newcastle,15,18,-11,19,30
2017,21,Crystal Palace,16,18,-14,18,32
2017,21,West Ham,17,18,-16,22,38
2017,21,Bournemouth,18,17,-13,18,31
2017,21,West Brom,19,15,-13,14,27
2017,21,Swansea,20,13,-20,11,31
2017,22,Man City,1,59,49,61,12
2017,22,Chelsea,2,45,25,39,14
2017,22,Man Utd,3,44,27,43,16
2017,22,Liverpool,4,41,24,48,24
2017,22,Spurs,5,38,19,40,21
2017,22,Arsenal,6,38,12,38,26
2017,22,Burnley,7,34,1,18,17
2017,22,Leicester,8,27,-1,31,32
2017,22,Everton,9,27,-7,25,32
2017,22,Watford,10,25,-7,30,37
2017,22,Huddersfield,11,24,-14,18,32
2017,22,Brighton,12,22,-10,15,25
2017,22,Southampton,13,20,-10,20,30
2017,22,Bournemouth,14,20,-12,20,32
2017,22,Stoke City,15,20,-23,23,46
2017,22,Newcastle,16,19,-11,19,30
2017,22,Crystal Palace,17,19,-14,18,32
2017,22,West Ham,18,19,-16,23,39
2017,22,West Brom,19,16,-13,15,28
2017,22,Swansea,20,16,-19,13,32
2017,23,Man City,1,62,51,64,13
2017,23,Man Utd,2,47,29,45,16
2017,23,Chelsea,3,46,25,41,16
2017,23,Liverpool,4,44,25,50,25
2017,23,Spurs,5,41,21,42,21
2017,23,Arsenal,6,39,12,40,28
2017,23,Burnley,7,34,0,19,19
2017,23,Leicester,8,30,2,34,32
2017,23,Everton,9,27,-9,25,34
2017,23,Watford,10,25,-9,31,40
2017,23,Huddersfield,11,24,-17,18,35
2017,23,Brighton,12,23,-10,17,27
2017,23,Newcastle,13,22,-10,20,30
2017,23,Crystal Palace,14,22,-13,20,33
2017,23,West Ham,15,22,-15,25,40
2017,23,Bournemouth,16,21,-12,22,34
2017,23,Southampton,17,20,-11,21,32
2017,23,Stoke City,18,20,-24,23,47
2017,23,West Brom,19,16,-14,16,30
2017,23,Swansea,20,16,-21,13,34
2017,24,Man City,1,62,50,67,17
2017,24,Man Utd,2,50,32,48,16
2017,24,Liverpool,3,47,26,54,28
2017,24,Chelsea,4,47,25,41,16
2017,24,Spurs,5,44,25,46,21
2017,24,Arsenal,6,39,11,41,30
2017,24,Burnley,7,34,-1,19,20
2017,24,Leicester,8,31,2,34,32
2017,24,Everton,9,27,-13,25,38
2017,24,Watford,10,26,-9,33,42
2017,24,West Ham,11,25,-12,29,41
2017,24,Crystal Palace,12,25,-12,21,33
2017,24,Bournemouth,13,24,-11,24,35
2017,24,Huddersfield,14,24,-20,19,39
2017,24,Newcastle,15,23,-10,21,31
2017,24,Brighton,16,23,-12,17,29
2017,24,Southampton,17,21,-11,23,34
2017,24,Stoke City,18,20,-27,23,50
2017,24,West Brom,19,19,-12,18,30
2017,24,Swansea,20,17,-21,14,35
2017,25,Man City,1,65,52,70,18
2017,25,Man Utd,2,53,33,49,16
2017,25,Chelsea,3,50,29,45,16
2017,25,Liverpool,4,47,25,54,29
2017,25,Spurs,5,45,25,47,22
2017,25,Arsenal,6,42,14,45,31
2017,25,Leicester,7,34,4,36,32
2017,25,Burnley,8,34,-2,19,21
2017,25,Everton,9,28,-13,26,39
2017,25,Watford,10,26,-11,33,44
2017,25,West Ham,11,26,-12,30,42
2017,25,Bournemouth,12,25,-11,25,36
2017,25,Crystal Palace,13,25,-15,22,37
2017,25,Huddersfield,14,24,-22,19,41
2017,25,Newcastle,15,23,-12,22,34
2017,25,Brighton,16,23,-16,17,33
2017,25,Stoke City,17,23,-25,25,50
2017,25,Southampton,18,22,-11,24,35
2017,25,West Brom,19,20,-12,19,31
2017,25,Swansea,20,20,-20,15,35
2017,26,Man City,1,68,55,73,18
2017,26,Man Utd,2,53,31,49,18
2017,26,Liverpool,3,50,28,57,29
2017,26,Chelsea,4,50,26,45,19
2017,26,Spurs,5,48,27,49,22
2017,26,Arsenal,6,42,12,46,34
2017,26,Burnley,7,35,-2,20,22
2017,26,Leicester,8,34,3,37,34
2017,26,Everton,9,31,-12,28,40
2017,26,Bournemouth,10,28,-8,28,36
2017,26,Watford,11,27,-11,33,44
2017,26,West Ham,12,27,-12,31,43
2017,26,Crystal Palace,13,26,-15,23,38
2017,26,Newcastle,14,24,-12,23,35
2017,26,Brighton,15,24,-16,18,34
2017,26,Stoke City,16,24,-25,25,50
2017,26,Huddersfield,17,24,-25,19,44
2017,26,Southampton,18,23,-11,25,36
2017,26,Swansea,19,23,-18,18,36
2017,26,West Brom,20,20,-15,19,34
2017,27,Man City,1,69,55,74,19
2017,27,Man Utd,2,56,33,51,18
2017,27,Liverpool,3,51,28,59,31
2017,27,Chelsea,4,50,23,46,23
2017,27,Spurs,5,49,27,51,24
2017,27,Arsenal,6,45,16,51,35
2017,27,Burnley,7,36,-2,21,23
2017,27,Leicester,8,35,3,38,35
2017,27,Bournemouth,9,31,-7,30,37
2017,27,Everton,10,31,-16,29,45
2017,27,Watford,11,30,-8,37,45
2017,27,West Ham,12,27,-14,32,46
2017,27,Brighton,13,27,-14,21,35
2017,27,Crystal Palace,14,27,-15,24,39
2017,27,Southampton,15,26,-10,28,38
2017,27,Newcastle,16,25,-12,24,36
2017,27,Swansea,17,24,-18,19,37
2017,27,Stoke City,18,24,-26,26,52
2017,27,Huddersfield,19,24,-27,19,46
2017,27,West Brom,20,20,-16,21,37
2017,28,Man City,1,72,59,79,20
2017,28,Man Utd,2,56,32,51,19
2017,28,Liverpool,3,54,30,61,31
2017,28,Chelsea,4,53,26,49,23
2017,28,Spurs,5,52,28,52,24
2017,28,Arsenal,6,45,15,51,36
2017,28,Burnley,7,36,-3,21,24
2017,28,Leicester,8,35,-1,39,40
2017,28,Everton,9,34,-14,32,46
2017,28,Bournemouth,10,31,-10,31,41
2017,28,Watford,11,30,-10,37,47
2017,28,West Ham,12,30,-12,34,46
2017,28,Newcastle,13,28,-11,25,36
2017,28,Brighton,14,28,-14,22,36
2017,28,Crystal Palace,15,27,-17,25,42
2017,28,Swansea,16,27,-17,20,37
2017,28,Huddersfield,17,27,-24,23,47
2017,28,Southampton,18,26,-12,28,40
2017,28,Stoke City,19,25,-26,27,53
2017,28,West Brom,20,20,-19,21,40
2017,29,Man City,1,75,62,82,20
2017,29,Man Utd,2,59,33,53,20
2017,29,Liverpool,3,57,33,65,32
2017,29,Spurs,4,55,29,53,24
2017,29,Chelsea,5,53,25,50,25
2017,29,Arsenal,6,45,12,51,39
2017,29,Burnley,7,37,-3,22,25
2017,29,Leicester,8,36,-1,40,41
2017,29,Everton,9,34,-15,32,47
2017,29,Watford,10,33,-9,38,47
2017,29,Bournemouth,11,32,-10,33,43
2017,29,Brighton,12,31,-11,26,37
2017,29,West Ham,13,30,-15,35,50
2017,29,Huddersfield,14,30,-23,25,48
