match_date,match_hour,match_round,home_team,away_team,home_goals,away_goals,10bet_1,10bet_X,10bet_2,10bet_opening_1,10bet_opening_X,10bet_opening_2,188bet_1,188bet_X,188bet_2,188bet_opening_1,188bet_opening_X,188bet_opening_2,1xbet_1,1xbet_X,1xbet_2,1xbet_opening_1,1xbet_opening_X,1xbet_opening_2,888sport_1,888sport_X,888sport_2,888sport_opening_1,888sport_opening_X,888sport_opening_2,bet-at-home_1,bet-at-home_X,bet-at-home_2,bet-at-home_opening_1,bet-at-home_opening_X,bet-at-home_opening_2,bet365_1,bet365_X,bet365_2,bet365_opening_1,bet365_opening_X,bet365_opening_2,betclic_1,betclic_X,betclic_2,betclic_opening_1,betclic_opening_X,betclic_opening_2,betfair_1,betfair_X,betfair_2,betfair_opening_1,betfair_opening_X,betfair_opening_2,betfair exchange_1,betfair exchange_X,betfair exchange_2,betfair exchange_opening_1,betfair exchange_opening_X,betfair exchange_opening_2,betsafe_1,betsafe_X,betsafe_2,betsafe_opening_1,betsafe_opening_X,betsafe_opening_2,betsson_1,betsson_X,betsson_2,betsson_opening_1,betsson_opening_X,betsson_opening_2,betvictor_1,betvictor_X,betvictor_2,betvictor_opening_1,betvictor_opening_X,betvictor_opening_2,betway_1,betway_X,betway_2,betway_opening_1,betway_opening_X,betway_opening_2,bwin_1,bwin_X,bwin_2,bwin_opening_1,bwin_opening_X,bwin_opening_2,comeon_1,comeon_X,comeon_2,comeon_opening_1,comeon_opening_X,comeon_opening_2,interwetten_1,interwetten_X,interwetten_2,interwetten_opening_1,interwetten_opening_X,interwetten_opening_2,paddy power_1,paddy power_X,paddy power_2,paddy power_opening_1,paddy power_opening_X,paddy power_opening_2,pinnacle_1,pinnacle_X,pinnacle_2,pinnacle_opening_1,pinnacle_opening_X,pinnacle_opening_2,sbobet_1,sbobet_X,sbobet_2,sbobet_opening_1,sbobet_opening_X,sbobet_opening_2,unibet_1,unibet_X,unibet_2,unibet_opening_1,unibet_opening_X,unibet_opening_2,william hill_1,william hill_X,william hill_2,william hill_opening_1,william hill_opening_X,william hill_opening_2,youwin_1,youwin_X,youwin_2,youwin_opening_1,youwin_opening_X,youwin_opening_2,league_year
13.05.2018,16:00,38,Burnley,Bournemouth,1,2,2.3,3.4,3.15,2.05,3.05,4.0,2.31,3.5,3.1,2.07,3.2,3.3,2.4,3.5,3.14,2.22,3.3,3.88,2.33,3.45,3.1,2.1,3.15,3.7,2.29,3.41,3.03,2.11,3.18,3.69,2.39,3.5,3.1,2.1,3.25,3.6,2.3,3.3,3.0,2.1,3.05,3.75,2.3,3.5,3.2,2.0,2.9,3.6,2.39,3.42,3.04,1.01,1.01,1.01,2.4,3.5,3.1,2.19,3.2,3.95,2.4,3.5,3.1,2.19,3.2,3.95,2.38,3.5,3.13,2.15,3.0,3.9,2.38,3.4,3.1,2.15,3.1,3.8,2.4,3.3,3.1,2.1,3.2,3.8,2.35,3.45,3.15,2.05,3.1,4.05,2.2,3.35,3.3,2.1,3.2,3.7,2.38,3.3,3.0,2.1,3.2,3.6,2.35,3.52,3.16,2.15,3.59,3.56,2.35,3.25,3.15,2.16,3.2,3.05,2.38,3.5,3.15,2.1,3.15,3.7,2.38,3.4,3.0,2.1,3.2,3.0,2.22,3.3,2.9,2.08,3.2,3.75,2017
13.05.2018,16:00,38,Crystal Palace,West Brom,2,0,1.77,3.75,4.75,1.59,3.9,5.7,1.77,3.9,4.65,1.77,3.55,3.95,1.77,4.0,4.82,1.74,3.84,5.6,1.77,3.85,4.7,1.65,3.85,5.1,1.75,3.81,4.43,1.72,3.65,4.93,1.8,3.79,4.75,1.72,3.6,4.75,1.72,3.75,4.5,1.65,3.5,5.5,1.75,3.9,5.0,1.6,3.4,5.0,1.76,3.8,4.9,1.01,1.01,1.01,1.8,3.85,4.75,1.69,3.85,5.9,1.76,4.0,4.9,1.69,3.85,5.9,1.75,3.9,5.0,1.67,3.5,6.0,1.75,4.0,4.75,1.67,3.75,5.5,1.75,3.9,4.75,1.7,3.5,5.75,1.8,3.85,4.85,1.59,3.95,5.8,1.85,3.5,4.3,1.85,3.5,4.3,1.73,3.75,4.5,1.67,3.6,5.0,1.79,3.85,4.82,1.87,3.81,4.38,1.79,3.6,4.7,1.82,3.5,3.75,1.79,3.9,4.75,1.65,3.85,5.15,1.73,3.8,4.75,1.73,3.4,4.0,1.7,3.7,4.5,1.7,3.4,5.75,2017
13.05.2018,16:00,38,Huddersfield,Arsenal,0,1,5.65,4.7,1.54,4.2,3.8,1.77,5.6,4.65,1.54,3.8,3.75,1.75,5.9,4.76,1.56,4.74,3.74,1.87,5.75,4.7,1.53,4.2,3.75,1.8,5.33,4.62,1.53,4.73,3.74,1.72,5.75,4.75,1.55,4.75,3.75,1.7,5.5,4.5,1.5,4.1,3.5,1.85,6.0,4.6,1.57,3.8,3.4,1.8,5.94,4.61,1.55,1.01,1.01,1.01,5.5,4.8,1.58,4.45,3.8,1.86,5.5,4.8,1.58,4.45,3.8,1.86,6.0,4.75,1.55,4.3,3.5,1.87,5.75,4.5,1.57,4.75,3.75,1.75,5.5,4.5,1.57,4.25,3.8,1.8,5.75,4.75,1.56,4.25,3.85,1.8,5.2,4.2,1.6,5.0,4.0,1.65,5.5,4.33,1.53,4.0,3.6,1.83,5.7,4.74,1.56,5.6,4.41,1.61,5.4,4.5,1.57,4.4,3.75,1.65,5.85,4.8,1.55,4.2,3.75,1.8,5.5,4.75,1.53,4.33,3.75,1.67,5.2,4.2,1.53,4.2,3.8,1.8,2017
13.05.2018,16:00,38,Liverpool,Brighton,4,0,1.21,6.95,13.75,1.11,8.25,24.25,1.24,6.7,12.0,1.16,6.3,12.0,1.24,7.2,13.0,1.34,5.5,11.5,1.2,7.0,14.0,1.18,7.0,14.0,1.22,6.81,10.9,1.17,7.44,14.64,1.22,7.5,13.0,1.16,7.5,13.0,1.2,6.5,12.0,1.28,5.25,10.5,1.22,7.0,14.0,1.22,5.0,9.5,1.22,7.46,14.78,1.01,1.01,1.01,1.24,7.65,12.0,1.26,5.95,16.5,1.24,7.65,12.0,1.26,5.95,16.5,1.22,7.0,15.0,1.3,5.25,11.5,1.22,7.0,13.0,1.3,5.5,10.0,1.22,7.0,12.5,1.17,8.0,15.0,1.22,7.0,14.0,1.11,8.5,24.75,1.2,6.5,15.0,1.1,10.0,20.0,1.2,6.5,13.0,1.29,5.0,10.0,1.22,7.12,14.03,1.17,8.32,19.25,1.22,6.6,13.0,1.18,7.4,8.5,1.22,7.35,14.5,1.18,7.0,15.0,1.2,7.5,13.0,1.14,7.0,15.0,1.2,6.5,9.75,1.15,8.0,15.0,2017
13.05.2018,16:00,38,Manchester Utd,Watford,1,0,1.51,4.15,6.75,1.09,9.25,23.25,1.52,4.45,6.2,1.2,6.2,9.5,1.53,4.46,7.0,1.2,8.2,18.0,1.5,4.35,6.75,1.17,7.5,14.0,1.52,4.25,5.92,1.19,7.32,12.45,1.53,4.33,7.0,1.16,7.0,15.0,1.48,4.25,6.5,1.16,7.0,15.0,1.53,4.4,7.0,1.1,7.0,17.0,1.52,4.33,6.89,1.01,1.01,1.01,1.49,4.5,7.8,1.14,9.55,27.0,1.53,4.45,7.0,1.14,9.55,27.0,1.53,4.5,6.5,1.15,7.5,20.0,1.55,4.5,6.0,1.17,8.0,15.0,1.53,4.25,6.5,1.17,8.0,15.0,1.53,4.25,6.85,1.09,9.5,23.5,1.45,4.4,7.2,1.25,6.0,11.0,1.44,4.2,6.5,1.14,7.5,18.0,1.53,4.27,7.11,1.29,6.03,11.72,1.52,4.1,6.8,1.24,6.2,7.6,1.52,4.45,7.0,1.17,7.5,15.0,1.53,4.33,6.0,1.2,6.5,13.0,1.48,3.9,6.0,1.15,8.0,15.0,2017
13.05.2018,16:00,38,Newcastle,Chelsea,3,0,4.75,3.75,1.77,5.15,3.6,1.69,4.55,3.85,1.78,4.55,3.5,1.69,4.62,4.06,1.81,4.4,3.6,1.97,4.8,3.8,1.75,4.75,3.6,1.75,4.34,3.84,1.76,5.08,3.73,1.68,4.75,3.79,1.8,5.0,3.75,1.66,4.6,3.7,1.72,4.9,3.3,1.78,4.75,4.0,1.75,4.1,3.2,1.8,4.99,3.76,1.76,1.01,1.01,1.01,4.85,3.95,1.78,5.6,3.6,1.77,4.85,3.95,1.78,5.6,3.6,1.77,4.6,4.0,1.8,5.25,3.3,1.75,4.75,4.0,1.75,4.75,3.5,1.8,4.75,3.9,1.75,5.0,3.6,1.75,4.85,3.8,1.8,5.2,3.65,1.71,5.0,4.0,1.65,4.5,4.0,1.7,4.5,3.75,1.67,4.33,3.4,1.83,4.85,3.72,1.8,5.74,4.09,1.65,4.3,3.75,1.8,4.9,3.7,1.6,4.9,3.88,1.78,4.75,3.6,1.75,4.75,3.75,1.75,6.0,3.75,1.53,4.5,3.6,1.7,5.0,3.5,1.75,2017
13.05.2018,16:00,38,Southampton,Manchester City,0,1,6.25,4.6,1.5,9.25,5.65,1.28,5.6,4.55,1.55,6.4,4.85,1.35,6.35,4.7,1.54,8.4,4.9,1.45,6.4,4.6,1.5,7.5,4.9,1.37,5.53,4.4,1.53,7.47,4.94,1.38,6.5,4.5,1.53,8.5,4.75,1.36,5.75,4.3,1.5,8.0,4.7,1.38,6.5,4.5,1.55,7.0,4.6,1.33,6.32,4.52,1.52,1.01,1.01,1.01,6.35,4.7,1.53,10.0,5.2,1.37,6.6,4.7,1.52,10.0,5.2,1.37,6.5,4.6,1.53,9.0,4.6,1.36,6.0,4.5,1.55,8.5,4.5,1.4,5.75,4.6,1.53,10.0,5.0,1.33,6.35,4.7,1.51,9.5,5.75,1.29,6.5,4.2,1.5,7.2,4.4,1.45,6.0,4.33,1.5,8.0,4.5,1.36,6.32,4.78,1.51,7.89,4.98,1.43,6.2,4.3,1.52,5.8,4.2,1.46,6.5,4.7,1.52,8.0,5.0,1.37,6.0,4.5,1.53,8.0,4.5,1.4,5.5,4.33,1.5,9.75,5.2,1.33,2017
13.05.2018,16:00,38,Swansea,Stoke,1,2,2.05,3.5,3.75,2.1,3.15,3.75,2.07,3.55,3.65,1.79,3.3,4.2,2.06,3.58,3.88,2.22,3.3,3.88,2.04,3.5,3.8,1.95,3.3,4.1,1.99,3.51,3.66,1.76,3.41,4.99,2.04,3.6,3.79,1.75,3.39,5.0,1.95,3.4,3.75,2.1,3.05,3.7,2.05,3.5,3.9,2.05,2.9,3.6,2.03,3.47,3.85,1.01,1.01,1.01,2.07,3.55,3.9,2.15,3.3,3.95,2.07,3.55,3.9,2.15,3.3,3.95,2.05,3.6,3.8,2.15,3.0,3.8,2.05,3.6,3.75,2.15,3.1,3.8,2.0,3.6,3.8,1.85,3.3,4.75,2.05,3.55,3.8,2.1,3.2,3.8,1.9,3.5,4.1,1.9,3.5,4.1,2.0,3.4,3.75,2.1,3.1,3.75,2.08,3.56,3.82,1.84,3.82,4.55,2.06,3.5,3.6,1.8,3.35,4.0,2.07,3.55,3.85,1.95,3.3,4.1,2.05,3.5,3.75,1.67,3.6,5.5,1.91,3.4,3.6,1.83,3.3,4.75,2017
13.05.2018,16:00,38,Tottenham,Leicester,5,4,1.36,5.4,8.0,1.23,6.1,11.5,1.38,5.5,7.3,1.22,5.7,9.2,1.4,5.65,8.0,1.41,5.3,8.8,1.36,5.4,8.0,1.3,5.4,9.0,1.37,5.44,6.94,1.24,6.06,11.01,1.36,5.75,8.5,1.25,6.0,10.0,1.35,5.0,7.5,1.32,5.0,8.75,1.4,5.5,8.0,1.29,4.75,8.0,1.39,5.37,8.41,1.01,1.01,1.01,1.39,5.45,8.35,1.34,5.45,10.5,1.39,5.45,8.35,1.34,5.45,10.5,1.36,5.75,8.5,1.33,5.0,9.5,1.4,5.25,8.0,1.22,6.5,12.0,1.36,5.5,8.0,1.25,6.0,12.0,1.37,5.5,8.25,1.23,6.2,11.75,1.35,5.3,8.0,1.3,5.5,9.5,1.33,5.0,8.0,1.3,5.0,9.0,1.38,5.5,8.15,1.32,5.94,10.07,1.36,5.4,7.6,1.3,5.0,7.6,1.38,5.55,8.3,1.3,5.5,9.5,1.36,5.0,8.5,1.17,6.5,12.0,1.33,5.2,7.0,1.22,6.25,12.0,2017
13.05.2018,16:00,38,West Ham,Everton,3,1,2.3,3.35,3.2,2.4,3.2,2.95,2.28,3.5,3.15,2.31,3.4,2.67,2.36,3.4,3.28,2.52,3.4,3.13,2.3,3.35,3.25,2.4,3.2,3.0,2.28,3.39,3.06,2.41,3.24,2.97,2.29,3.5,3.29,2.37,3.25,3.0,2.25,3.3,3.1,2.4,3.2,2.95,2.38,3.3,3.3,2.3,3.1,2.88,2.31,3.33,3.28,1.01,1.01,1.01,2.33,3.55,3.15,2.45,3.4,3.1,2.33,3.55,3.15,2.45,3.4,3.1,2.3,3.5,3.25,2.5,3.25,3.1,2.38,3.5,3.1,2.5,3.25,2.9,2.25,3.4,3.3,2.4,3.3,3.0,2.35,3.4,3.25,2.4,3.25,3.0,2.4,3.3,2.95,2.4,3.3,2.95,2.3,3.2,3.2,2.38,3.25,3.0,2.35,3.4,3.28,2.42,3.56,3.02,2.35,3.25,3.2,2.44,3.2,2.66,2.35,3.4,3.3,2.4,3.2,3.0,2.3,3.3,3.2,2.3,3.2,2.62,2.17,3.2,3.1,2.4,3.25,3.0,2017
