match_year,match_round,team,team_rank,team_points,team_goal_difference,team_goal_fatti,team_goal_subiti
2011,2,SSC Napoli,1,3,5,6,1
2011,2,Inter,2,3,3,4,1
2011,2,AS Roma,3,3,2,2,0
2011,2,AC Milan,4,3,2,2,0
2011,2,Parma,5,1,0,3,3
2011,2,Catania,6,1,0,3,3
2011,2,US Palermo,7,1,0,2,2
2011,2,Novara,8,1,0,2,2
2011,2,Lazio,9,1,0,0,0
2011,2,Udinese Calcio,10,1,0,0,0
2011,2,Fiorentina,11,1,0,0,0
2011,2,Juventus,12,1,0,0,0
2011,2,Chievo Verona,13,1,0,0,0
2011,2,Siena,14,1,0,0,0
2011,2,Bologna,15,0,-2,0,2
2011,2,Cagliari Calcio,16,0,-2,0,2
2011,2,Lecce,17,0,-3,1,4
2011,2,Cesena,18,0,-3,1,4
2011,2,Genoa,19,0,-5,1,6
2011,2,Atalanta,20,-3,3,4,1
2011,3,SSC Napoli,1,6,7,9,2
2011,3,Juventus,2,4,3,4,1
2011,3,AC Milan,3,4,2,4,2
2011,3,Udinese Calcio,4,4,2,2,0
2011,3,Fiorentina,5,4,2,2,0
2011,3,US Palermo,6,4,1,6,5
2011,3,Inter,7,3,2,7,5
2011,3,AS Roma,8,3,1,3,2
2011,3,Cagliari Calcio,9,3,-1,2,3
2011,3,Novara,10,2,0,4,4
2011,3,Catania,11,2,0,3,3
2011,3,Lazio,12,2,0,2,2
2011,3,Chievo Verona,13,2,0,2,2
2011,3,Siena,14,2,0,0,0
2011,3,Parma,15,1,-3,4,7
2011,3,Genoa,16,1,-5,3,8
2011,3,Bologna,17,0,-4,0,4
2011,3,Cesena,18,0,-5,2,7
2011,3,Lecce,19,0,-5,1,6
2011,3,Atalanta,20,-2,3,6,3
2011,4,SSC Napoli,1,9,9,12,3
2011,4,Juventus,2,7,4,5,1
2011,4,Udinese Calcio,3,7,4,4,0
2011,4,Cagliari Calcio,4,6,0,4,4
2011,4,Catania,5,5,1,4,3
2011,4,Inter,6,4,2,7,5
2011,4,AS Roma,7,4,1,3,2
2011,4,US Palermo,8,4,0,6,6
2011,4,AC Milan,9,4,0,5,5
2011,4,Fiorentina,10,4,0,2,2
2011,4,Parma,11,4,-2,6,8
2011,4,Genoa,12,4,-4,5,9
2011,4,Lecce,13,3,-3,3,6
2011,4,Novara,14,2,-1,5,6
2011,4,Lazio,15,2,-1,3,4
2011,4,Chievo Verona,16,2,-1,3,4
2011,4,Siena,17,2,-1,0,1
2011,4,Atalanta,18,1,4,7,3
2011,4,Cesena,19,0,-6,2,8
2011,4,Bologna,20,0,-6,0,6
2011,5,SSC Napoli,1,9,8,12,4
2011,5,Juventus,2,8,4,6,2
2011,5,Udinese Calcio,3,8,4,5,1
2011,5,Fiorentina,4,7,3,5,2
2011,5,US Palermo,5,7,1,9,8
2011,5,Genoa,6,7,-1,8,9
2011,5,Cagliari Calcio,7,6,-1,6,7
2011,5,Novara,8,5,1,8,7
2011,5,AS Roma,9,5,1,4,3
2011,5,AC Milan,10,5,0,6,6
2011,5,Lazio,11,5,0,5,5
2011,5,Chievo Verona,12,5,0,4,4
2011,5,Catania,13,5,-2,4,6
2011,5,Atalanta,14,4,5,9,4
2011,5,Inter,15,4,0,8,8
2011,5,Parma,16,4,-5,6,11
2011,5,Siena,17,3,-1,1,2
2011,5,Lecce,18,3,-4,4,8
2011,5,Bologna,19,1,-6,1,7
2011,5,Cesena,20,0,-7,3,10
2011,6,SSC Napoli,1,10,8,12,4
2011,6,Juventus,2,9,4,7,3
2011,6,Udinese Calcio,3,9,4,5,1
2011,6,Fiorentina,4,8,3,5,2
2011,6,AS Roma,5,8,2,5,3
2011,6,US Palermo,6,8,1,9,8
2011,6,AC Milan,7,8,1,7,6
2011,6,Chievo Verona,8,8,1,6,5
2011,6,Atalanta,9,7,6,11,5
2011,6,Inter,10,7,2,11,9
2011,6,Cagliari Calcio,11,7,-1,6,7
2011,6,Genoa,12,7,-2,9,11
2011,6,Siena,13,6,2,4,2
2011,6,Lazio,14,6,0,5,5
2011,6,Catania,15,6,-2,5,7
2011,6,Novara,16,5,0,9,9
2011,6,Parma,17,4,-6,6,12
2011,6,Lecce,18,3,-7,4,11
2011,6,Bologna,19,1,-8,2,10
2011,6,Cesena,20,0,-8,3,11
2011,7,SSC Napoli,1,13,11,15,4
2011,7,Juventus,2,12,6,9,3
2011,7,Udinese Calcio,3,12,6,7,1
2011,7,AS Roma,4,11,4,8,4
2011,7,US Palermo,5,11,3,11,8
2011,7,Cagliari Calcio,6,10,1,8,7
2011,7,Lazio,7,9,1,7,6
2011,7,Chievo Verona,8,9,1,6,5
2011,7,Fiorentina,9,8,2,6,4
2011,7,AC Milan,10,8,-1,7,8
2011,7,Atalanta,11,7,4,12,8
2011,7,Inter,12,7,-1,11,12
