match_date,match_hour,match_round,home_team,away_team,home_goals,away_goals,10bet_1,10bet_X,10bet_2,10bet_opening_1,10bet_opening_X,10bet_opening_2,188bet_1,188bet_X,188bet_2,188bet_opening_1,188bet_opening_X,188bet_opening_2,888sport_1,888sport_X,888sport_2,888sport_opening_1,888sport_opening_X,888sport_opening_2,bet-at-home_1,bet-at-home_X,bet-at-home_2,bet-at-home_opening_1,bet-at-home_opening_X,bet-at-home_opening_2,bet365_1,bet365_X,bet365_2,bet365_opening_1,bet365_opening_X,bet365_opening_2,betclic_1,betclic_X,betclic_2,betclic_opening_1,betclic_opening_X,betclic_opening_2,betfair exchange_1,betfair exchange_X,betfair exchange_2,betfair exchange_opening_1,betfair exchange_opening_X,betfair exchange_opening_2,betsafe_1,betsafe_X,betsafe_2,betsafe_opening_1,betsafe_opening_X,betsafe_opening_2,betsson_1,betsson_X,betsson_2,betsson_opening_1,betsson_opening_X,betsson_opening_2,betvictor_1,betvictor_X,betvictor_2,betvictor_opening_1,betvictor_opening_X,betvictor_opening_2,betway_1,betway_X,betway_2,betway_opening_1,betway_opening_X,betway_opening_2,bwin_1,bwin_X,bwin_2,bwin_opening_1,bwin_opening_X,bwin_opening_2,interwetten_1,interwetten_X,interwetten_2,interwetten_opening_1,interwetten_opening_X,interwetten_opening_2,paddy power_1,paddy power_X,paddy power_2,paddy power_opening_1,paddy power_opening_X,paddy power_opening_2,pinnacle_1,pinnacle_X,pinnacle_2,pinnacle_opening_1,pinnacle_opening_X,pinnacle_opening_2,sbobet_1,sbobet_X,sbobet_2,sbobet_opening_1,sbobet_opening_X,sbobet_opening_2,unibet_1,unibet_X,unibet_2,unibet_opening_1,unibet_opening_X,unibet_opening_2,william hill_1,william hill_X,william hill_2,william hill_opening_1,william hill_opening_X,william hill_opening_2,youwin_1,youwin_X,youwin_2,youwin_opening_1,youwin_opening_X,youwin_opening_2
13.05.2012,15:00,38,AC Milan,Novara,2,1,1.22,6.18,12.58,1.23,5.21,9.63,1.22,6.6,14.0,1.25,5.6,8.0,1.22,6.0,12.0,1.29,5.5,9.0,1.2,6.1,12.0,1.25,5.5,10.0,1.22,6.0,12.0,1.25,5.5,9.0,1.22,6.0,11.0,1.25,5.5,,1.26,6.51,13.83,1.02,1.02,1.02,1.23,6.0,12.5,1.27,5.75,10.0,1.25,5.75,11.0,1.27,5.5,10.5,1.25,6.5,15.0,1.29,5.4,10.5,1.25,6.0,9.5,1.3,5.0,,1.2,6.25,13.0,1.27,5.5,10.0,1.3,4.8,8.5,1.3,5.0,8.0,1.22,5.5,13.0,1.25,5.5,10.0,1.26,6.54,13.36,1.26,6.23,15.25,1.2,6.8,14.5,1.25,6.0,9.75,1.2,6.2,13.0,1.2,6.5,12.0,1.22,5.5,15.0,1.29,5.5,9.5,1.22,5.7,11.5,1.26,5.09,9.0
13.05.2012,20:45,38,Catania,Udinese,0,2,5.2,2.29,2.31,3.75,2.06,2.75,4.3,2.25,2.65,3.55,2.25,2.65,4.0,2.29,2.38,3.75,2.1,3.0,4.0,2.29,2.5,3.7,2.2,2.8,4.33,2.29,2.5,2.8,2.1,3.5,4.2,2.29,2.5,3.75,2.2,2.85,4.14,2.37,2.65,1.02,1.02,1.02,4.45,2.29,2.45,3.7,2.2,2.9,4.5,2.35,2.4,3.75,2.25,2.85,4.2,2.29,2.6,3.7,2.2,3.0,4.0,2.2,2.65,3.8,2.1,3.0,4.4,2.35,2.4,3.75,2.2,2.85,4.0,2.0,2.6,,,,3.8,2.25,2.5,3.5,2.1,2.88,3.97,2.31,2.98,3.92,2.38,2.9,4.3,2.31,2.59,3.6,2.23,2.68,4.3,2.2,2.54,2.9,2.65,2.85,4.0,2.38,2.5,3.5,2.04,2.88,4.09,2.25,2.5,3.65,2.1,2.85
13.05.2012,18:00,38,Cesena,AS Roma,2,3,6.19,3.81,1.56,4.38,3.55,1.66,7.15,4.0,1.51,4.3,3.65,1.68,5.5,4.0,1.57,4.5,3.75,1.73,6.2,3.6,1.55,4.25,3.6,1.75,6.0,3.75,1.57,4.2,3.6,1.73,6.25,3.75,1.55,4.5,3.6,1.75,6.7,4.04,1.57,1.01,1.01,1.01,5.55,4.09,1.57,4.55,3.7,1.75,5.95,3.75,1.58,4.5,3.7,1.75,6.25,3.8,1.62,4.5,3.75,1.75,5.5,3.8,1.6,4.5,3.6,1.75,5.25,3.9,1.6,4.4,3.7,1.75,4.4,3.5,1.7,4.0,3.4,1.8,6.0,3.6,1.57,4.33,,1.75,6.48,3.97,1.54,5.27,3.99,1.72,6.6,3.9,1.56,5.0,3.65,1.67,5.5,3.8,1.6,4.25,3.5,1.8,6.0,3.8,1.57,4.5,3.75,1.73,5.5,3.75,1.57,4.2,3.55,1.72
13.05.2012,20:45,38,Chievo,Lecce,1,0,2.31,3.41,2.93,2.14,3.32,2.9,2.4,3.5,2.95,2.29,3.35,2.7,2.4,3.3,2.88,2.29,3.4,2.88,2.29,3.35,2.85,,,,2.38,3.4,2.88,2.2,3.4,2.88,2.29,3.5,2.85,,,,2.39,3.47,3.04,1.02,1.02,1.02,2.4,3.45,2.85,2.29,,2.95,2.4,3.35,2.85,2.29,3.5,,2.38,3.5,3.1,2.29,3.5,3.0,2.29,3.5,2.85,2.2,,3.0,2.35,3.4,2.85,2.45,3.6,2.6,2.2,3.5,2.75,,,,2.25,3.4,2.88,,,,2.41,3.59,3.02,2.41,3.63,3.03,2.49,3.25,2.93,2.39,3.3,2.88,2.35,3.3,2.9,,,,2.38,3.4,2.88,2.25,3.5,3.0,2.29,3.35,2.85,2.22,3.35,2.84
13.05.2012,15:00,38,Fiorentina,Cagliari,0,0,2.18,3.12,3.54,1.83,3.17,3.99,2.29,3.1,3.5,2.04,3.2,3.35,2.1,3.2,3.5,1.91,3.25,4.2,2.0,3.2,3.7,1.9,3.25,4.0,2.1,3.2,3.6,1.91,3.25,3.75,2.1,3.2,3.5,1.9,3.25,4.2,2.19,3.19,3.66,1.01,1.01,1.01,2.15,3.15,3.6,1.95,3.25,4.15,2.2,3.15,3.35,1.95,3.25,4.05,2.2,3.25,3.6,1.95,3.25,4.09,2.0,3.25,3.75,1.9,,4.2,2.04,3.3,3.6,1.9,3.3,4.15,1.9,3.3,3.7,,,,2.0,3.25,3.75,1.91,,4.0,2.33,3.15,3.64,2.16,3.35,3.87,2.31,3.05,3.45,2.13,3.2,3.45,2.15,3.2,3.45,2.0,3.1,4.0,2.1,3.2,3.6,1.95,3.25,4.0,2.06,3.15,3.55,1.9,3.2,3.8
13.05.2012,20:45,38,Genoa,Palermo,2,0,1.81,2.59,5.85,2.0,2.34,5.48,1.8,2.9,6.6,2.0,2.54,4.8,1.91,2.63,6.0,2.04,2.38,6.0,1.8,2.7,6.35,2.04,2.45,5.4,1.83,2.7,6.5,2.0,2.29,5.5,1.95,2.6,5.5,2.1,2.6,4.75,1.84,2.95,6.7,1.01,1.01,1.01,1.9,2.65,5.9,2.04,2.5,5.5,1.9,2.6,6.3,2.04,2.5,5.65,1.87,2.75,6.25,2.0,2.45,6.5,1.95,2.6,5.75,2.04,2.4,6.0,1.85,2.8,5.75,2.0,2.5,5.5,1.9,2.4,5.0,,,,1.91,2.62,5.5,2.0,2.38,,2.06,2.69,6.16,2.1,2.66,5.95,1.88,2.89,5.8,2.09,2.6,4.2,1.85,2.7,6.0,2.1,2.75,4.3,1.91,2.8,5.5,2.0,2.25,,1.87,2.64,5.75,2.02,2.38,5.35
13.05.2012,15:00,38,Juventus,Atalanta,3,1,1.29,5.0,11.49,1.22,5.11,10.49,1.3,5.35,11.5,1.28,5.4,7.45,1.3,5.0,10.0,1.25,5.5,11.0,1.3,5.0,9.0,1.25,5.09,12.0,1.29,5.0,11.0,1.25,,11.0,1.3,4.75,11.0,1.25,5.5,,1.33,5.09,12.4,1.01,1.01,1.01,1.28,5.3,11.0,1.25,5.5,12.0,1.27,5.4,11.0,1.25,5.75,,1.3,5.4,13.0,1.25,5.75,13.0,1.28,5.25,9.0,1.25,5.5,11.0,1.28,5.2,10.5,1.3,5.0,10.0,1.27,5.0,9.0,1.32,4.3,9.19,1.29,5.0,10.0,1.25,5.5,,1.33,5.2,13.29,1.31,5.79,12.25,1.34,5.0,9.5,1.31,5.6,7.8,1.28,5.0,11.0,1.22,5.75,12.5,1.29,5.0,11.0,1.25,5.5,12.0,1.27,4.95,10.25,1.24,5.15,10.25
13.05.2012,20:45,38,Lazio,Inter,3,1,2.35,3.48,2.86,2.44,3.34,2.48,2.38,3.5,2.95,2.6,3.35,2.4,2.5,3.4,2.63,2.5,,2.63,2.4,3.4,2.7,2.54,3.45,2.5,2.4,3.5,2.75,2.5,3.4,2.5,2.4,3.6,2.6,2.6,3.3,2.6,2.39,3.61,2.9,1.01,1.01,1.01,2.4,3.5,2.8,2.6,3.45,2.6,2.4,3.35,2.85,2.5,3.45,2.6,2.4,3.5,2.9,2.5,3.5,2.63,2.4,3.4,2.8,2.5,,2.65,2.5,3.5,2.6,2.6,3.55,2.5,2.5,3.3,2.54,,,,2.4,3.5,2.62,2.5,3.4,2.6,2.41,3.55,2.98,2.86,3.61,2.54,2.39,3.4,2.97,2.76,3.3,2.46,2.4,3.45,2.8,2.6,3.3,2.6,2.38,3.4,2.88,2.5,3.5,2.6,2.38,3.35,2.72,2.48,3.3,2.54
13.05.2012,20:45,38,Napoli,Siena,2,1,1.29,5.05,10.73,1.28,4.55,9.14,1.34,5.0,10.5,1.3,4.5,9.0,1.29,5.5,9.0,1.33,4.75,,1.3,4.8,10.0,1.35,4.4,9.0,1.33,5.0,9.0,1.33,4.5,8.5,1.33,4.75,9.0,,,,1.35,5.09,10.98,1.01,1.01,1.01,1.3,5.2,10.0,1.32,5.0,9.75,1.29,5.25,10.0,1.33,4.8,9.4,1.33,5.25,11.5,1.33,4.8,9.5,1.32,4.75,9.5,1.35,,8.25,1.33,4.84,9.0,1.33,4.84,9.0,1.3,5.0,8.0,,,,1.33,4.5,9.0,,,,1.35,5.42,10.69,1.33,5.45,11.5,1.35,5.0,9.5,1.35,4.59,9.0,1.26,5.25,11.0,1.3,5.0,9.5,1.3,5.0,10.0,1.33,4.75,9.5,1.3,4.84,9.25,1.3,4.65,8.75
13.05.2012,18:00,38,Parma,Bologna,1,0,1.69,3.64,5.08,1.8,3.19,4.13,1.66,3.75,5.4,1.82,3.5,3.75,1.67,3.8,4.75,1.91,3.25,4.2,1.65,3.65,5.0,1.9,3.2,4.09,1.73,3.5,5.0,1.83,3.25,4.2,1.65,3.75,5.0,1.9,3.2,4.25,1.7,3.71,5.66,1.01,1.01,1.01,1.67,3.7,5.25,1.9,3.3,4.3,1.64,3.8,5.15,1.88,3.35,4.25,1.73,3.75,5.4,1.87,3.3,4.5,1.65,3.75,5.0,1.8,3.5,4.3,1.75,3.6,4.5,2.0,3.3,3.75,1.75,3.4,4.3,1.75,,4.3,1.67,3.5,5.0,1.83,3.25,4.33,1.67,3.82,5.26,1.85,3.81,4.57,1.68,3.75,5.4,1.85,3.45,4.2,1.6,3.75,5.5,1.95,3.1,4.2,1.62,3.75,5.5,1.85,3.25,4.5,1.67,3.7,5.2,1.84,3.2,4.09
06.05.2012,15:00,37,Atalanta,Lazio,0,2,2.2,3.2,3.37,2.8,3.17,2.56,2.2,3.25,3.55,2.35,3.15,2.8,2.25,3.2,3.2,2.8,3.1,2.5,2.2,3.2,3.2,2.7,,2.5,2.25,3.2,3.25,2.5,3.2,2.8,2.29,3.2,3.1,2.7,3.1,2.6,2.27,3.23,3.47,1.02,1.02,1.02,2.29,3.2,3.2,2.5,,2.87,2.29,3.1,3.25,2.7,3.2,2.6,2.29,3.2,3.5,2.5,3.3,3.0,2.25,3.2,3.2,2.4,,2.9,2.2,3.3,3.2,2.35,3.3,2.9,2.4,3.2,2.7,,,,2.4,3.2,3.0,2.6,,2.5,2.29,3.36,3.52,2.34,3.24,3.51,2.24,3.2,3.4,2.38,3.1,3.05,2.29,3.2,3.1,2.7,3.1,2.6,2.38,3.1,3.1,2.5,3.25,2.54,2.27,3.2,3.15,2.68,3.25,2.52
06.05.2012,15:00,37,Bologna,Napoli,2,0,5.81,3.84,1.57,3.87,3.54,1.92,5.9,3.8,1.64,4.8,3.9,1.57,5.5,4.0,1.57,5.0,3.6,1.67,5.5,3.9,1.55,4.4,3.5,1.75,5.5,3.75,1.62,5.0,4.0,1.62,6.0,3.75,1.55,4.5,3.5,1.75,5.94,3.8,1.66,1.02,1.02,1.02,5.5,3.9,1.6,5.4,4.0,1.6,5.95,4.05,1.53,4.5,3.45,1.8,6.0,3.8,1.62,5.2,3.8,1.7,5.9,3.75,1.57,5.0,,1.65,5.25,3.9,1.6,5.4,3.85,1.6,5.0,3.6,1.6,4.59,3.5,1.65,5.5,3.75,1.57,4.0,3.4,1.8,5.87,3.88,1.68,6.26,4.15,1.61,5.4,3.7,1.68,5.0,3.85,1.63,5.25,3.7,1.65,4.25,3.5,1.8,6.0,4.0,1.53,5.0,3.5,1.65,5.6,3.8,1.59,4.34,3.55,1.76
06.05.2012,20:45,37,Cagliari,Juventus,0,2,12.9,5.81,1.23,11.56,4.76,1.3,12.8,6.2,1.25,8.55,4.95,1.28,12.0,5.5,1.25,11.0,4.5,1.3,11.0,5.25,1.25,9.0,5.0,1.3,12.0,5.5,1.25,11.0,5.0,1.29,11.0,5.5,1.25,10.0,4.75,1.3,16.2,5.94,1.25,1.02,1.02,1.02,11.5,5.75,1.25,10.0,5.25,1.3,13.0,5.7,1.23,10.5,4.59,1.33,15.0,6.0,1.25,10.5,5.25,1.33,5.75,4.0,1.5,9.5,5.0,1.3,13.0,5.75,1.22,9.0,5.25,1.3,8.5,4.8,1.3,8.5,5.5,1.25,11.0,5.0,1.29,10.0,4.0,1.33,14.12,6.19,1.27,13.28,5.64,1.29,14.0,6.2,1.22,12.5,5.2,1.25,12.5,6.25,1.23,10.0,4.65,1.32,12.0,5.5,1.25,9.0,4.75,1.29,11.5,5.5,1.25,9.75,4.75,1.31
06.05.2012,20:45,37,Inter,AC Milan,4,2,3.97,3.61,1.86,3.32,3.56,2.06,3.95,3.8,1.91,3.4,3.4,1.95,4.0,3.5,1.91,3.4,3.3,2.1,3.95,3.5,1.85,3.3,3.4,2.04,4.0,3.6,1.85,3.6,3.5,2.0,4.0,3.5,1.85,3.3,3.4,2.1,4.14,3.71,1.9,1.02,1.02,1.02,3.9,3.6,1.9,3.5,3.5,2.04,4.0,3.55,1.88,3.4,3.4,2.1,4.0,3.8,1.95,3.5,3.6,2.1,3.75,3.6,1.9,3.6,3.4,2.0,4.0,3.6,1.85,3.45,3.6,2.0,3.5,3.3,1.95,2.8,3.2,2.29,3.75,3.6,1.91,3.4,3.25,2.0,4.13,3.81,1.93,3.9,3.69,2.02,4.09,3.55,1.92,3.4,3.35,2.09,4.0,3.6,1.9,3.2,3.3,2.2,4.0,3.75,1.83,3.25,3.25,2.1,4.15,3.65,1.84,3.15,3.3,2.18
06.05.2012,15:00,37,Novara,Cesena,3,0,1.79,3.52,4.51,1.93,3.17,4.34,1.83,3.55,4.65,1.99,3.2,3.5,1.83,3.3,4.0,1.91,,4.0,1.8,3.45,4.2,1.9,3.25,4.0,1.83,3.5,4.33,1.91,3.4,4.0,1.85,3.4,4.25,1.9,3.3,4.0,1.86,3.52,4.71,1.02,1.02,1.02,1.8,3.55,4.5,2.0,3.3,3.9,1.84,3.5,4.15,1.95,3.25,4.05,1.87,3.6,4.59,2.04,3.3,4.09,1.9,3.3,4.09,1.95,3.25,4.0,1.8,3.5,4.4,2.1,3.25,3.5,1.9,3.2,3.8,,,,1.8,3.4,4.33,1.8,3.2,4.33,1.84,3.65,4.88,2.15,3.39,3.84,1.87,3.3,4.59,2.06,3.15,3.7,1.8,3.55,4.4,1.95,3.2,4.0,1.8,3.5,4.5,1.95,3.2,3.75,1.83,3.45,4.3,1.88,3.3,4.09
06.05.2012,15:00,37,Palermo,Chievo,4,4,1.88,3.34,4.26,2.14,2.99,3.81,1.84,3.5,4.7,2.04,3.0,3.6,1.95,3.1,3.8,2.04,3.0,,1.9,3.35,3.9,2.0,3.0,4.0,1.91,3.4,4.0,2.0,3.2,4.0,1.9,3.25,4.25,2.0,3.0,4.09,1.89,3.38,4.61,1.02,1.02,1.02,1.95,3.25,4.15,2.04,3.1,4.0,2.25,3.25,2.7,2.45,,2.45,1.9,3.3,4.75,2.1,3.1,4.33,2.0,3.2,3.85,2.04,3.0,4.0,1.91,3.3,4.09,2.1,3.2,3.55,2.1,3.0,3.4,,,,2.0,3.2,3.75,1.91,3.0,4.0,1.88,3.58,4.83,2.12,3.41,3.92,1.87,3.35,4.59,2.11,3.0,3.8,1.8,3.45,4.4,2.0,3.0,4.09,1.91,3.4,4.0,2.0,3.0,3.8,1.94,3.25,4.05,2.0,3.1,3.95
06.05.2012,12:30,37,Siena,Parma,0,2,2.4,3.13,3.05,2.25,3.37,3.08,2.4,3.3,3.05,2.29,3.05,2.95,2.38,3.1,3.1,2.29,,,2.4,3.0,3.0,2.35,3.15,2.95,2.38,3.25,3.0,2.29,,3.1,2.35,3.0,3.15,,,,2.44,3.28,3.04,1.03,1.02,1.03,2.4,3.1,3.1,,,,2.36,3.1,3.1,,,,2.5,3.3,3.1,2.45,3.13,3.13,2.25,3.1,3.25,2.4,3.0,3.1,2.29,3.25,3.05,2.35,3.2,3.0,2.5,3.1,2.7,,,,2.38,3.0,3.1,2.4,,2.88,2.52,3.34,3.07,2.41,3.38,3.23,2.47,3.1,3.1,2.31,3.05,3.2,2.29,3.1,3.2,,,,2.38,3.2,3.0,2.38,3.1,2.88,2.36,3.2,3.0,2.36,3.1,3.0
06.05.2012,15:00,37,Udinese,Genoa,2,0,1.52,3.86,6.78,1.66,3.9,4.9,1.58,3.8,6.8,1.62,3.5,5.05,1.5,3.8,7.0,1.7,3.5,4.75,1.5,4.0,6.0,1.6,3.8,5.2,1.53,3.8,6.5,1.62,3.75,5.5,1.5,4.0,6.5,1.6,4.0,5.0,1.58,3.94,6.89,1.02,1.02,1.02,1.5,4.0,7.0,1.6,3.75,5.9,1.48,4.0,7.25,1.65,3.8,5.09,1.57,4.09,7.0,1.73,3.9,5.2,1.53,3.75,6.75,1.6,,5.5,1.5,4.0,6.5,1.73,3.6,4.7,1.45,3.9,6.5,1.55,3.9,5.0,1.5,3.8,6.5,1.62,3.5,5.0,1.6,3.94,7.06,1.65,3.95,6.28,1.58,3.9,6.2,1.6,3.5,6.4,1.5,4.0,6.0,1.62,3.85,5.0,1.5,4.2,6.5,1.6,3.75,5.0,1.51,3.9,6.65,1.61,3.8,5.15
05.05.2012,20:45,37,AS Roma,Catania,2,2,1.44,4.26,7.39,1.74,3.57,4.82,1.47,4.45,7.35,1.62,3.6,4.9,1.44,4.2,7.0,1.67,3.5,5.0,1.5,3.85,6.5,1.7,3.5,4.8,1.5,4.2,6.5,1.62,3.75,5.5,1.55,3.75,6.25,1.65,3.7,5.0,1.49,4.33,7.27,1.02,1.02,1.02,1.5,4.05,6.8,1.65,3.75,5.3,1.48,4.05,7.0,1.7,3.6,5.0,1.5,4.3,7.0,1.67,3.8,5.5,1.53,3.95,6.0,1.65,3.75,5.0,1.47,4.09,6.85,1.6,3.85,5.4,1.55,3.7,5.4,,,,1.53,4.0,6.0,1.73,3.4,4.5,1.49,4.49,7.9,1.65,4.13,5.76,1.45,4.59,7.0,1.68,3.55,5.2,1.45,4.2,7.5,1.75,3.45,4.75,1.53,4.2,6.0,1.57,3.6,5.5,1.49,4.0,6.35,1.67,3.6,5.0
