match_date,match_hour,match_round,home_team,away_team,home_goals,away_goals,10bet_1,10bet_X,10bet_2,10bet_opening_1,10bet_opening_X,10bet_opening_2,188bet_1,188bet_X,188bet_2,188bet_opening_1,188bet_opening_X,188bet_opening_2,888sport_1,888sport_X,888sport_2,888sport_opening_1,888sport_opening_X,888sport_opening_2,bet-at-home_1,bet-at-home_X,bet-at-home_2,bet-at-home_opening_1,bet-at-home_opening_X,bet-at-home_opening_2,bet365_1,bet365_X,bet365_2,bet365_opening_1,bet365_opening_X,bet365_opening_2,betclic_1,betclic_X,betclic_2,betclic_opening_1,betclic_opening_X,betclic_opening_2,betfair exchange_1,betfair exchange_X,betfair exchange_2,betfair exchange_opening_1,betfair exchange_opening_X,betfair exchange_opening_2,betsafe_1,betsafe_X,betsafe_2,betsafe_opening_1,betsafe_opening_X,betsafe_opening_2,betsson_1,betsson_X,betsson_2,betsson_opening_1,betsson_opening_X,betsson_opening_2,betvictor_1,betvictor_X,betvictor_2,betvictor_opening_1,betvictor_opening_X,betvictor_opening_2,betway_1,betway_X,betway_2,betway_opening_1,betway_opening_X,betway_opening_2,bwin_1,bwin_X,bwin_2,bwin_opening_1,bwin_opening_X,bwin_opening_2,comeon_1,comeon_X,comeon_2,comeon_opening_1,comeon_opening_X,comeon_opening_2,interwetten_1,interwetten_X,interwetten_2,interwetten_opening_1,interwetten_opening_X,interwetten_opening_2,paddy power_1,paddy power_X,paddy power_2,paddy power_opening_1,paddy power_opening_X,paddy power_opening_2,pinnacle_1,pinnacle_X,pinnacle_2,pinnacle_opening_1,pinnacle_opening_X,pinnacle_opening_2,sbobet_1,sbobet_X,sbobet_2,sbobet_opening_1,sbobet_opening_X,sbobet_opening_2,unibet_1,unibet_X,unibet_2,unibet_opening_1,unibet_opening_X,unibet_opening_2,william hill_1,william hill_X,william hill_2,william hill_opening_1,william hill_opening_X,william hill_opening_2,youwin_1,youwin_X,youwin_2,youwin_opening_1,youwin_opening_X,youwin_opening_2,league_year
19.05.2013,20:45,38,AS Roma,Napoli,2,1,2.5,3.6,2.65,2.35,3.3,2.8,2.54,3.55,2.7,2.4,3.4,2.54,2.4,3.4,2.75,,,,2.54,3.4,2.6,2.5,3.3,2.7,2.5,3.5,2.63,2.38,3.4,2.88,2.45,3.6,2.6,2.5,3.4,2.7,2.52,3.71,2.67,1.02,1.01,1.02,2.54,3.35,2.54,2.45,3.45,2.65,2.6,3.35,2.6,2.45,3.45,2.7,2.63,3.5,2.75,2.4,3.4,2.8,2.5,3.3,2.7,,,,2.5,3.5,2.6,2.4,3.4,2.8,2.5,3.6,2.65,2.34,3.32,2.78,2.4,3.4,2.6,2.29,,2.65,2.5,3.4,2.7,2.5,3.1,2.62,2.52,3.86,2.72,2.5,3.56,2.9,2.61,3.45,2.67,2.46,3.25,2.83,2.5,3.5,2.7,,,,2.6,3.4,2.62,2.29,3.4,2.75,,,,,,,2012
19.05.2013,15:00,38,Atalanta,Chievo,2,2,1.67,3.5,5.4,1.95,3.0,4.25,1.7,3.6,5.5,2.0,3.05,3.65,1.73,3.6,4.75,2.0,3.0,4.2,1.7,3.5,5.0,2.1,2.95,3.9,1.73,3.5,5.0,2.0,3.0,4.33,1.65,3.5,5.5,2.1,3.0,3.8,1.72,3.57,5.66,1.02,1.01,1.02,1.79,3.45,4.45,2.04,2.95,4.05,1.8,3.5,4.5,2.04,3.0,4.09,1.73,3.7,5.5,1.95,3.0,4.2,1.75,3.4,5.0,2.1,3.05,3.75,2.15,3.25,3.05,,,,1.66,3.48,5.41,1.94,2.98,4.24,1.9,3.0,4.0,2.0,,3.6,1.75,3.4,5.0,2.04,3.0,3.6,1.72,3.71,5.91,2.04,3.4,4.13,1.7,3.7,5.2,2.04,3.05,3.95,1.67,3.5,5.25,,,,1.75,3.6,4.59,2.0,2.9,4.0,,,,,,,2012
19.05.2013,15:00,38,Bologna,Genoa,0,0,1.83,3.25,4.55,2.0,3.15,3.75,1.82,3.3,5.3,2.04,3.3,3.2,1.91,3.4,4.0,2.15,3.2,3.4,1.85,3.35,4.3,1.95,3.2,4.05,1.83,3.25,4.75,2.0,3.3,3.8,1.75,3.4,4.75,1.95,3.25,4.0,1.86,3.28,5.18,1.02,1.01,1.02,1.86,3.3,4.3,1.94,3.15,4.09,1.87,3.35,4.34,1.96,3.2,4.15,1.91,3.1,5.2,1.95,3.3,4.09,1.9,3.4,4.0,1.9,3.2,4.3,1.8,3.3,4.7,2.0,3.0,4.2,1.82,3.28,4.55,2.0,3.13,3.76,2.0,3.2,3.4,,,,1.91,3.25,4.33,1.91,3.1,3.9,1.85,3.42,5.27,2.21,3.51,3.47,1.81,3.5,4.7,2.19,3.1,3.45,1.9,3.4,4.09,,,,1.91,3.4,4.0,2.1,3.2,3.4,,,,,,,2012
19.05.2013,20:45,38,Cagliari,Lazio,1,0,5.4,3.85,1.65,4.84,3.5,1.69,5.4,3.85,1.67,4.5,3.4,1.7,5.0,3.6,1.7,,,,5.6,3.7,1.6,4.3,3.5,1.8,5.5,3.75,1.62,5.0,3.6,1.7,5.75,3.6,1.6,4.25,3.6,1.8,5.66,3.94,1.66,1.02,1.01,1.02,5.8,3.5,1.63,4.45,3.55,1.76,5.85,3.55,1.64,4.5,3.6,1.77,5.75,3.75,1.7,5.0,3.6,1.73,5.25,3.6,1.65,4.5,,1.75,5.5,3.8,1.6,4.45,3.65,1.75,5.42,3.83,1.64,4.84,3.48,1.68,4.59,3.5,1.65,4.4,,1.7,5.5,3.6,1.67,4.33,3.4,1.73,5.32,3.9,1.74,5.53,3.85,1.71,5.4,3.6,1.7,5.4,3.4,1.69,6.0,3.7,1.6,5.25,3.65,1.68,5.0,3.6,1.7,4.75,3.5,1.7,,,,,,,2012
19.05.2013,20:45,38,Inter,Udinese,2,5,3.0,3.65,2.2,3.5,3.5,1.95,3.0,3.65,2.29,3.35,3.3,2.0,3.0,3.4,2.25,3.4,3.5,2.04,2.9,3.4,2.29,3.0,3.5,2.2,2.9,3.6,2.25,3.6,3.6,1.95,2.85,3.5,2.29,2.9,3.5,2.25,2.95,3.94,2.24,1.02,1.01,1.02,2.85,3.35,2.34,2.9,3.45,2.27,2.85,3.4,2.35,2.95,3.5,2.27,3.0,3.75,2.29,3.3,3.6,2.1,2.9,3.5,2.25,3.0,,2.2,2.85,3.75,2.2,2.95,3.6,2.2,3.01,3.65,2.22,3.48,3.5,1.95,3.0,3.3,2.15,3.5,3.3,1.95,2.9,3.6,2.25,2.9,3.3,2.2,2.97,3.95,2.31,3.38,3.56,2.23,2.96,3.6,2.31,3.4,3.4,2.06,3.0,3.5,2.25,2.9,,2.29,2.9,3.5,2.29,3.4,3.5,1.95,,,,,,,2012
19.05.2013,20:45,38,Palermo,Parma,1,3,2.45,3.3,2.85,2.25,3.05,3.2,2.6,3.4,2.75,2.35,2.9,3.0,2.4,3.3,2.88,2.25,3.1,3.25,2.4,3.2,2.9,2.45,3.1,2.95,2.4,3.4,2.8,2.25,3.1,3.4,2.45,3.4,2.75,2.5,3.1,2.85,2.52,3.47,2.77,1.02,1.01,1.02,2.45,3.1,2.85,2.45,3.1,2.85,2.5,3.1,2.85,2.5,3.1,2.9,2.5,3.5,2.9,2.29,3.1,3.13,2.45,3.2,2.85,2.6,3.1,2.75,,,,,,,2.47,3.32,2.85,2.23,3.05,3.19,2.4,3.1,2.8,2.29,3.0,3.0,2.5,3.25,2.8,2.5,3.0,2.7,2.62,3.45,2.85,2.31,3.35,3.4,2.67,3.2,2.75,2.33,3.0,3.25,2.45,3.2,2.9,,,,2.6,3.0,2.9,2.29,3.1,3.0,,,,,,,2012
19.05.2013,20:45,38,Pescara,Fiorentina,1,5,13.75,6.95,1.2,14.75,6.45,1.15,11.8,7.5,1.2,11.8,5.8,1.18,15.0,7.0,1.17,,,,16.0,6.5,1.17,,7.0,1.14,15.0,7.0,1.17,,,,17.0,6.0,1.18,14.0,7.0,1.15,16.2,7.46,1.21,1.02,1.01,1.02,15.5,7.25,1.14,17.5,6.45,1.15,15.5,7.25,1.15,18.0,6.45,1.17,15.0,7.5,1.18,20.0,7.0,1.17,15.0,6.5,1.17,,,,16.0,6.5,1.17,17.0,7.0,1.14,13.85,6.93,1.2,14.83,6.45,1.15,13.0,5.8,1.17,,,,15.0,6.5,1.18,11.0,6.5,1.17,15.04,7.26,1.23,19.28,7.5,1.19,14.0,7.0,1.2,14.0,6.0,1.2,15.0,7.0,1.18,,,,15.0,6.0,1.22,13.0,6.5,1.17,,,,,,,2012
19.05.2013,20:45,38,Siena,AC Milan,1,2,12.25,6.65,1.22,14.5,6.85,1.13,10.4,6.76,1.23,11.8,5.8,1.18,15.0,7.0,1.17,,,,13.0,6.2,1.2,16.0,7.0,1.14,13.0,6.5,1.2,15.0,7.0,1.17,14.0,6.0,1.2,14.0,7.0,1.15,14.3,6.89,1.24,1.02,1.01,1.02,14.5,6.95,1.15,14.5,,1.15,14.5,7.0,1.17,14.5,,1.17,15.0,6.0,1.25,18.0,7.0,1.17,11.5,6.5,1.2,17.0,7.0,1.14,12.0,6.0,1.22,17.0,7.0,1.14,12.45,6.64,1.22,14.53,6.87,1.14,14.0,7.0,1.12,,,,13.0,6.5,1.2,12.0,7.0,1.14,13.5,6.8,1.25,20.1,7.4,1.19,12.0,6.6,1.22,14.0,6.0,1.2,12.5,7.0,1.19,14.0,,1.18,15.0,5.0,1.25,,6.5,1.13,,,,,,,2012
19.05.2013,20:45,38,Torino,Catania,2,2,2.29,3.15,3.4,2.04,3.05,3.7,2.31,3.1,3.45,2.2,3.05,3.1,2.15,3.1,3.5,,,,2.1,3.2,3.55,2.4,3.0,3.1,2.29,3.1,3.25,2.1,3.1,3.75,2.1,3.25,3.5,2.4,3.1,3.0,2.33,3.19,3.42,1.02,1.01,1.02,2.04,3.25,3.6,2.4,2.95,3.05,2.04,3.25,3.65,2.45,3.0,3.1,2.25,3.25,3.6,2.25,3.1,3.4,2.15,3.1,3.5,2.4,3.1,3.0,2.2,3.2,3.3,2.35,3.0,3.2,2.29,3.17,3.41,2.04,3.05,3.69,2.1,3.0,3.4,,,,2.1,3.2,3.6,2.4,3.0,2.88,2.42,3.2,3.36,2.13,3.41,3.8,2.36,3.2,3.2,2.16,2.98,3.7,2.2,3.1,3.55,2.15,,3.75,2.4,2.88,3.4,2.04,3.1,3.5,,,,,,,2012
18.05.2013,20:45,38,Sampdoria,Juventus,3,2,4.45,3.4,1.8,3.7,3.25,2.0,4.25,3.4,1.95,3.55,3.25,1.95,4.5,3.4,1.83,3.8,3.3,2.0,4.59,3.5,1.75,3.8,3.25,2.0,4.33,3.4,1.85,3.8,3.3,2.0,4.25,3.6,1.8,3.75,3.3,2.0,4.52,3.42,1.92,1.02,1.01,1.02,4.15,3.35,1.87,3.7,3.2,2.04,4.2,3.4,1.88,3.75,3.2,2.04,4.09,3.5,1.95,3.9,3.3,2.0,4.5,3.6,1.75,3.5,3.2,2.1,4.45,3.45,1.8,3.85,3.35,1.95,4.42,3.42,1.79,3.68,3.23,1.98,3.7,3.3,1.9,3.4,3.2,2.0,4.5,3.4,1.83,3.4,3.25,2.0,4.42,3.47,1.97,4.01,3.58,2.0,4.09,3.35,1.97,3.85,3.25,2.0,4.59,3.5,1.8,,,,4.33,3.0,2.0,3.75,3.25,1.95,,,,,,,2012
