match_date,match_hour,match_round,home_team,away_team,home_goals,away_goals,10bet_1,10bet_X,10bet_2,10bet_opening_1,10bet_opening_X,10bet_opening_2,188bet_1,188bet_X,188bet_2,188bet_opening_1,188bet_opening_X,188bet_opening_2,1xbet_1,1xbet_X,1xbet_2,1xbet_opening_1,1xbet_opening_X,1xbet_opening_2,888sport_1,888sport_X,888sport_2,888sport_opening_1,888sport_opening_X,888sport_opening_2,bet-at-home_1,bet-at-home_X,bet-at-home_2,bet-at-home_opening_1,bet-at-home_opening_X,bet-at-home_opening_2,bet365_1,bet365_X,bet365_2,bet365_opening_1,bet365_opening_X,bet365_opening_2,betclic_1,betclic_X,betclic_2,betclic_opening_1,betclic_opening_X,betclic_opening_2,betfair_1,betfair_X,betfair_2,betfair_opening_1,betfair_opening_X,betfair_opening_2,betfair exchange_1,betfair exchange_X,betfair exchange_2,betfair exchange_opening_1,betfair exchange_opening_X,betfair exchange_opening_2,betsafe_1,betsafe_X,betsafe_2,betsafe_opening_1,betsafe_opening_X,betsafe_opening_2,betsson_1,betsson_X,betsson_2,betsson_opening_1,betsson_opening_X,betsson_opening_2,betvictor_1,betvictor_X,betvictor_2,betvictor_opening_1,betvictor_opening_X,betvictor_opening_2,betway_1,betway_X,betway_2,betway_opening_1,betway_opening_X,betway_opening_2,bwin_1,bwin_X,bwin_2,bwin_opening_1,bwin_opening_X,bwin_opening_2,comeon_1,comeon_X,comeon_2,comeon_opening_1,comeon_opening_X,comeon_opening_2,interwetten_1,interwetten_X,interwetten_2,interwetten_opening_1,interwetten_opening_X,interwetten_opening_2,paddy power_1,paddy power_X,paddy power_2,paddy power_opening_1,paddy power_opening_X,paddy power_opening_2,pinnacle_1,pinnacle_X,pinnacle_2,pinnacle_opening_1,pinnacle_opening_X,pinnacle_opening_2,sbobet_1,sbobet_X,sbobet_2,sbobet_opening_1,sbobet_opening_X,sbobet_opening_2,unibet_1,unibet_X,unibet_2,unibet_opening_1,unibet_opening_X,unibet_opening_2,william hill_1,william hill_X,william hill_2,william hill_opening_1,william hill_opening_X,william hill_opening_2,youwin_1,youwin_X,youwin_2,youwin_opening_1,youwin_opening_X,youwin_opening_2,league_year
15.05.2016,18:00,38,Chievo,Bologna,0,0,2.3,3.3,3.15,2.3,3.0,3.3,2.33,3.32,3.2,2.1,3.35,3.05,2.43,3.46,3.24,2.42,3.13,3.6,2.35,3.35,3.1,2.3,3.2,3.2,2.23,3.38,3.08,2.27,3.13,3.23,2.3,3.3,3.25,2.3,3.4,3.0,2.25,3.2,3.0,2.2,3.5,2.85,2.3,3.3,3.1,2.25,3.6,3.0,2.35,3.33,3.23,1.01,1.01,1.01,2.15,3.4,3.2,2.3,3.2,3.1,2.15,3.4,3.2,2.3,3.2,3.1,2.3,3.4,3.2,2.3,3.3,3.3,2.15,3.4,3.4,2.15,3.4,3.4,2.25,3.2,3.2,2.2,3.2,3.2,2.3,3.3,3.15,2.3,3.0,3.3,2.2,3.2,3.2,2.2,3.2,3.2,2.3,3.25,3.25,2.25,3.0,3.0,2.38,3.37,3.3,2.15,3.6,3.61,2.35,3.3,3.1,2.19,3.35,3.2,2.35,3.35,3.1,2.3,3.2,3.2,2.2,3.1,3.5,2.1,3.5,3.2,2.3,3.4,3.2,2.25,3.4,3.0,2015
15.05.2016,18:00,38,Empoli,Torino,2,1,2.6,3.5,2.55,2.4,3.1,2.95,2.7,3.45,2.6,2.45,3.3,2.55,2.76,3.52,2.7,2.55,3.28,3.17,2.6,3.5,2.6,2.4,3.25,3.0,2.59,3.54,2.49,2.39,3.19,2.95,2.6,3.5,2.6,2.38,3.5,2.8,2.55,3.25,2.5,2.3,3.5,2.7,2.7,3.4,2.6,2.3,3.7,2.8,2.69,3.47,2.6,1.01,1.01,1.01,2.55,3.5,2.55,2.4,3.2,2.9,2.55,3.5,2.55,2.4,3.2,2.9,2.7,3.6,2.55,2.45,3.3,3.0,2.63,3.5,2.6,2.5,3.5,2.75,2.5,3.5,2.6,2.35,3.2,2.9,2.6,3.5,2.55,2.4,3.1,2.95,2.4,3.3,2.75,2.3,3.2,3.0,2.6,3.4,2.62,2.25,3.1,2.88,2.71,3.67,2.64,2.62,3.49,2.84,2.71,3.25,2.67,2.51,3.25,2.75,2.6,3.5,2.6,2.4,3.25,3.0,2.62,3.1,2.8,2.38,3.5,2.88,2.7,3.5,2.63,2.35,3.5,2.75,2015
15.05.2016,18:00,38,Genoa,Atalanta,1,2,1.57,4.35,5.5,2.35,3.05,3.15,1.57,4.35,5.8,1.95,3.5,3.3,1.6,4.66,5.85,2.46,3.2,3.42,1.55,4.6,5.4,2.3,3.25,3.2,1.54,4.37,5.21,2.31,3.16,3.11,1.6,4.2,5.25,2.1,3.6,3.25,1.5,4.15,5.4,2.0,3.6,3.1,1.55,4.0,5.5,2.0,3.75,3.5,1.58,4.33,5.75,1.01,1.01,1.01,1.55,4.3,5.5,2.15,3.5,3.1,1.55,4.3,5.75,2.15,3.2,3.5,1.55,4.5,5.75,2.3,3.3,3.25,1.6,4.25,5.25,1.91,4.0,3.6,1.6,4.0,5.25,2.3,3.2,3.0,1.57,4.35,5.5,2.35,3.05,3.15,1.7,3.7,4.5,1.9,3.45,3.8,1.57,4.2,5.0,2.25,3.0,3.0,1.59,4.58,5.8,1.98,3.72,4.06,1.54,4.3,5.8,1.99,3.4,3.65,1.55,4.6,5.4,2.3,3.25,3.2,1.62,4.33,4.75,2.05,3.5,3.5,1.57,4.33,5.75,2.0,3.5,3.5,2015
15.05.2016,20:45,38,Lazio,Fiorentina,2,4,1.87,3.9,3.8,2.4,3.4,2.75,1.91,3.85,3.95,2.11,3.4,3.0,1.85,4.24,4.3,2.72,3.6,2.72,1.9,3.8,3.85,2.55,3.5,2.6,1.85,3.81,3.75,2.47,3.48,2.65,1.85,3.8,4.0,2.38,3.5,2.8,1.82,3.7,3.7,2.3,3.6,2.7,1.95,3.7,3.7,2.37,3.7,2.75,1.87,3.85,4.04,1.01,1.01,1.01,1.85,3.9,3.6,2.4,3.4,2.8,1.9,3.9,3.6,2.4,3.4,2.8,1.87,3.9,3.3,2.5,3.5,2.8,1.91,4.0,3.6,2.15,3.75,3.1,1.91,3.75,3.6,2.45,3.5,2.6,1.87,3.9,3.8,2.4,3.4,2.75,2.0,3.4,3.5,2.2,3.3,3.1,1.91,3.75,3.75,2.3,3.4,2.6,1.92,4.17,3.85,2.28,3.53,3.36,1.9,3.75,3.9,2.25,3.4,3.05,1.9,3.8,3.85,2.55,3.5,2.6,1.95,3.8,3.5,2.15,3.3,3.4,1.85,4.0,4.0,2.35,3.5,2.75,2015
15.05.2016,20:45,38,Palermo,Verona,3,2,1.24,6.25,11.5,1.3,5.65,7.75,1.21,6.95,11.9,1.19,6.7,9.0,1.29,6.6,10.5,1.56,5.0,5.8,1.26,6.5,11.0,1.3,6.0,8.0,1.19,6.75,12.05,1.27,5.77,9.24,1.25,6.0,12.0,1.25,5.75,11.0,1.2,5.5,13.0,1.2,5.75,11.0,1.25,5.5,12.0,1.22,6.0,13.0,1.29,6.32,11.45,1.01,1.01,1.01,1.21,6.25,12.0,1.22,6.5,10.5,1.22,6.25,12.5,1.23,6.5,10.5,1.17,6.25,12.0,1.3,6.0,9.5,1.25,6.5,10.0,1.22,6.5,13.0,1.22,6.5,10.0,1.25,6.0,8.5,1.24,6.25,11.25,1.3,5.65,7.75,1.2,6.5,10.5,1.2,6.5,10.5,1.25,6.0,11.0,1.29,5.0,7.0,1.28,6.56,11.89,1.22,7.33,15.3,1.26,6.2,10.5,1.23,6.0,11.0,1.26,6.5,11.0,1.4,5.0,7.0,1.25,5.5,13.0,1.17,6.5,13.0,1.18,7.5,16.0,1.2,6.5,12.0,2015
15.05.2016,20:45,38,Udinese,Carpi,1,2,2.05,3.6,3.4,2.15,3.35,3.2,2.07,3.6,3.55,2.15,3.35,2.95,2.22,3.76,3.32,2.32,3.3,3.58,2.15,3.6,3.35,2.3,3.5,3.1,2.08,3.54,3.26,2.17,3.27,3.3,2.05,3.6,3.4,2.5,3.4,2.5,2.0,3.4,3.3,2.55,3.2,2.55,2.1,3.5,3.3,2.6,3.3,2.7,2.1,3.71,3.42,1.5,1.5,1.01,2.2,3.4,3.1,2.45,3.3,2.75,2.2,3.4,3.1,2.5,3.3,2.75,2.0,3.3,3.4,2.45,3.25,3.13,2.3,3.4,3.1,2.5,3.3,2.88,2.1,3.4,3.3,2.5,3.4,2.65,2.05,3.6,3.4,2.15,3.35,3.2,2.3,3.4,2.85,2.5,3.5,2.5,2.1,3.6,3.25,2.1,3.1,3.25,2.08,3.79,3.61,2.48,3.59,2.96,2.1,3.5,3.45,2.47,3.2,2.85,2.15,3.6,3.35,2.2,3.3,3.35,2.2,3.5,3.1,2.4,3.5,2.8,2.1,3.7,3.4,2.5,3.4,2.65,2015
14.05.2016,20:45,38,AC Milan,AS Roma,1,3,2.85,3.7,2.3,2.9,3.45,2.35,2.9,3.6,2.4,2.95,3.5,2.1,3.12,3.68,2.38,2.86,3.54,2.63,2.9,3.75,2.3,3.0,3.5,2.25,2.83,3.57,2.29,2.94,3.47,2.27,2.9,3.6,2.3,2.8,3.5,2.38,2.8,3.5,2.25,2.7,3.5,2.3,3.0,3.8,2.3,2.8,3.6,2.37,2.9,3.66,2.35,2.26,2.94,1.93,2.8,3.6,2.3,2.8,3.5,2.35,2.8,3.6,2.3,2.85,3.4,2.35,2.9,3.6,2.38,3.13,3.5,2.3,2.85,3.75,2.3,3.1,3.5,2.25,2.85,3.8,2.3,2.95,3.5,2.2,2.85,3.7,2.3,2.9,3.45,2.35,2.8,3.4,2.3,2.8,3.4,2.3,2.88,3.6,2.25,2.75,3.3,2.2,2.95,3.89,2.36,3.22,3.8,2.24,2.97,3.45,2.37,3.0,3.4,2.26,2.9,3.75,2.3,2.9,3.5,2.35,3.1,3.4,2.25,3.2,3.6,2.15,2.95,3.7,2.38,2.75,3.5,2.35,2015
14.05.2016,17:00,38,Juventus,Sampdoria,5,0,1.18,7.25,14.5,1.26,5.45,11.5,1.2,7.4,14.0,1.25,5.8,7.8,1.21,8.2,17.0,1.42,4.64,11.0,1.2,6.75,15.5,1.35,4.75,9.0,1.18,6.88,13.36,1.3,4.97,10.16,1.2,7.0,13.0,1.3,5.5,9.0,1.15,6.75,13.0,1.25,5.4,9.5,1.22,7.5,15.0,1.28,5.8,11.0,1.21,7.84,16.2,1.01,1.01,1.01,1.17,7.25,13.0,1.26,5.75,10.5,1.18,7.25,13.5,1.26,5.75,10.5,1.18,7.5,13.0,1.29,5.5,12.0,1.2,6.75,14.0,1.29,5.75,10.5,1.2,6.25,13.0,1.33,4.75,8.25,1.18,7.25,14.5,1.26,5.45,11.5,1.25,5.5,10.3,1.35,4.8,7.6,1.2,6.0,15.0,1.3,5.0,9.5,1.21,7.8,15.49,1.27,6.5,12.31,1.18,7.6,14.0,1.27,5.4,9.75,1.2,6.75,15.5,1.35,4.75,9.0,1.25,6.0,11.0,1.29,5.5,10.0,1.18,7.5,15.0,1.3,5.5,8.5,2015
14.05.2016,20:45,38,Napoli,Frosinone,4,0,1.07,12.0,26.25,1.12,8.25,19.25,1.07,14.0,29.0,1.05,11.0,17.0,1.06,21.0,51.0,1.27,7.0,12.5,1.07,12.5,29.0,1.18,7.5,13.5,1.06,11.55,26.01,1.16,7.3,14.07,1.06,15.0,23.0,1.17,8.0,13.0,1.08,9.0,22.0,1.12,7.5,14.5,1.08,15.0,34.0,1.12,8.5,21.0,1.07,18.1,43.75,1.01,1.01,1.01,1.03,15.0,35.0,1.13,8.5,15.0,1.03,15.0,35.0,1.14,8.75,15.0,1.06,15.0,31.0,1.18,7.5,18.0,1.05,14.0,34.0,1.11,10.0,19.0,1.07,11.0,23.0,1.15,7.5,13.0,1.07,12.0,26.25,1.12,8.25,19.25,1.07,9.5,22.0,1.1,8.0,20.0,1.05,11.0,29.0,1.17,6.0,11.0,1.08,15.0,40.4,1.12,11.0,28.0,1.07,14.0,24.0,1.08,11.0,18.0,1.08,12.0,26.0,1.18,7.5,13.5,1.1,8.5,26.0,1.12,9.0,17.0,1.07,15.0,34.0,1.14,7.5,15.0,2015
14.05.2016,20:45,38,Sassuolo,Inter,3,1,1.67,4.1,4.9,2.0,3.55,3.4,1.67,4.0,5.1,1.85,3.7,3.4,1.85,4.3,4.2,2.89,3.54,2.61,1.65,4.1,5.0,2.1,3.6,3.3,1.63,4.01,4.81,2.04,3.56,3.34,1.65,4.0,5.0,2.0,3.6,3.5,1.62,3.9,4.75,1.92,3.6,3.4,1.66,4.0,4.8,2.0,3.75,3.5,1.67,4.23,5.09,1.01,1.01,1.01,1.6,4.0,5.25,1.95,3.6,3.5,1.6,4.0,5.25,2.0,3.6,3.5,1.7,4.33,4.5,2.05,3.6,3.6,1.62,4.2,5.25,1.85,3.8,4.0,1.7,4.0,4.25,2.05,3.4,3.3,1.67,4.1,4.9,2.0,3.55,3.4,1.65,4.0,4.5,2.2,3.2,3.2,1.62,4.0,5.0,2.0,3.25,3.25,1.68,4.38,5.05,1.86,4.0,4.28,1.69,3.85,5.0,1.86,3.6,3.9,1.65,4.1,5.0,2.2,3.55,3.1,1.7,4.0,4.5,1.85,3.75,4.0,1.67,4.0,5.0,1.85,3.75,3.75,2015
