HomeTeam,AwayTeam,Date,label,Referee,league_year,Home_lag_TeamCorners_1,Home_lag_TeamCorners_2,Home_lag_TeamCorners_3,Home_lag_TeamFouls_1,Home_lag_TeamFouls_2,Home_lag_TeamFouls_3,Home_lag_TeamRedCards_1,Home_lag_TeamRedCards_2,Home_lag_TeamRedCards_3,Home_lag_TeamShots_1,Home_lag_TeamShots_2,Home_lag_TeamShots_3,Home_lag_TeamShotsOnTarget_1,Home_lag_TeamShotsOnTarget_2,Home_lag_TeamShotsOnTarget_3,Home_lag_TeamYellowCards_1,Home_lag_TeamYellowCards_2,Home_lag_TeamYellowCards_3,Home_lag_FullTimeTeamGoals_1,Home_lag_FullTimeTeamGoals_2,Home_lag_FullTimeTeamGoals_3,Home_lag_HalfTimeTeamGoals_1,Home_lag_HalfTimeTeamGoals_2,Home_lag_HalfTimeTeamGoals_3,Home_lag_EnemyTeamCorners_1,Home_lag_EnemyTeamCorners_2,Home_lag_EnemyTeamCorners_3,Home_lag_EnemyTeamFouls_1,Home_lag_EnemyTeamFouls_2,Home_lag_EnemyTeamFouls_3,Home_lag_EnemyTeamRedCards_1,Home_lag_EnemyTeamRedCards_2,Home_lag_EnemyTeamRedCards_3,Home_lag_EnemyTeamShots_1,Home_lag_EnemyTeamShots_2,Home_lag_EnemyTeamShots_3,Home_lag_EnemyTeamShotsOnTarget_1,Home_lag_EnemyTeamShotsOnTarget_2,Home_lag_EnemyTeamShotsOnTarget_3,Home_lag_EnemyTeamYellowCards_1,Home_lag_EnemyTeamYellowCards_2,Home_lag_EnemyTeamYellowCards_3,Home_lag_FullTimeEnemyTeamGoals_1,Home_lag_FullTimeEnemyTeamGoals_2,Home_lag_FullTimeEnemyTeamGoals_3,Home_lag_HalfTimeEnemyTeamGoals_1,Home_lag_HalfTimeEnemyTeamGoals_2,Home_lag_HalfTimeEnemyTeamGoals_3,Home_lag_HalfTimeResult_1,Home_lag_HalfTimeResult_2,Home_lag_HalfTimeResult_3,Home_lag_FullTimeResult_1,Home_lag_FullTimeResult_2,Home_lag_FullTimeResult_3,Away_lag_TeamCorners_1,Away_lag_TeamCorners_2,Away_lag_TeamCorners_3,Away_lag_TeamFouls_1,Away_lag_TeamFouls_2,Away_lag_TeamFouls_3,Away_lag_TeamRedCards_1,Away_lag_TeamRedCards_2,Away_lag_TeamRedCards_3,Away_lag_TeamShots_1,Away_lag_TeamShots_2,Away_lag_TeamShots_3,Away_lag_TeamShotsOnTarget_1,Away_lag_TeamShotsOnTarget_2,Away_lag_TeamShotsOnTarget_3,Away_lag_TeamYellowCards_1,Away_lag_TeamYellowCards_2,Away_lag_TeamYellowCards_3,Away_lag_FullTimeTeamGoals_1,Away_lag_FullTimeTeamGoals_2,Away_lag_FullTimeTeamGoals_3,Away_lag_HalfTimeTeamGoals_1,Away_lag_HalfTimeTeamGoals_2,Away_lag_HalfTimeTeamGoals_3,Away_lag_EnemyTeamCorners_1,Away_lag_EnemyTeamCorners_2,Away_lag_EnemyTeamCorners_3,Away_lag_EnemyTeamFouls_1,Away_lag_EnemyTeamFouls_2,Away_lag_EnemyTeamFouls_3,Away_lag_EnemyTeamRedCards_1,Away_lag_EnemyTeamRedCards_2,Away_lag_EnemyTeamRedCards_3,Away_lag_EnemyTeamShots_1,Away_lag_EnemyTeamShots_2,Away_lag_EnemyTeamShots_3,Away_lag_EnemyTeamShotsOnTarget_1,Away_lag_EnemyTeamShotsOnTarget_2,Away_lag_EnemyTeamShotsOnTarget_3,Away_lag_EnemyTeamYellowCards_1,Away_lag_EnemyTeamYellowCards_2,Away_lag_EnemyTeamYellowCards_3,Away_lag_FullTimeEnemyTeamGoals_1,Away_lag_FullTimeEnemyTeamGoals_2,Away_lag_FullTimeEnemyTeamGoals_3,Away_lag_HalfTimeEnemyTeamGoals_1,Away_lag_HalfTimeEnemyTeamGoals_2,Away_lag_HalfTimeEnemyTeamGoals_3,Away_lag_HalfTimeResult_1,Away_lag_HalfTimeResult_2,Away_lag_HalfTimeResult_3,Away_lag_FullTimeResult_1,Away_lag_FullTimeResult_2,Away_lag_FullTimeResult_3,Month,Day
Aston Villa,Wigan,2009-08-15,2,16,2009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,8,15
Blackburn,Man City,2009-08-15,2,17,2009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,8,15
Bolton,Sunderland,2009-08-15,2,1,2009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,8,15
Chelsea,Hull,2009-08-15,1,3,2009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,8,15
Everton,Arsenal,2009-08-15,2,18,2009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,8,15
Portsmouth,Fulham,2009-08-15,2,15,2009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,8,15
Stoke,Burnley,2009-08-15,1,29,2009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,8,15
Wolves,West Ham,2009-08-15,2,4,2009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,8,15
Man United,Birmingham,2009-08-16,1,13,2009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,8,16
Tottenham,Liverpool,2009-08-16,1,23,2009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,8,16
Sunderland,Chelsea,2009-08-18,2,29,2009,7,-1,-1,10,-1,-1,0,-1,-1,20,-1,-1,13,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,4,-1,-1,16,-1,-1,0,-1,-1,11,-1,-1,3,-1,-1,2,-1,-1,0,-1,-1,0,-1,-1,2,1,1,2,1,1,12,-1,-1,13,-1,-1,0,-1,-1,26,-1,-1,12,-1,-1,1,-1,-1,2,-1,-1,1,-1,-1,4,-1,-1,15,-1,-1,0,-1,-1,7,-1,-1,3,-1,-1,2,-1,-1,1,-1,-1,1,-1,-1,0,1,1,2,1,1,8,18
Wigan,Wolves,2009-08-18,2,19,2009,6,-1,-1,14,-1,-1,0,-1,-1,14,-1,-1,7,-1,-1,2,-1,-1,2,-1,-1,1,-1,-1,4,-1,-1,15,-1,-1,0,-1,-1,11,-1,-1,5,-1,-1,2,-1,-1,0,-1,-1,0,-1,-1,2,1,1,2,1,1,8,-1,-1,9,-1,-1,0,-1,-1,19,-1,-1,11,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,6,-1,-1,5,-1,-1,0,-1,-1,16,-1,-1,13,-1,-1,0,-1,-1,2,-1,-1,1,-1,-1,0,1,1,0,1,1,8,18
Birmingham,Portsmouth,2009-08-19,1,14,2009,2,-1,-1,7,-1,-1,0,-1,-1,6,-1,-1,4,-1,-1,1,-1,-1,0,-1,-1,0,-1,-1,13,-1,-1,13,-1,-1,0,-1,-1,26,-1,-1,17,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,0,1,1,0,1,1,6,-1,-1,11,-1,-1,0,-1,-1,16,-1,-1,4,-1,-1,3,-1,-1,0,-1,-1,0,-1,-1,4,-1,-1,18,-1,-1,0,-1,-1,9,-1,-1,3,-1,-1,2,-1,-1,1,-1,-1,1,-1,-1,0,1,1,0,1,1,8,19
Burnley,Man United,2009-08-19,1,3,2009,6,-1,-1,10,-1,-1,0,-1,-1,9,-1,-1,5,-1,-1,2,-1,-1,0,-1,-1,0,-1,-1,3,-1,-1,15,-1,-1,0,-1,-1,12,-1,-1,5,-1,-1,2,-1,-1,2,-1,-1,2,-1,-1,0,1,1,0,1,1,13,-1,-1,13,-1,-1,0,-1,-1,26,-1,-1,17,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,2,-1,-1,7,-1,-1,0,-1,-1,6,-1,-1,4,-1,-1,1,-1,-1,0,-1,-1,0,-1,-1,2,1,1,2,1,1,8,19
Hull,Tottenham,2009-08-19,2,4,2009,4,-1,-1,15,-1,-1,0,-1,-1,7,-1,-1,3,-1,-1,2,-1,-1,1,-1,-1,1,-1,-1,12,-1,-1,13,-1,-1,0,-1,-1,26,-1,-1,12,-1,-1,1,-1,-1,2,-1,-1,1,-1,-1,0,1,1,0,1,1,6,-1,-1,14,-1,-1,0,-1,-1,17,-1,-1,11,-1,-1,3,-1,-1,2,-1,-1,1,-1,-1,5,-1,-1,16,-1,-1,0,-1,-1,6,-1,-1,3,-1,-1,3,-1,-1,1,-1,-1,0,-1,-1,2,1,1,2,1,1,8,19
Liverpool,Stoke,2009-08-19,1,25,2009,5,-1,-1,16,-1,-1,0,-1,-1,6,-1,-1,3,-1,-1,3,-1,-1,1,-1,-1,0,-1,-1,6,-1,-1,14,-1,-1,0,-1,-1,17,-1,-1,11,-1,-1,3,-1,-1,2,-1,-1,1,-1,-1,0,1,1,0,1,1,3,-1,-1,15,-1,-1,0,-1,-1,12,-1,-1,5,-1,-1,2,-1,-1,2,-1,-1,2,-1,-1,6,-1,-1,10,-1,-1,0,-1,-1,9,-1,-1,5,-1,-1,2,-1,-1,0,-1,-1,0,-1,-1,2,1,1,2,1,1,8,19
Arsenal,Portsmouth,2009-08-22,1,29,2009,9,-1,-1,13,-1,-1,0,-1,-1,15,-1,-1,9,-1,-1,0,-1,-1,6,-1,-1,3,-1,-1,4,-1,-1,11,-1,-1,0,-1,-1,8,-1,-1,5,-1,-1,0,-1,-1,1,-1,-1,0,-1,-1,2,1,1,2,1,1,5,6,-1,20,11,-1,0,0,-1,9,16,-1,4,4,-1,5,3,-1,0,0,-1,0,0,-1,4,4,-1,11,18,-1,0,0,-1,9,9,-1,5,3,-1,0,2,-1,1,1,-1,0,1,-1,0,0,1,0,0,1,8,22
Birmingham,Stoke,2009-08-22,0,4,2009,4,2,-1,11,7,-1,0,0,-1,9,6,-1,5,4,-1,0,1,-1,1,0,-1,0,0,-1,5,13,-1,20,13,-1,0,0,-1,9,26,-1,4,17,-1,5,1,-1,0,1,-1,0,1,-1,0,0,1,2,0,1,5,3,-1,9,15,-1,0,0,-1,6,12,-1,3,5,-1,1,2,-1,0,2,-1,0,2,-1,11,6,-1,10,10,-1,0,0,-1,18,9,-1,13,5,-1,0,2,-1,4,0,-1,2,0,-1,0,2,1,0,2,1,8,22
Hull,Bolton,2009-08-22,1,19,2009,6,4,-1,23,15,-1,0,0,-1,9,7,-1,7,3,-1,3,2,-1,1,1,-1,1,1,-1,5,12,-1,13,13,-1,0,0,-1,18,26,-1,12,12,-1,2,1,-1,5,2,-1,3,1,-1,0,0,1,0,0,1,4,-1,-1,16,-1,-1,0,-1,-1,11,-1,-1,3,-1,-1,2,-1,-1,0,-1,-1,0,-1,-1,7,-1,-1,10,-1,-1,0,-1,-1,20,-1,-1,13,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,0,1,1,0,1,1,8,22
Man City,Wolves,2009-08-22,1,13,2009,4,-1,-1,9,-1,-1,0,-1,-1,8,-1,-1,5,-1,-1,1,-1,-1,2,-1,-1,1,-1,-1,5,-1,-1,12,-1,-1,0,-1,-1,17,-1,-1,9,-1,-1,2,-1,-1,0,-1,-1,0,-1,-1,2,1,1,2,1,1,4,8,-1,21,9,-1,0,0,-1,9,19,-1,3,11,-1,3,0,-1,1,0,-1,1,0,-1,4,6,-1,8,5,-1,0,0,-1,18,16,-1,5,13,-1,0,0,-1,0,2,-1,0,1,-1,2,0,1,2,0,1,8,22
