10bet_1,10bet_2,10bet_X,10bet_opening_1,10bet_opening_2,10bet_opening_X,188bet_1,188bet_2,188bet_X,188bet_opening_1,188bet_opening_2,188bet_opening_X,1xbet_1,1xbet_2,1xbet_X,1xbet_opening_1,1xbet_opening_2,1xbet_opening_X,888sport_1,888sport_2,888sport_X,888sport_opening_1,888sport_opening_2,888sport_opening_X,away_goals,away_team,bet-at-home_1,bet-at-home_2,bet-at-home_X,bet-at-home_opening_1,bet-at-home_opening_2,bet-at-home_opening_X,bet365_1,bet365_2,bet365_X,bet365_opening_1,bet365_opening_2,bet365_opening_X,betclic_1,betclic_2,betclic_X,betclic_opening_1,betclic_opening_2,betclic_opening_X,betfair exchange_1,betfair exchange_2,betfair exchange_X,betfair exchange_opening_1,betfair exchange_opening_2,betfair exchange_opening_X,betfair_1,betfair_2,betfair_X,betfair_opening_1,betfair_opening_2,betfair_opening_X,betsafe_1,betsafe_2,betsafe_X,betsafe_opening_1,betsafe_opening_2,betsafe_opening_X,betsson_1,betsson_2,betsson_X,betsson_opening_1,betsson_opening_2,betsson_opening_X,betvictor_1,betvictor_2,betvictor_X,betvictor_opening_1,betvictor_opening_2,betvictor_opening_X,betway_1,betway_2,betway_X,betway_opening_1,betway_opening_2,betway_opening_X,bwin_1,bwin_2,bwin_X,bwin_opening_1,bwin_opening_2,bwin_opening_X,comeon_1,comeon_2,comeon_X,comeon_opening_1,comeon_opening_2,comeon_opening_X,home_goals,home_team,interwetten_1,interwetten_2,interwetten_X,interwetten_opening_1,interwetten_opening_2,interwetten_opening_X,league_year,match_date,match_hour,match_round,paddy power_1,paddy power_2,paddy power_X,paddy power_opening_1,paddy power_opening_2,paddy power_opening_X,pinnacle_1,pinnacle_2,pinnacle_X,pinnacle_opening_1,pinnacle_opening_2,pinnacle_opening_X,sbobet_1,sbobet_2,sbobet_X,sbobet_opening_1,sbobet_opening_2,sbobet_opening_X,unibet_1,unibet_2,unibet_X,unibet_opening_1,unibet_opening_2,unibet_opening_X,william hill_1,william hill_2,william hill_X,william hill_opening_1,william hill_opening_2,william hill_opening_X,youwin_1,youwin_2,youwin_X,youwin_opening_1,youwin_opening_2,youwin_opening_X,label,match_day,match_month,match_year,ht_win_pred_transfer,draw_pred_transfer,at_win_pred_transfer,home_team_rank,home_team_points,home_team_goal_difference,home_team_goal_fatti,home_team_goal_subiti,away_team_rank,away_team_points,away_team_goal_difference,away_team_goal_fatti,away_team_goal_subiti
1.12,20.7,7.96,1.15,21.6,7.63,1.18,26.0,7.5,1.22,23.0,7.35,,,,,,,1.17,21.0,6.5,1.22,19.0,6.0,1,Hull,1.14,20.0,6.1,1.2,15.0,5.5,1.2,21.0,7.0,,19.0,6.5,1.2,16.0,6.5,,14.0,6.0,1.14,32.35,8.6,1.17,32.0,8.4,,,,,,,,,,,,,1.2,18.0,5.8,,14.0,5.6,1.17,19.0,6.5,,17.0,6.0,1.18,18.0,6.5,1.25,15.0,6.25,1.2,13.0,6.0,1.25,11.5,5.25,,,,,,,2,Chelsea,1.17,14.0,5.5,,15.0,6.0,2009,15.08.2009,13,1,1.2,21.0,6.5,,19.0,6.0,1.17,22.5,8.8,1.21,21.0,8.4,1.12,21.0,7.6,1.18,22.0,8.25,1.18,20.0,6.75,,15.0,6.5,1.2,23.0,6.5,1.13,17.0,6.0,1.13,17.0,6.0,1.2,13.0,5.5,1,15,8,2009,100.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1.73,5.14,3.49,1.66,5.09,3.45,1.77,5.3,3.6,1.81,5.45,3.65,,,,,,,1.67,5.5,3.5,1.62,5.75,,2,Wigan,1.65,5.3,3.5,1.6,5.75,,1.73,5.0,3.6,1.67,5.5,3.75,1.65,5.5,3.5,,,,1.74,5.28,3.66,1.74,6.0,3.85,,,,,,,,,,,,,1.63,5.6,3.5,,,,1.7,5.0,3.4,1.65,4.5,3.5,1.65,5.25,3.65,,5.0,3.5,1.6,5.25,3.5,1.65,5.0,3.4,,,,,,,0,Aston Villa,1.7,4.9,3.5,,,,2009,15.08.2009,16,1,1.67,5.5,3.6,,,3.4,1.76,5.4,3.76,1.81,5.35,3.71,1.77,5.0,3.5,1.81,5.2,3.55,1.65,5.5,3.5,,,,1.73,5.5,3.3,1.67,4.5,3.4,1.65,4.8,3.5,,,,2,15,8,2009,88.1,9.5,2.4,0,0,0,0,0,0,0,0,0,0
3.15,2.31,3.27,3.25,2.25,3.22,3.1,2.36,3.4,3.15,2.29,3.35,,,,,,,3.2,2.29,3.2,3.3,2.25,3.25,2,Manchester City,3.25,2.15,3.25,3.4,2.1,3.2,3.4,2.25,3.2,3.5,2.2,3.25,3.3,2.1,3.4,3.1,2.29,3.2,3.33,2.29,3.28,3.3,2.42,3.45,,,,,,,,,,,,,,,,,,,3.0,2.25,3.2,3.25,2.2,3.3,3.2,2.2,3.25,3.45,2.1,,3.4,2.0,3.25,3.5,2.1,3.15,,,,,,,0,Blackburn,3.2,2.2,3.2,3.0,2.29,3.1,2009,15.08.2009,16,1,3.3,2.25,3.25,3.4,2.2,,3.38,2.29,3.39,3.18,2.38,3.45,3.1,2.33,3.25,3.2,2.38,3.2,3.3,2.15,3.25,3.45,2.1,3.3,3.3,2.25,3.2,3.2,2.0,,3.0,2.2,3.25,3.25,2.1,,2,15,8,2009,7.1,16.7,76.2,0,0,0,0,0,0,0,0,0,0
2.23,3.29,3.26,2.27,3.34,3.22,2.27,3.4,3.35,2.33,3.45,3.4,,,,,,,2.25,3.3,3.2,2.2,3.2,,1,Sunderland,2.2,3.15,3.2,,,,2.29,3.25,3.25,2.25,2.9,,2.2,3.2,3.25,,,,2.27,3.33,3.28,2.36,3.45,3.4,,,,,,,,,,,,,,,,,,,2.29,3.0,3.2,2.25,3.1,3.25,2.25,3.1,3.25,2.2,3.25,3.2,2.15,3.15,3.15,2.29,2.85,,,,,,,,0,Bolton,2.2,3.2,3.2,2.1,3.4,3.25,2009,15.08.2009,16,1,2.29,3.2,3.2,2.25,3.4,,2.34,3.45,3.39,2.25,3.49,3.33,2.25,3.3,3.25,2.33,3.35,3.2,2.25,3.1,3.25,2.2,3.25,3.2,2.29,3.2,3.2,2.4,2.88,3.0,2.2,3.2,3.25,2.1,3.25,,2,15,8,2009,45.2,45.2,9.5,0,0,0,0,0,0,0,0,0,0
2.87,2.61,3.12,2.96,2.57,3.08,2.9,2.6,3.3,2.95,2.54,3.35,,,,,,,2.6,2.63,3.2,2.5,2.75,,1,Fulham,2.75,2.5,3.15,2.5,2.75,3.1,2.88,2.5,3.25,2.75,2.63,3.2,2.6,2.65,3.2,2.5,2.75,3.25,2.9,2.6,3.19,3.0,2.7,3.3,,,,,,,,,,,,,2.8,2.5,3.15,2.54,2.73,3.2,2.75,2.5,3.2,2.63,2.63,3.25,2.6,2.65,3.25,2.5,2.75,3.2,2.54,2.54,3.15,2.29,2.85,,,,,,,,0,Portsmouth,2.6,2.6,3.2,2.5,2.7,,2009,15.08.2009,16,1,2.62,2.62,3.3,2.5,2.75,3.25,2.98,2.7,3.22,2.81,2.65,3.18,2.91,2.64,3.05,3.05,2.57,3.1,2.7,2.6,3.2,2.5,2.7,3.25,2.88,2.5,3.2,2.8,2.62,3.1,2.75,2.63,3.1,2.25,3.0,3.2,2,15,8,2009,33.3,35.7,31.0,0,0,0,0,0,0,0,0,0,0
1.96,3.94,3.28,1.92,3.89,3.32,2.02,4.09,3.35,1.98,4.0,3.4,,,,,,,1.91,4.2,3.3,2.0,4.0,3.25,0,Burnley,1.9,4.0,3.25,,,,1.91,4.33,3.4,,3.75,3.3,1.9,4.25,3.2,1.85,4.2,3.25,1.99,4.14,3.42,2.04,4.2,3.5,,,,,,,,,,,,,1.83,4.25,3.35,1.9,3.95,,1.9,4.0,3.25,1.85,,,1.85,4.2,3.4,1.9,4.0,3.35,1.85,4.0,3.2,1.9,3.8,,,,,,,,2,Stoke,1.9,3.9,3.3,,,,2009,15.08.2009,16,1,1.91,4.0,3.4,1.83,4.33,3.5,1.99,4.22,3.51,2.04,4.3,3.42,2.04,3.9,3.3,2.0,3.95,3.35,1.9,4.0,3.35,1.85,4.25,3.4,2.0,4.0,3.2,1.91,3.5,,1.9,4.0,3.3,1.95,3.75,3.25,1,15,8,2009,54.8,35.7,9.5,0,0,0,0,0,0,0,0,0,0
2.44,3.0,3.2,2.52,2.93,3.14,2.45,3.1,3.3,2.4,3.15,3.35,,,,,,,2.6,2.7,3.25,2.5,2.63,,2,West Ham,2.5,2.7,3.2,2.6,2.6,,2.5,2.9,3.25,2.6,2.8,3.3,2.6,2.65,3.2,3.1,2.25,3.25,2.54,2.9,3.28,2.64,2.98,3.35,,,,,,,,,,,,,2.54,2.7,3.2,2.65,2.6,,2.6,2.6,3.25,2.5,,,2.54,2.7,3.25,2.6,2.5,,2.54,2.54,3.15,2.6,2.5,,,,,,,,0,Wolves,2.54,2.54,3.3,,,,2009,15.08.2009,16,1,2.6,2.7,3.25,2.5,2.8,3.2,2.65,3.0,3.28,2.7,2.95,3.24,2.44,3.05,3.2,2.58,3.1,3.1,2.54,2.65,3.25,2.7,2.54,3.2,2.6,2.88,3.1,2.7,2.7,3.2,2.63,2.63,3.1,,,,2,15,8,2009,11.9,31.0,57.1,0,0,0,0,0,0,0,0,0,0
3.27,2.31,3.2,3.23,2.35,3.16,3.35,2.31,3.35,3.3,2.35,3.3,,,,,,,3.4,2.25,3.2,3.3,2.29,,6,Arsenal,3.1,2.2,3.25,3.0,2.25,3.2,3.25,2.29,3.25,3.2,2.38,3.2,3.1,2.25,3.25,3.0,,3.4,3.33,2.29,3.28,3.5,2.34,3.4,,,,,,,,,,,,,3.15,2.29,3.1,3.05,2.25,3.2,3.1,2.25,3.2,2.88,2.38,3.3,2.95,2.35,3.25,,2.25,,3.25,2.1,3.15,3.1,2.2,3.1,,,,,,,1,Everton,3.1,2.29,3.1,3.2,2.2,3.2,2009,15.08.2009,18,1,3.2,2.29,3.25,3.0,2.38,3.2,3.38,2.36,3.35,3.52,2.29,3.29,3.25,2.29,3.2,3.3,2.35,3.25,3.1,2.29,3.15,3.0,2.25,3.25,3.25,2.25,3.2,3.0,2.1,,3.25,2.25,3.25,3.1,2.2,,2,15,8,2009,16.7,28.6,54.8,0,0,0,0,0,0,0,0,0,0
1.23,13.91,5.51,1.17,13.34,5.45,1.27,17.0,5.41,1.23,16.0,6.0,,,,,,,1.2,19.0,6.0,,15.0,5.5,0,Birmingham,1.2,13.0,5.8,1.14,17.0,6.4,1.2,17.0,5.5,,19.0,5.25,1.14,14.0,6.5,,18.0,,1.24,20.0,6.13,1.25,20.0,6.4,,,,,,,,,,,,,1.2,13.0,6.1,,12.0,6.0,1.17,15.0,5.5,,17.0,6.5,1.17,15.0,6.25,,,5.85,1.2,10.5,5.85,,12.0,6.0,,,,,,,1,Manchester Utd,1.2,12.0,5.7,,,,2009,16.08.2009,14,1,1.2,17.0,6.0,,21.0,5.5,1.23,17.7,5.7,1.27,18.0,6.01,1.26,11.5,5.4,1.22,12.0,5.6,1.22,12.5,5.75,1.18,14.0,6.5,1.17,23.0,6.0,1.22,17.0,5.5,1.2,15.0,5.25,1.25,11.0,5.0,1,16,8,2009,100.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
3.74,2.06,3.33,3.63,2.11,3.28,3.95,2.08,3.35,3.85,2.12,3.3,,,,,,,3.6,2.1,3.25,3.5,2.04,3.1,1,Liverpool,3.4,2.1,3.2,3.15,2.2,,3.75,2.04,3.3,3.6,2.1,3.25,3.6,2.0,3.35,3.3,2.1,3.4,3.85,2.05,3.47,4.0,2.12,3.55,,,,,,,,,,,,,3.3,2.15,3.25,3.2,2.2,3.2,3.4,2.1,3.25,3.25,2.2,3.2,3.65,2.0,3.3,3.4,2.1,3.25,3.6,1.95,3.2,3.45,2.0,3.15,,,,,,,2,Tottenham,3.4,2.1,3.25,3.2,2.2,3.2,2009,16.08.2009,17,1,3.5,2.1,3.4,3.4,2.2,3.25,3.97,2.09,3.53,3.89,2.19,3.46,3.8,2.09,3.3,3.7,2.14,3.35,3.4,2.1,3.25,3.2,2.2,3.2,3.75,2.0,3.3,3.4,2.15,3.2,3.5,2.0,3.25,3.1,2.2,,1,16,8,2009,4.8,31.0,64.3,0,0,0,0,0,0,0,0,0,0
