Date,HomeTeam,AwayTeam,FTHG,FTAG,label,7_day_before_like_x,7_day_before_love_x,7_day_before_wow_x,7_day_before_sorry_x,7_day_before_anger_x,7_day_before_haha_x,7_day_before_like_y,7_day_before_love_y,7_day_before_wow_y,7_day_before_sorry_y,7_day_before_anger_y,7_day_before_haha_y
25/11/2018,Bournemouth,Arsenal,1,2,2,199.0,18.0,1.0,0.0,1.0,0.0,4074.0,318.0,11.0,1.0,22.0,1.0
26/12/2018,Brighton,Arsenal,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,15888.0,1429.0,67.0,251.0,276.0,766.0
12/05/2019,Burnley,Arsenal,1,3,2,931.0,66.0,3.0,0.0,1.0,0.0,183124.0,29458.0,1194.0,5804.0,1100.0,2794.0
02/09/2018,Cardiff,Arsenal,2,3,2,696.0,29.0,5.0,37.0,25.0,25.0,170809.0,7224.0,536.0,73.0,8441.0,87.0
18/08/2018,Chelsea,Arsenal,3,2,1,143974.0,9188.0,999.0,37.0,210.0,27.0,121544.0,12690.0,577.0,282.0,445.0,248.0
28/10/2018,Crystal Palace,Arsenal,2,2,0,1486.0,74.0,5.0,29.0,5.0,3.0,375408.0,12806.0,809.0,172.0,3803.0,47.0
07/04/2019,Everton,Arsenal,1,0,1,17802.0,1842.0,71.0,18.0,676.0,35.0,64726.0,7806.0,442.0,158.0,545.0,55.0
07/10/2018,Fulham,Arsenal,1,5,2,1162.0,62.0,2.0,0.0,6.0,0.0,259121.0,13540.0,1614.0,242.0,1657.0,808.0
09/02/2019,Huddersfield,Arsenal,1,2,2,576.0,87.0,2.0,0.0,0.0,0.0,122136.0,5295.0,168.0,1214.0,1525.0,2160.0
28/04/2019,Leicester,Arsenal,3,0,1,1190.0,70.0,3.0,1.0,0.0,2.0,73996.0,6312.0,1448.0,4238.0,21509.0,16164.0
29/12/2018,Liverpool,Arsenal,5,1,1,11062.0,2731.0,48.0,6.0,58.0,13.0,7186.0,867.0,29.0,7.0,21.0,13.0
03/02/2019,Man City,Arsenal,3,1,1,73289.0,1370.0,115.0,28.0,191.0,214.0,129949.0,10728.0,830.0,186.0,864.0,204.0
05/12/2018,Man United,Arsenal,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,20336.0,2492.0,96.0,200.0,170.0,874.0
15/09/2018,Newcastle,Arsenal,1,2,2,3331.0,398.0,3.0,348.0,3.0,1.0,174287.0,8781.0,658.0,55.0,1383.0,47.0
16/12/2018,Southampton,Arsenal,3,2,1,866.0,152.0,9.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
02/03/2019,Tottenham,Arsenal,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,72334.0,7736.0,433.0,56.0,297.0,242.0
15/04/2019,Watford,Arsenal,0,1,2,1871.0,214.0,22.0,1.0,25.0,1.0,55466.0,7501.0,344.0,138.0,255.0,107.0
12/01/2019,West Ham,Arsenal,1,0,1,31373.0,2272.0,159.0,7.0,210.0,27.0,61899.0,5959.0,681.0,24.0,187.0,36.0
24/04/2019,Wolves,Arsenal,3,1,1,6597.0,373.0,35.0,43.0,109.0,37.0,171323.0,16682.0,1462.0,1619.0,1008.0,3646.0
27/02/2019,Arsenal,Bournemouth,5,1,1,115912.0,10952.0,449.0,154.0,1233.0,323.0,2109.0,161.0,11.0,2.0,4.0,6.0
13/04/2019,Brighton,Bournemouth,0,5,2,4514.0,1065.0,3.0,2.0,9.0,1.0,777.0,27.0,1.0,0.0,0.0,0.0
22/09/2018,Burnley,Bournemouth,4,0,1,827.0,41.0,0.0,20.0,23.0,3.0,2188.0,169.0,3.0,1.0,2.0,2.0
02/02/2019,Cardiff,Bournemouth,2,0,1,8210.0,1200.0,10.0,1008.0,19.0,3.0,6074.0,663.0,98.0,3.0,24.0,4.0
01/09/2018,Chelsea,Bournemouth,2,0,1,256841.0,11863.0,1101.0,480.0,916.0,124.0,3478.0,284.0,9.0,4.0,20.0,3.0
12/05/2019,Crystal Palace,Bournemouth,5,3,1,5395.0,258.0,7.0,7.0,11.0,25.0,2599.0,198.0,9.0,1.0,3.0,3.0
13/01/2019,Everton,Bournemouth,2,0,1,2619.0,108.0,31.0,3.0,19.0,3.0,1752.0,102.0,11.0,1.0,7.0,0.0
27/10/2018,Fulham,Bournemouth,0,3,2,0.0,0.0,0.0,0.0,0.0,0.0,644.0,64.0,1.0,1.0,0.0,0.0
09/03/2019,Huddersfield,Bournemouth,0,2,2,410.0,20.0,0.0,2.0,4.0,1.0,4711.0,529.0,24.0,18.0,5.0,1.0
30/03/2019,Leicester,Bournemouth,2,0,1,4339.0,453.0,12.0,36.0,5.0,0.0,1088.0,47.0,12.0,6.0,1.0,0.0
09/02/2019,Liverpool,Bournemouth,3,0,1,54341.0,4115.0,288.0,362.0,274.0,133.0,1947.0,130.0,12.0,0.0,6.0,1.0
01/12/2018,Man City,Bournemouth,3,1,1,2930.0,471.0,18.0,3.0,26.0,10.0,131.0,9.0,0.0,0.0,2.0,0.0
30/12/2018,Man United,Bournemouth,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,618.0,55.0,0.0,0.0,0.0,0.0
10/11/2018,Newcastle,Bournemouth,2,1,1,46.0,7.0,0.0,0.0,0.0,0.0,497.0,60.0,2.0,3.0,0.0,0.0
27/04/2019,Southampton,Bournemouth,3,3,0,22088.0,1086.0,219.0,150.0,76.0,43.0,2154.0,226.0,16.0,22.0,18.0,44.0
26/12/2018,Tottenham,Bournemouth,5,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1727.0,158.0,6.0,0.0,1.0,2.0
06/10/2018,Watford,Bournemouth,0,4,2,1015.0,33.0,3.0,69.0,34.0,14.0,1032.0,56.0,4.0,0.0,20.0,1.0
18/08/2018,West Ham,Bournemouth,1,2,2,14022.0,900.0,130.0,75.0,259.0,12.0,3930.0,389.0,10.0,1.0,55.0,4.0
15/12/2018,Wolves,Bournemouth,2,0,1,1990.0,233.0,9.0,1.0,4.0,1.0,772.0,30.0,6.0,1.0,2.0,0.0
05/05/2019,Arsenal,Brighton,1,1,0,150622.0,18688.0,431.0,11423.0,2387.0,3354.0,3375.0,514.0,8.0,6.0,38.0,10.0
22/12/2018,Bournemouth,Brighton,2,0,1,781.0,46.0,2.0,0.0,1.0,1.0,23.0,2.0,0.0,0.0,0.0,0.0
08/12/2018,Burnley,Brighton,1,0,1,942.0,94.0,5.0,6.0,30.0,18.0,1156.0,90.0,6.0,5.0,0.0,1.0
10/11/2018,Cardiff,Brighton,2,1,1,1125.0,120.0,2.0,57.0,1.0,0.0,313.0,28.0,0.0,0.0,0.0,0.0
03/04/2019,Chelsea,Brighton,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,4331.0,86.0,18.0,24.0,29.0,4.0
09/03/2019,Crystal Palace,Brighton,1,2,2,5980.0,367.0,34.0,2.0,201.0,9.0,18000.0,319.0,50.0,1.0,25.0,0.0
03/11/2018,Everton,Brighton,3,1,1,8604.0,581.0,28.0,880.0,225.0,86.0,611.0,23.0,1.0,14.0,1.0,1.0
29/01/2019,Fulham,Brighton,4,2,1,2532.0,115.0,8.0,3.0,19.0,9.0,962.0,36.0,5.0,18.0,5.0,3.0
01/12/2018,Huddersfield,Brighton,1,2,2,944.0,87.0,0.0,0.0,2.0,1.0,181.0,1.0,0.0,0.0,0.0,0.0
26/02/2019,Leicester,Brighton,2,1,1,6892.0,155.0,19.0,32.0,23.0,89.0,929.0,89.0,9.0,120.0,0.0,1.0
25/08/2018,Liverpool,Brighton,1,0,1,180841.0,15124.0,1345.0,33.0,969.0,48.0,7048.0,955.0,59.0,13.0,92.0,27.0
29/09/2018,Man City,Brighton,2,0,1,55526.0,7133.0,489.0,19.0,1839.0,32.0,900.0,42.0,1.0,4.0,3.0,0.0
19/01/2019,Man United,Brighton,2,1,1,269420.0,45359.0,2935.0,60.0,2526.0,65.0,131.0,3.0,0.0,1.0,1.0,0.0
20/10/2018,Newcastle,Brighton,0,1,2,606.0,26.0,0.0,0.0,4.0,0.0,1167.0,99.0,4.0,3.0,8.0,0.0
17/09/2018,Southampton,Brighton,2,2,0,2556.0,188.0,6.0,12.0,6.0,3.0,923.0,54.0,6.0,11.0,5.0,0.0
23/04/2019,Tottenham,Brighton,1,0,1,19246.0,2861.0,104.0,6.0,83.0,20.0,3041.0,170.0,2.0,9.0,16.0,36.0
11/08/2018,Watford,Brighton,2,0,1,2209.0,141.0,10.0,3.0,9.0,0.0,503.0,20.0,2.0,0.0,1.0,1.0
02/01/2019,West Ham,Brighton,2,2,0,667.0,52.0,4.0,0.0,1.0,0.0,434.0,18.0,1.0,0.0,0.0,5.0
20/04/2019,Wolves,Brighton,0,0,0,2168.0,160.0,7.0,76.0,8.0,12.0,1442.0,91.0,0.0,61.0,22.0,87.0
22/12/2018,Arsenal,Burnley,3,1,1,12822.0,766.0,58.0,857.0,433.0,1691.0,528.0,67.0,1.0,4.0,5.0,1.0
06/04/2019,Bournemouth,Burnley,1,3,2,934.0,30.0,2.0,1.0,4.0,2.0,687.0,73.0,4.0,3.0,1.0,33.0
09/02/2019,Brighton,Burnley,1,3,2,2542.0,219.0,9.0,11.0,3.0,3.0,1377.0,76.0,2.0,2.0,2.0,13.0
30/09/2018,Cardiff,Burnley,1,2,2,184.0,10.0,0.0,0.0,2.0,6.0,477.0,24.0,0.0,0.0,9.0,1.0
22/04/2019,Chelsea,Burnley,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1061.0,68.0,2.0,9.0,7.0,15.0
01/12/2018,Crystal Palace,Burnley,2,0,1,407.0,35.0,1.0,0.0,4.0,0.0,271.0,4.0,1.0,2.0,0.0,1.0
03/05/2019,Everton,Burnley,2,0,1,20760.0,558.0,73.0,5.0,72.0,21.0,1870.0,262.0,22.0,36.0,36.0,8.0
