match_round,home_team,away_team,team,sentiment_analysis
38,Arsenal,West Brom,Arsenal,0.26748695826645275
38,Arsenal,West Brom,West Brom,0.2293336260175883
38,Aston Villa,Burnley,Aston Villa,0.4143826659451658
38,Aston Villa,Burnley,Burnley,0.2598552123552123
38,Chelsea,Sunderland,Chelsea,0.35203170977987164
38,Chelsea,Sunderland,Sunderland,0.33866255621215946
38,Crystal Palace,Swansea,Crystal Palace,0.33194675925925937
38,Crystal Palace,Swansea,Swansea,0.43911342488928695
38,Everton,Tottenham,Everton,0.33758402203856763
38,Everton,Tottenham,Tottenham,0.2518134577063149
38,Hull,Manchester Utd,Hull,0.05488749098124098
38,Hull,Manchester Utd,Manchester Utd,0.3397865725964243
38,Leicester,QPR,Leicester,0.2659737373737374
38,Leicester,QPR,QPR,0.24492061735162382
38,Manchester City,Southampton,Manchester City,0.23271482683982678
38,Manchester City,Southampton,Southampton,0.34180057303281736
38,Newcastle,West Ham,Newcastle,0.1720645743145743
38,Newcastle,West Ham,West Ham,0.3416124896928468
38,Stoke,Liverpool,Stoke,0.27406024531024525
38,Stoke,Liverpool,Liverpool,0.25852080990667947
33,Arsenal,Sunderland,Arsenal,0.18400367276353366
33,Arsenal,Sunderland,Sunderland,0.1378969271710157
37,West Brom,Chelsea,West Brom,0.3127520859957855
37,West Brom,Chelsea,Chelsea,0.2777649200753709
37,Manchester Utd,Arsenal,Manchester Utd,0.21844806792499263
37,Manchester Utd,Arsenal,Arsenal,0.36597991796150264
37,Swansea,Manchester City,Swansea,0.3078658985690236
37,Swansea,Manchester City,Manchester City,0.4550772257458304
37,Burnley,Stoke,Burnley,0.22588494318181815
37,Burnley,Stoke,Stoke,0.3134723707664885
37,Liverpool,Crystal Palace,Liverpool,0.29537614252496686
37,Liverpool,Crystal Palace,Crystal Palace,0.2790883449339332
37,QPR,Newcastle,QPR,0.11348238482384826
37,QPR,Newcastle,Newcastle,0.2736011904761905
37,Southampton,Aston Villa,Southampton,0.22390001739332097
37,Southampton,Aston Villa,Aston Villa,0.27523864683183885
37,Sunderland,Leicester,Sunderland,0.171744876711982
37,Sunderland,Leicester,Leicester,0.3085751619181852
37,Tottenham,Hull,Tottenham,0.24475423881673886
37,Tottenham,Hull,Hull,0.21573075073075068
37,West Ham,Everton,West Ham,0.14776521958125732
37,West Ham,Everton,Everton,0.3339652597402598
36,Arsenal,Swansea,Arsenal,0.31594158964439145
36,Arsenal,Swansea,Swansea,0.2668994107744108
36,Chelsea,Liverpool,Chelsea,0.26273099332325534
36,Chelsea,Liverpool,Liverpool,0.24691735907461712
36,Manchester City,QPR,Manchester City,0.29261479540094004
36,Manchester City,QPR,QPR,0.2272644085162254
36,Aston Villa,West Ham,Aston Villa,0.23888458582086036
36,Aston Villa,West Ham,West Ham,0.285260456695579
36,Crystal Palace,Manchester Utd,Crystal Palace,0.1674943373125192
36,Crystal Palace,Manchester Utd,Manchester Utd,0.3511056214317085
36,Everton,Sunderland,Everton,0.28714680821823685
36,Everton,Sunderland,Sunderland,0.12306208462898605
36,Hull,Burnley,Hull,0.0773838017859757
36,Hull,Burnley,Burnley,0.29775355712855717
36,Leicester,Southampton,Leicester,0.31059461966604823
36,Leicester,Southampton,Southampton,0.29114660114660124
36,Newcastle,West Brom,Newcastle,0.24817072118702563
36,Newcastle,West Brom,West Brom,0.2279592640928425
36,Stoke,Tottenham,Stoke,0.3424520202020202
36,Stoke,Tottenham,Tottenham,0.2364987409105056
35,Hull,Arsenal,Hull,0.2080800768300768
35,Hull,Arsenal,Arsenal,0.29441234704930225
35,Chelsea,Crystal Palace,Chelsea,0.20214921488567877
35,Chelsea,Crystal Palace,Crystal Palace,0.3561662786898636
35,Tottenham,Manchester City,Tottenham,0.24438952020202032
35,Tottenham,Manchester City,Manchester City,0.37496297874579143
35,Aston Villa,Everton,Aston Villa,0.17358410356178217
35,Aston Villa,Everton,Everton,0.2437779581529582
35,Leicester,Newcastle,Leicester,0.19678874058040716
35,Leicester,Newcastle,Newcastle,0.10695433039183042
35,Liverpool,QPR,Liverpool,0.13580728388420701
35,Liverpool,QPR,QPR,0.1556051587301587
35,Manchester Utd,West Brom,Manchester Utd,0.34082172659904425
35,Manchester Utd,West Brom,West Brom,0.2928160983007922
35,Sunderland,Southampton,Sunderland,0.2588582251082251
35,Sunderland,Southampton,Southampton,0.3618168236360201
35,Swansea,Stoke,Swansea,0.2056271751124692
