match_round,home_team,away_team,tweet_retweets_home,tweet_favorites_home,tweet_retweets_away,tweet_favorites_away,label
1,Arsenal,Manchester City,2288,11238,4301,28705,2
1,Bournemouth,Cardiff,819,4237,3407,17304,1
1,Fulham,Crystal Palace,1584,8355,916,5774,2
1,Huddersfield,Chelsea,1479,7046,1419,7867,2
1,Liverpool,West Ham,1103,5738,570,2888,1
1,Manchester Utd,Leicester,1301,5564,981,4619,1
1,Newcastle,Tottenham,429,2296,919,4868,2
1,Southampton,Burnley,1222,11887,983,3431,0
1,Watford,Brighton,946,5332,1824,7809,1
1,Wolves,Everton,445,3360,815,5913,0
2,Brighton,Manchester Utd,453,2722,2490,15625,1
2,Burnley,Watford,10379,22825,617,4368,2
2,Cardiff,Newcastle,780,3761,555,2247,0
2,Chelsea,Arsenal,1778,8013,5198,45011,1
2,Crystal Palace,Liverpool,929,6574,1374,6908,2
2,Everton,Southampton,3636,9546,351,2896,1
2,Leicester,Wolves,620,3396,517,2930,1
2,Manchester City,Huddersfield,7607,38264,1016,5212,1
2,Tottenham,Fulham,1565,10054,807,6681,1
2,West Ham,Bournemouth,1001,4895,812,3799,2
3,Arsenal,West Ham,2943,9470,861,3708,1
3,Bournemouth,Everton,604,3081,1563,13249,0
3,Fulham,Burnley,1072,9358,410,1703,1
3,Huddersfield,Cardiff,707,3481,534,1258,0
3,Liverpool,Brighton,2948,10321,624,4228,1
3,Manchester Utd,Tottenham,1206,4377,1144,8467,2
3,Newcastle,Chelsea,1679,7823,2728,11106,2
3,Southampton,Leicester,908,3672,395,2491,2
3,Watford,Crystal Palace,844,4920,583,4125,1
3,Wolves,Manchester City,729,3022,5679,40780,0
4,Brighton,Fulham,1141,4205,1285,8577,0
4,Burnley,Manchester Utd,424,2077,1350,6821,2
4,Cardiff,Arsenal,412,1663,7582,38840,2
4,Chelsea,Bournemouth,1679,8729,1030,6068,1
4,Crystal Palace,Southampton,585,3483,609,4671,2
4,Everton,Huddersfield,1048,5871,377,3595,0
4,Leicester,Liverpool,1363,10534,2017,7292,2
4,Manchester City,Newcastle,1708,10433,326,1412,1
4,Watford,Tottenham,958,6547,1015,6165,1
4,West Ham,Wolves,564,2901,1380,5034,2
5,Bournemouth,Leicester,512,1297,647,5397,1
5,Chelsea,Cardiff,2149,12348,446,1994,1
5,Everton,West Ham,783,3536,750,3954,2
5,Huddersfield,Crystal Palace,636,2671,822,5463,2
5,Manchester City,Fulham,3685,26615,568,3971,1
5,Newcastle,Arsenal,1712,8012,4039,33649,2
5,Southampton,Brighton,514,4227,348,3145,0
5,Tottenham,Liverpool,1359,6886,1072,4974,2
5,Watford,Manchester Utd,931,5708,952,4533,2
5,Wolves,Burnley,1368,8028,166,457,1
6,Arsenal,Everton,5946,50976,563,3906,1
6,Brighton,Tottenham,980,4235,1502,6240,2
6,Burnley,Bournemouth,182,588,632,3250,1
6,Cardiff,Manchester City,412,1416,2407,21362,2
6,Crystal Palace,Newcastle,536,2661,1667,2163,0
6,Fulham,Watford,556,4175,718,4575,0
6,Leicester,Huddersfield,584,4624,290,1918,1
6,Liverpool,Southampton,1604,8152,667,4643,1
6,Manchester Utd,Wolves,1127,3737,688,4447,0
6,West Ham,Chelsea,524,2079,1859,8982,0
7,Arsenal,Watford,6352,58599,1463,9786,1
7,Bournemouth,Crystal Palace,664,2804,477,2457,1
7,Cardiff,Burnley,533,2001,297,625,2
7,Chelsea,Liverpool,3387,20113,1485,8235,0
7,Everton,Fulham,856,4709,851,4999,1
7,Huddersfield,Tottenham,407,2389,1205,5427,2
7,Manchester City,Brighton,4626,34648,1969,5421,1
7,Newcastle,Leicester,1110,2067,522,4499,2
7,West Ham,Manchester Utd,468,3643,1600,7803,1
7,Wolves,Southampton,721,3618,450,3299,1
8,Brighton,West Ham,968,2671,674,2382,1
8,Burnley,Huddersfield,167,431,420,1918,0
8,Crystal Palace,Wolves,569,4230,580,5946,2
8,Fulham,Arsenal,651,2751,3491,19647,2
8,Leicester,Everton,1103,8313,679,5038,2
8,Liverpool,Manchester City,1910,11210,4678,37036,0
8,Manchester Utd,Newcastle,2482,8683,558,2825,1
8,Southampton,Chelsea,611,4246,1574,9900,2
8,Tottenham,Cardiff,1835,9428,298,1732,1
8,Watford,Bournemouth,1336,7715,767,4657,2
9,Arsenal,Leicester,1537,5951,864,6435,1
9,Bournemouth,Southampton,1008,4522,1236,6569,0
9,Cardiff,Fulham,218,847,484,3327,1
9,Chelsea,Manchester Utd,2905,12136,1374,5384,0
9,Everton,Crystal Palace,869,3998,709,3373,1
9,Huddersfield,Liverpool,989,4254,2371,16631,2
9,Manchester City,Burnley,3532,30776,139,362,1
9,Newcastle,Brighton,1289,4296,595,3676,2
9,West Ham,Tottenham,709,1689,1087,7332,2
9,Wolves,Watford,722,4238,804,5366,2
10,Brighton,Wolves,611,6771,764,4373,1
10,Burnley,Chelsea,184,503,1881,13322,2
10,Crystal Palace,Arsenal,534,3646,2629,19155,0
10,Fulham,Bournemouth,614,3128,898,4954,2
10,Leicester,West Ham,517,5398,550,1697,0
10,Liverpool,Cardiff,1888,9857,693,4915,1
10,Manchester Utd,Everton,1942,11145,1742,10733,1
10,Southampton,Newcastle,719,5713,418,2247,0
10,Tottenham,Manchester City,1868,14027,2636,24641,2
10,Watford,Huddersfield,1019,6426,335,2074,1
11,Arsenal,Liverpool,2978,16241,2176,15212,0
11,Bournemouth,Manchester Utd,1234,7224,2121,11582,2
11,Cardiff,Leicester,510,2649,13065,64208,2
11,Chelsea,Crystal Palace,2670,10069,685,3760,1
11,Everton,Brighton,990,5152,737,5630,1
11,Huddersfield,Fulham,1077,6175,364,2617,1
11,Manchester City,Southampton,5493,38094,342,3375,1
11,Newcastle,Watford,1098,5625,1331,7254,1
11,West Ham,Burnley,1186,3614,373,1096,1
11,Wolves,Tottenham,473,4205,1301,8290,2
12,Arsenal,Wolves,2359,11940,606,4230,0
12,Cardiff,Brighton,279,1185,644,5461,1
12,Chelsea,Everton,1127,6312,1248,7613,0
12,Crystal Palace,Tottenham,330,2411,2859,12852,2
12,Huddersfield,West Ham,410,3261,970,1581,0
12,Leicester,Burnley,462,2649,340,1067,0
12,Liverpool,Fulham,1266,5112,481,2605,1
12,Manchester City,Manchester Utd,8224,41128,4036,13235,1
12,Newcastle,Bournemouth,1433,4032,1686,11317,1
12,Southampton,Watford,237,2283,650,4680,0
13,Bournemouth,Arsenal,1265,7218,1647,8514,2
13,Brighton,Leicester,715,5335,545,4680,0
13,Burnley,Newcastle,292,1072,341,1818,2
13,Everton,Cardiff,1188,11724,363,1812,1
13,Fulham,Southampton,637,3145,476,2781,1
13,Manchester Utd,Crystal Palace,3968,13580,474,2830,0
13,Tottenham,Chelsea,984,7288,2257,9833,1
13,Watford,Liverpool,1197,9078,1311,7403,2
13,West Ham,Manchester City,439,1636,3076,26833,2
13,Wolves,Huddersfield,698,5863,480,3086,2
14,Arsenal,Tottenham,2085,11916,1529,9529,1
14,Cardiff,Wolves,507,3278,506,4592,1
14,Chelsea,Fulham,1022,4616,533,1600,1
14,Crystal Palace,Burnley,705,4986,243,810,1
14,Huddersfield,Brighton,2769,6466,794,5771,2
14,Leicester,Watford,1047,5775,1102,6730,1
14,Liverpool,Everton,2173,8850,775,3136,1
14,Manchester City,Bournemouth,2967,21566,847,5046,1
14,Newcastle,West Ham,475,2462,913,4072,2
14,Southampton,Manchester Utd,360,2835,5780,28935,0
15,Bournemouth,Huddersfield,399,3211,445,3485,1
15,Brighton,Crystal Palace,490,5018,673,9195,1
15,Burnley,Liverpool,396,1144,963,4597,2
15,Everton,Newcastle,1046,5314,318,1798,0
15,Fulham,Leicester,473,2799,625,5323,0
15,Manchester Utd,Arsenal,2513,12787,3915,10454,0
15,Tottenham,Southampton,1406,8286,290,2426,1
15,Watford,Manchester City,1457,11031,3562,29851,2
15,West Ham,Cardiff,929,8369,1805,11908,1
15,Wolves,Chelsea,323,3782,1478,8005,1
16,Arsenal,Huddersfield,2146,8598,419,2815,1
16,Bournemouth,Liverpool,1071,7090,1359,7628,2
16,Burnley,Brighton,831,3579,533,4134,1
16,Cardiff,Southampton,780,4337,545,6126,1
16,Chelsea,Manchester City,694,3673,3413,26830,1
16,Everton,Watford,1865,3850,797,5499,0
16,Leicester,Tottenham,315,2131,1653,9301,2
16,Manchester Utd,Fulham,2531,11669,419,3399,1
16,Newcastle,Wolves,712,4304,960,5734,2
16,West Ham,Crystal Palace,769,4725,472,2469,1
17,Brighton,Chelsea,542,4629,1272,6026,2
17,Crystal Palace,Leicester,421,2490,404,2638,1
17,Fulham,West Ham,470,2350,853,3988,2
17,Huddersfield,Newcastle,545,3164,714,4739,2
17,Liverpool,Manchester Utd,1981,9391,1413,6935,1
17,Manchester City,Everton,3593,27223,747,6373,1
17,Southampton,Arsenal,438,4112,2839,25102,1
17,Tottenham,Burnley,1044,5918,216,695,1
17,Watford,Cardiff,922,6550,513,2511,1
17,Wolves,Bournemouth,551,3816,578,3070,1
18,Arsenal,Burnley,1581,5753,119,414,1
18,Bournemouth,Brighton,815,5355,1174,3723,1
18,Cardiff,Manchester Utd,736,2866,3342,17453,2
18,Chelsea,Leicester,1968,10142,556,3296,2
18,Everton,Tottenham,1530,5872,1572,7790,2
18,Huddersfield,Southampton,558,3680,1700,12305,2
