post_id,text,time,shared_text,likes,comments,shares,post_url,link,like,love,wow,haha,sorry,anger,w3_fb_url
3290964757604869,"⚠️ TEN MINUTE WARNING ⚠️
Don't forget, you can catch all 90 minutes of our memorable win against Fulham in 2015 over on YouTube.
Watch 👉 bit.ly/fulham-2015",2020-04-16 19:50:02,,53,4,0,,https://bit.ly/fulham-2015,53,5,0,0,0,0,nan
3290868334281178,"All eyes on Craven Cottage 👀
Here's how we lined up ahead of that famous win over Fulham in 2015 📝
Relive it on YouTube from 7pm 👉 bit.ly/fulham-2015",2020-04-16 19:00:24,,95,17,0,,https://bit.ly/fulham-2015,95,14,0,0,0,0,nan
3290467640987914,"A former player and manager ❤️
On his 75th birthday, we look back at Mel Machin's time with the club 👇
https://www.afcb.co.uk/news/features/mel-machin-at-75/
AFCB.CO.UK
Mel Machin at 75",2020-04-16 15:38:56,"AFCB.CO.UK
Mel Machin at 75",144,10,6,https://m.facebook.com/story.php?story_fbid=3290467640987914&id=246692125365496,https://www.afcb.co.uk/news/features/mel-machin-at-75/,144,6,0,0,0,0,nan
3290082397693105,"Two fine goals that day 🔥🔥
Brett Pitman will be tuning into Cherries Repicked on YouTube this evening 📺
He recalls that famous win over Fulham 👉 bit.ly/pitman-fulham",2020-04-16 11:52:42,,171,12,0,,https://bit.ly/pitman-fulham,171,27,0,0,0,0,nan
3289914351043243,"Cherries Repicked is back again ⏪
The club's YouTube channel is continuing to stream some of our finest ever games as part of the new series 🔥
It resumes tonight at 7pm and goes back to the Championship with our incredible win over Fulham in 2015 🙌
https://youtu.be/M0BxQOBqOzU
YOUTUBE.COM
Fulham 1-5 AFC Bournemouth | Full Match | Championship | Cherries Repicked 🍒",2020-04-16 10:06:00,"YOUTUBE.COM
Fulham 1-5 AFC Bournemouth | Full Match | Championship | Cherries Repicked 🍒",122,30,19,https://m.facebook.com/story.php?story_fbid=3289914351043243&id=246692125365496,https://youtu.be/M0BxQOBqOzU,122,18,0,0,0,0,nan
3288347487866596,Remember... Keep your distance 🎯,2020-04-15 18:20:56,,185,10,0,https://m.facebook.com/story.php?story_fbid=3288347487866596&id=246692125365496,,185,22,2,0,0,0,nan
3287650804602931,"⭐️ Arnaut Danjuma ⭐️
⭐️ Aaron Ramsdale ⭐️
It's #WallpaperWednesday, so why not make the most of these?! 🎨",2020-04-15 12:19:28,,150,5,0,https://m.facebook.com/story.php?story_fbid=3287650804602931&id=246692125365496,,150,11,1,0,0,0,nan
3286229364745075,"An update from the board on furloughed staff at AFC Bournemouth.
https://www.afcb.co.uk/news/club-news/statement-covid-19-update-from-the-board/
AFCB.CO.UK
Statement: COVID-19 update from the board",2020-04-14 21:21:53,"AFCB.CO.UK
Statement: COVID-19 update from the board",278,42,14,https://m.facebook.com/story.php?story_fbid=3286229364745075&id=246692125365496,https://www.afcb.co.uk/news/club-news/statement-covid-19-update-from-the-board/,278,11,0,0,0,2,nan
3286044001430278,"A great effort 👏
The club have donated thousands of items to the town's Foodbank ❤️️
https://www.afcb.co.uk/news/club-news/club-donate-thousands-of-items-to-foodbank/
AFCB.CO.UK
Club donate thousands of items to Foodbank",2020-04-14 19:43:29,"AFCB.CO.UK
Club donate thousands of items to Foodbank",670,35,72,https://m.facebook.com/story.php?story_fbid=3286044001430278&id=246692125365496,https://www.afcb.co.uk/news/club-news/club-donate-thousands-of-items-to-foodbank/,670,103,2,1,0,0,nan
3285213704846641,"PUGHHHHHHHH ❤️❤️️
Some heart-warming memories 😍
We caught up with our club legend as The Journey continues 👇👇
https://www.afcb.co.uk/news/features/pugh-its-a-day-i-will-never-forget/
AFCB.CO.UK
Pugh: It's a day I will never forget",2020-04-14 12:15:09,"AFCB.CO.UK
Pugh: It's a day I will never forget",133,10,3,https://m.facebook.com/story.php?story_fbid=3285213704846641&id=246692125365496,https://www.afcb.co.uk/news/features/pugh-its-a-day-i-will-never-forget/,133,16,0,0,0,0,nan
3282813011753377,"🚨 TEAM MATES 🚨
It's time for Nathan Ake to dish on his fellow Cherries squad members 😉
https://youtu.be/yk13C5RtFB0
YOUTUBE.COM
Henchest bench press, best trainer... 🏋 | Nathan Ake talks team mates 💪",2020-04-13 11:50:58,"YOUTUBE.COM
Henchest bench press, best trainer... 🏋 | Nathan Ake talks team mates 💪",129,5,3,https://m.facebook.com/story.php?story_fbid=3282813011753377&id=246692125365496,https://youtu.be/yk13C5RtFB0,129,13,0,0,0,0,nan
