post_id,text,time,shared_text,likes,comments,shares,post_url,link,like,love,wow,haha,sorry,anger,w3_fb_url
3268279486539126,"👕 #htafc Umbro home kit proving extremely popular!
🛍 Adult and Ladies fit shirts now just £20!
🛍 Junior shirts, Infant kits and Baby kits now just £15!
📦 Please note, dispatch and delivery will be prolonged.
💻 htafcmegastore.com",2020-04-17 11:54:39,,2,0,0,https://m.facebook.com/story.php?story_fbid=3268279486539126&id=325426564157781,https://htafcmegastore.com/,2,0,0,0,0,0,nan
3268193313214410,"📝 An open letter to all supporters from the EFL.
https://www.htafc.com/news/2020/april/efl-open-letter-to-supporters/
HTAFC.COM
EFL OPEN LETTER TO SUPPORTERS",2020-04-17 11:00:27,"HTAFC.COM
EFL OPEN LETTER TO SUPPORTERS",18,7,14,https://m.facebook.com/story.php?story_fbid=3268193313214410&id=325426564157781,https://www.htafc.com/news/2020/april/efl-open-letter-to-supporters/,18,0,0,0,0,0,nan
3266855740014834,"👏 Thank you to all the nhs.uk employees!
🙏 We all really appreciate the work you're doing.
Here's some of the amazing Town fans in action 👇
#ClapForOurCarers #NHSThankYou
https://www.htafc.com/news/2020/april/thank-you-to-all-nhs-workers/",2020-04-16 21:02:00,,183,9,0,https://m.facebook.com/story.php?story_fbid=3266855740014834&id=325426564157781,https://www.htafc.com/news/2020/april/thank-you-to-all-nhs-workers/,183,35,0,0,0,0,nan
3266461056720969,"👕 Want a chance of winning £8,700 and a Signed Navy @the_stears Shirt?
🎟️ Buy an On the Move instant ticket online from @htafcmegastore before 10am Tuesday 21 April!
👇 Get yours here https://www.htafcmegastore.com/accessories/memorabilia/lottery/515_on-the-move-instant-lottery-ticket.html",2020-04-16 17:48:43,,2,0,0,https://m.facebook.com/story.php?story_fbid=3266461056720969&id=325426564157781,https://www.htafcmegastore.com/accessories/memorabilia/lottery/515_on-the-move-instant-lottery-ticket.html,2,0,0,0,0,0,nan
3266174680082940,"🗣 ""They’ve improved collectively as a team but also the lads have gained real understanding of the philosophy of the Club and a real tactical understanding of the game.""
Jon Worthington on the progression of Town's U17s.
HTAFC.COM
U17s DEVELOPING UNDER WORTHINGTON",2020-04-16 15:27:09,"HTAFC.COM
U17s DEVELOPING UNDER WORTHINGTON",13,2,0,https://m.facebook.com/story.php?story_fbid=3266174680082940&id=325426564157781,https://www.htafc.com/news/2020/april/u17s-developing-under-worthington/,13,0,0,0,0,0,nan
3266167146750360,"📈 Steady progress
✅ Key performers
Town teamed up with Infogol to assess the Terriers’ campaign so far.
https://www.htafc.com/news/2020/april/towns-season-in-terms-of-expected-goals/
HTAFC.COM
TOWN’S SEASON IN TERMS OF EXPECTED GOALS",2020-04-16 15:23:14,"HTAFC.COM
TOWN’S SEASON IN TERMS OF EXPECTED GOALS",10,0,0,https://m.facebook.com/story.php?story_fbid=3266167146750360&id=325426564157781,https://www.htafc.com/news/2020/april/towns-season-in-terms-of-expected-goals/,10,0,0,0,0,0,nan
3266159463417795,"‪🛍 htafcmegastore are dispatching orders twice a week for the foreseeable future.‬
‪📦 Please expect deliveries to be prolonged during the UK lockdown. ‬
‪👍 Thank you for your patience and understanding #htafc fans.‬
‪💻 htafcmegastore.com ‬",2020-04-16 15:19:23,,5,0,0,https://m.facebook.com/story.php?story_fbid=3266159463417795&id=325426564157781,https://htafcmegastore.com/,5,0,0,0,0,0,nan
3265980310102377,"🚀 Try stopping that free-kick!
Charlton Athletic 0⃣ Huddersfield Town 1⃣
🗓 #OnThisDay in 2011.",2020-04-16 14:02:43,,58,11,0,https://m.facebook.com/story.php?story_fbid=3265980310102377&id=325426564157781,,58,2,1,1,0,0,nan
3265628430137565,"♥ What a goal this was!
🥳 Happy Birthday to our U17 Coach, Jon Worthington!",2020-04-16 10:49:21,,185,14,0,https://m.facebook.com/story.php?story_fbid=3265628430137565&id=325426564157781,,185,4,0,0,0,0,nan
3265610140139394,"🥳 Happy Birthday to Town's U17 Coach, Jon Worthington!
🍰 Have a good day, Worthy.",2020-04-16 10:38:24,,111,5,0,https://m.facebook.com/story.php?story_fbid=3265610140139394&id=325426564157781,,111,2,0,0,0,0,nan
