post_id,text,time,shared_text,likes,comments,shares,post_url,link,like,love,wow,haha,sorry,anger,w3_fb_url
10157236984619537,"💪 Jackson Irvine on missing football, the Tigers' dressing room camaraderie and more...
➡️ https://bit.ly/IrvineApr20",2020-04-16 18:30:00,,54,1,0,https://m.facebook.com/story.php?story_fbid=10157236984619537&id=258479264536,https://bit.ly/IrvineApr20,54,4,0,0,0,0,nan
10157236600874537,"❔ Did you know that the Tigers were amongst the pioneers when it came to floodlight football?
HULLCITYTIGERS.COM
From The Archives: Let There Be Light - Hull City Tigers",2020-04-16 17:00:31,"HULLCITYTIGERS.COM
From The Archives: Let There Be Light - Hull City Tigers",40,11,3,https://m.facebook.com/story.php?story_fbid=10157236600874537&id=258479264536,https://bit.ly/FTAFloodlights,40,2,0,0,0,0,nan
10157236588034537,"There is some amazing work being done by the Tigers Trust during this challenging period! 🧡
➡️ https://bit.ly/TigersTrustCOVID19Work",2020-04-16 15:01:00,,171,5,0,https://m.facebook.com/story.php?story_fbid=10157236588034537&id=258479264536,https://bit.ly/TigersTrustCOVID19Work,171,11,0,0,0,0,nan
10157233129744537,"Time to get those brains in gear! ⚙️
Can you name every player that made a league appearance for Hull City during the unforgettable 2007/08 promotion-winning season? 👇
TAKE THE QUIZ HERE ➡️ https://bit.ly/Quiz0708Squad",2020-04-15 17:30:00,,28,19,0,https://m.facebook.com/story.php?story_fbid=10157233129744537&id=258479264536,https://bit.ly/Quiz0708Squad,28,0,0,0,0,0,nan
10157233093904537,"""To come to Hull and hear the fans cheering and play on that beautiful surface in a competitive match was just brilliant.""
HULLCITYTIGERS.COM
From The Archives: Rocky Becomes A Tiger - Hull City Tigers",2020-04-15 16:00:01,"HULLCITYTIGERS.COM
From The Archives: Rocky Becomes A Tiger - Hull City Tigers",81,14,8,https://m.facebook.com/story.php?story_fbid=10157233093904537&id=258479264536,https://bit.ly/FTARocastle,81,6,0,0,0,0,nan
10157229897589537,🤸‍♂️ 7 goals from our cartwheeling number 7 🤸‍♂️,2020-04-14 19:00:02,,328,50,0,https://m.facebook.com/story.php?story_fbid=10157229897589537&id=258479264536,,328,43,2,2,0,0,nan
10157229876904537,"The latest edition of Tigers TV Retro takes us back to September 2005, where Stuart Elliott sat down to discuss his favourite goals at the time! 🙌
➡️ https://bit.ly/TTVRetroElliot",2020-04-14 18:00:00,,24,0,0,https://m.facebook.com/story.php?story_fbid=10157229876904537&id=258479264536,https://bit.ly/TTVRetroElliot,24,5,0,0,0,0,nan
10157230115194537,"In the next instalment of a regular feature looking at the top five in a variety of Hull City related topics, we continue with a look at the players the have scored the most goals for the Tigers in the Club's 116-year history...
HULLCITYTIGERS.COM
Tigers 5s: Record Goalscorers - Hull City Tigers",2020-04-14 17:14:15,"HULLCITYTIGERS.COM
Tigers 5s: Record Goalscorers - Hull City Tigers",18,0,0,https://m.facebook.com/story.php?story_fbid=10157230115194537&id=258479264536,https://bit.ly/T5sTopScorers,18,1,0,0,0,0,nan
10157229687954537,"Giant Killers! 😵
HULLCITYTIGERS.COM
From The Archives: 1965/66 Cup Exploits Rewarded - Hull City Tigers",2020-04-14 14:18:13,"HULLCITYTIGERS.COM
From The Archives: 1965/66 Cup Exploits Rewarded - Hull City Tigers",34,5,3,https://m.facebook.com/story.php?story_fbid=10157229687954537&id=258479264536,https://bit.ly/FTACupExploits66,34,1,0,0,0,0,nan
10157229381804537,"The Club was saddened to learn of the passing of former player Alf Wood across the Easter weekend.
The thoughts of everyone at the Club are with Alf’s family and friends at this sad time.
➡️ https://bit.ly/InMemoryAlfWood",2020-04-14 11:08:22,,77,7,0,https://m.facebook.com/story.php?story_fbid=10157229381804537&id=258479264536,https://bit.ly/InMemoryAlfWood,77,10,0,0,43,0,nan
10157212889309537,"A look back to when the Tigers Co-Operative showed their support in the Club's hour of need...🧡
➡️ https://bit.ly/FTAFundraisingFans",2020-04-13 15:00:00,,82,7,0,https://m.facebook.com/story.php?story_fbid=10157212889309537&id=258479264536,https://bit.ly/FTAFundraisingFans,82,9,0,0,0,0,nan
10157212536639537,🙌 Today is the day Hull City sealed their place in an FA Cup final...,2020-04-13 12:00:00,,469,87,0,https://m.facebook.com/story.php?story_fbid=10157212536639537&id=258479264536,,469,139,4,0,2,0,nan
10157212834289537,"Justin Whittle - always a Tiger 🐯
➡️ https://bit.ly/OATWhittle",2020-04-12 20:00:00,,320,27,0,https://m.facebook.com/story.php?story_fbid=10157212834289537&id=258479264536,https://bit.ly/OATWhittle,320,30,0,0,0,0,nan
10157212862619537,"Our first victory over the Toffees since 1952...
➡️ https://bit.ly/ClassicClashEvertonH10",2020-04-12 13:35:00,,39,2,0,https://m.facebook.com/story.php?story_fbid=10157212862619537&id=258479264536,https://bit.ly/ClassicClashEvertonH10,39,1,0,0,0,0,nan
10157212838409537,Happy Easter from everyone at Hull City! 🧡,2020-04-12 09:00:00,,262,19,0,https://m.facebook.com/story.php?story_fbid=10157212838409537&id=258479264536,,262,29,0,0,0,0,nan
10157212819969537,"That's how you end a jinx in-front of the TV cameras! 🔥
https://bit.ly/FTATVJinx",2020-04-11 21:00:02,,180,23,0,https://m.facebook.com/story.php?story_fbid=10157212819969537&id=258479264536,https://bit.ly/FTATVJinx,180,27,0,0,0,0,nan
10157219347889537,"🙌 Can you spot yourself in the crowd on that day at Vicarage Road?
➡️ https://bit.ly/FMRLFanGalleryWAT08A",2020-04-11 19:00:00,,70,21,0,https://m.facebook.com/story.php?story_fbid=10157219347889537&id=258479264536,https://bit.ly/FMRLFanGalleryWAT08A,70,1,0,0,0,0,nan
10157212802294537,"📸 Advantage Hull City...
➡️ https://bit.ly/FMRInPicturesWATA",2020-04-11 17:00:00,,79,0,0,https://m.facebook.com/story.php?story_fbid=10157212802294537&id=258479264536,https://bit.ly/FMRInPicturesWATA,79,11,0,0,0,0,nan
10157219311309537,"FULL TIME
Watford 0-2 Hull City
WATCH LIVE 👇
https://bit.ly/FMRLWAT08A",2020-04-11 14:36:00,,85,10,0,https://m.facebook.com/story.php?story_fbid=10157219311309537&id=258479264536,https://bit.ly/FMRLWAT08A,85,10,0,0,0,0,nan
10157219304354537,"HALF TIME
Watford 0-2 Hull City
The Tigers with a dominant first-half showing...
WATCH LIVE 👇
https://bit.ly/FMRLWAT08A",2020-04-11 13:45:00,,57,1,0,https://m.facebook.com/story.php?story_fbid=10157219304354537&id=258479264536,https://bit.ly/FMRLWAT08A,57,5,0,0,0,0,nan
10157219301269537,"🍿 Grab your drinks and snacks, our Full Match Replay of Watford v Hull City is underway!
WATCH LIVE 👇
https://bit.ly/FMRLWAT08A",2020-04-11 13:00:01,,24,0,0,https://m.facebook.com/story.php?story_fbid=10157219301269537&id=258479264536,https://bit.ly/FMRLWAT08A,24,3,0,0,0,0,nan
