post_id,text,time,shared_text,likes,comments,shares,post_url,link,like,love,wow,haha,sorry,anger,w3_fb_url
10158340296672769,"The EA Sports FIFA 20 tournament sees players from each club go head-to-head 👊
LCFC.COM
James Justin To Join Stars For ePremier League Invitational Tournament",2020-04-17 11:54:59,"LCFC.COM
James Justin To Join Stars For ePremier League Invitational Tournament",128,0,3,https://m.facebook.com/story.php?story_fbid=10158340296672769&id=324520502768,https://www.lcfc.com/news/1657186/james-justin-to-join-stars-for-epremier-league-invitational-tournament/press-release,128,1,0,1,0,0,nan
10158336672972769,"On this day in 2016 🗓
A memorable game and a big point towards the title 🙌",2020-04-17 10:04:00,,655,59,0,https://m.facebook.com/story.php?story_fbid=10158336672972769&id=324520502768,,655,104,0,0,0,0,nan
10158336566577769,An iconic day in Leicester's history came 23 years ago today when the Foxes won the League Cup Final Replay at Hillsborough Stadium 🏆,2020-04-16 21:21:00,,967,88,0,https://m.facebook.com/story.php?story_fbid=10158336566577769&id=324520502768,,967,135,1,0,0,1,nan
10158335536577769,Vards takes on Filbert Fox in our first Virtual Penalty Shootout! 🕹️⚽️,2020-04-16 20:00:00,,726,44,0,https://m.facebook.com/story.php?story_fbid=10158335536577769&id=324520502768,,726,85,0,175,0,1,nan
10158337152282769,Foxes captain Wes Morgan is the latest player to catch up with LCFC TV via video call 💻,2020-04-16 18:30:48,,529,46,13,https://m.facebook.com/story.php?story_fbid=230706688004967&id=324520502768,,0,0,0,0,0,0,nan
10158336458067769,"""I had my own personal reasons for wanting to go back so badly."" - Frank Sinclair 🏆
𝟐𝟎 𝐘𝐞𝐚𝐫𝐬 𝐎𝐧: 𝐋𝐞𝐢𝐜𝐞𝐬𝐭𝐞𝐫'𝐬 𝐋𝐞𝐚𝐠𝐮𝐞 𝐂𝐮𝐩 𝐓𝐫𝐢𝐮𝐦𝐩𝐡 is available to watch on LCFC TV now!",2020-04-16 16:45:00,,192,4,0,https://m.facebook.com/story.php?story_fbid=10158336458067769&id=324520502768,,192,17,0,0,0,0,nan
10158335648157769,"1964 🏆
𝟏𝟗𝟗𝟕 🏆
2000 🏆
We won the League Cup for the second time in our history #OnThisDay 23 years ago!",2020-04-16 11:48:47,,1349,37,0,https://m.facebook.com/story.php?story_fbid=10158335648157769&id=324520502768,,1349,124,1,1,0,0,nan
10158331473297769,Leicester legend Shinji Okazaki turns 34 today! 🎉,2020-04-16 10:01:46,,4781,108,0,https://m.facebook.com/story.php?story_fbid=10158331473297769&id=324520502768,,4781,690,19,4,0,1,nan
10158331795077769,"Leicester City Development Squad striker George Hirst talks fitness, group chats and the importance of staying home in the latest LCFC TV video catch up 👨‍💻",2020-04-15 20:01:00,,263,5,0,https://m.facebook.com/story.php?story_fbid=10158331795077769&id=324520502768,,263,12,0,0,0,0,nan
10158332255982769,How about a 2015/16 Wednesday Wonderstrike? 😄,2020-04-15 19:05:00,,633,13,0,https://m.facebook.com/story.php?story_fbid=10158332255982769&id=324520502768,,633,55,0,1,0,0,nan
10158332731302769,"Who doesn't love a penalty shootout? 🤪
All the action from #lcfc's Carabao Cup victory over Newcastle from August 🏆",2020-04-15 18:00:39,,700,32,18,,,0,0,0,0,0,0,nan
10158331942442769,"6⃣ Colin Appleton
6⃣ Graham Cross
6⃣ Muzzy Izzet
6⃣ Robert Huth
6⃣ Jonny Evans
Who's your favourite-ever City No.6?
LCFC.COM
Iconic Shirt Numbers: Six Notable Leicester No.6s",2020-04-15 14:02:49,"LCFC.COM
Iconic Shirt Numbers: Six Notable Leicester No.6s",307,51,9,https://m.facebook.com/story.php?story_fbid=10158331942442769&id=324520502768,https://www.lcfc.com/news/1655697/iconic-shirt-numbers-six-notable-leicester-no6s,307,15,0,0,0,0,nan
10158329292112769,"A dreamy conference call 🤩
#StayHomeSaveLives",2020-04-14 21:44:09,,1038,9,0,https://m.facebook.com/story.php?story_fbid=10158329292112769&id=324520502768,,1038,59,1,1,0,0,nan
