post_id,text,time,shared_text,likes,comments,shares,post_url,link,like,love,wow,haha,sorry,anger,w3_fb_url
253338679174292,"A wonderful Mohamed Salah double 🔥🔥
It's time for ⏪#LFCReplayed⏪...",2020-04-16 13:56:11,,11868,335,477,,,11868,2147,52,37,15,19,nan
10159096212257573,"A big win on our Road to Madrid...
Those European nights ✨",2020-04-17 12:28:42,,5392,24,0,https://m.facebook.com/story.php?story_fbid=10159096212257573&id=67920382572,,5393,784,8,4,2,0,nan
10159099691142573,"""His energy is incredible, he has lungs for days. You can tell when he has the confidence, he's unbeatable and very hard to play against."" 🙌
Ryan Babel has used the word 'incredible' to best describe the qualities of VVD and Gini Wijnaldum: bit.ly/2RLgNbK",2020-04-17 10:00:39,,12268,95,0,https://m.facebook.com/story.php?story_fbid=10159099691142573&id=67920382572,https://bit.ly/2RLgNbK,12268,1341,17,7,0,0,nan
10159095999302573,"Four goals 🤩 A BIG Liverpool performance 🤩
One year ago today, the Reds beat FC Porto to go through to the UEFA Champions League semi-final... ✨",2020-04-17 08:32:00,,7783,64,0,https://m.facebook.com/story.php?story_fbid=10159095999302573&id=67920382572,,7784,1257,17,2,2,2,nan
10159095711422573,"Pure pace. Pure skill. Pure brilliance 🔥
What a goal from Mohamed Salah 👏",2020-04-16 20:32:07,,23665,322,0,https://m.facebook.com/story.php?story_fbid=10159095711422573&id=67920382572,,23665,4497,227,29,3,1,nan
10159095108967573,"Mumford and Sons frontman Marcus has recorded a cover of 'You'll Never Walk Alone' to raise money for charities and accompany people during the coronavirus outbreak.
We spoke to Marcus about the song, its meaning and his admiration for Klopp's Liverpool 🙌
LIVERPOOLFC.COM
Q&A: Marcus Mumford on covering YNWA, LFC and Klopp admiration",2020-04-16 17:44:23,"LIVERPOOLFC.COM
Q&A: Marcus Mumford on covering YNWA, LFC and Klopp admiration",11844,641,1318,https://m.facebook.com/story.php?story_fbid=10159095108967573&id=67920382572,https://www.liverpoolfc.com/news/features/392439-marcus-mumford-interview-ynwa,11844,1949,33,7,4,1,nan
10159095852167573,"We'd like you to meet Harry, a big Red who plays Wheelchair Football, every Friday with the LFC Foundation 🙌
His Dad, Mick, helps tell his story...❤️
#YNWA #UnityIsStrength",2020-04-16 16:32:16,,11858,156,0,https://m.facebook.com/story.php?story_fbid=10159095852167573&id=67920382572,,11858,2437,15,6,45,1,nan
10159095612562573,"Stay home. Stay positive. Stay healthy ❤️
We will see you soon, Reds 🙌",2020-04-16 15:33:00,,27710,234,0,https://m.facebook.com/story.php?story_fbid=10159095612562573&id=67920382572,,27710,4423,34,12,2,2,nan
10159095583892573,"Injury time. It's 2-2. Step forward, Gary Mac 😯🤩
One of the most memorable Merseyside derbies, 19 years ago today... 🙌",2020-04-16 14:26:29,,12795,560,0,https://m.facebook.com/story.php?story_fbid=10159095583892573&id=67920382572,,12795,2087,41,29,1,4,nan
10159086468177573,"Gini 𝙇𝙊𝙑𝙀𝙎 a header and an important goal 🤩💥
Our top Gini Wijnaldum strikes... 🔥",2020-04-16 11:45:00,,26021,541,0,https://m.facebook.com/story.php?story_fbid=10159086468177573&id=67920382572,,26021,5364,120,26,7,1,nan
10159099622222573,"A wonderful Mohamed Salah double 🔥🔥
It's time for ⏪#LFCReplayed⏪...",2020-04-16 11:31:00,,11868,335,477,,,0,0,0,0,0,0,nan
10159086379267573,"Happy birthday, Rafa 🎉🙌",2020-04-16 10:15:00,,45049,961,0,https://m.facebook.com/story.php?story_fbid=10159086379267573&id=67920382572,,45049,5832,60,24,4,4,nan
10159094920772573,,2020-04-16 10:00:02,,23426,161,0,,,0,0,0,0,0,0,nan
10159087711627573,,2020-04-15 23:00:00,,26931,161,0,https://m.facebook.com/story.php?story_fbid=10159087711627573&id=67920382572,,26931,7233,16,8,756,5,nan
10159090580807573,"Sir Kenny Dalglish has paid tribute to all those affected by the events of Hillsborough 31 years ago today.
LIVERPOOLFC.COM
Sir Kenny Dalglish: We are thinking of you all",2020-04-15 13:02:22,"LIVERPOOLFC.COM
Sir Kenny Dalglish: We are thinking of you all",11810,124,456,https://m.facebook.com/story.php?story_fbid=10159090580807573&id=67920382572,https://www.liverpoolfc.com/news/announcements/393031-sir-kenny-dalglish-hillsborough,11810,2918,10,7,173,0,nan
