post_id,text,time,shared_text,likes,comments,shares,post_url,link,like,love,wow,haha,sorry,anger,w3_fb_url
3074932375861341,"Kinder surprise! ⚽️
#OnThisDay in 1999, goals from defensive duo Vladimir Kinder and Dean Gordon saw #Boro beat Coventry City FC #UTB",2020-04-17 14:00:39,,110,23,0,https://m.facebook.com/story.php?story_fbid=3074932375861341&id=386636354690970,,110,7,0,1,0,0,nan
3074671682554077,"EFL chairman Rick Parry has written an open letter to all supporters 📝
MFC.CO.UK
EFL Open Letter To Supporters | Middlesbrough FC",2020-04-17 11:08:30,"MFC.CO.UK
EFL Open Letter To Supporters | Middlesbrough FC",30,14,10,https://m.facebook.com/story.php?story_fbid=3074671682554077&id=386636354690970,https://www.mfc.co.uk/news/efl-open-letter-to-supporters,30,1,1,0,1,0,nan
3073306999357212,👏 #ClapForOurCarers #ClapForOurKeyWorkers #UTB,2020-04-16 21:02:12,,382,8,0,https://m.facebook.com/story.php?story_fbid=3073306999357212&id=386636354690970,,382,72,0,0,1,0,nan
3073203872700858,"After an extensive search, our hunt for a Football Manager virtual boss is over 🤝✍️
Congrats and good luck to lifelong fan Neil Trewick - get behind him, #Boro fans! #UTB",2020-04-16 20:05:04,,155,28,0,https://m.facebook.com/story.php?story_fbid=3073203872700858&id=386636354690970,,155,3,0,3,0,0,nan
3072584466096132,"32 seconds of...Magic Man Paul Merson 💫
🤝 32Red #UTB",2020-04-16 14:59:55,,420,65,0,https://m.facebook.com/story.php?story_fbid=3072584466096132&id=386636354690970,,420,34,0,1,0,1,nan
3072295909458321,"#OnThisDay, Jordan Rhodes delivered ⚽️⚽️ #UTB
https://www.mfc.co.uk/news/onthisday-in-2016-jordan-rhodes-delivers-last-minute-winner-at-bolton",2020-04-16 12:23:12,,425,75,0,https://m.facebook.com/story.php?story_fbid=3072295909458321&id=386636354690970,https://www.mfc.co.uk/news/onthisday-in-2016-jordan-rhodes-delivers-last-minute-winner-at-bolton,425,62,0,1,0,1,nan
3072249876129591,,2020-04-16 11:51:51,,107,0,0,,,0,0,0,0,0,0,nan
3072219366132642,"The family of Alf Wood are raising funds for The National Brain Appeal in memory of the former #Boro striker
MFC.CO.UK
In Memory Of Former Boro Striker Alf Wood | Middlesbrough FC",2020-04-16 11:31:43,"MFC.CO.UK
In Memory Of Former Boro Striker Alf Wood | Middlesbrough FC",97,15,17,https://m.facebook.com/story.php?story_fbid=3072219366132642&id=386636354690970,https://www.mfc.co.uk/news/in-memory-of-former-boro-striker-alf-wood,97,1,0,0,24,0,nan
3072174822803763,"Start your Thursday right with every goal from #Boro's former Turkish star Tuncay 🇹🇷✨ #UTB
https://youtu.be/5cYemzc2kcw
YOUTUBE.COM
Every Goal | Tuncay",2020-04-16 11:04:20,"YOUTUBE.COM
Every Goal | Tuncay",308,61,63,https://m.facebook.com/story.php?story_fbid=3072174822803763&id=386636354690970,https://youtu.be/5cYemzc2kcw,308,26,0,0,0,0,nan
3069903156364263,"A best XI from 25 years at the Riverside? 🤔
Follow the link and enter your line-up 📄
Screenshot/download team 📲
Share in the comments 💬👇
#UTB
MFC.CO.UK
Pick Boro's Best Riverside XI | Middlesbrough FC",2020-04-15 13:15:52,"MFC.CO.UK
Pick Boro's Best Riverside XI | Middlesbrough FC",26,90,3,https://m.facebook.com/story.php?story_fbid=3069903156364263&id=386636354690970,https://www.mfc.co.uk/news/pick-boros-best-riverside-xi,26,0,0,0,0,0,nan
3069815549706357,"#OnThisDay 2⃣5⃣ years ago...
Uwe Fuchs scored the last of his 9⃣ #Boro goals, a late equaliser at Meadow Lane #UTB",2020-04-15 12:19:19,,227,63,0,https://m.facebook.com/story.php?story_fbid=3069815549706357&id=386636354690970,,227,22,0,1,0,0,nan
3069772799710632,"Great work from Red Faction - Ultras Boro 👏 #UTB
MFC.CO.UK
Red Faction's Fantastic Fundraiser | Middlesbrough FC",2020-04-15 11:52:23,"MFC.CO.UK
Red Faction's Fantastic Fundraiser | Middlesbrough FC",182,3,13,https://m.facebook.com/story.php?story_fbid=3069772799710632&id=386636354690970,https://www.mfc.co.uk/news/red-factions-fantastic-fundraiser,182,13,0,0,0,0,nan
3067763809911531,"#Boro's players are providing 1,000 food parcels for distribution across Teesside #UTB
MFC.CO.UK
Boro Players Provide 1,000 Food Parcels For Teesside | Middlesbrough FC",2020-04-14 15:52:36,"MFC.CO.UK
Boro Players Provide 1,000 Food Parcels For Teesside | Middlesbrough FC",303,7,45,https://m.facebook.com/story.php?story_fbid=3067763809911531&id=386636354690970,https://www.mfc.co.uk/news/boro-players-provide-1000-food-parcels-for-teesside,303,41,0,0,0,0,nan
3067403319947580,"#OnThisDay in 2001, Hamilton Ricard and Own Goal (2) were #Boro's Highbury heroes 🙌 #UTB
https://www.mfc.co.uk/news/onthisday-in-2001-gunners-own-goals-aid-boro-at-highbury",2020-04-14 12:31:08,,264,62,0,https://m.facebook.com/story.php?story_fbid=3067403319947580&id=386636354690970,https://www.mfc.co.uk/news/onthisday-in-2001-gunners-own-goals-aid-boro-at-highbury,264,26,0,0,0,0,nan
3065242493496996,"Thank you, #Boro fans, for all the applications so far 👍
The cut-off to send yours to supporters@mfc.co.uk is 5pm today #UTB
MFC.CO.UK
Be The Virtual Boss For Boro's Football Manager Campaign | Middlesbrough FC",2020-04-13 13:47:50,"MFC.CO.UK
Be The Virtual Boss For Boro's Football Manager Campaign | Middlesbrough FC",31,17,9,https://m.facebook.com/story.php?story_fbid=3065242493496996&id=386636354690970,https://www.mfc.co.uk/news/be-the-virtual-boss-for-boros-football-manager-campaign,31,3,0,0,0,0,nan
3065054623515783,"#OnThisDay in 1997 ⏪⚽️
Were you there? #UTB",2020-04-13 11:38:06,,589,215,0,https://m.facebook.com/story.php?story_fbid=3065054623515783&id=386636354690970,,589,28,5,0,1,2,nan
3062814850406427,"#OnThisDay today: a crazy winner at the Riverside 🤯
#OnThisDay tomorrow: Adam Forshaw sent flowers from a mystery #Boro fan 😂
#UTB
https://www.mfc.co.uk/news/onthisday-in-2016-forshaws-pinball-winner-sends-riverside-bonkers",2020-04-12 12:29:27,,474,93,0,https://m.facebook.com/story.php?story_fbid=3062814850406427&id=386636354690970,https://www.mfc.co.uk/news/onthisday-in-2016-forshaws-pinball-winner-sends-riverside-bonkers,474,94,1,8,0,0,nan
3060664457288133,"Two winners announced during today's #BoroWatchalong ✅
A total of 2️⃣5️⃣ lucky #Boro fans to come to celebrate our Riverside anniversary #UTB
MFC.CO.UK
Riverside 25: Lucky Duo Win The Cost Of Their Season Cards | Middlesbrough FC",2020-04-11 14:41:30,"MFC.CO.UK
Riverside 25: Lucky Duo Win The Cost Of Their Season Cards | Middlesbrough FC",42,3,6,https://m.facebook.com/story.php?story_fbid=3060664457288133&id=386636354690970,https://www.mfc.co.uk/news/riverside-25-lucky-duo-win-the-cost-of-their-season-cards,42,3,0,0,0,0,nan
3060657713955474,"Bought or renewed your #Boro Season Card for next season?
This special half-time draw in our #BoroWatchalong may interest you... #UTB",2020-04-11 14:37:49,,268,37,0,https://m.facebook.com/story.php?story_fbid=3060657713955474&id=386636354690970,,268,37,0,0,0,0,nan
3060372700650642,"Will you be tuning in? ⏪📺 #UTB #BoroWatchalong
https://www.mfc.co.uk/news/borowatchalong-boro-v-brighton-saturday-1230pm",2020-04-11 11:16:52,,145,48,0,https://m.facebook.com/story.php?story_fbid=3060372700650642&id=386636354690970,https://www.mfc.co.uk/news/borowatchalong-boro-v-brighton-saturday-1230pm,145,12,0,0,0,0,nan
3059095454111700,"Stay At Home Playlist 🎶
#Boro boss Jonathan Woodgate with six tracks for your Friday night 👇💿
https://open.spotify.com/playlist/0GavZrEPxsNiPpEJUVDT2y
🤝 TFM #UTB",2020-04-10 20:56:54,,34,18,0,https://m.facebook.com/story.php?story_fbid=3059095454111700&id=386636354690970,https://open.spotify.com/playlist/0GavZrEPxsNiPpEJUVDT2y,34,1,0,9,0,0,nan
3058881334133112,"“Supporters are looking for something that makes their club special - and #Boro are so lucky to have that in their armoury that they can wear"" 👕
Football shirt expert John Devlin on the #BoroKitCup outcome 💬👇 #UTB
MFC.CO.UK
#BoroKitCup - Winners Are ‘Unmistakably Boro’ | Middlesbrough FC",2020-04-10 19:03:03,"MFC.CO.UK
#BoroKitCup - Winners Are ‘Unmistakably Boro’ | Middlesbrough FC",171,9,9,https://m.facebook.com/story.php?story_fbid=3058881334133112&id=386636354690970,https://www.mfc.co.uk/news/borokitcup-winners-are-unmistakably-boro,171,6,0,0,0,0,nan
3057983000889612,"“Hello?”
“Hello it’s George Friend here...” 📞
#UTB #StayHomeSavesLives
MFC.CO.UK
MFC Reach Out To The Elderly | Middlesbrough FC",2020-04-10 10:08:01,"MFC.CO.UK
MFC Reach Out To The Elderly | Middlesbrough FC",138,16,17,https://m.facebook.com/story.php?story_fbid=3057983000889612&id=386636354690970,https://www.mfc.co.uk/news/mfc-reach-out-to-the-elderly,138,27,0,0,0,0,nan
3056557761032136,"“Everyone try and stay positive and let’s really get the feeling and the spirit of Teesside together while we fight this"" 🙌 #UTB
MFC.CO.UK
Boro Urge Teessiders To Stay Home And Save Lives | Middlesbrough FC",2020-04-09 19:09:24,"MFC.CO.UK
Boro Urge Teessiders To Stay Home And Save Lives | Middlesbrough FC",127,7,12,https://m.facebook.com/story.php?story_fbid=3056557761032136&id=386636354690970,https://www.mfc.co.uk/news/trio-urge-teessiders-to-stay-home-and-save-lives,127,8,0,0,0,0,nan
3056517751036137,"Thousands of votes have brought us this far, now it's time to crown the winner of the #BoroKitCup
MFC.CO.UK
#BoroKitCup - The Final | Middlesbrough FC",2020-04-09 18:47:40,"MFC.CO.UK
#BoroKitCup - The Final | Middlesbrough FC",20,9,4,https://m.facebook.com/story.php?story_fbid=3056517751036137&id=386636354690970,https://www.mfc.co.uk/news/borokitcup-the-final,20,0,0,0,0,0,nan
3055867304434515,"32 seconds of...Franck Queudrue ♥️ #UTB
🤝 32Red",2020-04-09 12:49:22,,1037,260,0,https://m.facebook.com/story.php?story_fbid=3055867304434515&id=386636354690970,,1037,244,0,2,0,0,nan
