post_id,text,time,shared_text,likes,comments,shares,post_url,link,like,love,wow,haha,sorry,anger,w3_fb_url
3518579818156114,"Relive our first unforgettable game, as one man stole the headlines, and another stole a kiss, late on... ⏱️💋
📝 Match recap
🌟 Standout moment
📺 Watch all the action
#FlashbackFriday
SAFC.COM
Ji downs Man City",2020-04-17 15:46:58,"SAFC.COM
Ji downs Man City",75,11,10,https://m.facebook.com/story.php?story_fbid=3518579818156114&id=118389841508479,https://www.safc.com/news/club-news/2020/april/man-city-flashback,75,14,0,0,0,0,nan
3513258835354879,"💫🦸‍♂️ 'SUPER KEV' 🦸‍♂️💫
David Jones is back with episode #3 of his new show, joining Sunderland legend Kevin Phillips to look back on his esteemed career.
📺 Watch the feature interview 👉 https://youtu.be/l-3Q7XjkYbI",2020-04-15 19:00:01,,171,12,0,https://m.facebook.com/story.php?story_fbid=3513258835354879&id=118389841508479,https://youtu.be/l-3Q7XjkYbI,171,31,0,0,0,0,nan
3513201902027239,"The legend. The hat trick. The win.
What’s your #unforgettable moment?",2020-04-15 13:39:15,,292,51,0,https://m.facebook.com/story.php?story_fbid=3513201902027239&id=118389841508479,,292,33,0,1,0,0,nan
3512920082055421,"Today, we stand with Liverpool FC to remember the 96 supporters who lost their lives at Hillsborough 31 years ago today.
They will never be forgotten.",2020-04-15 10:58:36,,1512,68,0,https://m.facebook.com/story.php?story_fbid=3512920082055421&id=118389841508479,,1512,404,0,1,98,1,nan
3511384905542272,"Foundation of Light is feeling inspired.
April 14 at 2:17 PM ·
🤔Age 16 and want to pursue a career in sport?
Have you seen our Football & Education Scholarships?
⚽️Boys and girls squads
👨‍🏫Quality coaching
🔴⚪️Represent Sunderland AFC in National Football Youth League
🎓Qualification = Three A Levels
Register your interest 📩scholarships@foundationoflight.co.uk",2020-04-14 20:24:43,"Foundation of Light is feeling inspired.
April 14 at 2:17 PM ·
🤔Age 16 and want to pursue a career in sport?
Have you seen our Football & Education Scholarships?
⚽️Boys and girls squads
👨‍🏫Quality coaching
🔴⚪️Represent Sunderland AFC in National Football Youth League
🎓Qualification = Three A Levels
Register your interest 📩scholarships@foundationoflight.co.uk",40,2,12,https://m.facebook.com/story.php?story_fbid=3511384905542272&id=118389841508479,,40,1,0,0,0,0,nan
3510437992303630,"💪 Join Luke O'Nien for the Sunderland midfielder's second lockdown workout!
Watch the full video... 📺👇
YOUTUBE.COM
LUKE O'NIEN LOCKDOWN WORKOUT #2",2020-04-14 12:30:33,"YOUTUBE.COM
LUKE O'NIEN LOCKDOWN WORKOUT #2",517,65,55,https://m.facebook.com/story.php?story_fbid=3510437992303630&id=118389841508479,https://www.youtube.com/watch?v=qI9GXdgQEo0,517,53,0,1,0,0,nan
3507783852569044,"Foundation of Light
April 13 at 8:55 AM ·
🥊 Today's #MondayMotivation packs a punch!
Great to hear from Tony Jeffries - thanks for the kind words, Tony - as if the Foundation of Light's endeavours have gone stateside! 🇺🇸
💪 We've been keeping up with your good work Box 'N Burn too - great effort in keeping everyone active!",2020-04-13 10:39:11,"Foundation of Light
April 13 at 8:55 AM ·
🥊 Today's #MondayMotivation packs a punch!
Great to hear from Tony Jeffries - thanks for the kind words, Tony - as if the Foundation of Light's endeavours have gone stateside! 🇺🇸
💪 We've been keeping up with your good work Box 'N Burn too - great effort in keeping everyone active!",64,2,4,https://m.facebook.com/story.php?story_fbid=3507783852569044&id=118389841508479,,64,5,0,0,0,0,nan
3500476563299773,"Stadium of Light
April 10 at 12:57 PM ·
🚔 Fans and residents are reminded that the Stadium of Light and Academy of Light are private properties. We have recorded an upturn in illegal group activity, and working with Northumbria Police, have increased our security patrols. Thank you for your continued cooperation.
#StayHomeSaveLives",2020-04-10 13:59:01,"Stadium of Light
April 10 at 12:57 PM ·
🚔 Fans and residents are reminded that the Stadium of Light and Academy of Light are private properties. We have recorded an upturn in illegal group activity, and working with Northumbria Police, have increased our security patrols. Thank you for your continued cooperation.
#StayHomeSaveLives",73,6,24,https://m.facebook.com/story.php?story_fbid=3500476563299773&id=118389841508479,,73,6,0,0,1,0,nan
3498053140208782,"FOUNDATIONOFLIGHT.CO.UK
News | Foundation of Light | Foundation needs your support during crisis
Foundation of Light is feeling blessed.
April 9 at 9:06 AM ·
👨‍👩‍👧Sir Bob Murray is appealing to the Sunderland AFC community to continue to support Foundation of Light during these difficult times, so it can keep up its vital work in the north east and help those most in need.
#FoLFightsBack",2020-04-09 14:27:07,"FOUNDATIONOFLIGHT.CO.UK
News | Foundation of Light | Foundation needs your support during crisis
Foundation of Light is feeling blessed.
April 9 at 9:06 AM ·
👨‍👩‍👧Sir Bob Murray is appealing to the Sunderland AFC community to continue to support Foundation of Light during these difficult times, so it can keep up its vital work in the north east and help those most in need.
#FoLFightsBack",53,5,2,https://m.facebook.com/story.php?story_fbid=3498053140208782&id=118389841508479,https://www.foundationoflight.co.uk/news/with-your-ongoing-support-we-can-continue-good-work/,53,5,0,0,0,0,nan
,"Foundation of Light is feeling blessed.
April 9 at 9:06 AM ·
👨‍👩‍👧Sir Bob Murray is appealing to the Sunderland AFC community to continue to support Foundation of Light during these difficult times, so it can keep up its vital work in the north east and help those most in need.
#FoLFightsBack",,"Foundation of Light is feeling blessed.
April 9 at 9:06 AM ·
👨‍👩‍👧Sir Bob Murray is appealing to the Sunderland AFC community to continue to support Foundation of Light during these difficult times, so it can keep up its vital work in the north east and help those most in need.
#FoLFightsBack",0,0,0,https://m.facebook.com/story.php?story_fbid=3348403748506283&id=824363314243685,https://www.foundationoflight.co.uk/news/with-your-ongoing-support-we-can-continue-good-work/,-1,-1,-1,-1,-1,-1,nan
3497776903569739,"“It’s Phillips, good try... BRILLIANT! BRILLIANT!”
What’s your #unforgettable goal?
📸 SAFC Pools",2020-04-09 11:44:14,,339,51,0,https://m.facebook.com/story.php?story_fbid=3497776903569739&id=118389841508479,,339,44,1,0,0,0,nan
3497724623574967,"'Together, we will get through this...'
Chairman Stewart Donald has written an open letter to Sunderland AFC supporters, discussing a number of key areas during the COVID-19 pandemic.
Read it in full... 📨👇
SAFC.COM
Donald's open letter to fans",2020-04-09 11:10:26,"SAFC.COM
Donald's open letter to fans",1013,139,44,https://m.facebook.com/story.php?story_fbid=3497724623574967&id=118389841508479,https://www.safc.com/news/club-news/2020/april/stewart-donald-s-open-letter-to-fans,1013,116,0,2,0,0,nan
3495845210429575,"Foundation of Light is feeling proud.
April 8 at 11:22 AM ·
💪 Who better to help us through hump day than our very own PFA Community Champion, Sunderland AFC's Luke O'Nien.
👏Thank you for your ongoing support, Luke",2020-04-08 16:21:24,"Foundation of Light is feeling proud.
April 8 at 11:22 AM ·
💪 Who better to help us through hump day than our very own PFA Community Champion, Sunderland AFC's Luke O'Nien.
👏Thank you for your ongoing support, Luke",333,28,13,https://m.facebook.com/story.php?story_fbid=3495845210429575&id=118389841508479,,333,63,0,0,0,0,nan
3495536507127112,"Sunderland StatZone
April 8 at 12:30 PM ·
👀 George Dobson has won the most tackles out of any Sunderland player this season so far (52).
The midfielder has made 29 league appearances for the Black Cats during the 2019/20 campaign. ⚽
Stat Card sponsored by HMH Civils Limited",2020-04-08 13:39:49,"Sunderland StatZone
April 8 at 12:30 PM ·
👀 George Dobson has won the most tackles out of any Sunderland player this season so far (52).
The midfielder has made 29 league appearances for the Black Cats during the 2019/20 campaign. ⚽
Stat Card sponsored by HMH Civils Limited",102,15,6,https://m.facebook.com/story.php?story_fbid=3495536507127112&id=118389841508479,,102,14,0,0,0,0,nan
3495409533806476,"👏👏👏
An incredible gesture from our the Consett and District Sunderland Supporters’ Association, who have raised and donated over £7,000 for Willow Burn Hospice at a time when they need it most.
Full story... 🗞️👇
SAFC.COM
Consett branch make incredible donation",2020-04-08 12:28:32,"SAFC.COM
Consett branch make incredible donation",643,35,102,https://m.facebook.com/story.php?story_fbid=3495409533806476&id=118389841508479,https://www.safc.com/news/club-news/2020/april/consett-branch-raise-valuable-funds-for-willow-burn,643,85,1,0,0,0,nan
3493210734026356,"📰 Sunderland AFC can today confirm that its first-team players, contracted academy players and backroom staff have recently been placed on furlough leave due to the ongoing impact of the COVID-19 pandemic.
SAFC.COM
COVID-19 update",2020-04-07 14:26:04,"SAFC.COM
COVID-19 update",314,82,50,https://m.facebook.com/story.php?story_fbid=3493210734026356&id=118389841508479,https://www.safc.com/news/team-news/2020/april/players-and-backroom-staff-placed-on-furlough-leave,314,3,22,7,38,4,nan
3491263784221051,"Foundation of Light is asking for donations.
April 6 at 3:58 PM ·
#FoLFightsBack | Week 3: Top Bins & Squats
It's the one we've all been waiting for, top bins! Chipping the ball into the bin - what too easy? How about catching it on the volley? There's also some nice squats for you to try - feel the burn!
For more subscribe to the Foundation's official YouTube channel here: http://bit.ly/SAFCFoLYT",2020-04-06 18:18:32,"Foundation of Light is asking for donations.
April 6 at 3:58 PM ·
#FoLFightsBack | Week 3: Top Bins & Squats
It's the one we've all been waiting for, top bins! Chipping the ball into the bin - what too easy? How about catching it on the volley? There's also some nice squats for you to try - feel the burn!
For more subscribe to the Foundation's official YouTube channel here: http://bit.ly/SAFCFoLYT",32,3,0,https://m.facebook.com/story.php?story_fbid=3491263784221051&id=118389841508479,https://bit.ly/SAFCFoLYT,32,4,0,0,0,0,nan
3491118594235570,"Sunderland AFC would like to update fans regarding 2020-21 season card renewals, with several deadlines extended...
🐦 Early-bird pricing: 7 May
💳 Direct Debit deadline: 14 May
🗓️ First DD payment: 1 June
More information... 👇
SAFC.COM
2020-21 season card update",2020-04-06 17:06:02,"SAFC.COM
2020-21 season card update",115,79,34,https://m.facebook.com/story.php?story_fbid=3491118594235570&id=118389841508479,https://www.safc.com/news/club-news/2020/april/202021-season-card-renewal-update,115,3,1,0,0,0,nan
3490905644256865,"Sunderland StatZone
April 6 at 2:00 PM ·
🔴⚪ Lynden Gooch is currently Sunderland's top goalscorer in League One this season, with 10 goals.
Here are the American's stats from the 2019/20 campaign so far. 👇
Stat Card sponsored by Premier Traffic Management Limited https://www.premier-traffic.co.uk/",2020-04-06 15:25:57,"Sunderland StatZone
April 6 at 2:00 PM ·
🔴⚪ Lynden Gooch is currently Sunderland's top goalscorer in League One this season, with 10 goals.
Here are the American's stats from the 2019/20 campaign so far. 👇
Stat Card sponsored by Premier Traffic Management Limited https://www.premier-traffic.co.uk/",96,5,2,https://m.facebook.com/story.php?story_fbid=3490905644256865&id=118389841508479,https://www.premier-traffic.co.uk/,96,7,0,0,0,0,nan
3490597674287662,"🎱 With the Pools Panel adjudicating on football results whilst games are suspended, SAFC pools is still running!
And with this month’s Super Prize Draw, you could win up to £50k in guaranteed cash prizes!
Play here 👉 https://bit.ly/3bn8Pgu",2020-04-06 12:40:19,,24,2,0,https://m.facebook.com/story.php?story_fbid=3490597674287662&id=118389841508479,https://bit.ly/3bn8Pgu,24,4,0,0,0,0,nan
3490474900966606,"Foundation of Light
April 6 at 8:00 AM ·
👑 Wow! What better way to start the week than with praise of the highest order!
🏰 A very special message to the Foundation of Light from the palace...
#MondayMotivation",2020-04-06 11:13:58,"Foundation of Light
April 6 at 8:00 AM ·
👑 Wow! What better way to start the week than with praise of the highest order!
🏰 A very special message to the Foundation of Light from the palace...
#MondayMotivation",232,12,17,https://m.facebook.com/story.php?story_fbid=3490474900966606&id=118389841508479,,232,24,2,0,0,0,nan
3485708718109891,"💽 First album
💪 Pre-match anthem
❌ Who has the worst taste in music
Joel Lynch selects his dressing room discs, including a random guilty pleasure... 👀👇",2020-04-04 13:06:50,,50,5,0,https://m.facebook.com/story.php?story_fbid=3485708718109891&id=118389841508479,,50,3,0,0,0,0,nan
3485576194789810,"ICYMI: As a result of the ongoing COVID-19 pandemic, the EFL has agreed to postpone its competitions until it is safe to resume.
Read more... 🗞👇🏻
SAFC.COM
Games postponed until safe to resume",2020-04-04 11:53:56,"SAFC.COM
Games postponed until safe to resume",118,25,12,https://m.facebook.com/story.php?story_fbid=3485576194789810&id=118389841508479,https://www.safc.com/news/club-news/2020/april/efl-coronavirus-update-3-april,118,1,0,0,0,0,nan
