post_id,text,time,shared_text,likes,comments,shares,post_url,link,like,love,wow,haha,sorry,anger,w3_fb_url
10157365861483505,"🏟️ 🏥 From Spurs to North Middlesex Hospital
A look behind the scenes at Tottenham Hotspur Stadium, which is currently housing Women’s Outpatient Services and providing COVID-19 testing for NHS staff and their families 💙",2020-04-17 18:00:01,,1140,31,0,https://m.facebook.com/story.php?story_fbid=10157365861483505&id=351687753504,,1140,140,2,1,0,0,nan
10157365892703505,👔 Suited by BOSS 🔥,2020-04-17 16:33:38,,5730,119,0,,,5730,697,22,10,1,1,nan
10157365358293505,Stunning from Sonny 😍,2020-04-17 14:00:01,,4717,112,0,,,4717,989,20,7,1,2,nan
10157365175403505,"⏱️ 🔜 Tonight at 8pm...
...one of the greatest-ever UEFA Champions League encounters!",2020-04-17 11:00:01,,2423,129,0,,,2423,404,11,3,1,3,nan
599593497568969,"🎮 Live FIFA action in the #StayAndPlay Cup!
⚪️ 🇨🇮 Serge Aurier
🔵 🇵🇹 Fabio Silva",2020-04-16 18:43:45,,2246,572,63,,,2246,322,6,19,4,9,nan
10157361942913505,The first-ever hat-trick at Tottenham Hotspur Stadium - courtesy of Lucas Moura! ⚡🎩,2020-04-16 17:00:03,,1889,38,0,https://m.facebook.com/story.php?story_fbid=10157361942913505&id=351687753504,,1889,243,4,3,1,1,nan
10157361734983505,"🗓️⚡ 15 years ago today... Edman out of nowhere!
#GoalOfTheDay",2020-04-16 14:00:06,,3759,223,0,https://m.facebook.com/story.php?story_fbid=10157361734983505&id=351687753504,,3759,463,70,10,0,3,nan
10157361680513505,"🎮 🔥 Our #StayAndPlay Cup campaign starts today. Let's go, Serge!
🆚 FC Porto
⏱️ 6.30pm (UK)
📺 www.twitch.tv/easportsfifa",2020-04-16 11:00:02,,913,28,0,,http://www.twitch.tv/easportsfifa,913,97,2,7,1,2,nan
10157358799508505,"Happy birthday, Aaron Lennon! 🎂🎉",2020-04-16 09:00:01,,5331,213,0,https://m.facebook.com/story.php?story_fbid=10157358799508505&id=351687753504,,5331,750,8,6,3,2,nan
10157359152043505,🗓️ A fantastic four against Bournemouth on this day in 2017! 🔥,2020-04-15 20:00:01,,1575,33,0,https://m.facebook.com/story.php?story_fbid=10157359152043505&id=351687753504,,1575,187,4,1,0,2,nan
10157359254413505,"Yesterday, our stadium opened its doors to patients of North Middlesex University Hospital NHS Trust Women's Outpatient Services.
The clinic will operate Monday to Saturday and will see up to 70 patients visit every day, freeing up capacity at the hospital itself to treat patients with COVID-19 symptoms.",2020-04-15 18:21:29,,11629,236,0,https://m.facebook.com/story.php?story_fbid=10157359254413505&id=351687753504,,11629,956,23,7,1,2,nan
10157358996458505,"🎨 Spurs Art Challenge!
✏️ Show us your drawing skills - it could be the players, the stadium, Chirpy or our crest!
👇 Reply with your entries and we'll feature some of the best!",2020-04-15 16:45:01,,949,24,0,https://m.facebook.com/story.php?story_fbid=10157358996458505&id=351687753504,,949,85,1,1,0,1,nan
10157358489098505,"The family of Jimmy Greaves have informed us that our all-time leading scorer has this morning been discharged from hospital and is now back at his home.
Everybody at the Club sends their best wishes to Jimmy and his family.
TOTTENHAMHOTSPUR.COM
Jimmy Greaves update | Tottenham Hotspur",2020-04-15 13:06:30,"TOTTENHAMHOTSPUR.COM
Jimmy Greaves update | Tottenham Hotspur",10750,443,325,https://m.facebook.com/story.php?story_fbid=10157358489098505&id=351687753504,https://www.tottenhamhotspur.com/news/2020/april/jimmy-greaves-update-15-april/,10750,1474,10,4,2,0,nan
10157355831953505,🎥 Monster Cam Unseen: Harry Winks wins it right at the death!,2020-04-15 09:00:01,,2139,34,0,,,2139,315,6,3,1,0,nan
10157355957678505,"10 years on from Danny Rose's rocket, we take a look back at our top 10 dream debuts! ✨
Which is your favourite? 👇",2020-04-14 20:30:21,,3664,90,0,https://m.facebook.com/story.php?story_fbid=10157355957678505&id=351687753504,,3664,417,11,3,1,1,nan
10157355342743505,"🗓️ 10 years ago today, victory in the derby - featuring that Danny Rose rocket! 🤯",2020-04-14 18:00:00,,2218,46,0,https://m.facebook.com/story.php?story_fbid=10157355342743505&id=351687753504,,2218,247,6,3,2,2,nan
10157355610673505,Delight in the derby a decade ago today 💪,2020-04-14 16:00:53,,2369,16,0,,,2369,216,6,2,1,1,nan
10157355337923505,"Derby delight in The Emirates FA Cup semi-final on this day in 1991, featuring THAT free-kick from Gazza! 🔥",2020-04-14 13:57:51,,6942,362,0,https://m.facebook.com/story.php?story_fbid=10157355337923505&id=351687753504,,6942,1113,24,24,2,3,nan
10157355183628505,"Congratulations, Steven Bergwijn! 💙",2020-04-14 12:14:41,,25283,346,0,https://m.facebook.com/story.php?story_fbid=10157355183628505&id=351687753504,,25283,3485,76,13,5,1,nan
10157355071708505,"🗓️ 10 years ago today, Danny Rose did this on his Premier League debut! 🚀",2020-04-14 10:54:37,,6845,448,0,https://m.facebook.com/story.php?story_fbid=10157355071708505&id=351687753504,,6845,1107,87,10,2,2,nan
10157348573968505,"Sonny 🆚 City
#GoalOfTheDay",2020-04-13 22:00:00,,9610,87,0,https://m.facebook.com/story.php?story_fbid=10157348573968505&id=351687753504,,9610,1483,42,8,2,3,nan
10157348698108505,A classic encounter with Man Utd - featuring a rocket from Stephen Carr! 🚀,2020-04-13 19:00:01,,3112,99,0,https://m.facebook.com/story.php?story_fbid=10157348698108505&id=351687753504,,3112,276,10,5,0,2,nan
10157349390953505,"📞 Eric Dier calls Dan and Ed, two members of Maidenhead Spurs, to learn more about the recent fundraising they have been doing for nhs.uk.
#SpursAtHome",2020-04-13 16:00:34,,2083,30,0,https://m.facebook.com/story.php?story_fbid=10157349390953505&id=351687753504,,2083,203,1,2,1,1,nan
10157352136548505,"Club update – COVID-19
TOTTENHAMHOTSPUR.COM
www.tottenhamhotspur.com",2020-04-13 14:02:46,"TOTTENHAMHOTSPUR.COM
www.tottenhamhotspur.com",7250,268,288,https://m.facebook.com/story.php?story_fbid=10157352136548505&id=351687753504,https://www.tottenhamhotspur.com/news/2020/april/club-update-covid-19/,7250,304,12,3,9,4,nan
10157348917608505,"💪 Squat jumps, dynamic lunges and crocodile push-ups!
👊 The latest instalment of Shape Up With Spurs has landed!",2020-04-13 12:00:01,,1526,37,0,https://m.facebook.com/story.php?story_fbid=10157348917608505&id=351687753504,,1526,102,3,1,1,3,nan
10157348524053505,"Happy birthday, Kyle Walker-Peters! 🎉",2020-04-13 10:00:58,,12829,229,0,https://m.facebook.com/story.php?story_fbid=10157348524053505&id=351687753504,,12829,1150,18,10,2,2,nan
10157338594618505,⭐ A five-star performance against Newcastle - including a double for Louis Saha on his home debut!,2020-04-12 18:00:41,,4520,165,0,https://m.facebook.com/story.php?story_fbid=10157338594618505&id=351687753504,,4520,338,9,7,3,1,nan
10157348581848505,"🎮 No Rules FIFA returns! 🤣
Lucas Moura and Gedson take on Steven Bergwijn and Erik Lamela in an epic encounter - who will come out on top?!",2020-04-12 13:01:03,,21555,618,693,,,0,0,0,0,0,0,nan
10157348420448505,"Happy Easter! Our mascot Chirpy has put together a treasure hunt to celebrate!
Can you make it to the end? Play now! 👇
TOTTENHAMHOTSPUR.COM
Chirpy’s Easter Treasure Hunt – play now! | Tottenham Hotspur",2020-04-12 11:29:53,"TOTTENHAMHOTSPUR.COM
Chirpy’s Easter Treasure Hunt – play now! | Tottenham Hotspur",1485,51,21,https://m.facebook.com/story.php?story_fbid=10157348420448505&id=351687753504,https://www.tottenhamhotspur.com/news/2020/april/chirpy-s-easter-treasure-hunt-play-now/,1485,166,2,6,0,2,nan
10157348390518505,Happy Easter from Tottenham Hotspur!,2020-04-12 11:09:54,,14090,172,0,https://m.facebook.com/story.php?story_fbid=10157348390518505&id=351687753504,,14090,1656,22,10,4,3,nan
10157338852553505,Passion 👊,2020-04-12 10:00:00,,2911,113,0,https://m.facebook.com/story.php?story_fbid=10157338852553505&id=351687753504,,2911,377,2,5,0,2,nan
10157338422048505,"💥 Dynamite Dalmat 💥
#GoalOfTheDay",2020-04-11 22:00:00,,2259,95,0,https://m.facebook.com/story.php?story_fbid=10157338422048505&id=351687753504,,2259,204,16,1,0,1,nan
10157338428118505,A classic encounter against The Saints! 👊,2020-04-11 18:00:44,,1826,43,0,https://m.facebook.com/story.php?story_fbid=10157338428118505&id=351687753504,,1826,153,2,0,1,1,nan
