post_id,text,time,shared_text,likes,comments,shares,post_url,link,like,love,wow,haha,sorry,anger,w3_fb_url
10158043502466815,"Will Hughes' Watford career so far...
6️⃣ goals
🔟 assists so far
Remind yourself of all of them as we show you his best bits in a Watford shirt!",2020-04-17 18:30:00,,74,3,0,https://m.facebook.com/story.php?story_fbid=10158043502466815&id=21223691814,,74,8,0,0,0,0,nan
10158040551526815,"Happy 25th Birthday, Will Hughes 🥳
Send Will your birthday messages below...",2020-04-17 12:34:00,,918,73,0,https://m.facebook.com/story.php?story_fbid=10158040551526815&id=21223691814,,918,34,1,1,0,0,nan
10158039881096815,"There's 3️⃣ for 2️⃣ on all football equipment at The Hornets Shop!
Grab yourself an incredible deal!
🛒 shop.watfordfc.com",2020-04-17 10:19:00,,57,3,0,https://m.facebook.com/story.php?story_fbid=10158039881096815&id=21223691814,http://shop.watfordfc.com/,57,1,0,0,0,0,nan
10158040015771815,"Tonight we applaud all of our NHS heroes as one BIG #watfordfc family 💛
Thank you to everyone who sent in a video 👏
#ClapForOurCarers #TeamWestHerts",2020-04-16 21:00:01,,381,10,0,https://m.facebook.com/story.php?story_fbid=10158040015771815&id=21223691814,,381,80,0,0,0,0,nan
10158039560031815,"“On a match day, Troy is your leader, a big motivator and not only does he do his talking in the changing room, he delivers more occasions than not on the pitch. He is a key influencer in the group and his biggest qualities are not just as a player, but as an individual around the club and the way he drives the training and sets the standards. He is very well respected in the group and you don't just get that – you earn it over time. He's been an incredible player for the club and he's still got years left in him. He's a huge asset to the club.”
Strong words for the captain Troy Deeney from Graham Stack 💛",2020-04-16 18:03:00,,466,22,0,https://m.facebook.com/story.php?story_fbid=10158039560031815&id=21223691814,,466,38,1,1,0,0,nan
10158039153786815,"📸 Cozzi's Classics: Big Days Out 📸
Alan Cozzi has been Watford FC's full-time photographer since 1997, capturing iconic and historic moments at the club through the lens of his camera.
In the latest instalment of a regular series taking a look at the stories behind classic photos from his archives, Cozzi talks us through his most memorable pictures from some of the biggest days out in Watford's history...
Days out at Wembley ✅
Promotion clinchers ✅
Title wins ✅
➡️ www.watfordfc.com/club/cozzis-classics-big-days-out",2020-04-16 13:35:00,,163,5,0,https://m.facebook.com/story.php?story_fbid=10158039153786815&id=21223691814,http://www.watfordfc.com/club/cozzis-classics-big-days-out,163,5,0,0,0,0,nan
10158036077651815,"1️⃣ An incredible 60% off all kit & trainingwear.
2️⃣ Free delivery on all orders over £20.
🛒 shop.watfordfc.com",2020-04-16 10:30:00,,82,1,0,https://m.facebook.com/story.php?story_fbid=10158036077651815&id=21223691814,http://shop.watfordfc.com/,82,0,0,0,0,0,nan
10158035446441815,"It's time for round two of Ben Foster's cycling sessions 🚴‍♂️
Our resident instructor is back again as he leads the lads through an intense 20 minute interval training session from the comfort of their own homes!
As always, this looks tough 😰
Check out the full session ➡️ https://www.youtube.com/watch?v=kcm1Y5vqF4g",2020-04-15 17:00:01,,393,27,0,https://m.facebook.com/story.php?story_fbid=10158035446441815&id=21223691814,https://www.youtube.com/watch?v=kcm1Y5vqF4g,393,63,1,4,0,0,nan
10158035028331815,🗓️ On this day in 1978 the Golden Boys paraded the Fourth Division Title as Ross Jenkins scored in 1-1 draw with Southend.,2020-04-15 14:43:27,,330,26,0,https://m.facebook.com/story.php?story_fbid=10158035028331815&id=21223691814,,330,39,1,1,0,0,nan
10158031819606815,"🗣️ LET'S TALK 🗣️
As we prepare to clap for our amazing carers again tomorrow night, we want to know what's the best team performance that you’ve seen from Watford?
1️⃣ Tell us in the comments below
2️⃣ Get your Watford shirt on.
3️⃣ Film yourself clapping in landscape.
4️⃣ Email it to themediateam@watfordfc.com.
Help us #ClapForOurCarers",2020-04-15 12:15:05,,104,32,0,https://m.facebook.com/story.php?story_fbid=10158031819606815&id=21223691814,,104,2,0,1,0,0,nan
10158031742316815,"🗓️ April 9, 2007
🆚 Watford 4-2 Portsmouth Football Club
🔢 Foster, Mariappa, Carlisle, DeMerit, Stewart, Smith, Mahon, Francis, Bouazza, Priskin, Kabba.
⚽ Bouazza (28', 73'), Mahon (45'), Priskin (51')
Relive a Vicarage Road cracker 🙌",2020-04-14 19:32:01,,233,36,0,https://m.facebook.com/story.php?story_fbid=10158031742316815&id=21223691814,,233,24,0,0,1,0,nan
10158031327661815,"How well do you know your Golden Boys? 🤔
Test your Watford FC knowledge and see if you can name the club's league debut scorers from the last 25 years!
⁉️ www.sporcle.com/games/WatfordFC1881/watford-fcs-league-debut-scorers
#TriviaTuesday",2020-04-14 17:39:00,,105,10,0,https://m.facebook.com/story.php?story_fbid=10158031327661815&id=21223691814,http://www.sporcle.com/games/WatfordFC1881/watford-fcs-league-debut-scorers,105,1,0,0,0,0,nan
