post_id,text,time,shared_text,likes,comments,shares,post_url,link,like,love,wow,haha,sorry,anger,w3_fb_url
3197577930275401,23/02/01,2020-04-17 18:01:17,,1241,64,0,,,1241,50,4,9,2,0,nan
3197222540310940,"“Coming from Hull, I was there for five-and-a-half years. I worked my way up to get to where I was, and now I’ve joined West Ham I’ve got to work my way up again to get to the best levels I can get to.
""I played with Andrew Robertson and Harry Maguire at Hull. Robbo and I used to train against each other all the time. Harry wasn’t playing too much in the first six months of our last Premier League season, but you could tell they were both good at the time.
“They’re still only young as well, and they’ve gone on to do some unbelievable things. Harry has gone to a World Cup semi-final; Robbo has won the Champions League. It’s unreal. I want to try and follow in their footsteps.”
🗣| Jarrod Bowen",2020-04-17 15:04:36,,837,31,0,https://m.facebook.com/story.php?story_fbid=3197222540310940&id=129911763708715,,837,20,0,0,0,0,nan
3196923127007548,"What a strike this was... 🔥
🗓 Four years ago today. Some finish from Cress 👏",2020-04-17 13:30:00,,851,63,0,https://m.facebook.com/story.php?story_fbid=3196923127007548&id=129911763708715,,851,109,5,0,0,0,nan
3196858463680681,"Young Hammers, Seb Haller is setting today's #HammersAtHome challenge... ⚽️
He wants you to recreate his bicycle kick vs Bournemouth. His favourite attempt will be crowned winner, so make sure to comment below with your attempts! ⚒️",2020-04-17 12:01:02,,144,15,0,https://m.facebook.com/story.php?story_fbid=3196858463680681&id=129911763708715,,144,12,0,1,0,0,nan
3194947467205114,"👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏🙏👏👏🙏👏🙏👏🙏👏🙏👏
#HammersHeroes #ClapForOurCarers #clapforNHS",2020-04-16 21:00:01,,966,35,0,https://m.facebook.com/story.php?story_fbid=3194947467205114&id=129911763708715,,966,118,0,1,0,0,nan
3194871107212750,"The last away team to win at Highbury ✊⚒
Head to our YouTube channel now to watch the full match...
➡️ https://youtu.be/8PEcPiBLoJg",2020-04-16 19:00:27,,656,39,0,https://m.facebook.com/story.php?story_fbid=3194871107212750&id=129911763708715,https://youtu.be/8PEcPiBLoJg,656,60,1,0,0,0,nan
3194806303885897,Lockdown haircut for Tomas Soucek ✂️😊,2020-04-16 16:31:47,,574,40,0,https://m.facebook.com/story.php?story_fbid=3194806303885897&id=129911763708715,,574,14,1,9,0,0,nan
3194608347239026,"This evening on our YouTube channel we will be streaming our last visit to Highbury from 2006
A memorable result...you won't want to miss this one! ⚒️
⏰ 6pm
🎥 https://youtu.be/8PEcPiBLoJg",2020-04-16 15:00:42,,407,84,0,https://m.facebook.com/story.php?story_fbid=3194608347239026&id=129911763708715,https://youtu.be/8PEcPiBLoJg,407,31,1,0,0,0,nan
3194455970587597,"The stuff dreams are made of 🙌
🗓 On this day in 1980 second division West Ham United beat Everton in extra-time of our FA Cup semi-final replay to secure a place at Wembley 🏆",2020-04-16 13:30:03,,893,120,0,https://m.facebook.com/story.php?story_fbid=3194455970587597&id=129911763708715,,893,149,1,0,0,1,nan
3194313173935210,"With the help of Bobby Seagull, we've got your latest #HammersAtHome challenge, Young Hammers! ⚒️
Click on the link below to take part and show us how you get on! 👇
🔗: bit.ly/2VCtpmC",2020-04-16 12:07:09,,106,3,0,https://m.facebook.com/story.php?story_fbid=3194313173935210&id=129911763708715,https://bit.ly/2VCtpmC,106,2,0,0,0,0,nan
