post_id,text,time,shared_text,likes,comments,shares,post_url,link,like,love,wow,haha,sorry,anger,w3_fb_url
10157962084889597,"📅 Today's effort comes from a 2-0 win against Middlesbrough FC, 16 years ago to the day.",2020-04-17 18:10:24,,213,33,0,,,213,16,0,1,0,0,nan
10157961833914597,"🎮 Diogo Jota will be the Wolves representative in the upcoming #ePremierLeague invitational, going up against Raheem Sterling, Trent Alexander-Arnold and others.
WOLVES.CO.UK
Jota signs up for ePremier League Invitational tournament",2020-04-17 16:59:39,"WOLVES.CO.UK
Jota signs up for ePremier League Invitational tournament",402,20,25,https://m.facebook.com/story.php?story_fbid=10157961833914597&id=125767659596,https://www.wolves.co.uk/news/club/20200417-jota-signs-up-for-epremier-league-invitational-tournament/,402,58,0,0,0,0,nan
10157961575259597,🇨🇳 More stunning efforts from our fans in China using their Louise Cobbold Art colouring packs 😍,2020-04-17 15:38:15,,408,5,0,https://m.facebook.com/story.php?story_fbid=10157961575259597&id=125767659596,,408,48,1,0,0,0,nan
10157961212869597,"📺 Monday night's Big Match Revisited is a must-watch... 🥁
🆚 Wolves 4-3 Leicester City
📅 October 25th, 2003
Lee Naylor, Jody Craddock, Kenny Miller and manager Dave Jones will be on the line as we rewatch one of our greatest ever comebacks!
WOLVES.CO.UK
Epic Leicester comeback latest Big Match Revisited",2020-04-17 13:23:57,"WOLVES.CO.UK
Epic Leicester comeback latest Big Match Revisited",311,34,17,https://m.facebook.com/story.php?story_fbid=10157961212869597&id=125767659596,https://www.wolves.co.uk/news/features/20200416-epic-leicester-comeback-latest-big-match-revisited/,311,36,0,0,0,0,nan
10157961139694597,"☀️ With many items £15 or less, check out the Wolves summer range in our online store.
🛍 https://bit.ly/2VgV4e0",2020-04-17 12:44:13,,138,3,0,https://m.facebook.com/story.php?story_fbid=10157961139694597&id=125767659596,https://bit.ly/2VgV4e0,138,4,1,0,0,0,nan
10157958182444597,"⏱ 7.30pm tonight (UK)
⏪ Bully, Keane and massive shirts!
📼 The 97/98 season gets ReReviewed",2020-04-16 18:58:38,,566,17,0,https://m.facebook.com/story.php?story_fbid=10157958182444597&id=125767659596,,566,59,0,0,0,0,nan
10157957919244597,🐺 at 2️⃣0️⃣,2020-04-16 17:36:21,,4942,49,0,https://m.facebook.com/story.php?story_fbid=10157957919244597&id=125767659596,,4942,2421,10,11,0,0,nan
10157957192794597,"Today's Goal of the Day comes from Valencia 🇪🇸
⏪ A simply outrageous strike from Fernando Gomez, back in August 1998.",2020-04-16 12:55:13,,714,48,0,https://m.facebook.com/story.php?story_fbid=10157957192794597&id=125767659596,,714,84,11,0,0,0,nan
10157958557039597,"📼 In the first part of Wolves Re-Reviewed 1997/98, our panel tackle the introduction of Robbie Keane, difficult pitches and massive shirts!",2020-04-16 04:30:00,,339,62,10,,,0,0,0,0,0,0,nan
10157953658179597,📅 15/04/18,2020-04-15 23:15:00,,1785,13,0,https://m.facebook.com/story.php?story_fbid=10157953658179597&id=125767659596,,1785,297,1,2,0,1,nan
10157954535614597,"Tomorrow night Wolves ReReviewed returns - and this time we're going back to the 90s!
📼 Don't miss our esteemed panel of Mikey Burrows, Tom Parry and Tim Spiers tackling the 1997/98 season review.
WOLVES.CO.UK
Relive the 1997/98 season with Wolves ReReviewed",2020-04-15 21:11:31,"WOLVES.CO.UK
Relive the 1997/98 season with Wolves ReReviewed",143,1,2,https://m.facebook.com/story.php?story_fbid=10157954535614597&id=125767659596,https://www.wolves.co.uk/news/features/20200415-relive-the-199798-season-with-wolves-rereviewed/,143,7,0,0,0,0,nan
10157953306889597,"📅 With promotion secured, we hosted Birmingham City on this day in 2018. What a day! 🙌",2020-04-15 18:25:39,,958,33,0,https://m.facebook.com/story.php?story_fbid=10157953306889597&id=125767659596,,958,179,4,1,2,0,nan
10157953650034597,"⏪ Over 4,000 fans travelled to Wigan in August 2009 to watch Andy Keogh seal our first ever away Premier League win 👏",2020-04-15 16:15:00,,566,57,0,,,566,62,2,0,0,0,nan
10157953338579597,"🎈 Have a good one, Leander! 🎂",2020-04-15 14:30:00,,1876,33,0,https://m.facebook.com/story.php?story_fbid=10157953338579597&id=125767659596,,1876,264,2,2,0,0,nan
10157951489649597,"🎈 Wishing a very happy birthday to Leander Dendoncker! 🎁
🇧🇪 Our brilliant Belgian turns 25 today! 🎂",2020-04-15 12:18:37,,1475,85,0,https://m.facebook.com/story.php?story_fbid=10157951489649597&id=125767659596,,1475,211,3,1,0,0,nan
10157950068289597,"The moment promotion was confirmed 😆
📅 Where were you two years ago? ⏪",2020-04-14 20:15:21,,1491,47,0,https://m.facebook.com/story.php?story_fbid=10157950068289597&id=125767659596,,1491,384,12,3,0,0,nan
10157950241609597,⏪ A look back to 2013 and former captain Danny Batth's first league goal for Wolves #GoalOfTheDay,2020-04-14 17:00:13,,503,15,0,,,503,64,0,0,0,0,nan
10157949900144597,"“Segundo is quite a character! He has given me some advice already. He’s a great player and a fantastic person. I want to send him a big hug.”
🇪🇨 Leonardo Campana talks support from a former Wolves man and his settling in period so far.
WOLVES.CO.UK
Campana on Nuno, English football and former player advice",2020-04-14 15:02:28,"WOLVES.CO.UK
Campana on Nuno, English football and former player advice",468,8,15,https://m.facebook.com/story.php?story_fbid=10157949900144597&id=125767659596,https://www.wolves.co.uk/news/first-team/20200414-campana-on-nuno-english-football-and-former-player-advice/,468,30,0,0,0,0,nan
10157949532294597,📅 Two years ago today. On our way back 📈,2020-04-14 12:24:58,,934,29,0,https://m.facebook.com/story.php?story_fbid=10157949532294597&id=125767659596,,934,206,2,0,0,0,nan
10157947209104597,"🎥 Seven of Mick McCarthy's side are on hand to talk you through the full 90 of Wolves 5-1 Nottingham Forest from August 2008.
Tune in 👇
YOUTUBE.COM
Wolves 5-1 Nottingham Forest | Full 2008 match with Henry, Jarvis, Stearman, Kightly and Jones!",2020-04-13 20:59:14,"YOUTUBE.COM
Wolves 5-1 Nottingham Forest | Full 2008 match with Henry, Jarvis, Stearman, Kightly and Jones!",259,15,5,https://m.facebook.com/story.php?story_fbid=10157947209104597&id=125767659596,https://youtu.be/I7dZdW4b1yo,259,16,1,1,0,0,nan
10157947180964597,"⏪ A Wolves classic is being revisited tonight!
From 8pm we'll be rewatching our 5-1 over Nottingham Forest with seven former players chipping in with their insights of a memorable day at Molineux.
👉 https://youtu.be/I7dZdW4b1yo",2020-04-13 20:50:18,,627,10,0,https://m.facebook.com/story.php?story_fbid=10157947180964597&id=125767659596,https://youtu.be/I7dZdW4b1yo,627,43,1,1,0,0,nan
10157946870539597,"⏪ Long before Jimenez and Jota, there was Bully and _____.",2020-04-13 19:07:14,,518,29,0,https://m.facebook.com/story.php?story_fbid=10157946870539597&id=125767659596,,518,76,0,1,0,0,nan
10157946499324597,"Wishing a very happy Vaisakhi to those celebrating in Wolverhampton, the midlands and around the world!
#VaisakhiAtHome #Vaisakhi2020",2020-04-13 17:01:23,,500,15,0,https://m.facebook.com/story.php?story_fbid=10157946499324597&id=125767659596,,500,51,1,1,0,0,nan
