post_id,text,time
10163897360370455,"IF WE FOLLOW THE GAME PLAN WE WILL GET THROUGH THIS TOGETHER 💙
⁣
#CityzensAtHome is here to bring you regularly updated news, advice and a wide range of fun and educational activities, centred on football, for the whole family to enjoy in your homes.⁣
⁣
mancity.com/cityzensathome",2020-03-30 14:15:23
10164037506265455,"The experiences that shaped the man.
Ederson shares his childhood football heroes and memories 💙",2020-04-20 21:00:00
10164036607230455,"ARISE, SIR FODEN!",2020-04-20 16:00:01
10164036434900455,"Movin', just keep movin'! 💪
Keep posting your home work-out clips using #MoveMoreAtHome on Twitter and Insta and you could feature in a future episode alongside the players!",2020-04-20 13:57:35
10164035324320455,"Vassell, Petrov and Benjani on target in a classic win against Pompey 👏",2020-04-20 09:01:15
10164028714730455,1 minute and 31 seconds of pure Kevin De Bruyne magic ✨,2020-04-19 21:00:37
10164028753900455,"Stuck for meal ideas?
We've got a whole load of recipes over on Cityzens At Home 🍽
Check them out ⬇️
BETA.MANCITY.COM
Cityzens at Home",2020-04-19 16:00:00
10164027958945455,"Want to win a football bundle for your home?!
Enter now! ⬇️
CITYZENS.MANCITY.COM
cityzens.mancity.com",2020-04-19 14:00:01
10164028013900455,Throwing it back to 2009 for this one!,2020-04-19 12:00:01
10164027736825455,Two first half goals sealed the win over the Hammers back in 2015!,2020-04-19 10:26:30
10164023328000455,When the pros collide! Sergio Aguero takes on our esports star Ryan Pessoa in a EA SPORTS FIFA 20 showdown!,2020-04-18 21:00:46
10164021103870455,Checking in with the squad and their home training regimes in the latest City Away 💪,2020-04-18 15:04:54
10164020280500455,"FINAL PREPARATIONS 🙌
⚽️ @Marathonbet
🔵 #CityzensAtHome #ManCity
WATCH: mancity.com/watchtogether",2020-04-18 14:00:00
10164020274740455,"A BLOCKBUSTER!
🆚 City v Liverpool PL 18/19
⏰ 15:00 UK
🏠 Your place
📺 CITY+ Watch Together
WATCH: mancity.com/watchtogether",2020-04-18 11:36:14
10164012174090455,"📘 Storytime! Kevin De Bruyne is kicking-off the Acronis #CyberFit #BookFriday reading his son's favourite book, ""The Very Brave Lion"".
We've teamed up with Acronis to support home-based learning for kids! #AcronisCyberFoundation",2020-04-17 21:00:00
10164013340140455,"IF WE FOLLOW THE GAME PLAN WE WILL GET THROUGH THIS TOGETHER 💙
⁣
#CityzensAtHome is here to bring you regularly updated news, advice and a wide range of fun and educational activities, centred on football, for the whole family to enjoy in your homes.⁣
⁣
mancity.com/cityzensathome",2020-04-17 16:00:12
10164012090975455,"We asked our players to name their favourite goals of the season so far...
First up, and we've got Jill Scott's top five!",2020-04-17 14:00:01
10164011702550455,"Samir was IMMENSE that day!
Revisiting our 8-Bit City series 🎮",2020-04-17 12:00:00
10164011741035455,Classic Carlos! 🔥,2020-04-17 10:00:01
10164005639920455,"🏆 DRINKING IT IN 🏆
Post 93:20 euphoria and plenty of other behind-the-scenes clips from over the years in our Tunnel Cam Supercut!
*Cue nostalgia*
WATCH 🎥 https://youtu.be/-vS4l1HJb8A",2020-04-16 22:00:34
10164006219915455,"🍽 RECIPES
🗞 NEWS
🗣 ADVICE
⚽️ ACTIVITIES
https://www.mancity.com/cityzensathome
BETA.MANCITY.COM
Cityzens at Home",2020-04-16 18:00:00
10164005804595455,"🏆 Stay And Play Cup! 🏆
Our boy Phil Foden is set to play Nabil Bahoui from AIK tomorrow at 17:00 UK time!
TWITCH: https://www.twitch.tv/easportsfifa",2020-04-16 16:00:01
10164005258630455,As if this was four years ago today!,2020-04-16 14:00:01
10164004790715455,,2020-04-16 10:21:14
10164004718650455,Anyone else get goosebumps watching this?,2020-04-16 10:01:34
10163999552020455,"We continue to revisit our series of great goals 8-Bit style...
Next up, we've got Dzeko against Spurs!",2020-04-15 20:00:01
10163998775630455,"Cooking, dancing and dinner party guests are all up for discussion as Rodri takes to the hot seat for Ask Me Anything!",2020-04-15 18:00:01
10163998849410455,"The #StayAndPlay EA SPORTS FIFA Cup starts today!
Stay tuned as our boy Phil Foden will be playing his first game on Friday...
Details: https://manc.it/2RF7x9j",2020-04-15 16:00:01
10163998710545455,"How cool is this?!
Check out our brand-new 'Be The Player' mode!
What would you do?",2020-04-15 14:19:51
10163998288320455,"Time for another CITY+ Watch Together!
And today we're joined by Sergio Aguero...
Napoli 2-4 City, 2017
19:45 UK
CITY+
Details: manc.it/3chrPgP",2020-04-15 12:38:00
10163998251910455,"We asked our players to name their favourite goals of the season so far...
First up, and we've got Jill Scott's top five!",2020-04-15 12:33:25
10163992149150455,A classic win at White Hart Lane!,2020-04-14 21:00:01
10163993145495455,She's staying!,2020-04-14 19:02:48
10163992488205455,"Janine, Janine!
We are delighted to announce Janine Beckie has signed a new two-year deal with the Club.",2020-04-14 19:00:01
10163991347690455,"We continue to revisit our series of great goals 8-Bit style!
Next, Yaya Toure steps up to the penalty spot...",2020-04-14 17:00:00
10163991512625455,"Riyad Mahrez's City stats...Oh, go on then!",2020-04-14 15:00:00
10163990991610455,"Don't forget to head over to Cityzens At Home for regularly updated news, advice and a wide range of fun and educational activities, centred on football, for the whole family to enjoy in your homes...
Check it out here! ⬇
BETA.MANCITY.COM
Cityzens at Home",2020-04-14 12:00:14
10163990837805455,"One step closer! 👣
This win in 2018 saw us move just three points away from the title!",2020-04-14 10:00:01
10163985133300455,"🍽 RECIPES
🗞 NEWS
🗣 ADVICE
⚽️ ACTIVITIES
BETA.MANCITY.COM
Cityzens at Home",2020-04-13 17:00:24
10163984758535455,Revisiting our series of great goals 8-Bit style!,2020-04-13 15:00:00
10163985113360455,"How our players are keeping fit and healthy during lockdown 💪
You could feature next week - tag your clips using #MoveMoreAtHome on Instagram and Twitter 🙌",2020-04-13 13:00:00
10163984842860455,"HAPPY BIRTHDAY, CLAUDIO!",2020-04-13 10:56:50
10163984714260455,Our first competitive game as Manchester City Women - a 2-1 FA Cup win over Reading on this day six years ago!,2020-04-13 10:13:11
10163977910125455,Enjoy every magical David Silva league goal for City! 🥰,2020-04-12 21:00:46
10163977939995455,"If you feel like working off some of that Easter chocolate, we have you covered on #CityzensAtHome with a series of fitness and mobility activities and games for everyone 💙
BETA.MANCITY.COM
Challenges activities and games",2020-04-12 14:00:01
10163977886040455,A big hit from KDB won it against PSG!,2020-04-12 11:00:00
10163977837245455,Wishing you all a wonderful Easter! 💙⁣,2020-04-12 08:53:08
10163971864230455,1 minute and 31 seconds of pure Kevin De Bruyne magic ✨,2020-04-11 21:00:31
10163971876505455,"Don't forget to head over to Cityzens At Home for regularly updated news, advice and a wide range of fun and educational activities, centred on football, for the whole family to enjoy in your homes...
Check it out here! ⬇
BETA.MANCITY.COM
Cityzens at Home",2020-04-11 17:00:42
10163972991740455,"""You're not getting past me today"".
Guest punditry (and banter) from Micah Richards and Joleon Lescott for today's CITY+ Watch Together.
WATCH: http://mancity.com/watchtogether",2020-04-11 15:52:26
10163971948510455,Enjoy every magical David Silva league goal for City! 🥰,2020-04-11 14:00:00
10163971859865455,A finishing masterclass against the Baggies! 🔥,2020-04-11 11:00:01
10163971809565455,"DOUBLE DERBY MATCHDAY! 🔵🔴
3pm - United v City 11/12
5pm - City v United WSL 19/20
CITY+ Watch Together 💙
Details: https://manc.it/3efwPEo",2020-04-11 09:13:05
10163965241765455,"🍽 RECIPES
🗞 NEWS
🗣 ADVICE
⚽️ ACTIVITIES
BETA.MANCITY.COM
Cityzens at Home",2020-04-10 17:00:24
10163965899400455,Check-out every City goal scored by birthday girl Pauline Bremer! 🔥,2020-04-10 15:00:01
10163965153570455,"Missing seeing him out there! 😔
Bernardo in focus...",2020-04-10 12:00:00
10163965076780455,"Premier League 🏆🏆🏆🏆
League Cup 🏆🏆🏆🏆
FA Cup 🏆🏆
Happy birthday to the legend, Vincent Kompany!",2020-04-10 09:25:43
10163961106230455,SUNSET + BLUE MOON 🌅🌙,2020-04-09 22:00:01
10163961407620455,"It's time for Episode 6 of City Away!
From gym workouts, to new puppies, to splashing around in the pool, we take a look at what the players have been getting up to at home...",2020-04-09 20:00:00
10163959296460455,الوقت الذي استغرقته لمشاهدة تمريرة رياض محرز Riyad Mahrez الرائعة وإنهاء رحيم سترلينج Raheem Sterling المميز (20 ثانية) هو نفسه الزمن الذي تحتاجه لغسيل يديك! 👏🧼,2020-04-09 19:00:03
10163960546585455,"🍽 RECIPES
🗞 NEWS
🗣 ADVICE
⚽️ ACTIVITIES
BETA.MANCITY.COM
Cityzens at Home",2020-04-09 16:32:19
