post_id,like,love,wow,haha,sorry,anger
10157937496102713,6297,668,15,12,0,0
10157962669277713,34092,3824,33,79,8,4
10157962642577713,18609,1952,22,24,1,4
10157874177792713,932,57,1,9,1,4
10157960126502713,36758,4077,77,134,9,18
10157958171952713,66652,6771,52,1114,18,12
10157958110667713,53588,13673,686,317,13,8
10157957340642713,14482,628,26,2979,11,9
10157956942937713,16149,2162,22,177,2,2
10157956888057713,14515,1653,24,12,53,1
10157953207692713,39454,5009,32,48,27,1
10157953204522713,20721,1990,30,40,12,37
10157953229632713,12321,1766,17,18,1,0
10157955136657713,18668,2887,30,24,6,3
10157953236347713,18355,2747,27,12,1,1
10157953085887713,16059,2098,12,24,1,2
10157953149017713,23474,4473,64,280,14,11
10157953182887713,21537,3340,46,76,9,3
10157953066472713,0,0,0,0,0,0
10157952151137713,17600,2804,237,26,12,11
10157951915137713,39828,8200,68,36,8,5
10157951571097713,30842,3123,42,22,0,4
10157950793867713,15021,2079,60,18,8,6
10157950709707713,9615,1278,15,15,178,1
10157950368157713,25527,2721,114,49,11,20
10157948151397713,22377,2299,31,9,5,1
10157948106427713,15771,1495,24,100,8,0
10157942582867713,18428,1960,29,4,3,2
10157946452277713,32903,7989,96,47,8,33
10157946436777713,18167,1413,29,10,1,0
10157945876492713,47790,4945,160,115,26,45
10157936747492713,3497,280,4,2,0,1
10157945279067713,24572,3213,100,53,11,30
10157943803657713,41811,6546,62,30,39,2
10157943113877713,16679,1651,63,36,6,3
10157942530142713,3927,270,7,8,1,0
10157942450182713,8495,655,14,15,23,2
10157942293802713,4796,325,5,3,0,1
10157941975407713,9573,1914,29,7,0,2
10157941632922713,13357,1595,23,3,3,1
10157941538602713,4077,281,4,26,1,1
10157941256212713,15583,2276,91,15,14,1
10157940951347713,31491,3350,33,56,4,8
10157939782987713,43358,4356,50,125,5,17
10157938357122713,48519,6870,85,206,12,3
10157874167357713,1897,682,21,687,5,5
10157936956422713,36073,3982,36,134,7,5
10157934166647713,12893,1761,30,36,1,2
10157934243032713,38121,4856,235,107,14,19
10157934320672713,24382,2918,55,22,6,3
10157923372117713,29765,3353,42,14,7,1
10157933452077713,16173,2206,48,31,7,14
10157930242427713,7060,793,11,161,2,2
10157932058137713,29207,4962,32,33,2223,14
10157930148037713,47535,5720,226,45,14,13
10157929313587713,25754,2711,55,368,3,8
10157928567722713,15991,2249,28,9,144,1
10157874160497713,3918,2258,62,618,6,22
10157927803762713,43589,4723,91,774,4,2
10157927766337713,32310,6151,204,27,8,3
10157920206717713,3848,269,9,37,2,2
10157926113102713,9615,578,13,4,0,1
10157925892882713,14904,1483,23,8,9,3
10157925051312713,25896,2871,45,17,2,2
10157924644042713,12747,1441,13,53,6,2
10157923486682713,45992,8057,49,87,15,1
10157923444597713,18956,1943,16,15,28,2
10157923288262713,34333,2520,68,86,15,9
10157916855757713,34852,3491,28,82,9,7
10157920557977713,69880,8893,143,69,6,3
10157920490042713,12399,1648,14,18,0,3
10157920109577713,15863,1283,14,63,3,5
