post_id,like,love,wow,haha,sorry,anger
10158578799627259,4454,287,6,1,2,0
10158576431867259,8081,899,22,4,7,1
10158576240807259,5742,466,5,4,4,1
10158576139002259,10988,965,25,3,1,0
10158576090457259,4796,278,3,2,1,0
10158575998607259,8347,620,13,375,4,2
10158575747447259,30843,4591,73,3831,159,52
10158575433197259,37136,4422,25,24,1252,9
10158575263212259,5432,405,16,1,1,1
10158575132407259,40986,4427,62,2080,67,26
10158575051972259,2939,116,0,47,0,0
10158572865412259,5424,390,7,7,1,0
10158572416862259,20741,982,97,3548,23,10
10158572164137259,25351,3195,52,34,8,7
10158571106997259,15037,1623,52,70,20,6
10158570945167259,2670,226,4,0,0,1
10158569829807259,5862,454,4,4,0,0
10158567659537259,19748,1981,60,40,7,7
10158567619742259,13787,1546,25,594,5,1
10158563631687259,26874,2318,67,27,16,16
10158563642912259,32817,4806,94,32,5,2
10158567255572259,11540,1051,24,2,5,2
10158567150657259,6471,872,38,194,7,2
10158563691247259,18380,1727,54,12,3,6
10158558882812259,17132,1175,18,372,11,4
10158563639882259,26644,1661,31,45,115,4
10158564288807259,4732,259,6,24,3,1
10158564193677259,55101,10385,216,467,61,13
10158564117392259,13288,953,21,14,1,0
10158563805367259,4797,344,5,2,0,0
10158562883067259,57622,11369,92,129,29,3
10158562881202259,40143,4830,47,132,12,4
10158559819752259,6002,906,8,20,5,3
10158562873287259,57474,10900,175,301,65,54
10158558886372259,8063,437,17,260,0,1
10158558870257259,7701,587,9,191,0,2
10158559640842259,31412,3427,53,51,9,6
10158559586377259,24685,4375,59,25,2,41
10158559692632259,14828,933,22,6,4,1
10158558888832259,26932,4974,62,229,53,5
10158558865272259,18272,2156,39,1521,8,4
10158559622407259,15998,1467,19,20,4,2
10158558854152259,14980,1337,24,16,6,2
10158558873812259,30718,2303,64,31,13,5
10158558909797259,3217,201,3,114,0,0
10158558731392259,4055,139,5,6,1,1
10158555349207259,8834,447,13,7,0,0
10158555309282259,17749,1680,30,7,17,5
10158555379542259,32588,3558,55,24,5,5
10158555303597259,23874,2495,72,27,6,12
10158555007402259,8369,566,13,42,1,0
10158555103302259,42076,4463,101,40,4,1
10158554963682259,5774,318,8,3,0,3
10158554826817259,16517,901,26,35,4,3
253610659120379,11709,1366,43,299,62,43
10158547334147259,4319,272,3,61,1,0
10158554237027259,8845,313,46,351,13,6
10158553978282259,12558,580,18,1,5,0
10158547262267259,17042,1250,33,14,5,1
10158551037302259,8322,441,4,59,1,0
10158550830412259,54739,6606,1014,55,6,5
10158550336277259,14037,669,21,60,6,0
10158550303017259,4837,145,8,2,37,1
10158550736252259,53396,9112,144,345,45,13
10158550177722259,3694,112,5,86,0,0
10158550329382259,6300,391,9,75,5,1
10158547302817259,36992,6592,50,28,571,3
10158550066467259,6087,401,6,0,1,0
10158550000452259,36372,1371,32,204,3,3
10158546111717259,6585,621,11,12,2,0
10158547196762259,29039,2036,70,26,3,3
10158547223757259,21432,1507,41,8,2,0
10158547134982259,15906,2341,25,10,4,4
10158547107702259,13612,1865,54,11,5,2
10158547207782259,9033,605,19,84,5,1
10158547099662259,39588,3416,104,29,20,13
10158546869027259,5089,290,7,4,3,1
10158546110127259,15249,1353,31,29,151,10
10158545992232259,4230,111,8,6,0,8
10158545987022259,20983,1508,28,4,2,0
10158542878147259,8509,502,6,27,0,1
10158542657507259,53611,7949,399,112,13,23
10158542852292259,8375,475,18,13,5,0
10158542017812259,17050,1133,36,12,4,3
10158541974547259,9126,647,14,7,2,1
10158541944717259,17140,1051,35,60,6,4
10158540451377259,8848,204,32,1682,5,3
10158539893382259,24670,1937,31,16,5,0
10158539003517259,52058,7919,175,128,44,36
10158538103017259,17206,1302,44,37,4,2
10158535351322259,17198,1158,26,8,2,2
