post_id,like,love,wow,haha,sorry,anger
10156825946726277,751,69,0,3,1,0
10156825914011277,549,277,4,0,0,0
10156825133356277,1685,153,5,2,2,2
10156825480361277,414,77,1,0,0,0
10156825044706277,532,33,0,0,0,0
10156824777881277,749,80,4,1,0,0
10156821307496277,642,61,1,1,0,0
10156819299461277,882,50,2,10,0,0
10156818193131277,1093,106,1,1,0,0
2838238869544965,0,0,0,0,0,0
2640437556227526,1028,210,13,9,26,14
10156814327351277,2319,376,3,2,0,11
10156811547931277,1038,75,1,1,0,0
10156811112801277,490,25,0,0,1,0
10156810492421277,1273,97,0,1,0,0
10156807778691277,358,32,0,1,0,0
4366639900028249,1425,228,9,47,4,6
10156803822121277,358,32,0,8,0,0
10156803768256277,679,92,2,2,0,0
540715886871538,212,32,3,0,2,0
10156802411006277,4646,786,15,34,13,16
10156800456796277,342,10,0,52,0,0
10156799600086277,1268,21,4,1,0,0
10156799282761277,1432,290,3,0,0,1
161056688561849,0,0,0,0,0,0
10156795338946277,1696,194,1,3,0,0
10156792514771277,6967,1758,24,10,0,0
1760229477453487,0,0,0,0,0,0
10156789519156277,3800,694,5,1,0,0
10156788637611277,462,47,0,0,0,0
10156787266241277,1342,116,3,5,1,3
10156785424261277,343,25,0,0,0,0
10156784713441277,1202,321,3,0,0,0
10156781409041277,359,14,0,0,0,0
10156780951636277,2011,195,6,3,0,0
10156780154336277,9083,2367,5,5,97,2
10156778414961277,0,0,0,0,0,0
10156776924431277,1115,86,1,0,0,0
10156774261961277,661,31,0,0,0,0
10156774208351277,1915,152,2,9,0,0
10156770972646277,2066,185,3,3,2,0
10156770556631277,1562,160,1,0,0,0
10156768148361277,1610,155,2,3,0,0
10156768060041277,1060,139,4,0,0,0
10156766313731277,277,2,2,0,0,0
10156767486301277,975,82,2,1,0,0
10156765773536277,1429,197,1,1,0,0
10156765100431277,846,104,1,0,0,0
10156764326126277,1459,181,1,0,0,0
10156764062261277,606,53,2,4,0,0
10156761987801277,462,19,2,2,0,0
10156761571036277,1585,123,5,2,0,1
10156761220196277,1879,224,1,4,0,0
10156758518841277,523,37,3,0,0,0
10156758397321277,1510,219,10,3,12,0
10156757921731277,2335,184,3,1,0,0
10156755962931277,0,0,0,0,0,0
10156755717901277,2212,224,1,0,8,2
10156754723621277,463,21,0,0,0,0
10156753030971277,20726,3448,90,851,5,3
10156752156091277,1118,115,1,1,0,0
10156751546146277,1463,86,4,2,2,3
"10156749067816277"",""10156749067661277",0,0,0,0,0,0
10156748111491277,759,57,1,0,0,0
2825776057511348,96,11,0,0,0,0
10156744765041277,2670,319,3,6,0,1
10156745292181277,2527,367,2,1,0,0
10156742260871277,593,9,3,2,7,1
10156741522696277,464,38,0,1,0,0
10156741489876277,2674,259,1,12,0,0
10156740357571277,4578,644,4,3,0,2
10156740155746277,538,21,0,1,0,0
10156739214676277,264,7,0,0,0,0
10156738357991277,463,41,0,0,0,0
10156735817691277,1433,170,1,0,0,0
10156735783521277,210,2,0,0,0,0
1236187056578194,195,33,0,0,0,0
10156732707001277,1135,98,2,18,0,0
854049325109896,616,128,2,4,1,1
10156732095411277,1533,35,1,3,0,0
10156728353956277,2290,68,2,1,2,1
10156722973051277,2369,126,5,9,0,0
10156722797186277,3451,364,1,0,0,0
10156721612716277,1593,39,1,3,1,3
10156721371106277,545,44,0,0,0,0
3035698109787654,1345,389,2,11,0,1
10156717959286277,2717,123,0,2,0,0
10156715972836277,4301,835,2,3,2,0
10156714763941277,986,83,0,0,1,0
10156713080391277,8620,884,36,13,0,3
10156711160826277,1847,128,4,2,0,0
10156711741351277,3276,631,6,3,0,0
10156711691741277,1556,250,3,27,0,0
10156710779996277,1500,209,2,0,0,0
10156708472496277,2953,150,5,5,1,1
10156708573931277,896,29,0,26,0,0
10156707658606277,4406,1007,10,17,3,0
10156704784731277,1323,97,4,2,0,1
10156705116451277,1600,49,0,1,0,0
10156704998106277,0,0,0,0,0,0
10156704101951277,2189,140,1,2,0,0
10156700075676277,2556,483,3,1,0,1
10156696316781277,3904,1041,5,5,0,0
10156694841791277,1273,275,1,0,0,0
10156694231661277,2034,443,4,1,1,0
10156692961211277,513,54,0,0,0,0
10156691546171277,935,155,0,0,0,0
10156691360056277,2938,142,3,40,0,2
10156690148596277,847,6,7,2,142,1
10156687216451277,1921,153,2,2,1,0
10156687112786277,3933,961,1,1,2,0
10156686617706277,750,12,0,1,0,2
10156684173141277,6447,709,4,703,2,3
10156684060236277,2364,249,9,0,1,0
10156683566351277,2714,277,2,1,0,0
10156683275406277,3177,235,1,2,1,0
10156682921301277,509,47,0,0,0,0
2806721432697787,104,20,0,0,0,0
10156681401921277,1262,131,1,4,0,0
10156680228656277,1360,56,1,1,0,0
10156680302286277,3096,412,1,4,1,2
10156680104231277,5002,330,4,0,0,1
10156678283516277,7379,172,16,2,2,2
10156677548801277,2379,283,1,1,9,0
10156673549861277,1237,163,2,0,0,1
10156674751196277,6456,755,0,7,86,1
10156672785026277,982,15,6,2,123,4
10156672313191277,930,10,15,2,158,4
3411508392206885,36537,616,480,159,8931,200
10156672305576277,860,12,16,3,185,1
10156670302736277,1724,94,1,3,2,0
10156669523616277,810,30,0,0,0,0
10156667310566277,1388,65,1,1,0,1
10156666970581277,204,7,1,0,0,0
2791711694198761,48,2,0,0,1,0
10156665304751277,1146,47,0,2,0,0
10156660627611277,931,14,4,22,88,71
10156660398041277,4436,69,50,411,687,777
"10156660091021277"",""10156660005401277",0,0,0,0,0,0
10156660259056277,1930,20,17,279,124,262
10156660050196277,4873,210,6,36,16,37
10156656579101277,867,46,1,5,0,0
10156656450281277,1923,97,8,19,2,3
10156658643996277,555,31,0,1,0,0
2713169632102170,144,17,0,0,0,0
10156656562541277,12932,587,21,46,5,5
10156656330246277,388,23,0,0,0,0
10156657422311277,0,0,0,0,0,0
10156656040461277,662,17,2,2,0,0
10156657206186277,8852,668,14,58,0,4
10156655813716277,3203,320,3,8,0,0
10156655649536277,3790,478,4,0,2,0
10156655633551277,914,103,0,0,0,0
10156655554581277,9201,1598,25,12,2,1
10156655542411277,3940,773,11,5,1,0
10156655268051277,2032,40,1,2,0,1
10156652948326277,545,15,2,1,49,1
10156652864196277,4601,607,10,1,0,0
10156652740051277,1854,14,16,58,25,338
10156652539081277,6239,153,7,7,1,1
10156650516116277,1564,154,3,2,0,2
10156649888731277,6687,525,11,8,0,0
10156648628411277,2408,335,5,2,0,0
10156648560141277,9407,1408,20,8,2,2
10156648550846277,3375,646,8,2,0,1
10156648085976277,3332,454,6,10,0,0
10156645917926277,2612,42,35,316,39,583
10156645572641277,3107,211,1,6,0,0
10156645335961277,3911,418,4,13,1,0
10156644321101277,1769,88,1,5,2,3
10156643329411277,3144,214,1,11,0,5
10156643348421277,4045,205,0,10,4,10
"10156642853881277"",""10156642667191277",0,0,0,0,0,0
10156643241161277,5474,96,44,281,81,721
10156643189701277,5143,76,8,116,93,737
10156643056136277,2211,29,2,8,5,16
10156642976851277,5258,478,9,49,1,5
10156642857136277,5011,266,16,11,5,25
10156638975491277,2870,551,0,4,30,0
10156639062521277,5291,242,10,28,3,3
10156638777476277,2217,228,4,3,0,0
10156637903186277,0,0,0,0,0,0
10156637802301277,1782,35,8,4,42,2
10156637440861277,2817,243,11,8,1,0
10156637427116277,3468,383,7,5,0,0
10156635206431277,1244,83,6,41,0,0
10156635000531277,6054,702,6,12,0,0
606297816594303,3867,609,7,390,0,1
10156632559696277,1941,227,4,0,0,0
10156632438296277,245,3,1,0,0,0
10156630125401277,1642,157,4,1,0,0
10156627982191277,1406,103,3,0,0,0
10156626164781277,4744,201,14,16,39,1
10156626284411277,5533,833,7,1,0,0
1452128511622447,8574,2224,33,5,0,0
10156626162181277,0,0,0,0,0,0
"10156625601971277"",""10156625494801277",0,0,0,0,0,0
10156625959231277,4611,91,18,99,478,141
10156625869091277,2243,499,7,0,1,0
10156625806696277,3607,199,15,11,5,4
10156625723911277,4254,391,9,15,1,4
10156625587046277,10680,1611,31,8,2,1
10156625579556277,4340,256,17,6,5,6
10156620568996277,2550,116,3,7,1,1
10156623312631277,1588,52,2,22,0,0
10156623012141277,3908,1030,2,4,2,0
10156620700506277,3906,208,4,7,1,1
10156620394496277,1729,144,3,3,0,0
10156620009126277,68,2,0,0,0,0
10156617983581277,8221,1256,12,48,0,0
10156617671786277,3576,554,3,51,1,0
10156616064901277,4514,368,40,11,3,0
10156615740186277,1376,124,1,3,0,0
10156615228046277,3154,140,5,3,0,0
10156613478736277,2652,342,75,1,1,0
10156612918601277,5128,472,13,3,0,1
10156610652086277,4436,404,5,4,0,0
10156608800646277,2476,179,35,13,6,1
10156608449171277,8129,1044,39,4,0,0
10156607888616277,1646,143,3,2,0,0
10156605346931277,1281,34,4,1,1,0
10156603840846277,1633,298,4,0,19,0
10156603256606277,1565,121,2,0,0,1
10156602445071277,3586,365,2,12,0,0
10156600742936277,5347,1427,32,7,1,0
10156598483291277,4622,369,14,263,3,9
10156600536441277,1182,146,3,2,0,0
2735841456452452,66,17,1,0,0,1
10156600134196277,4931,153,14,456,0,1
10156597992906277,6587,765,12,114,1,2
10156597974976277,8075,1100,18,42,0,1
10156596029431277,5446,208,13,5,3,2
10156595477531277,0,0,0,0,0,0
10156593752816277,5371,175,13,5,0,0
10156593979891277,5812,373,10,15,0,1
10156593331106277,33519,3061,646,34,3,2
10156591007686277,3537,99,9,4,1,1
10156590898526277,540,1,10,3,86,2
10156588847771277,21389,1276,83,24,1,1
169968204296627,4156,439,9,6,0,0
10156588806291277,7354,605,13,5,0,0
"10156588336861277"",""10156588225441277",0,0,0,0,0,0
10156588708091277,2897,332,4,6,0,0
10156588664816277,15018,1918,65,20,3,4
10156588631551277,7390,604,17,6,0,0
10156588528681277,4041,269,11,6,0,0
10156588493996277,5262,461,17,7,0,0
10156588356501277,4229,197,8,5,5,20
10156586267946277,2009,115,6,3,0,0
10156586396671277,1514,100,1,2,0,0
10156586206436277,1095,40,1,0,0,0
10156584076191277,4988,344,6,8,0,1
10156584021491277,5898,192,1,28,0,3
10156581329651277,918,56,1,0,0,0
10156581155236277,1235,91,2,0,0,0
10156580913156277,6096,247,19,5,2,2
10156579145471277,4036,260,10,5,0,1
10156579038831277,1430,126,0,0,0,0
10156578570621277,3006,183,6,3,0,0
10156578283246277,4198,210,1,4,2,0
10156577289611277,5071,630,5,49,0,1
10156576159401277,1482,106,5,2,0,0
10156573968051277,3590,120,4,23,3,0
10156573961471277,1618,116,1,3,0,0
10156573620796277,5217,304,12,33,1,2
10156573598751277,13811,833,18,23,6,2
10156571973911277,24793,1960,136,39,3,2
10156572481971277,3695,539,7,0,0,0
1433469563488342,3959,859,8,1,7,0
10156572330371277,0,0,0,0,0,0
10156571809201277,7811,1042,30,10,1,0
10156571705521277,18592,2749,173,38,3,6
10156571614931277,8121,721,10,29,1,1
