post_id,like,love,wow,haha,sorry,anger
2798817783498597,371,45,2,0,0,0
2792047940842248,663,65,13,1,0,0
2783597418353967,261,31,0,0,0,0
2780950208618688,380,26,1,1,0,0
2753501001363609,518,90,1,1,0,0
2745895718790804,501,104,3,7,0,0
2741040179276358,62,7,0,0,0,0
2738803032833406,516,65,2,1,0,0
2734733046573738,767,74,0,0,0,0
2721910707855972,703,69,0,0,0,0
2717397104973999,454,76,1,0,0,0
2715164211863955,288,84,1,0,0,0
2711388115574898,328,9,9,0,115,1
2709992759047767,1841,420,20,56,1,0
2709640609082982,1086,211,4,26,1,0
2708751585838551,1303,318,8,56,1,1
2700806513299725,1126,185,0,0,3,0
2698577693522607,0,0,0,0,0,0
2698485886865121,383,5,11,0,167,16
2696399720407071,672,49,2,0,0,0
2692520917461618,653,56,1,0,0,0
2690765034303873,385,31,1,0,0,0
2686790858034624,564,8,3,1,10,4
2686508018062908,378,23,0,0,2,1
2686153111431732,523,31,0,0,0,0
2676761565704220,0,0,0,0,0,0
2676437839069926,482,25,0,0,0,0
2674174985962878,711,51,2,0,0,1
2672946769419033,1782,211,4,1,0,0
2672647962782247,299,21,0,0,0,0
2670451533001890,705,52,0,0,0,0
2668167253230318,0,0,0,0,0,0
2667316366648740,2114,275,6,3,0,2
2667042286676148,417,31,0,1,1,0
2658482127532164,485,30,0,1,0,0
2657346840979026,674,16,1,3,9,5
2657090377671339,414,24,1,2,0,1
2656366204410423,518,30,0,1,1,1
2647474771966233,0,0,0,0,0,0
2643821982331512,470,4,34,133,125,273
2643494522364258,414,29,0,8,2,16
2641566759223701,550,38,0,5,1,7
2639231909457186,570,31,2,0,0,1
2637800686266975,743,7,3,3,24,16
2637557719624605,489,39,1,0,1,2
2636545523059158,873,59,1,1,0,2
2630823246964719,813,62,1,1,0,2
2629448777102166,2471,321,9,2,0,1
2629124247134619,515,37,0,2,0,1
2628509253862785,622,39,2,0,0,0
2626876700692707,220,23,1,0,1,0
2623429057704138,1445,127,7,0,0,0
2623167491063628,114,5,1,0,0,0
2622757251104652,930,76,8,1,0,0
2622651804448530,117,1,1,1,0,0
2619439078103136,816,103,16,1,0,1
2618979878149056,674,34,0,0,0,1
2616685401711837,961,79,2,3,0,0
2615701405143570,0,0,0,0,0,0
2615577948489249,2183,246,10,8,0,0
2615294335184277,675,76,3,0,0,0
2614890808557963,410,35,0,0,0,0
2611084928938551,925,78,9,1,2,0
2611057118941332,0,0,0,0,0,0
2603869146326796,543,8,4,39,111,9
2603604683019909,546,23,2,3,4,1
2603366259710418,611,45,3,10,0,1
2600287896684921,1515,132,2,3,1,1
2598009120246132,417,14,3,0,0,1
2596720417041669,413,6,4,10,43,26
2596482403732137,404,11,1,1,0,1
2595650023815375,647,35,2,2,1,0
2594260360621008,77,3,0,5,0,0
2592060487507662,593,23,1,0,0,0
2588247054555672,815,55,0,1,0,0
2587136028000108,2161,257,10,3,0,0
2586905934689784,0,0,0,0,0,0
2586902378023473,454,25,0,1,0,0
2586137584766619,542,40,0,0,0,0
2585235044856873,778,48,10,3,2,1
2584018084978569,423,17,1,4,1,0
2582448241802220,0,0,0,0,0,0
2582117881835256,259,12,0,4,0,0
2575672675813110,482,25,1,0,0,0
2574310519282659,1797,182,8,1,0,1
2573972155983162,348,15,2,0,1,0
2573406886039689,514,31,0,0,0,0
2571724982874546,2614,220,76,4,1,0
2565726973474347,1805,204,11,0,1,0
2563172947063083,577,41,1,1,0,0
2561011127279265,671,60,3,1,0,0
2560753153971729,1550,170,24,6,0,0
2559730654073979,0,0,0,0,0,0
2559666867413691,2398,269,29,5,2,0
2559361194110925,626,23,6,2,0,0
2555226177857760,236,29,0,0,1,0
2558839127496465,316,21,0,0,0,0
2557470174300027,963,55,1,0,0,1
2554908447889533,0,0,0,0,0,0
2553552118025166,370,0,13,32,106,89
2553203321393379,404,23,1,5,0,5
2550682991645412,506,35,1,2,3,0
2550649774982067,659,71,2,0,0,0
2550137718366606,65,2,0,0,0,0
2548755315171513,647,51,1,2,1,1
2548323375214707,493,23,1,6,0,0
2547953248585053,0,0,0,0,0,0
2547917815255263,1506,131,6,3,0,0
2546784648701913,1869,193,4,4,1,0
2546479622065749,304,22,1,1,0,1
2545998832113828,600,32,1,4,0,0
2542217102492001,556,31,0,0,0,0
2540838515963193,1003,40,13,5,23,50
2540544955992549,421,29,1,0,0,1
2540028752710836,503,42,0,0,0,2
2537838069596571,450,48,0,0,0,0
2533772856669759,1003,74,5,0,0,0
2531948560185522,0,0,0,0,0,0
2531701933543518,1243,108,3,0,0,0
2530480286999016,3444,518,27,8,1,1
2530203560360022,474,35,0,4,0,1
2529671863746525,516,41,3,3,2,0
2527922277254817,45,5,0,0,0,0
2527767517270293,1049,201,7,7,0,0
2520187161361662,182,14,1,1,0,0
2519903431390035,302,50,1,2,1,1
2516235581756820,335,2,5,16,117,126
2515936205120091,508,36,2,2,3,12
2514105485303163,248,32,1,0,0,1
2514087645304947,675,45,0,3,0,1
2513774935336218,90,3,0,1,0,0
2507950915918620,326,6,5,12,104,64
2507635265950185,402,16,2,1,7,10
2506579842722394,393,20,2,1,0,1
2504888852891493,0,0,0,0,0,0
2502264823153896,109,3,0,0,3,0
2500494789997566,402,2,5,16,115,81
2500181020028943,427,18,0,4,2,9
2498112213569157,132,22,0,1,0,0
2498121313568247,473,40,1,0,0,0
2495921123788266,467,36,1,0,0,1
2495669377146774,211,10,1,2,0,0
2493464787367233,0,0,0,0,0,0
2489206664459712,555,36,1,2,0,0
2488947927818919,0,0,0,0,0,0
2484394404940938,1045,92,3,0,0,0
2483496771697368,2237,289,20,3,0,1
2483249708388741,515,26,3,1,0,3
2482843545096024,453,44,2,0,0,0
2482406525139726,0,0,0,0,0,0
2480578045322574,495,53,0,0,0,0
2478259718887740,0,0,0,0,0,0
2477065262340519,2500,338,11,1,0,0
2476738242373221,699,66,1,2,1,0
2476601965720182,396,46,0,0,0,0
2475659775814401,576,46,2,0,0,0
