post_id,like,love,wow,haha,sorry,anger
10159155810567573,10286,1258,30,11,5915,13
10159151967417573,3282,304,8,10,4,1
10159142134287573,8890,832,16,3,1,1
10159152255447573,20827,3246,21,2027,2,1
10159136945287573,9233,1466,34,7,1,1
10159152986337573,0,0,0,0,0,0
10159152514892573,5462,395,12,2,124,5
10159151940967573,7133,670,11,336,3,2
10159146903452573,13541,1783,26,34,5,8
10159151818517573,11881,2127,7,1502,1,4
10159151509292573,12229,2427,27,8,3,0
10159151311802573,6728,781,12,3,0,0
10159146930347573,18966,2274,24,8,4,2
10159147231837573,16153,2067,26,14,2,2
10159146248837573,8541,795,11,1,0,0
10159147114202573,7514,1188,38,9,1,2
10159081440257573,13933,1329,20,13,0,1
10159147118432573,8251,760,15,4,1,1
10159131433342573,36784,5871,162,35,20,6
10159142376217573,23233,2802,26,22,5,3
10159130628137573,7201,814,18,29,2,0
10159131505932573,20337,3016,14,19,96,0
10159146206807573,9861,1198,32,9,2,4
10159141474457573,21280,3013,62,24,1,0
10159143639487573,0,0,0,0,0,0
10159100547897573,22095,4251,119,27,3,4
1335943173260063,11317,2887,114,308,125,125
10159142547057573,27228,4382,120,1940,29,79
10159141508682573,18866,1917,68,30,3,2
10159141414042573,20927,2221,59,125,3,2
10159141725182573,0,0,0,0,0,0
10159141401587573,10922,1016,25,5,1,1
10159131496917573,9433,1209,22,6,1,5
10159131866852573,26792,3135,22,18,6,2
10159136479992573,18694,2630,28,17,2,2
10159136215052573,31237,4295,138,29,5,4
10159138045927573,0,0,0,0,0,0
10159131686832573,4692,727,13,6,1,2
10159136909882573,5979,399,8,4,0,0
10158241209637910,583,72,3,0,0,0
10159136583167573,13250,1636,46,123,8,17
10159136306397573,18442,5778,29,8,1,2
10159136251147573,3771,301,4,1,1,1
10159135925402573,13200,2390,50,16,4,6
10159135831082573,7592,749,18,2,0,1
10159130748047573,12808,774,13,29,1,1
10159132942692573,52919,13471,201,59,6,54
10159125916792573,18991,2582,50,24,4,9
10159131507977573,19736,3107,38,8,2,1
10159115564392573,47849,12497,281,262,22,37
10159132474617573,0,0,0,0,0,0
10159120814077573,25379,4151,91,22,9,1
10159130888907573,4056,617,9,18,2,2
10159131361197573,38493,6378,43,10,8,4
10159131068387573,0,0,0,0,0,0
10159126045462573,22521,3625,27,17,2,0
10159126023697573,12579,1511,31,10,2,2
10159115574257573,31825,2345,73,30,8,6
10159128042602573,0,0,0,0,0,0
10159127164362573,9734,1486,31,5,1,0
10159126089092573,3527,410,5,7,1,0
10159126127282573,8488,1138,8,400,2,4
10159126974562573,29255,6261,52,16,2,1
10159126282787573,16788,2296,53,26,2,4
10159126636692573,11847,1746,36,269,5,10
10159125862962573,14650,1730,19,9,2,0
10159125709117573,5451,531,7,5,0,1
10159121189782573,41701,7631,42,30,117,1
10159121308902573,9270,1435,10,279,0,1
10159115600957573,18571,1866,45,19,2,7
10159122223622573,0,0,0,0,0,0
10159121701262573,14283,1110,10,2064,0,2
10159120419037573,4147,327,7,2,0,0
10159120538007573,11709,1413,38,13,3,0
10159105613097573,39517,7995,232,73,7,9
10159115819772573,15833,2467,17,404,1,0
10159115777842573,34303,3505,182,25,6,3
10159110616382573,4678,367,8,5,1,1
10159117352487573,0,0,0,0,0,0
10159115392137573,48197,7218,88,54,3,17
10159116590757573,37717,5296,97,6116,1,5
10159105366347573,34852,6994,226,32,4,5
10159049125327573,15759,1410,22,14,1,2
10159115709877573,6310,484,12,3,0,2
10159115434207573,19388,2584,24,4,3,0
10159112141012573,20538,2774,47,26,3,6
10159112191512573,18459,2460,17,27,2,1
10159102129032573,12198,982,34,88,6,2
10159110334887573,8236,796,12,7,3,1
10159110261272573,13130,1423,21,30,1,1
10159110108482573,6476,553,12,4,2,0
10159110407522573,13568,2260,8,133,3,4
10159110025477573,9388,944,11,15,2,2
10159091733827573,8095,750,21,27,7,1
10159110116037573,24804,5278,22,709,3,3
10159104980562573,21158,3071,21,8326,2,7
10159085743077573,17529,2552,45,19,2,3
10159104825852573,9022,741,17,8,2,2
10159067725272573,26122,4399,92,72,4,3
10159095939692573,6439,576,9,17,1,1
10159105273147573,0,0,0,0,0,0
10159085755777573,50882,15192,184,983,133,125
10159101965872573,19065,3477,19,72,4,1
10159082070637573,42756,6884,73,55,2,7
10159101239492573,27631,3619,35,20,4,2
10159101921672573,10477,1106,12,19,1,0
10159099807582573,45802,6681,179,48,7,2
10159101771182573,20274,2784,31,322,4,1
539494986941251,43832,5535,113,123,40,71
10159100447762573,5378,554,46,577,0,1
10159099643892573,23469,4192,73,42,2,2
10159100248432573,12639,1240,18,122,0,0
10159096212257573,17028,2321,20,9,4,0
10159099691142573,25645,2657,34,14,0,5
10159095999302573,19627,2701,50,14,2,9
10159095711422573,51627,9825,586,77,10,5
10159095108967573,12900,2082,34,7,4,1
10159095852167573,14258,2865,20,7,56,3
10159095612562573,32424,4937,38,15,2,4
10159095583892573,16778,2542,56,39,2,6
253338679174292,17742,2685,71,46,16,22
10159086468177573,38884,7227,201,44,11,4
10159086379267573,48424,6128,63,28,4,4
10159094920772573,0,0,0,0,0,0
10159087711627573,28042,7370,16,9,778,5
10159090580807573,12242,2969,11,7,181,0
10159090439887573,28045,8697,17,10,284,2
10159090326857573,44341,14253,45,25,322,4
10159090239697573,36559,12832,16,13,1970,5
10159088692802573,16792,5522,12,6,3366,5
10159088560142573,0,0,0,0,0,0
10159087702582573,31129,13307,33,26,14554,27
10159087580252573,12212,2257,20,261,4,2
10159087284827573,0,0,0,0,0,0
10159086632797573,16796,1947,24,13,6,1
10159085799362573,17772,1707,22,8,1,4
10159086115022573,37762,5275,46,140,2,6
10159081476357573,11603,1807,46,5,2,2
10159086143227573,33826,4969,49,93,3,5
