post_id,like,love,wow,haha,sorry,anger
3101281933226385,8,0,0,0,0,0
3099082986779613,104,4,0,0,0,0
3098819723472606,75,6,0,0,0,0
3098783670142878,811,326,4,3,2,2
3098745133480065,411,13,0,0,0,0
3097667900254455,273,62,0,0,0,0
3094832560537989,880,132,5,4,0,0
3094315313923047,66,0,0,0,1,0
3092671860754059,35,2,0,0,0,0
3092235417464370,213,27,0,0,0,0
3091714130849832,279,50,0,1,1,0
3091398497548062,154,12,0,1,1,0
3089897924364786,71,3,0,0,0,0
3089554714399107,385,59,0,1,0,0
3089256994428879,365,25,1,0,0,0
3089218294432749,112,10,0,0,0,0
3089204501100795,242,9,1,1,0,0
3089170471104198,248,20,0,1,1,0
3089014787786433,636,19,0,0,0,0
3087107641310481,64,11,0,0,0,0
3086660371355208,362,51,0,0,0,0
3086580598029852,58,3,0,2,0,0
3084561504898428,10,0,0,0,0,0
3084429181578327,711,74,3,1,0,0
3084355284919050,569,60,0,0,0,0
3084291681592077,321,20,0,0,1,0
3084255031595742,11,0,0,0,0,0
3084168954937683,2505,631,2,1,910,1
3082912045063374,75,2,0,0,0,0
3082592765095302,83,4,0,0,0,0
3082453568442555,164,7,0,0,0,0
3082354091785836,20,0,0,0,0,0
650648409063923,120,15,1,1,2,1
3082242965130282,118,14,0,0,0,0
3082020195152559,26,1,0,2,0,0
3081769298510982,893,86,1,2,0,0
3077635338924378,39,0,0,0,0,0
3077473942273851,113,0,0,2,0,0
2916631688371890,41,3,0,0,0,0
3075717289116183,29,2,0,0,0,0
3074932375861341,280,23,0,1,0,0
3074671682554077,44,1,1,0,1,0
3073306999357212,462,85,0,0,1,0
3073203872700858,174,3,0,4,0,0
3072584466096132,538,42,0,1,0,1
3072295909458321,588,71,1,1,0,1
3072249876129591,0,0,0,0,0,0
3072219366132642,110,1,0,0,30,0
3072174822803763,321,26,0,0,0,0
3069903156364263,27,0,0,0,0,0
3069815549706357,242,23,0,1,0,0
3069772799710632,186,13,0,0,0,0
3067763809911531,305,41,0,0,0,0
3067403319947580,293,28,0,0,0,0
3065242493496996,31,3,0,0,0,0
3065054623515783,605,28,5,1,1,2
3062814850406427,685,100,1,8,0,0
3060664457288133,42,3,0,0,0,0
3060657713955474,269,37,0,0,0,0
3060372700650642,145,12,0,0,0,0
3059095454111700,34,1,0,9,0,0
3058881334133112,170,6,0,0,0,0
3057983000889612,139,27,0,0,0,0
3056557761032136,127,8,0,0,0,0
3056517751036137,20,0,0,0,0,0
3055867304434515,1048,246,0,2,0,0
3055839624437283,77,1,0,0,0,0
3055764044444841,77,1,0,1,0,0
3055737014447544,317,32,0,0,0,0
3053804884640757,30,1,0,0,0,0
3053701321317780,284,38,0,0,0,0
3053598827994696,1106,223,9,22,0,1
3051454078209171,343,53,0,0,0,0
3051342651553647,159,5,0,0,0,0
3049874178367161,75,2,0,0,0,0
3049253755095870,118,4,1,0,0,0
3049005321787380,35,4,0,0,0,0
3048926171795295,1028,383,0,1,0,0
3044980275523218,41,1,0,0,0,0
213670499727970,931,62,2,1,4,1
3044822985538947,46,1,0,0,0,0
3136415949722606,54,3,0,0,0,0
3043015509053028,49,3,0,0,0,0
3042930185728227,48,2,0,0,2,0
3042841325737113,30,0,0,0,3,0
3042399822447930,760,28,0,0,0,1
3041119269242652,393,48,0,0,0,0
3040893519265227,333,31,1,0,0,0
3040682602619652,165,25,0,0,0,0
3040662069288372,842,147,7,0,0,1
3040181299336449,10,1,0,0,0,0
3040101719344407,49,0,0,10,0,0
3038744836146762,51,1,0,0,0,0
3038358746185371,15,1,0,0,0,0
3038192422868670,196,11,0,1,0,0
3037868079567771,17,0,0,0,0,0
3037851522902760,65,1,0,0,0,0
3037843139570265,54,2,0,0,0,0
3036314376389808,47,3,0,0,0,0
3035815876439658,57,2,0,0,0,0
3035603413127571,76,3,0,0,0,0
3035566486464597,342,48,2,0,1,0
3034316796589566,71,5,0,0,0,0
3034110503276862,271,6,0,3,0,0
3033788759975703,57,0,0,0,0,0
3033464220008157,21,0,0,0,0,0
3033304180024161,242,22,0,1,0,0
3029189940435585,369,16,0,4,0,0
3028749893812923,114,2,0,0,0,0
3027146973973215,77,0,0,0,0,0
3026319590722620,30,0,0,0,0,0
3026285607392685,405,58,5,0,0,0
3447187361972321,37885,2606,1245,55,8,5
3026203567400889,405,118,0,0,0,0
3024087760945803,85,0,0,0,0,0
3023827040971875,1163,51,2,1,0,0
3022385847782661,15,0,0,0,0,0
3022323461122233,222,7,0,3,0,1
3316865525007642,754,53,0,9,0,0
3022307301123849,130,4,0,0,0,1
3021927017828544,60,0,0,0,0,0
3021915661163013,8,1,0,0,0,0
2593374244266892,7,2,0,0,0,0
3021822451172334,0,0,0,0,0,0
3021665601188019,114,1,0,11,0,0
3021633707857875,16,0,0,0,0,0
3021382564549656,91,5,0,0,0,0
3021338217887424,115,3,0,0,1,0
3019181098103136,36,2,0,0,0,0
3017734224914490,30,1,0,0,0,0
3017449878276258,21,0,0,0,0,0
3017304414957471,41,1,0,0,0,0
3017182681636311,37,0,0,0,0,0
3163581473654026,24,0,0,0,0,0
3017007771653802,188,16,0,1,0,0
3016842495003663,121,0,0,0,0,0
3016789415008971,333,23,0,0,0,0
3014429828578263,218,21,0,0,0,0
3014356418585604,226,13,0,0,0,0
3014319011922678,396,17,0,0,0,0
3009758459045400,262,37,1,0,0,0
3009566769064569,266,26,0,0,0,0
3009405139080732,212,15,0,0,0,0
3007795102575069,81,11,0,0,0,0
3007428252611754,107,0,5,0,27,3
3007193635968549,651,141,1,1,0,0
3005801076107805,152,16,0,2,0,0
3005687889452457,72,0,0,0,0,0
3004921009529145,232,40,0,0,0,0
3004797716208141,27,7,0,0,0,0
3002967163057863,285,8,0,5,0,0
3002647146423198,437,37,2,1,0,1
3002601063094473,29,3,0,6,0,0
3002518949769351,93,0,0,0,0,0
3000725556615357,73,1,0,1,0,0
