post_id,like,love,wow,haha,sorry,anger
10157406282118505,7945,904,11,6,7,0
10157406364888505,4601,445,8,1,2,2
10157403903623505,15260,2066,66,51,7,4
10157404393083505,1953,135,8,2,4,5
10157380562198505,4302,413,8,5,1,6
10157403000163505,3475,341,6,6,0,0
10157399268118505,6074,602,15,10,0,0
10157399281878505,3455,377,7,6,1,1
10157399320873505,4232,531,9,5,1,2
10157399585723505,20416,1839,46,39,14,3
10157399235048505,6971,932,18,13,2,3
10157399229338505,2227,217,8,2,0,0
10157399203168505,1724,193,2,3,8,0
10157392892323505,847,61,0,3,0,1
10157392570173505,706,50,0,2,0,1
10157392177208505,5342,591,150,7,3,0
10157392263963505,4973,438,6,7,1,1
10157392207313505,973,86,2,1,0,0
10157392158298505,4205,324,12,6,1,3
10157395457923505,17209,2424,48,21,3,8
10157406375168505,0,0,0,0,0,0
10157380904158505,1499,146,0,2,1,1
10157391766758505,5580,675,3,5,1,1
10157391764288505,2648,390,0,5,2,1
10157391902708505,0,0,0,0,0,0
10157391647998505,1886,216,1,4,1,1
10157391665208505,5816,918,16,7,3,2
10157391554063505,967,82,1,4,0,2
10157387816763505,12071,1226,15,25,1,4
10157387812658505,21437,2743,34,19,10,3
10157388615948505,2320,185,4,12,5,4
10157387712968505,4995,452,2,8,1,0
10157387760053505,2408,300,1,2,0,0
10157380525908505,1414,159,0,3,3,1
10157387462988505,1024,89,3,3,1,0
10157388073003505,8142,761,10,20,0,2
10157387473233505,2696,292,23,2,0,2
10157387587268505,29277,2761,83,26,5,3
10157380976003505,19083,2451,121,23,3,2
10157387447033505,6965,839,9,7,1,1
10157380505553505,2609,266,7,7,1,1
155651479222782,2892,435,13,14,12,21
10157383711873505,1097,107,4,3,0,0
10157383987753505,18140,1513,40,46,3,4
10157381083878505,2837,306,8,21,1,1
10157380654213505,2751,382,6,9,1,1
10157380794608505,3642,373,12,1,1,0
10157380156768505,6067,463,13,5,2,8
10157380154143505,7411,668,24,11,1,3
10157380178368505,623,82,2,0,0,1
10157380090763505,4551,521,26,2,1,1
10157376621123505,2812,247,3,8,3,1
10157376516413505,4660,435,4,21,9,0
10157366162743505,2214,196,5,2,1,3
10157366121783505,10001,1056,67,14,1,1
10157371037343505,2932,482,3,10,0,1
10157362157908505,6094,761,25,13,2,8
10157366117418505,19740,2794,260,32,4,2
10157366134638505,6561,690,65,14,1,2
10157365513618505,1790,135,1,1,7,0
10157362542553505,4614,409,15,8,1,0
10157361853668505,3066,290,3,5,2,2
10157366170848505,8883,1275,15,11,20,4
10157366168088505,11020,1894,47,10,2,5
10157365861483505,4773,545,16,3,2,0
10157365358293505,20091,2812,123,35,5,3
10157365175403505,4915,730,14,12,1,5
599593497568969,2452,340,7,20,4,9
10157361942913505,2380,285,4,4,2,1
10157361734983505,4308,514,78,10,0,3
10157361680513505,1019,111,2,8,2,2
10157358799508505,5878,785,9,7,3,2
10157359152043505,1714,204,4,1,1,2
10157359254413505,11749,966,24,7,1,2
10157358996458505,1006,92,1,1,0,1
10157358489098505,11264,1520,10,4,2,0
10157355831953505,2240,326,7,3,1,0
10157355957678505,3838,442,11,3,1,1
10157355342743505,2308,259,6,3,3,2
10157355610673505,2414,219,6,2,1,1
10157355337923505,7454,1154,25,26,2,3
10157355183628505,25625,3525,76,13,5,2
10157355071708505,7052,1138,89,11,2,2
10157348573968505,10023,1514,43,8,2,3
10157348698108505,3222,283,10,5,0,2
10157349390953505,2122,205,1,2,1,1
10157352136548505,7279,303,12,3,9,4
10157348917608505,1722,107,3,1,1,3
10157348524053505,12856,1152,18,9,2,2
10157338594618505,4588,345,10,7,3,1
10157348581848505,0,0,0,0,0,0
10157348420448505,1506,163,2,6,0,2
10157348390518505,14117,1655,22,10,4,3
10157338852553505,2933,379,2,5,0,2
10157338422048505,2281,206,16,1,0,1
10157338428118505,1864,155,2,0,1,1
10157332266553505,7239,803,18,5,2,1
10157338522038505,7598,955,23,139,0,1
10157338407823505,39382,6104,46,92,12,11
10157338196283505,2415,365,13,7,0,1
10157338213593505,3578,388,9,1,2,0
10157338245048505,4692,443,13,6,0,5
10157338180088505,5541,592,25,12,2,2
10157334660873505,4670,455,9,2,1,9
10157331454193505,4607,357,8,34,2,3
10157319140303505,2393,201,4,4,1,4
10157319086083505,2683,72,4,4,14,11
10157315318833505,5944,449,6,141,6,9
10157311371688505,7564,767,9,19,8,6
10157308534383505,3876,432,19,3,1,1
10157307704908505,2132,206,3,5,1,1
3766950510042001,12711,976,42,28,6,19
10157301730748505,4850,758,11,9,1,2
10157297437238505,0,0,0,0,0,0
243159006812573,9098,1116,35,29,19,17
10157290793378505,9090,802,207,14,5,1
10157290457618505,3649,329,12,4,3,1
10157283550293505,4558,383,11,7,5,2
10157281479953505,5975,604,18,7,9,8
10157280467968505,6311,477,12,6,3,3
10157276029368505,6791,655,10,12,4,0
10157290814968505,0,0,0,0,0,0
10157266608878505,5417,400,42,19,1,4
10157262724978505,8351,587,43,18,0,3
10157259249168505,12498,1140,259,199,7,2
513584836246323,8658,744,26,24,6,6
10157235439303505,20231,1631,32,79,24,13
10157230637938505,18013,1967,58,65,13,17
10157228086943505,9289,666,13,45,12,9
2437612553216040,11504,906,35,20,16,20
10157222020113505,10330,883,15,59,21,20
10157219275223505,8127,601,16,14,8,5
10157213047723505,22956,1892,51,54,21,13
641472636630629,18132,1433,56,36,20,23
10157212393213505,3541,234,2,3,7,2
10157202337818505,8089,479,13,38,13,2
10157187513648505,43498,6807,787,60,15,7
10157188110843505,3769,162,9,6,3,2
