post_id,like,love,wow,haha,sorry,anger
3224639984235862,103,4,0,0,0,0
3224609397572254,897,174,0,1,69,0
3222621697771024,688,55,0,0,4,0
3222644144435446,3591,497,2,1,0,0
3222660131100514,307,21,0,1,0,0
3222297684470092,2204,294,1,4,0,0
3222211591145368,69,2,0,0,0,0
3222110481155479,2029,489,3,65,1,0
3219933388039855,239,10,0,0,0,0
3219932821373245,547,46,2,56,0,0
3219931838040010,445,35,2,0,0,0
3219930671373460,491,59,1,0,0,0
3219929208040273,884,51,5,1,0,0
3218029991563528,981,132,0,2,0,0
3215513588481835,1536,186,4,1,0,0
3215476961818831,1437,169,1,2,0,0
3215648068468387,807,176,0,1,0,0
3215452411821286,94,1,0,0,0,0
3215405368492657,840,122,3,1,1,0
3215382271828300,707,133,1,48,0,0
3215170968516097,1071,144,1,0,0,0
3215159401850587,1075,173,3,1,0,1
3214848398548354,122,10,0,0,0,0
3212958985403962,249,15,0,1,0,0
3212492628783931,1070,205,1,1,1,1
3212282142138313,4665,538,5,0,0,0
3212159242150603,262,50,1,1,0,0
3212030842163443,1653,357,0,0,0,0
3210674558965738,75,2,0,0,0,0
3210502802316247,7979,1561,10,77,0,1
3210314402335087,1136,121,4,1,0,1
3210069292359598,898,68,0,2,0,0
3209762472390280,186,14,0,0,0,0
3209360035763857,320,3,1,0,144,0
3207918655907995,233,12,0,0,0,0
3207292915970569,225,11,0,54,0,0
3207625872603940,1144,129,8,6,0,0
3207274452639082,2584,279,9,1,0,0
3207176862648841,100,7,0,0,0,0
3205497789483415,429,79,1,0,0,0
3205481912818336,1300,210,3,2,0,0
3205203316179529,2186,226,2,1,0,0
3204945456205315,704,62,2,0,0,0
3204672169565977,115,15,0,0,0,0
3202161266483734,2129,219,1,0,0,2
3202162869816907,799,51,0,0,0,0
3202160459817148,990,97,4,1,0,1
3200589083307619,2411,437,3,1,98,0
3200456836654177,2282,314,1,2,0,0
3199857810047413,892,134,4,6,0,0
3199842196715641,2409,330,5,1,0,1
3197677966932064,2465,322,3,0,0,0
3197634436936417,1893,560,2,1,758,0
3197534903613037,83,1,0,0,0,0
3197577930275401,3084,125,9,20,4,0
3197222540310940,1539,52,0,2,0,0
3196923127007548,1367,161,5,1,0,0
3196858463680681,240,20,0,1,0,0
3194947467205114,1115,133,0,1,0,0
3194871107212750,746,63,1,0,0,0
3194806303885897,638,19,1,9,0,0
3194608347239026,440,31,1,0,0,0
3194455970587597,1101,179,2,0,0,1
3194313173935210,121,2,0,0,0,0
3194128857286975,505,58,1,2,0,0
3192339724132555,762,17,1,0,0,1
3192643267435534,135,3,0,0,0,0
3192649254101602,588,39,2,1,0,0
3192417787458082,131,1,0,0,0,0
3192119334154594,1784,126,1,0,0,1
3191905974175930,112,7,0,0,0,0
3191718594194668,1501,147,4,0,0,0
3190146281018566,1017,106,4,0,0,1
3189861151047079,716,44,1,7,0,0
3189594867740374,2033,217,5,2,0,2
3189488857750975,144,7,0,0,0,0
3186973501335844,2842,261,3,3,0,3
3186971791336015,386,27,0,0,0,0
3186968498003011,789,95,2,1,0,2
3186969561336238,1898,179,10,0,0,0
3184493084917219,611,58,1,0,1,0
3184838698215991,447,32,2,0,0,0
3184491991583995,2114,339,2,0,10,0
3183909314975596,774,66,0,0,0,0
3183907684975759,5819,1242,4,0,80,0
3182782955088232,484,28,1,8,0,0
3182449641788230,2024,374,3,3,7,0
3182021401831054,361,36,0,0,0,0
3181922285174299,1380,120,2,0,0,0
3180754268624434,1848,259,2,1,1,0
3180636868636174,290,13,0,0,0,0
3179807788719082,90,1,0,0,0,0
3179832018716659,755,118,0,0,0,0
3179628845403643,430,23,0,2,1,0
3178171382216056,1076,213,0,1,0,0
3178269658872895,845,104,2,2,0,0
3177982955568232,1744,486,1,0,4,0
3177594875607040,576,77,1,0,0,0
3177317675634760,125,8,0,0,0,0
3175959749103886,186,2,0,0,0,0
3175727982460396,486,39,1,0,0,0
3175355519164309,733,66,3,0,0,0
3175077229192138,785,68,4,3,0,0
3174892645877263,148,10,0,0,0,0
3174770669222794,3529,611,7,2,114,1
3173375109362350,519,63,0,0,0,0
3173200949379766,1330,158,9,1,0,0
3172650542768140,1320,198,6,4,0,0
3172540432779151,1448,165,1,153,0,2
3172512906115237,76,2,0,0,0,0
3171017016264826,4586,417,5,2,41,0
3170851396281388,326,12,0,0,0,0
3170553792977815,944,103,3,4,0,0
3170319786334549,3087,572,1,48,0,1
3170139859685875,271,9,1,0,0,0
3167125729987288,772,66,2,0,0,0
3167128923320302,1138,140,2,0,0,0
3167126906653837,1833,449,2,0,1,0
3167655193267675,5462,1449,2,31,1,1
3167116706654857,771,53,1,0,0,0
3165823163450878,117,8,0,1,0,0
3163620950337766,2148,441,17,6,2,0
3165829303450264,1078,96,3,0,0,0
3165395886826939,2133,317,3,0,0,1
3165216020178259,899,44,1,4,0,0
3164059780293883,152,16,1,0,0,0
648293045730465,25,0,0,0,0,0
3163542243678970,200,8,0,4,0,0
3163557857010742,525,38,2,1,0,0
3162943973738797,131,5,0,2,0,0
3162893003743894,1242,276,4,12,0,0
3161742223858972,1421,187,2,204,0,0
3160721700627691,1092,104,4,2,0,0
3160866553946539,1029,54,1,2,0,1
3160624360637425,760,38,4,0,0,0
3160582170641644,136,22,1,0,0,0
3160304507336077,6802,1271,140,5,6,2
3158942380805623,1390,249,2,1,1,0
3158971334136061,723,58,3,1,0,0
3158894994143695,551,54,1,2,1,0
3158427404190454,405,38,1,0,0,0
3158186117547916,365,32,1,1,0,0
3156568837709644,755,61,0,1,0,0
3156158301084031,171,4,0,0,0,0
3155941247772403,711,34,1,1,0,0
3155895837776944,134,5,1,0,0,0
3154216104611584,919,64,2,0,2,0
3153986744634520,2747,575,4,0,0,0
3153798737986654,853,35,0,2,0,0
3153587214674473,202,14,1,0,0,0
3153432558023272,1726,138,2,0,1,0
3152139061485955,401,17,0,0,1,0
3151812691518592,580,53,1,1,0,0
3151445011555360,3825,511,35,5,6,4
3151307384902456,1393,212,10,1,0,0
3147375261962335,321,8,0,9,0,0
3149308051769056,365,32,1,1,0,0
3149140785119116,1765,205,1,1,0,0
3148947475138447,1036,110,2,0,0,0
3148846321815229,1951,239,4,1,1,0
3147042071995654,545,56,1,22,0,0
3146889875344207,3062,209,13,3,1,0
3146772815355913,0,0,0,0,0,0
3146662928700235,374,36,0,0,0,0
3145265145506680,2317,598,4,2,32,1
3145026578863870,1094,131,3,0,10,0
3144555738910954,787,83,1,3,0,0
3144250775608117,1904,535,26,0,0,0
3144064042293457,1634,382,14,0,0,0
3142644445768750,3316,604,7,4,76,0
3142159315817263,395,38,0,0,0,0
3141986175834577,438,28,0,0,0,0
3141791032520758,1075,74,2,2,0,0
3140251926008002,968,145,3,2,1,0
3140008359365692,1924,218,3,0,0,0
3139744116058783,1248,156,2,1,0,0
3139493152750546,1665,54,4,392,1,0
3139332022766659,2502,285,1,1,2,0
3138005559565972,4054,402,2,0,5,0
3137698209596707,1062,124,8,1,0,0
3137396972960164,966,102,0,0,13,0
3137026456330549,593,54,0,1,0,0
