post_id,like,love,wow,haha,sorry,anger
10158004270094597,0,0,0,0,0,0
10158003498204597,663,44,2,2,0,0
10158003536579597,485,60,2,0,0,0
10158002833099597,514,43,0,0,0,0
10157999207809597,448,47,2,43,0,0
10157999191414597,224,12,0,0,0,0
10157994782684597,400,25,0,0,0,0
10157994678779597,683,75,1,1,0,0
10157994418214597,631,77,3,56,0,0
10157995426094597,7328,1739,42,28,2,1
1335943816593332,1239,410,8,21,4,11
10157994530889597,606,55,3,0,0,0
10157994508719597,407,31,2,0,0,0
10157990471994597,162,12,1,0,0,0
10157991920544597,966,82,4,1,0,0
10157992222919597,209,21,1,0,0,0
10157990429019597,588,74,0,0,3,0
10157991029509597,1762,266,1,2,0,0
10157990733114597,0,0,0,0,0,0
10157987011224597,558,67,0,1,0,0
10157990217844597,628,40,0,1,0,0
10157987002184597,445,23,2,2,0,0
10157988427354597,211,19,1,1,0,0
10157987827969597,299,24,1,0,0,0
10157987458404597,1316,112,0,1,1,0
10157986842919597,690,115,1,1,0,0
10157986356594597,115,6,0,0,0,0
10157985759009597,1321,135,3,0,0,0
10157979250159597,499,43,1,0,0,0
10157982523459597,409,29,0,0,0,0
10157982266014597,447,49,2,15,0,0
10157982084534597,239,22,0,0,0,0
10157981825764597,674,68,2,1,0,0
10157979203949597,1517,281,0,0,0,0
10157979482304597,142,4,0,0,0,0
10157979159774597,205,7,0,0,0,0
10157978634589597,1436,198,5,1,0,0
10157978427169597,940,163,2,2,2,0
10157978328814597,157,5,0,0,0,0
10156887940499597,2063,562,6,2,0,0
10157975771539597,635,72,3,6,3,0
10157974210974597,505,23,0,0,0,0
3232998316723239,637,95,4,2,1,1
10157974904329597,1166,215,23,4,0,0
10157974268364597,1215,206,3,2,0,0
10157974211664597,371,17,0,4,0,0
10157973908484597,1470,179,1,16,0,0
10157949454204597,395,46,1,1,0,0
10157970306769597,1919,172,4,1,0,0
10157969834139597,531,61,0,0,0,0
10157965285319597,861,89,4,0,0,0
3146029052094995,888,136,0,32,0,1
10157962122974597,909,120,6,1,0,0
10157965557814597,557,73,0,1,0,0
10157965294654597,498,25,1,0,0,0
10157963213219597,610,88,1,0,0,0
10157962084889597,517,44,0,1,0,0
10157961833914597,760,99,0,0,0,2
10157961575259597,658,84,1,1,0,0
10157961212869597,502,55,0,0,0,0
10157961139694597,209,6,1,0,0,0
1774387679367956,560,64,0,3,0,0
10157958182444597,629,63,0,0,0,0
10157957919244597,5698,2679,12,11,1,0
1603339203147016,417,79,2,1,3,0
10157957192794597,824,93,11,1,0,0
10157953658179597,1873,305,1,2,0,1
10157954535614597,156,7,0,0,0,0
10157953306889597,1080,191,4,1,2,0
10157953650034597,624,66,2,0,0,0
10157953338579597,1925,278,2,2,0,0
10157951489649597,1550,221,3,1,0,0
10157950068289597,1669,413,12,4,0,0
10157950241609597,522,65,0,0,0,0
10157949900144597,481,30,0,0,0,0
10157949532294597,979,211,2,0,0,0
10157947209104597,266,16,1,1,0,0
10157947180964597,628,44,1,1,0,0
10157946870539597,522,77,0,1,0,0
10157946499324597,502,53,1,1,0,0
10157945891939597,308,18,0,0,0,0
10157934705594597,2319,766,9,4,0,0
10157942331069597,350,31,1,0,0,0
10157942350874597,634,56,3,0,0,0
10157941978604597,1813,344,1,3,1,0
10157938390039597,285,28,2,0,0,0
10157938416974597,681,72,3,0,0,0
10157938213399597,1813,291,5,0,0,0
155681462450526,1345,143,6,72,0,0
10157934948069597,2890,999,102,2,0,0
10157924181499597,326,28,1,2,0,0
10157935143999597,416,18,1,1,0,0
10157934960559597,1044,124,0,0,0,0
10157931664714597,354,49,0,2,0,0
10157934721949597,1968,187,2,4,0,0
10157931626829597,2059,599,10,3,1,0
10157931541379597,792,99,3,1,0,0
10157931614769597,689,106,1,0,0,0
10157930987994597,582,74,1,1,0,0
10157931090894597,4234,729,9,2,0,0
10157930901149597,3276,531,4,2,0,0
10157928297094597,960,164,0,1,0,0
10157928113604597,538,54,1,0,1,0
10157927648904597,205,20,1,1,0,0
10157927515764597,242,43,1,1,0,0
10157925047564597,11656,6801,31,19,0,1
219575789456086,932,139,2,9,3,6
10157925043869597,890,145,8,3,0,0
10157924464824597,598,102,2,1,0,0
10157924237594597,239,11,0,0,0,0
10157923967699597,1143,44,3,0,12,0
10157922779049597,2347,521,62,20,3,2
10157921976809597,1496,323,8,0,0,0
10157921817674597,1525,391,27,16,1,3
10157921702349597,863,93,3,0,2,7
10157921246529597,1005,165,2,2,0,0
10157920821594597,473,42,0,0,0,0
10157920754879597,695,82,3,0,0,0
10157920294984597,1842,282,1,1,0,0
10157918191314597,536,54,1,0,0,0
10157917112334597,448,42,1,0,0,1
10157917143509597,1257,156,5,3,0,0
10157917097839597,384,42,1,0,2,0
10157910444709597,1966,85,3,11,0,0
10157913227374597,761,122,4,1,0,0
10157910358409597,3588,1904,13,8,1,2
10157913203229597,841,102,1,1,1,0
10157913219879597,16785,11098,288,33,58,13
10157910437509597,4187,2504,20,8,4,3
10157911287069597,438,39,0,1,0,0
504792936882076,0,0,0,0,0,0
10157460297044597,873,128,2,4,0,0
10157909921064597,577,26,2,1,0,0
10157909820759597,382,45,1,2,0,0
10157907021304597,3156,1214,14,7,1,0
10157907571909597,967,107,10,2,0,0
10157902743129597,1998,338,4,14,3,4
10157906647839597,833,120,3,1,0,0
10157906521374597,1769,266,2,1,0,0
10157906134899597,1021,134,2,4,0,0
10157905824199597,2739,545,8,23,3,2
10157903581504597,883,132,7,1,0,0
10157903047109597,611,71,1,0,0,0
10157902894654597,1180,117,2,8,1,1
10157902328044597,1726,446,4,8,0,2
10157898865009597,715,84,0,1,0,0
10157898821269597,614,67,2,0,0,0
10157898662824597,2834,268,2,2,0,0
10157896062264597,4939,916,28,4,1,1
10157896057224597,2530,372,3,0,0,1
10157895401409597,1831,300,5,0,0,1
10157895179834597,1425,266,0,0,0,0
10157894974739597,578,53,3,1,0,0
221134262577040,763,121,0,3,1,1
10157891102969597,1817,85,2,0,0,0
10157890970354597,551,68,5,1,0,0
277728486554164,715,97,1,1,1,0
10157888251599597,1539,237,4,0,1,0
10157887790204597,286,28,1,0,0,0
10157887599759597,1077,129,3,0,0,1
10157887319039597,2392,300,3,0,0,0
10157884094659597,2210,241,6,1,1,0
10157883590359597,4756,706,3,2,20,0
10157883394414597,607,60,1,0,0,0
10157881246169597,3050,552,4,30,1,0
10157880890304597,4206,1244,5,0,2,0
10157880223424597,2570,952,2,436,0,0
10157879798414597,741,95,2,0,0,0
10157879794719597,731,96,0,9,0,0
10157879509374597,3782,878,13,22,0,0
10157876089649597,2680,610,5,1,0,0
10157877146019597,915,120,0,2,0,0
10157876331439597,815,94,3,2,0,1
10157876258469597,619,143,0,48,1,1
10157875523139597,827,86,1,0,1,0
10157868230389597,927,143,3,1,2,0
10157873045729597,285,19,0,0,0,0
10157872055409597,1658,342,0,2,5,0
10157871824704597,559,70,1,0,0,0
10157869626594597,2539,481,3,3,0,0
10157869577559597,1916,160,2,0,2,0
10157868980819597,2982,713,10,2,1,0
10157868682894597,1509,403,24,0,2,0
10157868400379597,2492,303,8,24,1,0
10157868191024597,1970,83,2,2,1,0
10157857105729597,531,35,2,2,1,0
10157863617029597,3489,899,5,2,1,0
10157860162619597,5866,813,11,2,2,0
10157856687449597,1766,388,13,2,0,0
10157856509119597,6199,2924,30,8,2,2
10157856160489597,1053,138,2,2,0,0
10157852720279597,1123,184,7,2,0,1
10157852373259597,1103,14,13,0,253,3
10157851870674597,822,133,2,0,0,0
10157849752074597,372,34,4,0,0,0
10157849414649597,1147,116,2,1,0,0
10157845058824597,2808,633,10,622,1,0
10157845516354597,777,108,3,1,0,0
10157845294699597,2512,305,5,1,1,1
10157842652839597,1702,384,6,2,0,1
10157842787049597,2754,735,15,3,2,2
10157842492894597,1691,266,5,7,5,0
10157838391969597,765,72,0,0,0,0
10157838479569597,4911,1019,30,4,1,0
10157838330984597,1526,230,10,2,0,0
10157836097109597,3303,518,3,0,0,1
10157835237994597,6000,2362,30,10,3,2
10157835128404597,8304,237,503,19,3969,15
10157832816604597,948,103,4,0,1,0
10157833270059597,5702,656,13,24,5,4
10157831637939597,3333,618,26,7,1,1
10157831824914597,2873,70,37,4,504,13
10157831725989597,1461,18,20,3,281,13
10157830625939597,3745,725,18,2,1,0
10157830535059597,949,65,1,3,7,3
10157830423529597,7592,2078,11,6,57,8
10157830284724597,6711,565,24,18,56,188
10157830234959597,4602,599,8,4,5,12
10157830086714597,1648,36,4,6,111,17
10157829858664597,1191,104,1,0,0,0
10157829803924597,1623,247,4,3,3,1
10157829659949597,845,114,10,0,0,0
10157829729179597,4162,905,19,3,3,1
10157828767849597,2298,388,2,4,1,0
10157828628564597,827,101,3,1,3,1
10157828724839597,1745,252,1,0,0,1
10157828688434597,3832,566,6,3,0,1
10157828882984597,1860,226,8,2,2,1
10157828709064597,3539,579,2,1,4,0
10157828605929597,3916,477,18,3,2,1
10157826887229597,2099,130,8,1,0,0
10157825676439597,1095,151,2,1,0,1
10157826132849597,5844,720,6,5,1,0
10157826129519597,5117,691,5,2,1,1
10157824075799597,2469,359,2,1,0,0
10157824077899597,2750,473,7,1,0,0
10157824390574597,1281,25,29,3,126,13
10157824061929597,2829,531,9,1187,4,1
10157824054689597,1299,146,1,1,1,0
282974166006685,0,0,0,0,0,0
10157823791479597,1575,258,15,24,1,1
10157823442424597,3236,400,26,4,1,0
10157823173709597,3081,564,3,0,0,0
10157821012404597,1235,27,49,1,298,17
10157819903894597,1693,200,5,1,0,0
10157820601504597,1425,470,3,2,1,0
10157819864364597,4194,625,4,7,0,0
10157816817569597,5262,899,14,4,0,0
10157816732529597,698,54,1,1,1,0
10157816727054597,5256,614,6,9,2,0
10157815757804597,1446,108,1,0,5,0
10157814767159597,776,55,1,1,8,3
10157814753064597,2771,221,10,4,302,22
10157814641759597,674,17,1,7,70,49
10157814587169597,3497,67,33,38,534,428
10157814426179597,1778,46,8,2,161,32
10157814215634597,2334,346,2,7,1,3
10157814127644597,4308,938,9,3,0,3
10157813744079597,939,95,3,0,6,0
10157811106354597,2414,247,8,1,0,1
10157811691459597,1573,269,3,1,1,0
10157810887154597,58791,4567,843,43,7,2
10157810877664597,2626,405,1,2,0,0
10157807540174597,2557,266,1,3,1,0
10157807552169597,6294,2661,39,16,1,0
10157808483609597,11998,1789,39,8,0,9
10157807891474597,2354,357,6,0,0,0
10157807734084597,4919,924,18,5,0,1
10157805644649597,0,0,0,0,0,0
10157802390439597,3028,409,7,1,0,0
10157801476724597,0,0,0,0,0,0
10157801748034597,8599,1814,37,6,1,0
10157796875094597,1182,208,2,2,0,0
10157801975714597,1045,46,13,2,0,1
10157798427464597,11758,3663,91,45,24,49
10157799576004597,4631,1131,15,5,0,0
10157799553044597,1360,143,2,0,0,0
10157798809664597,7000,2482,24,6,0,0
10157796875959597,3112,629,20,0,0,1
10157796984894597,3654,686,3,14,0,1
10157796956769597,4747,1511,14,1,1,1
10157796876649597,16703,10063,158,20,2,3
10157796226709597,4359,1172,11,7,0,0
10157796347969597,2611,441,3,0,2,19
10157796119319597,17149,8770,58,25,2,1
10157795868714597,3250,545,6,2,0,0
10157795792879597,4726,1026,5,4,2,2
10157795819974597,13188,6211,47,24,1,3
