post_id,like,love,wow,haha,sorry,anger
3324156274285717,104,14,0,0,0,0
3323989020969109,90,7,0,0,0,0
3323873430980668,576,131,1,1,0,0
3322273084474036,171,23,0,0,0,0
3322196934481651,59,11,0,0,0,0
3321754194525925,167,13,1,0,0,0
3321545294546815,253,41,0,0,1,0
3321357754565569,95,9,0,0,0,0
3319846841383327,166,15,0,0,0,0
3318957481472263,82,2,1,0,0,0
3318714174829927,92,7,0,0,0,0
3318587208175957,649,169,0,2,0,0
3317034018331276,74,3,0,0,0,0
3316790465022298,143,10,0,0,0,0
3316546168380061,59,2,0,1,7,0
3316294428405235,107,6,0,0,0,0
3315965501771461,218,41,0,0,0,0
3315809841787027,380,53,0,0,0,0
3314216821946329,326,54,0,0,0,1
3313952931972718,124,15,0,0,0,0
3313633928671285,183,19,0,0,0,0
3313244745376870,43,0,0,0,0,0
3313138385387506,79,6,0,0,0,0
3312936905407654,332,43,1,0,0,0
3312749485426396,664,102,0,0,22,0
3312515838783094,145,18,0,0,0,0
3310451305656214,146,25,4,0,0,0
3310320585669286,96,3,0,0,1,0
3310142762353735,225,18,1,0,0,0
3309785272389484,276,30,0,3,0,0
3309410379093640,188,5,0,1,0,0
3309080719126606,73,12,0,0,0,0
3308643662503645,243,33,0,0,0,0
3306704116030933,199,20,0,0,0,0
3306247222743289,193,8,0,0,0,0
3305945009440177,82,3,0,0,0,0
3305403072827704,163,3,0,0,0,0
3305153999519278,0,0,0,0,0,0
3305145802853431,39,2,0,0,0,0
3304878636213481,90,5,0,0,0,0
3302826809751997,54,1,0,0,0,0
3302492376452107,222,50,0,0,0,0
3302000623167949,149,7,0,0,173,0
3301836103184401,89,7,0,0,0,0
3301512349883443,268,42,2,0,0,0
3301272389907439,504,64,3,0,0,0
3298769443491067,125,3,0,0,0,0
3298045633563448,138,2,0,0,0,0
3297983290236349,441,21,1,1,0,0
3296338953734116,183,13,1,0,0,0
3295901933777818,448,67,1,0,1,0
3295580420476636,57,4,1,0,0,0
3295338443834167,72,2,0,0,0,0
3295088410525837,487,75,1,0,0,0
3293435687357776,255,42,2,0,0,0
3293222694045742,80,1,0,0,0,0
3292911497410195,95,0,0,0,0,0
3292585837442761,73,5,0,0,0,0
3292477127453632,177,19,1,0,0,0
3290964757604869,83,5,0,0,0,0
3290868334281178,167,16,0,0,0,0
3290467640987914,202,8,0,0,0,0
3290082397693105,209,27,0,0,0,0
3289914351043243,145,19,0,0,0,0
3288347487866596,229,25,3,0,0,0
3287650804602931,158,11,1,0,0,0
3286229364745075,284,11,0,0,0,2
3286044001430278,716,110,2,1,0,0
3285213704846641,139,17,0,0,0,0
3282813011753377,130,13,0,0,0,0
3280837078617637,147,7,0,1,0,0
3280256772009001,578,47,1,1,0,0
3277754238925921,398,14,1,0,0,0
3277691208932224,86,4,0,0,0,0
3276060869095258,427,78,1,0,0,0
3275383612496317,133,10,0,1,0,0
3273896369311708,120,14,0,0,0,0
3273503892684289,75,3,0,0,0,0
3272861292748549,162,21,0,0,0,0
3271529549548390,32,5,0,0,0,0
3271229186245093,137,15,1,0,0,0
3270825889618756,141,12,0,0,0,0
3270439619657383,146,18,0,0,0,0
3268761969825148,311,10,0,0,0,0
3268374969863848,141,11,0,0,0,0
3266652290036116,90,13,0,0,0,0
3266205516747460,336,45,2,1,0,0
3265855636782448,284,16,0,1,0,0
3264051373629541,37,0,0,0,0,0
3263827416985270,219,32,0,0,0,0
3263625780338767,36,1,0,0,1,0
3262125340488811,88,4,0,1,0,0
3261474253887253,622,333,3,1,3,0
3261222263912452,50,1,0,0,0,0
3259523957415616,206,5,0,0,1,0
3259205597447452,75,1,0,0,0,0
3258861020815243,542,78,0,2,0,0
3256805514354127,158,9,1,0,0,0
3256619234372755,46,6,0,0,0,0
3255423581158987,193,23,3,0,0,1
3255037464530932,500,85,2,1,0,0
3254793227888689,670,98,0,1,2,2
3254216781279667,76,2,0,0,0,0
3254386027929409,144,10,0,1,0,0
3254176984616980,53,1,0,0,0,0
3252937368074275,122,10,0,0,0,0
3252721881429157,112,12,0,0,0,0
3252292501472095,222,24,1,0,0,0
3252022938165718,124,8,1,0,0,0
3251800231521322,186,11,0,1,0,0
3250294081671937,93,16,1,0,0,0
3250022765032402,100,8,0,0,0,0
3249827485051930,93,3,0,1,0,0
3249672218400790,103,3,0,0,0,0
3248071541894191,152,7,0,0,0,0
3247680288599983,90,7,0,1,0,0
3247172675317411,47,0,0,0,8,0
3245468725487806,83,4,0,0,0,0
3245101605524518,92,0,0,0,0,0
3245064422194903,115,4,1,0,0,0
3243459115688767,513,184,1,0,0,0
3243066772394668,20,1,0,0,0,0
3242897835744895,49,3,0,0,0,0
3242663392435006,79,6,0,0,0,0
3242500015784677,71,6,0,0,0,0
3242342215800457,35,0,0,0,0,0
3241114202589925,114,13,0,0,0,0
3240782705956408,91,1,2,0,27,0
3240590932642252,56,5,0,0,0,0
3240341169333895,55,1,0,0,0,0
3240159966018682,72,10,0,0,0,0
3239993219368690,147,8,0,0,0,0
3239858136048865,47,0,0,0,0,0
3238515576183121,176,22,0,0,0,0
3238311499536862,136,5,0,0,0,0
3238148402886505,141,4,1,0,0,0
3237932626241416,66,3,0,0,0,0
3237727949595217,180,19,0,0,0,0
3237576696277009,341,33,0,1,0,0
3237368062964539,172,17,0,0,0,0
3236097336424945,98,8,0,0,0,0
3235915876443091,235,33,1,0,0,0
3235656839802328,318,12,0,0,1,0
