post_id,like,love,wow,haha,sorry,anger
10157670334999051,100,5,0,0,0,0
10157665657969051,30,2,0,0,0,0
10157659733904051,152,5,0,0,0,0
10157658557734051,86,7,0,8,0,0
10157658039149051,75,14,0,0,0,0
10157657827369051,69,4,0,0,0,0
10157657630834051,21,1,0,0,0,0
10157657435514051,629,118,0,2,0,0
10157657317779051,78,2,0,0,1,0
10157653632459051,135,11,0,5,0,0
10157653344709051,680,138,1,1,0,0
10157650861674051,309,37,0,0,0,0
10157650820704051,58,2,1,15,11,0
10157650147829051,283,17,0,1,295,0
10157646658689051,307,55,0,1,0,0
10157646087424051,368,25,0,0,0,0
10157645947354051,26,0,0,0,0,0
10157643010874051,77,0,0,0,0,0
10157642893554051,21,0,0,0,0,0
10157642748204051,254,23,0,0,0,0
10157634712949051,60,2,0,0,0,0
10157634510264051,19,0,0,0,0,0
10157634219524051,527,16,1,0,0,0
10157631439129051,272,36,0,0,0,0
10157630580389051,301,38,1,0,0,1
10157630355139051,132,7,0,0,0,0
10157628496894051,423,71,1,0,0,0
10157627345294051,311,45,1,1,1,0
10157626649944051,673,143,0,1,0,0
10157623946684051,500,10,0,0,0,0
10157623409824051,137,6,0,36,0,0
10157623002744051,443,60,0,0,0,0
10157620781654051,103,8,0,0,0,0
10157619902504051,278,41,0,0,0,0
10157612945494051,422,60,0,0,1,0
10157609314949051,168,7,0,2,0,0
10157605892639051,273,7,0,0,0,0
10157605623134051,112,1,0,0,0,0
10157602903834051,272,26,0,0,0,0
10157602232219051,463,22,0,0,0,0
10157598997054051,303,52,1,0,0,0
10157598738074051,82,2,1,0,0,0
10157592754854051,420,68,1,2,0,0
10157592520934051,510,68,1,2,0,0
10157587749164051,255,6,1,0,0,0
10157585600464051,245,33,0,5,0,0
10157584211289051,176,11,0,0,0,0
10157582927624051,15,0,0,0,0,0
10157582741724051,79,2,1,1,22,0
10157582315254051,612,180,1,2,1,0
10157581907654051,207,6,0,0,0,0
10157578725714051,420,81,1,1,0,0
3343225799038281,600,86,4,2,0,2
10157578505884051,291,9,0,39,0,0
10157576182254051,333,17,1,0,0,0
10157572179109051,902,82,2,8,0,0
10157569111724051,44,2,0,0,0,0
10157569102969051,40,0,0,0,0,0
10157569097999051,78280,3557,3185,1148,19,11
10157568469704051,259,26,0,0,0,0
10157561352939051,591,56,0,0,0,0
10157561405959051,560,27,0,0,0,0
10157558235939051,752,94,0,1,0,0
10157557785144051,527,107,2,0,0,0
10157555065714051,1979,942,2,2,548,0
10157554868894051,70,2,0,0,0,0
10157553866619051,132,5,0,0,0,0
10157550698844051,317,12,0,0,0,0
10157529587294051,994,315,24,2,2953,6
10157529473819051,95,0,0,0,45,5
10157526149889051,846,276,0,0,59,0
3298660696828125,714,88,2,0,74,0
10157520095034051,52,0,0,0,1,0
10157519602164051,87,1,1,0,3,0
10157519503259051,29,2,0,0,0,0
10157511173354051,111,0,0,0,0,1
10157510387284051,119,3,4,2,41,24
10157508712579051,27,0,0,2,0,0
10157505180694051,80,2,0,0,0,0
10157503135869051,41,5,0,0,0,0
2860495504013098,36,7,0,0,0,0
10157502674784051,100,3,0,0,0,0
10157502155179051,38,0,0,0,0,0
2861427473919901,9,0,0,0,0,0
10157500210629051,29,1,0,1,0,0
10157499800529051,27,1,0,0,0,0
10157499626234051,423,45,0,106,0,0
10157497647154051,549,74,0,351,0,0
10157497036234051,171,24,0,24,0,0
10157494677634051,1169,187,3,0,0,0
10157494638909051,430,61,1,0,0,0
10157494502869051,100,2,0,0,2,0
10157494407239051,33,5,0,0,0,0
10157494284079051,208,13,0,0,0,1
10157492419044051,25,0,0,0,0,0
10157492088714051,22,1,0,0,0,0
2853819478014034,5,0,0,0,0,0
10157491992969051,37,4,0,0,0,0
