post_id,like,love,wow,haha,sorry,anger
10158386709852769,197,8,0,0,1,0
10158386147752769,1123,59,0,3,1,0
10158385571887769,287,11,1,0,0,0
10158385567457769,1186,92,6,1,0,0
10158381894482769,1338,184,14,1,0,0
10158378151802769,1750,178,9,10,0,0
10158381981992769,618,28,0,1,0,0
10158378253337769,1265,59,0,0,0,0
10158377973542769,1475,68,5,0,0,0
10158377608627769,338,21,0,0,0,0
10158378087172769,959,55,4,1,0,0
10158372959832769,514,41,0,0,0,0
10158377540572769,1366,130,5,1,0,0
10158373111122769,971,50,1,0,0,0
10158374422622769,265,13,0,0,0,0
10158373496337769,2313,365,13,1,1,1
10158373776262769,0,0,0,0,0,0
10158373155327769,1024,57,3,3,2,0
10158369481102769,5118,1178,15,10,1,5
10158368088717769,149,7,0,0,0,0
10158363730097769,203,6,0,1,0,0
10158367659042769,227,14,0,0,0,0
10158364532032769,2016,161,4,1,0,0
10158363842507769,734,60,0,1,0,0
10158364772237769,0,0,0,0,0,0
10158364345372769,0,0,0,0,0,0
10158363750877769,908,121,0,0,1,0
10158362872062769,475,27,0,0,1,0
10158362854997769,192,12,1,0,0,0
10158362616937769,188,11,0,0,0,0
10158360217672769,4308,533,3,3,66,0
10158359619922769,198,8,1,0,0,0
10158359935692769,325,12,0,0,0,0
10158358559182769,1229,44,3,2,0,0
10158358177612769,913,65,3,2,1,0
10158355260052769,563,44,0,0,0,0
10158353470217769,172,13,0,0,0,0
10158353907787769,257,13,2,0,0,0
10158353974547769,667,39,0,0,0,0
10158353887497769,418,15,1,1,0,0
10158353448732769,1271,125,5,0,0,1
10158350870277769,1358,93,0,0,0,0
10158349871642769,274,10,0,1,0,0
10158350305222769,0,0,0,0,0,0
10158344754582769,1048,35,0,1,0,0
10158344664322769,1599,119,2,1,0,0
10158344671062769,2220,159,4,0,1,0
10158344573382769,2094,164,2,2,0,0
10158341744737769,251,18,0,0,0,0
10158341796042769,289,24,0,1,0,0
10158314822112769,2865,396,8,3,27,1
10158342083452769,0,0,0,0,0,0
10158340301847769,954,115,4,2,0,0
666558917428988,389,28,2,0,0,0
10158340128482769,356,15,0,0,0,0
10158340296672769,336,10,0,2,0,0
10158336672972769,2244,265,7,1,0,0
10158336566577769,1435,169,3,0,0,1
10158335536577769,1060,119,0,262,0,1
10158336458067769,230,18,0,0,0,0
230706688004967,678,74,1,0,1,3
10158335648157769,1502,135,1,1,0,0
10158331473297769,19382,1423,98,10,1,1
10158331795077769,287,13,0,0,0,0
10158332255982769,756,57,0,1,0,0
10158332731302769,0,0,0,0,0,0
10158331942442769,331,16,0,0,0,0
