post_id,like,love,wow,haha,sorry,anger
10157567304132746,9781,1332,38,31,1,1
10157564414102746,8305,621,15,16,0,1
10157567231442746,9060,881,14,8,0,0
10157567046857746,104892,16180,167,73,7,4
10157566710432746,39111,3932,46,52,3,3
10157564906262746,4886,414,5,4,0,0
10157565942302746,7818,510,7,12,0,0
10157565014837746,7561,856,11,12,1,0
10157565229092746,9940,766,16,12,4,2
10157565004967746,9521,848,17,28,2,1
10157564791982746,8170,527,15,13,3,0
10157564603187746,11282,810,9,12,0,1
10157564331337746,35624,3609,60,21,4,1
10157553529037746,6581,557,20,18,0,3
10157563601637746,36012,4085,52,37,3,1
10157553431567746,9339,1295,35,5,1,1
10157553854292746,38407,8282,181,43,18,9
10157552947287746,5897,570,10,4,1,0
10157561558807746,35147,4799,54,27,7,2
10157553069492746,8845,814,14,7,2,4
10157553176177746,6145,535,8,7,0,0
10157560785422746,22205,1978,91,36,2,1
10157553083812746,7473,599,7,12,0,0
10157549199127746,27492,3917,77,37,4,1
10157559376852746,24967,2501,51,26,1,1
10157553972907746,33233,4756,69,82,6,23
10157557779352746,6277,592,12,10,4,1
10157557674537746,16466,1402,7,16,2,2
10157557348837746,6589,498,7,9,1,0
10157557173552746,11719,874,12,14,2,2
10157556848517746,4952,347,9,3,0,1
10157553129922746,66031,10281,221,65,8,8
10157553068717746,8959,780,14,15,0,0
10157556173442746,7842,527,14,7,1,0
10157549196192746,49361,8035,255,69,20,5
10157555484527746,82615,14515,202,53,24,4
10157553808542746,5119,417,6,11,2,0
10157553276387746,5272,434,7,3,1,1
10157553474152746,5113,496,8,3,0,0
10157552975957746,20112,2549,16,26,1,1
10157553028327746,13527,2539,96,9,0,2
10157553710022746,16860,1433,18,30,0,2
10157553709067746,0,0,0,0,0,0
10157553520047746,9256,1139,27,29,3,1
10157553382917746,10802,728,13,15,1,1
10157553095007746,17301,1506,20,15,0,1
10157552965932746,10245,819,11,8,1,0
10157552779992746,23551,2264,71,24,3,3
10157549189707746,30804,4486,124,44,5,8
10157549898692746,5045,404,5,8,1,0
10157551318422746,6957,572,9,16,2,1
10157549712017746,33995,3615,52,41,2,7
10157550288097746,14574,3174,37,9,2,2
10157549895832746,24196,2368,24,13,2,1
10157550113437746,12485,955,11,12,2,1
10157549922952746,41993,3175,33,30,613,9
10157549719457746,8191,547,19,9,0,1
10157549505137746,7862,671,14,8,5,1
10157549121547746,8722,679,10,7,0,0
10157545656772746,8704,732,9,15,0,0
10157545436687746,26757,3678,75,38,2,1
10157548314467746,20951,2337,26,29,2,0
10157547867882746,7830,609,27,9,0,0
10157545845357746,4850,425,10,5,0,1
10157546806832746,0,0,0,0,0,0
10157545506082746,5176,463,8,4,1,0
10157544694782746,22627,2835,86,18,5,2
10157545889542746,12974,1159,17,20,4,3
10157545686262746,10168,1050,21,8,0,1
10157545317642746,27551,3002,57,45,0,2
2703134453240178,33942,6600,147,95,23,45
10157545135747746,22335,2011,31,23,5,1
10157544884062746,31129,3257,59,38,4,4
10157542068647746,56585,11348,667,71,20,6
10157544570852746,11211,777,12,26,0,0
10157544216382746,18949,1578,31,17,1,3
10157543808427746,57217,6431,130,462,3,3
10157541079477746,36858,5397,103,45,7,13
10157542002442746,4425,340,7,7,0,1
10157541614157746,50387,10545,473,95,7,8
10157541905857746,16222,1458,18,14,0,3
10157542472097746,15470,1352,14,16,3,3
10157541792247746,8693,714,8,9,1,1
10157540798897746,20091,2344,40,16,5,2
10157540916972746,7948,871,10,10,0,2
10157537608572746,16609,2400,41,11,6,3
10157540809302746,15008,1000,9,10,1,2
10157540645827746,13946,1037,39,88,1,12
10157540123007746,9499,776,10,4,0,1
10157537567107746,42734,4906,264,32,5,1
10157539100302746,10574,791,8,11,1,0
10157537962787746,4917,415,9,6,1,4
10157538231732746,15826,1525,20,11,1,4
10157537857087746,8671,843,11,9,0,2
10157537523797746,17097,1682,23,32,1,1
10157537345802746,18068,1985,53,13,0,2
10157536971447746,17773,1449,30,26,2,3
10157536927632746,10415,1044,10,16,2,0
10157526171272746,8364,796,10,8,0,1
10157525925537746,47493,5724,470,54,8,4
10157535263002746,47747,3945,191,115,6,2
10157534921167746,38147,3223,30,86,2,3
10157526252647746,5686,495,8,5,1,1
10157522146437746,28556,3737,57,100,1,4
10157525796642746,23789,2236,44,26,6,8
10157533637402746,17605,1852,22,15,1,1
10157533348667746,4455,401,4,7,1,0
10157487426273655,2752,232,5,11,4,0
10157521640397746,8471,953,15,13,1,1
10157522040532746,20424,2037,18,29,0,2
10157532526767746,13591,1070,19,18,0,1
10157522320182746,6399,577,10,12,1,0
10157522442042746,6757,571,7,16,1,0
10157531033142746,13202,947,15,18,1,1
10157530772792746,9589,810,12,10,3,1
10157526358227746,62252,11095,307,178,11,13
10157530369102746,29799,2532,32,43,5,1
10157529970062746,17536,1680,21,16,0,4
10157526010207746,7992,687,13,7,0,1
10157529482662746,7599,601,10,44,0,0
10157529482172746,14271,1029,23,31,4,1
10157525303902746,7618,669,7,13,0,1
10157528776327746,31875,3249,129,47,1,2
10157521638157746,13447,1962,68,22,1,3
10157522137252746,58387,8071,158,73,10,11
10157526432567746,4653,378,10,11,0,0
10157527077257746,8774,641,13,16,1,0
10157525388937746,5725,494,10,5,0,2
10157526597322746,7343,729,16,9,0,1
10157526141597746,9689,713,11,12,1,0
10157525938612746,9016,925,17,14,0,0
10157525747192746,26205,2542,39,20,3,1
10157525164702746,24372,2589,38,12,5,2
10157521632917746,39745,5809,118,60,10,6
10157522020862746,20873,1962,23,14,1,3
10157524550912746,15840,2022,25,12,3,0
10157524142537746,17890,1935,32,14,5,0
10157522199442746,5755,466,9,0,0,1
10157522290957746,14293,1394,24,9,1,0
10157522679397746,11855,844,24,9,3,0
10157522468767746,4861,601,15,6,0,1
1037797946615972,1022,117,3,0,0,0
10157522318027746,17128,1613,26,13,2,2
10157522179052746,12039,963,8,4,11,2
10157521629127746,16381,1531,23,28,1,2
10157521721182746,7127,540,7,4,3,2
10157521587597746,62925,13554,186,52,7,6
10157521335097746,17752,1601,31,23,1,0
10157518128527746,10120,995,34,6,0,1
10157520506567746,70603,7481,145,202,12,44
10157518655192746,5052,421,6,6,0,2
10157519354412746,7217,774,7,67,1,0
10157518041987746,66382,11983,188,268,7,7
10157518923617746,20904,2151,33,18,0,1
10157518692972746,12084,912,19,21,5,3
10157518499372746,19591,1967,53,66,1,16
10157514583742746,34705,4879,85,44,5,5
10157517909392746,14957,1237,17,16,0,4
10157545391497746,0,0,0,0,0,0
511947679498975,39253,8315,171,95,33,46
10157511834647746,73590,13336,938,111,24,11
10157514208362746,21508,1779,55,30,1,1
10157517251127746,24184,2378,85,43,10,12
10157517011112746,11100,850,13,12,0,1
10157514183247746,11159,977,17,32,1,15
10157514888427746,5104,405,7,7,1,0
10157516196752746,5534,436,7,3,0,3
10157515833142746,18518,1612,18,18,1,1
10157515672072746,8634,773,4,9,0,1
10157500662282746,7033,727,45,92,0,2
10157515283347746,6177,500,9,5,1,1
10157515107032746,11573,903,10,10,0,1
10157514913232746,16805,2226,317,144,3,27
10157514767337746,8774,586,13,31,3,27
10157514170917746,21469,1781,25,57,4,74
10157510777297746,38980,8112,206,38,8,7
10157513994717746,16348,1307,18,58,6,25
10157510816247746,24343,3359,88,34,1,3
10157513268037746,71476,7090,148,9626,28,6
10157511597752746,5167,399,6,11,2,3
10157511203447746,12734,973,23,10,0,1
10157511948512746,10135,682,21,38,2,17
10157511752097746,17857,1963,108,44,4,39
10157511580242746,8747,708,22,8,2,3
510020989694163,17091,2535,53,110,21,37
10157511247822746,21166,1747,30,19,2,2
10157510943067746,18765,1315,36,144,8,65
10157500758107746,7527,609,10,18,1,1
10157497266592746,15424,1512,40,12,1,0
10157509979827746,13479,1260,17,32,6,1
10157500967237746,32660,4856,62,343,2,6
10157500664112746,13677,1311,32,18,5,3
10157500596767746,10077,927,13,25,0,2
10157508212532746,16867,1730,31,10,0,2
10157507750782746,16268,1114,12,71,4,1
10157500343137746,7922,679,9,10,0,0
10157497258447746,10185,891,17,11,1,0
10157506938677746,27534,2088,186,284,2,3
10157497881522746,18949,2382,41,74,1,1
10157506073212746,107252,11900,189,108,7,8
10157500205337746,30976,4824,97,34,1,8
10157505223922746,15448,1047,23,36,2,8
10157500362162746,8427,684,13,53,0,0
10157504873292746,13128,1013,19,19,1,1
10157504707012746,19243,1335,30,216,18,82
10157504538442746,11087,835,15,9,2,0
10157504175017746,7443,597,14,6,2,1
10157500297572746,6928,641,11,6,2,1
10157497249182746,8826,881,22,8,1,5
10157503476362746,29473,2804,59,24,5,3
10157503179797746,8175,665,7,9,0,1
10157500426982746,10024,1163,15,9,2,0
10157502276022746,17663,1342,22,20,1,0
10157500249457746,12224,1120,27,7,1,1
