post_id,like,love,wow,haha,sorry,anger
10164126639875455,1159,140,2,2,0,0
10164120140535455,3235,451,10,3,1,0
10164121385685455,2139,163,4,1,0,0
10164120552985455,3201,332,6,4,1,1
10164120251365455,708,47,0,0,1,0
10164120128960455,5189,316,9,9,1,1
10164116027400455,1097,79,2,3,0,0
10164115128155455,10134,1602,32,16,2,6
10164114875795455,1782,106,1,1,1,3
10164114464135455,12267,2003,59,20,2,10
10164113980375455,1917,126,7,3,0,0
10164113629770455,1753,155,8,16,0,1
10164113476340455,5132,341,7,2,1,2
10164107279260455,24402,8993,184,69,11,14
10164109344325455,1378,105,2,3,1,0
10164109035600455,1633,117,4,0,1,0
10164107302320455,14383,1521,44,37,6,14
10164107095020455,11392,1442,41,30,4,10
10164102051775455,1892,218,9,0,0,1
10164103077270455,4273,415,7,2,0,2
10164100546060455,12552,984,46,24,3,4
10164100429640455,2798,212,9,3,0,0
10164093785460455,4625,560,17,8,1,1
10164095576030455,2241,161,2,5,0,0
10164094138710455,1617,121,2,1,1,0
10164093813840455,5296,492,35,21,0,2
10164093730690455,9213,755,20,9,2,5
10164090553385455,1007,122,2,1,4,1
10164087508815455,18322,3215,92,19,1,7
10164088249015455,1255,110,0,3,0,2
10164087461670455,11448,1190,25,20,2,3
10164080918255455,15062,2342,106,20,4,5
10164080690160455,1605,136,6,2,0,5
10164080778380455,24251,2773,40,29,15,136
10164080611720455,15124,1644,42,71,4,3
10164073696065455,6069,541,19,71,0,5
10164073502830455,11642,901,31,22,1,9
10164073652405455,2960,223,3,3,0,3
10164073367640455,3136,511,7,97,2,1
10164073330680455,3932,355,11,5,0,1
10164069776780455,1415,142,6,0,1,1
10164065318625455,1642,139,1,4,0,2
10164066345785455,4968,555,11,10,1,6
10164067589490455,23221,4298,131,21,8,7
10164065652870455,1499,115,3,1,0,1
2606640616224894,5321,587,16,84,10,20
10164065615375455,3992,449,15,29,0,1
10164065295785455,13485,1296,37,72,7,19
10164065441960455,10359,1486,26,55,1,2
10164059410815455,42354,12137,99,65,9,6
10164059708260455,1447,109,1,3,1,2
10164058389280455,4780,390,10,4,2,2
10164052725000455,9141,481,14,3,0,5
10164052557000455,17965,1715,28,32,3,3
10164052101700455,1814,136,1,2,1,0
10164050512260455,15651,1376,37,16,7,8
10164050594185455,2195,177,2,0,1,0
10164050152065455,3952,451,11,5,1,0
10164046659370455,0,0,0,0,0,0
10164045390795455,1969,158,2,2,1,0
10164044367715455,3861,140,1,2,0,1
10164043045930455,3978,319,10,5,1,8
10164043096315455,10434,883,27,11,3,2
10164043278350455,2384,220,5,6,0,3
10164037506265455,5183,437,8,4,1,4
10164036607230455,19253,1391,37,33,5,13
10164036434900455,2738,238,9,2,1,1
10164035324320455,6849,583,18,27,0,3
10164028714730455,13469,2376,53,20,0,6
10164028753900455,1576,115,2,2,0,3
10164027958945455,3487,263,7,3,0,1
10164028013900455,15553,948,20,33,4,8
10164027736825455,5386,566,12,17,1,1
10164021103870455,4379,322,9,3,1,5
10164020280500455,3342,329,7,8,0,1
10164020274740455,5334,572,9,13,0,7
617335602188051,12918,1185,36,133,2,9
10164012174090455,1853,187,2,6,0,2
10164013340140455,3553,402,4,7,0,4
10164012090975455,2771,235,4,2,0,1
10164011702550455,2234,251,2,14,3,0
10164011741035455,12007,1430,51,13,2,2
10164005639920455,5036,565,13,6,1,1
10164006219915455,2483,208,8,2,0,1
10164005804595455,4500,358,5,10,0,5
10164005258630455,2970,372,5,27,2,4
10164004790715455,0,0,0,0,0,0
10164004718650455,4868,739,14,6,0,1
10163999552020455,2619,281,5,20,1,0
10163998775630455,2187,241,7,6,0,0
10163998849410455,2718,130,3,7,0,1
10163998710545455,9465,1550,151,36,2,8
10163998288320455,10515,1228,27,17,2,3
10163998251910455,2246,140,4,2,0,1
10163992149150455,9793,814,32,16,3,8
10163993145495455,12061,1228,27,11,2,4
10163992488205455,2362,234,5,0,0,0
10163991347690455,2537,279,3,17,0,1
10163991512625455,28395,12166,305,61,8,10
10163990991610455,1013,88,2,0,0,0
10163990837805455,9593,933,26,11,1,3
10163985133300455,1176,82,2,1,0,0
10163984758535455,4071,564,13,55,0,2
10163985113360455,1921,202,4,1,0,0
10163984842860455,24943,2201,32,48,4,15
10163984714260455,5990,419,11,4,2,1
10163977910125455,9644,1590,64,21,4,8
10163977939995455,3423,152,4,1,0,0
10163977886040455,30600,3170,119,39,11,6
10163977837245455,13304,1544,23,40,2,10
10163971864230455,12767,1774,45,17,0,5
10163971876505455,1226,98,1,0,0,0
10163972991740455,4566,302,2,4,1,0
10163971948510455,18656,2942,144,31,5,3
10163971859865455,18435,1287,42,15,1,8
10163971809565455,12762,900,13,8,2,5
10163965241765455,1221,87,1,0,3,2
10163965899400455,5961,450,16,7,1,1
10163965153570455,5483,503,14,7,3,7
10163965076780455,40623,6420,88,95,14,13
10163961106230455,12950,2137,65,14,6,5
10163961407620455,3247,278,5,2,0,0
10163959296460455,5639,2536,52,527,5,4
10163960546585455,1767,152,2,2,0,0
10163960082695455,4970,555,15,5,1,8
10163959523740455,8072,672,11,12,1,3
10163959247485455,8845,1069,14,9,2,4
10163954813210455,2919,264,9,1,0,2
10163954104045455,11460,806,24,468,33,2204
10163953902295455,982,103,1,1,0,1
10163953604140455,10011,1477,30,16,3,3
10163952947445455,5640,552,13,10,1,3
10163952810680455,20094,1258,44,51,9,19
10163952720850455,4911,468,12,20,7,3
10163952675365455,13575,1054,25,14,4,9
10163946653220455,9649,984,28,11,1,2
10163948090755455,2773,171,2,2,2,1
10163947872455455,976,80,0,1,0,0
10163947138285455,6154,626,13,20,2,7
