post_id,like,love,wow,haha,sorry,anger
4064817276861821,391,39,1,0,0,1
4053741537969395,521,10,3,29,74,4
4053344618009087,1037,90,3,6,0,0
4047103708633178,270,25,1,0,0,0
4045766135433602,1489,291,7,0,0,0
4045436808799868,444,17,1,1,0,0
4045308018812747,825,33,3,42,0,0
4038436439499905,999,109,4,1,1,0
4038060382870844,806,36,1,8,0,0
4026693874007495,5647,544,5,5,0,1
4018389094837973,564,17,0,1,0,0
4014057418604474,793,81,3,2,0,0
4006781045998778,314,14,0,0,0,0
4006767769333439,315,33,1,0,0,0
4006723492671200,3435,339,3,2,0,3
4001057476571135,664,63,1,0,0,0
4000606339949582,510,11,1,1,0,0
3995767497100133,258,17,0,0,0,0
3992511924092357,380,29,1,2,0,0
3992291007447782,631,15,0,0,0,0
3989189231091293,1284,169,2,3,1,0
3985590054784544,2247,292,22,2,1,0
3985242914819258,531,16,0,2,0,0
3984919624851587,940,135,1,3,1,0
3974883699188513,397,26,0,0,0,0
216999386310812,64,0,0,0,0,0
3960700470606836,4098,357,3,2,2,1
3968712223138994,373,13,0,0,0,3
215804116430339,46,1,0,0,0,0
3960661917277358,2294,60,1,1,0,0
3964843536859196,74,8,0,0,0,0
1109124709444120,36,7,0,0,0,0
3960912633918953,4107,380,19,1,0,2
3949189608424589,3694,277,2,4,0,1
3957971880879695,467,44,0,0,1,0
3954158497927700,2351,376,4,3,4,1
3953741891302694,1086,170,0,1,0,1
3950698918273658,118,3,0,1,0,0
647188572510136,10,0,0,0,0,0
3950562568287293,547,38,3,1,2,0
3947307281946155,1644,276,1,0,0,0
3947186225291594,2767,383,2,2,0,0
3946676798675870,632,72,0,0,0,0
3946141078729442,1350,144,1,11,0,1
3945906792086204,3752,731,11,18,2,0
3945466425463574,641,70,2,1,0,0
3941978672479016,1940,257,5,2,0,0
3939078469435703,1719,195,0,2,1,0
3923971074279776,2167,131,1,1,0,0
3935732113103672,2050,78,2,1,0,0
3935531653123718,6240,866,13,1092,1,1
3935083153168568,852,68,3,0,1,0
3917052491638301,1682,283,2,4,1,0
3917009484975935,2441,137,2,1,0,0
3928412290502321,1996,265,5,17,8,2
3917038258306391,2717,628,7,5,0,5
3916993338310883,5009,414,9,6,1,0
3925132854163598,3865,663,5,13,82,1
3924954154181468,690,43,1,3,0,0
3921572861186264,151,9,1,0,15,0
3426849320672792,12472,787,43,24,231,19
3920570487953168,380,12,0,0,0,0
205846160759468,62,2,0,0,0,0
3910216825655201,1432,42,0,2,0,0
3917579241585626,1929,201,7,0,1,0
3910183238991893,2313,102,2,3,0,0
3913867965290087,617,7,0,1,22,0
3911841718826045,1049,63,2,0,0,0
3911467048863512,275,2,3,1,23,0
3877097755633775,2916,201,0,0,0,0
3900828136594070,4172,589,4,1,1,0
3900465826630301,336,5,3,0,5,1
3900313689978848,1325,56,5,0,33,1
3899866356690248,692,9,14,2,220,8
3411508392206885,36537,616,480,159,8931,200
3899789440031273,374,8,0,0,1,0
3899742863369264,517,13,2,1,1,0
3896488553694695,299,4,1,1,0,0
3896283393715211,6910,1200,19,7,0,2
3876983825645168,5509,720,3,5,0,1
3893987793944771,557,16,0,0,0,0
3893731987303685,794,60,2,0,8,0
3893269607349923,367,18,0,0,0,0
200677651276319,59,4,0,0,0,0
3893111370699080,347,11,0,0,0,0
3892958120714405,1474,14,31,4,1092,16
3866446266698924,3352,403,16,0,2,0
3890661750944042,596,56,0,0,0,0
3890556370954580,145,2,0,0,0,0
3890456754297875,3627,286,5,2,0,1
3889958477681036,365,5,0,0,2,0
3889676457709238,922,28,0,1,3,1
3866288336714717,5212,1034,2,2,262,0
3887637104579840,190,1,15,2,6,0
3887624304581120,2681,365,2,1,0,0
3887473651262852,2651,239,8,0,4,4
3886572944686256,608,43,1,0,0,0
3886496938027190,279,8,1,1,0,0
3886362848040599,136,3,0,0,0,0
3883322115011339,687,25,0,1,0,0
3882906098386274,1171,162,1,1,0,0
3881380911872126,6434,1195,42,11,1,0
3881385708538313,896,60,2,5,0,0
3881291995214351,4928,735,5,5,0,1
3880890628587821,3007,396,1,2,0,1
3880700391940178,12198,2022,50,15,3,6
3880514638625420,876,10,4,20,15,90
3880378288639055,335,20,0,0,0,2
3880203441989873,1201,84,5,6,1,200
3876523125691238,163,1,2,0,0,1
3876491195694431,161,2,0,0,0,0
3876477655695785,199,13,1,0,0,1
3862618533748364,6763,680,7,7,18,1
3876460412364176,391,10,0,0,0,0
3876471475696403,771,35,2,0,0,0
3877367448940139,215,8,0,0,0,0
3876398812370336,1514,155,2,1,0,0
3876302732379944,689,25,1,1,0,0
3876149549061929,7419,853,12,16,2,7
3874052909271593,316,28,1,0,0,0
3873945602615657,963,84,0,0,0,0
3873742385969312,729,35,1,2,0,0
3873307096012841,176,4,0,0,0,0
3873122809364603,818,58,1,2,0,0
3872960042714213,159,7,0,0,0,0
3871333739543510,2631,97,86,234,308,21
3869592589717625,3138,522,13,2,0,0
3869665683043649,871,35,4,0,0,0
3847571135253104,760,15,0,0,0,0
3868310163179201,483,46,1,0,0,0
3868250063185211,4411,910,4,3,0,1
3868204349856449,1045,95,1,6,1,0
3868143029862581,1677,401,10,4,0,1
3867986129878271,6042,907,8,11,48,0
3867926073217610,9344,1624,58,15,2,1
3867781739898710,4888,830,16,5,0,0
3867676583242559,882,154,1,3,0,0
3867532569923627,1156,137,7,3,0,4
3866224640054420,211,9,0,0,0,0
3866208426722708,338,13,0,2,0,3
3866203466723204,723,54,3,1,0,0
3866190473391170,1173,99,0,0,1,2
3863017220375162,3331,408,7,4,3,1
3863638836979667,483,19,4,2,0,0
3862957470381137,205,2,0,0,0,0
3862809780395906,748,27,0,1,0,3
3862763190400565,431,29,1,1,0,0
3862736083736609,159,0,0,0,1,1
3856821644328053,620,11,0,2,1,1
3856683271008557,379,7,0,5,2,2
3856531587690392,1579,15,11,115,88,335
3856295561047328,507,14,2,9,6,9
3856105471066337,316,9,0,0,0,0
3855882181088666,976,39,5,13,6,196
3848177868525764,145,1,0,1,0,2
3848167505193467,144,5,0,0,0,0
3848150088528542,408,13,0,0,0,5
3848114745198743,474,20,0,1,1,0
3848141691862715,935,45,1,3,0,1
3853096038033947,1142,72,1,0,0,0
3852934728050078,158,4,1,0,0,0
3851203491556535,368,7,0,0,0,8
3851935118150039,368,13,0,0,0,0
3851696391507245,913,57,1,0,0,2
3848522241824660,45,1,0,0,0,0
2774357335966343,12,0,0,0,0,0
3847994641877420,197,3,1,0,0,0
3847527685257449,203,4,0,0,0,0
3838180212858863,4556,292,2,7,1,4
3844726245537593,634,35,1,1,1,0
3841656629177888,1485,220,15,1,1,0
3844463222230562,1212,83,8,11,2,0
3841837339159817,174,2,0,0,0,1
3838981019445449,705,22,0,1,1,8
3838761452800739,466,23,1,0,0,1
3838366486173569,231,9,4,2,1,0
3838311932845691,256,34,1,0,0,0
3838287206181497,1688,160,7,3,1,0
3838174656192752,950,36,0,0,356,0
3838172666192951,252,13,1,0,0,0
3838046956205522,185,9,1,0,0,0
3825136090829942,1199,188,1,2,0,1
3815073561836195,862,18,0,0,0,0
3836126419730909,2186,156,2,7,1,1
3833187780024773,390,12,2,0,4,1
3832505883426296,1419,11,11,106,349,751
3832325693444315,770,4,5,44,142,255
3832194356790782,400,10,1,3,2,2
3832023166807901,1081,116,8,6,2,24
3830054707004747,242,4,0,4,1,8
3830044273672457,129,3,0,1,0,0
3830040680339483,731,15,1,13,1,1
3830033463673538,212,4,2,0,0,1
3830028000340751,190,5,0,0,0,0
3830017717008446,877,54,2,0,1,0
3829671707043047,559,14,1,2,0,0
3829214300422121,221,5,0,0,0,0
3828886670454884,975,33,3,2,0,0
3828701543806730,437,8,0,0,0,0
3828062190537332,169,2,0,0,0,0
3828290827181135,281,7,1,9,1,4
3828173700526181,167,7,0,0,0,0
3815031475173737,2868,96,1,2,0,3
3825600087450209,566,13,1,0,0,1
3825073080836243,278,5,0,0,0,0
3824950254181859,179,6,0,1,0,0
3822095317800686,419,5,1,0,0,0
3821881501155401,543,16,2,1,0,0
3821818414495043,607,11,1,1,0,0
3821658761177675,314,7,0,0,3,0
3821612151182336,310,9,1,1,0,0
3819004708109747,2170,164,4,3,2,0
3818885764788308,273,2,2,8,4,0
3818435514833333,334,23,0,0,0,0
3527416007300956,72,12,0,0,0,0
3798783003465251,4663,1118,2,4,28,0
3815182001825351,193,6,0,1,0,0
3815079818502236,252,7,1,10,0,1
3813507351992816,254,4,2,33,10,97
3813369535339931,543,7,4,14,70,6
3813138078696410,2416,41,65,194,660,673
3812960568714161,1360,70,3,10,4,4
3812825505394334,627,38,0,2,1,2
3812652388744979,2754,364,16,5,2,7
3812470358763182,517,57,1,0,0,0
3812382232105328,790,84,1,2,0,1
2563399020567757,217,47,0,1,0,0
3810502388959979,156,2,0,0,2,0
3810496505627234,165,4,0,1,0,0
3810489755627909,298,8,1,1,0,6
3810482558961962,538,31,0,0,2,0
3810475592295992,1318,103,3,2,2,1
3808851455791739,236,22,0,0,0,0
3808765529133665,469,9,3,10,0,1
3807179255958959,566,28,0,1,0,1
3806943419315876,4234,543,2,22,1,1
3806783272665224,1201,87,0,0,0,0
3806647892678762,314,10,0,0,0,0
3806521696024715,223,6,0,0,0,0
3802923856384499,1715,127,1,7,0,2
3805983916078493,249,7,0,6,0,0
3805885259421692,769,79,1,0,0,1
3805464872797064,343,23,0,0,0,0
3805231559487062,208,8,0,0,0,0
3805175312826020,1425,96,8,2,1,0
3798602513483300,4995,431,2,0,0,1
3803311636345721,755,23,0,10,0,0
3803149439695274,205,6,1,0,0,0
3802855436391341,453,11,0,0,0,0
3802563129753905,89,3,0,0,0,0
2493384707598197,11,3,0,0,0,0
3802363163107235,519,10,0,0,0,0
3801900559820162,268,6,0,4,0,0
3801893099820908,320,19,2,0,0,0
3801803826496502,554,30,0,1,0,0
3799533563390195,1508,90,2,1,1,4
3799435193400032,286,5,0,0,0,0
3798765640133654,422,8,1,0,0,0
3798687770141441,477,13,1,0,0,0
3798655913477960,356,1,3,5,14,14
3798601176816767,113,5,0,0,0,0
2215969218711049,365,46,0,0,0,0
3796271790383039,1334,72,2,0,0,1
3795813623762189,504,29,1,0,1,0
3795480867128798,140,5,1,0,0,0
3795446290465589,468,17,0,0,0,0
3793517087325176,922,26,1,0,0,0
3793158717361013,828,17,2,0,0,0
3792989614044590,358,12,0,0,0,0
3792043314139220,493,10,0,0,0,0
3779778872032331,2973,578,6,1,0,0
3792515177425367,179,6,0,0,0,0
3792511554092396,203,5,1,0,0,0
3792298434113708,379,12,0,1,0,0
3773812202628998,8493,928,12,4,0,3
3782574511752767,264,10,1,1,0,0
3780080622002156,228,21,0,0,0,0
3780024072007811,271,16,0,0,0,0
3779880135355538,780,19,0,0,0,0
3779434505400101,582,145,5,2,0,1
3754343211242564,3067,604,6,0,50,1
3776823485661203,9876,1103,81,12,2,1
3776585419018343,1721,129,5,1,0,1
3757885210888364,7654,1443,48,12,147,1
3775124839164401,2600,398,7,0,0,2
3775106609166224,348,38,3,1,0,1
3775100902500128,2751,650,17,6,2,0
3775053732504845,638,49,2,1,0,0
3774859505857601,8577,1158,46,52,4,10
3774766589200226,1916,113,45,265,64,513
3774628699214015,3168,363,13,6,2,2
3774511969225688,382,17,0,1,0,0
3774373255906226,2000,290,15,7,2,7
3773150659361819,342,10,0,3,0,0
3773143546029197,213,7,1,0,0,1
3773138822696336,159,3,1,0,0,0
3773129762697242,625,18,1,0,0,1
3773110462699172,318,9,1,1,0,0
3773116269365258,817,27,1,1,1,1
3773176032692615,336,12,1,1,0,0
3751787744831444,5452,854,26,3,0,0
3770863859590499,549,29,3,2,0,0
3770852332924985,189,15,2,1,0,0
3770661546277397,1326,42,3,1,0,2
3770493802960838,313,11,0,1,0,1
3770266266316925,2848,215,7,3,0,1
3770048596338692,236,6,0,1,0,1
3770200029656882,277,13,0,8,0,4
3765074903502728,251,8,0,3,0,2
3764999190176966,396,9,3,9,11,96
3764780050198880,1818,22,14,66,235,478
3764612296882322,785,14,4,8,24,97
3764473893562829,454,30,2,1,0,1
3764342460242639,1287,269,4,5,0,2
3764303483579870,2609,700,32,8,2,5
3762159223794296,377,9,3,1,0,3
3762147117128840,812,221,11,5,0,0
3748506211826264,3477,129,0,1,0,1
3762135383796680,244,5,0,1,0,0
3762129417130610,1084,69,3,2,0,4
3762373630439522,773,17,4,5,5,2
3762047650472120,1354,167,7,0,0,1
3761374383872780,3143,47,25,15,293,10
3761206913889527,194,6,0,1,0,0
3754331031243782,5159,301,35,6,3,4
3760806273929591,5436,615,14,12,1,1
3760775593932659,512,15,1,7,0,5
3760694157274136,189,6,0,1,0,0
3759069397436612,2855,143,9,10,1,1
3758869487456603,2517,235,6,10,1,5
3758853890791496,5684,295,24,18,4,6
3758822847461267,14058,1206,203,62,19,10
3758197310857154,953,21,1,2,1,7
3757967267546825,2400,155,2,3,0,1
3757602970916588,186,5,0,0,1,0
3755264471150438,946,27,4,2,0,1
3755180994492119,630,22,1,1,0,0
3754941744516044,319,7,0,2,0,0
3754320331244852,154,8,1,2,0,0
3739126199430932,3450,123,9,2,1,2
3752433134766905,655,24,3,0,0,1
3752284244781794,495,15,0,2,0,1
3752187014791517,1051,67,4,3,0,0
3751306521546233,1735,199,6,1,3,2
