post_id,like,love,wow,haha,sorry,anger
3077351658951991,29,3,0,0,0,0
3077216105632213,36,2,0,1,0,0
3074792722541218,20,0,0,0,0,0
3073657019321455,185,17,1,0,0,0
3073580735995750,27,4,0,0,0,0
3073508426002981,99,6,0,0,0,0
3073492452671245,42,4,0,0,0,0
3074771425876681,95,7,2,0,0,0
3073475939339563,58,2,0,0,0,0
3073398242680666,34,1,1,0,0,0
3073357299351427,17,1,0,0,0,0
3073278846025939,26,2,0,0,0,0
3072799892740501,36,0,0,0,3,0
3072644076089416,56,1,0,0,0,0
3072122689474888,176,10,0,5,0,0
3070939442926546,207,9,0,0,0,0
3070866756267148,50,4,0,0,0,0
3070491689637988,61,6,0,0,0,0
3070364006317423,420,49,1,1,0,0
3070215986332225,13,0,0,0,0,0
3070167756337048,19,0,0,0,0,0
3070054693015021,32,1,0,0,0,0
3069908746362949,16,0,1,0,0,0
3069866709700486,65,2,0,0,0,0
3069788326374991,341,54,0,0,0,0
3069682516385572,63,5,0,0,0,0
3068314843189006,19,1,0,0,0,0
1357167794468387,4,1,0,0,0,0
3065734540113703,21,1,0,1,0,0
3067905316563292,299,68,0,2,0,0
3068084126545411,34,0,0,0,0,0
3067847519902405,271,16,0,0,0,0
3067198816633942,47,2,1,0,0,0
3065717006782123,25,1,0,0,0,0
3065348120152345,34,0,0,0,0,0
3065600806793743,144,5,1,1,0,0
3065161270171030,168,31,0,0,0,0
3065136073506883,20,0,0,0,0,0
2998660530154438,42,8,0,0,0,0
3062375260449631,50,1,0,0,0,0
3063016733718817,42,8,0,0,0,0
3063011153719375,108,7,0,0,0,0
3062781370409020,41,0,0,0,0,0
3062747340412423,36,0,0,0,0,0
3062617293758761,12,0,0,0,0,0
3062719480415209,76,4,0,0,0,0
3062614120425745,167,5,0,1,0,0
3062361817117642,23,0,0,0,0,0
3062418050445352,35,1,0,0,0,0
3052869121400245,105,2,0,0,0,0
3062008510486306,49,0,0,0,0,0
3062160213804469,251,23,0,0,0,0
3062015203818970,117,15,0,0,0,0
3061974247156399,77,7,0,0,0,0
3052971761389981,95,10,1,0,0,0
3059769637376860,19,0,0,0,0,0
3059572287396595,37,1,0,14,0,0
2998586300161861,19,0,0,0,0,0
3059798294040661,16,0,0,0,0,0
3059738740713283,20,1,0,0,0,0
3059531180734039,241,33,1,9,0,0
3059384897415334,85,3,0,0,0,0
3058241857529638,11,1,0,0,0,0
3053037288050095,43,5,0,0,0,0
3058035864216904,12,1,0,0,0,0
3055282437825580,27,1,0,0,0,0
3053036641383493,54,4,0,9,0,0
3057172044303286,66,3,0,1,0,0
3055600207793803,70,3,0,1,0,0
3055187177835106,35,1,0,0,0,0
3055227741164383,184,13,0,0,0,0
3055208451166312,46,1,0,0,0,0
3055148371172320,59,2,0,0,0,0
3047599818593842,10,0,0,0,0,0
3053097911377366,41,1,0,0,0,0
3052796831407474,69,4,0,6,0,0
3052849564735534,112,4,3,1,0,0
3052818991405258,88,5,0,0,0,0
3052568371430320,23,1,0,0,0,0
3052326554787835,300,8,0,0,72,0
3050209088332915,65,9,0,1,0,0
3052321414788349,93,6,0,0,0,0
3052174484803042,45,0,0,0,0,0
3047560445264446,20,0,0,0,0,0
3049839798369844,129,12,0,0,0,0
3049830961704061,53,1,0,0,0,0
3049818571705300,39,1,0,0,0,0
3050428901644267,17,0,0,0,0,0
3049857288368095,30,1,0,1,0,0
3049708621716295,108,3,0,0,0,0
3049528248400999,35,1,0,0,0,0
3049537645066726,162,26,1,2,0,0
3047541071933050,29,0,0,0,0,0
3047372125283278,25,2,0,0,0,0
3047462641940893,124,10,0,0,0,0
2998503133503511,50,3,0,19,0,0
3047641428589681,24,0,0,0,0,0
3047479438605880,37,3,0,0,0,0
1350480495137117,18,2,0,0,0,0
3047359098617914,45,2,0,0,0,0
3047252305295260,57,1,0,0,0,0
3045501625470328,270,22,4,0,0,0
3045187105501780,45,6,0,0,0,0
3045308582156299,24,1,0,2,0,0
3045116988842125,64,12,0,0,0,0
3044933695527121,231,43,2,0,0,0
3491540544203669,15406,411,117,34,8,7
3044841232203034,49,2,0,0,0,0
2998339670186524,69,2,0,0,0,0
2998333890187102,51,7,0,0,0,0
3030427696977721,29,0,0,0,0,0
3034951793191978,59,0,0,1,0,0
3037961422891015,101,14,1,0,1,0
3034912369862587,346,41,1,0,0,0
3034745853212572,119,3,0,0,0,0
3034722923214865,59,1,0,0,0,0
3034706896549801,40,0,0,0,0,0
3033016183385539,63,5,0,0,0,0
3034978873189270,33,1,0,0,0,0
3034901859863638,133,10,1,0,0,0
3034927986527692,60,1,0,1,0,0
3034948349858989,62,5,1,14,0,0
3035160789837745,101,3,0,0,0,0
2998673510153140,96,8,0,12,0,0
3034863123200845,132,18,0,0,0,0
3034685003218657,17,0,0,0,0,0
3034675616552929,248,28,0,0,0,0
3032589333428224,153,19,0,0,0,0
3032540653433092,50,1,0,0,0,0
3032528380100986,37,0,0,0,0,0
3032981530055671,92,3,0,0,0,0
3032847633402394,32,4,0,0,0,0
3032517066768784,27,0,0,0,0,0
3032316843455473,85,1,0,0,1,0
3032327290121095,39,0,0,0,0,0
3030106337009857,20,0,0,0,0,0
3030101520343672,16,1,0,0,0,0
3031285893558568,334,38,0,0,0,0
3030891566931334,369,73,0,0,0,0
3030802196940271,31,1,0,5,0,0
3030374846983006,73,11,0,0,0,0
3030063953680762,130,10,0,0,0,0
2998500073503817,54,3,0,12,0,0
3030144427006048,42,3,1,0,0,0
3030232916997199,53,9,4,3,0,0
3030034430350381,69,1,0,0,0,0
3028510343836123,22,1,0,0,0,0
3028551567165334,49,4,0,0,0,0
3018702758150215,104,9,0,0,0,0
3027792553907902,76,5,0,0,0,0
2998258716861286,34,1,0,0,0,0
3025707430783081,97,2,1,0,0,0
3025563494130808,100,3,0,0,0,0
3019419171411907,28,0,0,0,0,0
3016742028346288,34,1,0,0,0,0
3022087494478408,89,16,0,0,0,0
3019407921413032,360,84,0,1,0,0
3019394618081029,109,4,0,0,1,0
3019378648082626,67,2,0,0,0,0
3021388101215014,350,28,1,1,0,0
3019248064762351,26,2,0,0,0,0
3019150664772091,21,2,0,0,0,0
3019172204769937,163,20,0,1,0,0
3019269638093527,177,1,0,0,1,0
2998539196833238,19,2,0,0,0,0
3014884275198730,100,14,0,3,0,0
3018853134801844,97,4,0,2,0,0
3018753788145112,101,2,0,0,0,0
3018572381496586,430,81,1,1,0,0
3017252218295269,11,0,0,0,0,0
3017120301641794,33,8,0,0,0,0
3016571295030028,63,11,0,1,0,0
3016532861700538,93,2,0,0,0,0
3016413741712450,40,2,0,0,0,0
10158383465029759,2840,54,11,981,53,1635
3015130641840760,87,2,0,0,0,0
3014884251865399,99,13,0,2,0,0
2998383973515427,51,5,0,14,0,0
3014501408570350,26,3,0,0,0,0
1339228862928947,5,1,0,0,0,0
3014187405268417,77,6,0,0,0,0
3012431722110652,122,20,0,0,0,0
3012677342086090,18,0,0,0,0,0
3012282992125525,116,14,0,1,0,0
3012280092125815,56,1,0,1,0,0
3011923562161468,45,1,0,0,0,0
3011974118823079,54,0,0,14,0,0
3011940838826407,168,27,0,0,0,0
3011827782171046,342,10,0,0,0,0
3010365942317230,27,1,0,0,0,0
3010340708986420,546,73,0,0,0,0
3010206795666478,57,1,0,1,0,0
2998223146864843,81,15,0,0,0,0
3009924805694677,240,29,0,0,0,0
3454697971221260,11362,207,40,17,6,1
3009646452389179,93,7,0,0,0,0
3007876809232810,94,7,0,0,0,0
3007733009247190,65,2,0,0,0,0
3002778416409316,39,4,0,0,0,0
3005036026183555,50,4,0,0,0,0
3005032529517238,118,12,0,1,0,0
3005010142852810,115,8,0,1,0,0
3004997846187373,30,0,0,0,0,0
3004963842857440,35,1,0,0,0,0
3004907982863026,153,10,0,0,0,0
3003326273021197,85,9,1,0,0,0
3003405556346602,177,10,0,0,0,0
3003250556362102,119,1,0,0,1,0
3003084789712012,44,3,0,0,6,0
2777610798941668,23,0,0,0,3,0
3002660019754489,96,3,0,0,0,0
3002398376447320,226,15,1,0,132,0
