post_id,like,love,wow,haha,sorry,anger
10158441664000762,248,60,0,0,0,0
10158440063215762,60,0,0,0,0,0
10158439824810762,151,5,0,0,0,0
10158439620820762,182,12,1,0,150,0
10158439398325762,1089,52,59,1,0,0
10158438505195762,642,130,1,0,0,0
10158438126070762,360,40,1,1,1,0
10158438098275762,1207,65,2,0,0,0
10158435473285762,841,113,6,1,0,0
10158434349250762,258,10,0,0,0,0
10158434242865762,1445,81,1,1,0,0
10158430975920762,13022,1051,113,1481,17,5
10158430422585762,756,37,0,0,0,0
10158427338635762,602,105,1,0,0,0
10158426923760762,423,51,0,0,0,0
10158426292900762,505,82,0,0,0,1
10158425929335762,1860,89,3,5,0,1
10158423872315762,93,0,0,0,0,0
10158423621870762,2011,329,6,1,0,1
10158423147810762,798,83,1,0,0,0
10158422688335762,64,0,2,0,0,0
10158421932270762,637,41,5,0,1,0
10158421826355762,102,4,0,0,0,0
10158421758220762,1689,127,1,14,1,2
10158418986980762,586,62,1,1,965,0
10158418535055762,191,14,2,0,0,0
4366178043407768,693,100,2,6,7,6
10158417755945762,895,59,4,6,1,0
10158415703590762,251,4,1,0,129,1
10158415662805762,514,40,2,2,0,0
10158415101655762,844,99,7,2,0,0
10158414738220762,508,42,5,0,0,0
10158414439075762,364,36,1,2,0,0
10158414225525762,467,69,2,2,0,0
10158414203515762,0,0,0,0,0,0
10158413430820762,1124,88,2,0,0,2
10158410504795762,1440,217,3,2,1,0
10158410125605762,115,7,0,0,0,0
10158409606410762,952,35,3,1,0,0
10158407662500762,206,9,0,0,0,0
10158407368560762,546,53,2,0,0,0
10158406796315762,330,42,0,0,0,1
10158405976825762,1303,60,2,0,1,1
10158405632750762,166,13,0,0,0,0
10158399908530762,477,87,2,0,2,1
10158401325445762,133,2,0,0,0,0
10158401001615762,432,32,0,0,0,0
10158399075130762,382,51,0,0,0,0
10158397950400762,888,59,5,6,0,1
10158397453530762,2341,165,3,9,0,0
10158397051605762,539,34,2,0,0,0
10158395149270762,602,43,3,0,0,0
10158394821615762,630,68,6,3,0,0
10158394523490762,481,30,1,0,0,0
10158393749445762,691,84,1,0,0,0
10158393184740762,607,43,2,0,0,0
10158390940510762,330,16,0,0,0,0
10158389956470762,1147,61,2,2,1,1
10158389540525762,231,10,1,0,0,0
10158389426305762,287,19,1,0,0,0
10158387278270762,113,3,0,0,0,0
10158387093770762,722,59,1,1,0,0
10158386628415762,717,63,1,2,0,0
10158383247730762,1420,122,8,1,0,2
10158382494960762,651,30,2,0,0,0
10158380413915762,1279,148,1,1,0,0
10158380192330762,178,2,0,0,0,0
10158379041285762,901,142,1,0,0,0
10158378914830762,56,3,0,0,0,0
10158378558175762,1003,83,1,1,0,0
10158376616550762,706,29,2,1,0,0
10158376330915762,974,21,5,1,0,0
10158375572270762,874,44,1,0,0,0
10158375279735762,1445,140,6,5,0,0
10158375102985762,490,22,1,0,6,0
10158368324240762,1030,117,3,1,0,0
10158368301315762,291,19,1,0,0,0
10158368207210762,1382,93,1,0,0,0
10158369891775762,98,3,0,0,0,0
10158369516710762,206,10,0,0,0,1
10158369290080762,45,1,0,0,0,0
10158368871420762,204,11,0,4,0,1
10158368465300762,610,23,2,17,1,0
10158368136995762,743,58,2,0,0,0
10158366504650762,121,7,0,0,0,0
10158365983740762,5099,285,22,5,0,0
10158365160075762,30527,2392,668,30,8,4
10158364693030762,106,4,0,0,0,0
10158364591770762,145,20,0,0,0,0
10158364487730762,1309,234,10,2,2,0
10158362920265762,637,53,2,0,0,0
10158362354995762,1242,116,2,7,3,1
10158361946650762,940,83,2,0,0,0
10158361363270762,163,5,0,0,0,0
10158361272375762,918,135,2,0,0,0
10158358856660762,396,23,1,0,0,0
10158358273545762,1745,107,5,1,0,1
10158357858300762,237,4,3,38,0,0
10158355077810762,790,24,1,1,0,0
10158354492425762,4095,98,17,5,0,4
10158352452575762,831,57,2,1,0,0
10158352383660762,218,1,1,0,0,0
10158351736270762,830,31,1,0,0,0
10158351064025762,1847,34,1,0,1,1
10158351002525762,271,5,1,0,0,0
10158348564825762,175,7,0,0,0,0
10158348831365762,180,6,0,0,0,0
10158348360335762,348,13,0,0,0,0
10158348114475762,379,5,1,0,3,0
10158348026475762,2215,52,5,0,1,1
10158347368380762,167,8,0,0,0,0
10158345109635762,349,37,1,0,0,0
10158344614865762,638,37,2,0,0,0
10158344375605762,162,12,0,0,0,0
10158343892490762,6260,145,18,3,0,1
10158343657770762,333,10,1,0,0,0
10158341809425762,125,2,1,30,0,0
10158341639275762,35363,529,57,25,6,6
10158341181045762,293,9,1,0,0,0
10158340255960762,1315,53,3,0,0,0
10158339926180762,494,17,1,0,0,0
10158337587600762,48,2,0,0,0,0
10158337533650762,405,22,0,0,0,0
10158337632800762,18882,502,106,10,2,4
10158337235235762,491,17,1,0,0,0
10158336689820762,84,2,0,2,37,0
10158336377890762,68,0,0,1,0,0
10158336404375762,637,61,3,1,0,0
10158336331505762,136,17,1,0,0,0
10158334216305762,78,0,0,1,0,0
10158334020520762,496,18,2,0,0,0
10158332975020762,1206,77,1,5,0,0
10158332586005762,581,40,3,1,0,0
10158330429850762,403,20,0,0,0,0
10158329193260762,1675,64,8,1,0,0
10158328861525762,1662,83,2,1,0,0
10158328712855762,206,8,0,0,0,0
10158326627250762,584,67,1,1,0,0
10158325797615762,1123,181,0,0,0,0
10158325371655762,1018,167,1,2,0,0
10158324918545762,539,59,0,1,0,0
10158324860295762,425,36,1,2,0,0
10158324790875762,136,10,0,0,0,0
10158322962615762,408,27,0,0,0,0
10158322589985762,1097,161,3,1,0,0
10158322118850762,1544,171,7,1,0,0
10158320931670762,610,40,3,0,0,0
10158320821620762,242,32,0,1,0,0
10158320704900762,2056,268,6,4,0,0
10158320578940762,2126,293,13,5,0,0
10158319036500762,117,0,0,0,0,0
10158318497190762,1061,209,14,2,0,0
10158317884860762,1111,64,1,3,0,0
10158317264745762,2249,119,5,2,1,0
10158317040480762,359,15,0,0,0,0
10158314488420762,350,21,0,0,0,0
10158313669015762,870,34,3,0,0,0
10158313328430762,1217,303,0,1,8,0
10158313142565762,289,29,0,0,217,0
10158313066900762,915,46,3,3,0,0
10158310479805762,308,17,0,1,0,0
10158310139895762,310,21,1,0,1,0
10158308960525762,1062,91,1,0,0,0
10158308659590762,1145,76,2,2,3,0
10158308425130762,401,14,0,1,0,0
10158306046945762,431,28,0,1,0,0
10158305318740762,506,70,3,0,0,0
10158304993740762,686,105,1,1,0,2
10158304508160762,56,2,0,0,0,0
10158302324415762,56,2,0,0,0,0
10158302234990762,82,3,0,0,0,0
10158300438370762,253,12,0,0,0,0
10158301341310762,1902,76,9,1,0,0
10158300602730762,125,3,0,0,0,0
10158300585075762,589,78,0,0,0,0
10158300316095762,962,62,6,4,0,0
10158298044520762,168,5,0,0,0,0
10158293726380762,1604,379,8,54,4,4
10158296682505762,589,36,2,0,0,0
10158296178445762,137,5,0,0,0,0
10158293383095762,367,10,0,0,0,0
10158293568255762,184,1,0,0,0,0
10158292750400762,90,1,0,0,0,0
10158292419590762,2145,65,5,2,1,1
10158292027050762,287,13,0,1,0,0
10158290091250762,99,3,0,0,0,0
10158289549475762,6168,314,63,20,0,2
10158288834810762,159,1,0,1,14,0
10158288744445762,198,22,0,0,0,0
10158288414640762,2466,160,9,5,3,4
10158286504955762,320,22,0,1,1,0
10158286629060762,963,71,6,1,0,0
10158286499935762,446,60,2,0,0,0
10158285748025762,454,68,1,1,0,0
10158285653680762,212,7,0,0,0,0
10158285153910762,214,21,0,0,0,0
10158285082935762,315,30,0,0,0,0
10158284866635762,98,0,0,0,0,0
10158284720820762,4014,152,6,13,0,0
10158284557775762,802,116,0,0,0,0
10158284518115762,626,36,2,1,0,0
10158282815400762,79,1,1,0,2,0
10158282284855762,311,20,0,0,0,0
10158281604860762,353,17,1,0,0,0
10158281312790762,695,42,2,1,1,0
10158281134170762,563,18,0,0,0,0
10158279827000762,545,40,0,0,3,0
10158279593690762,2783,267,35,2,0,0
10158278858645762,384,14,0,0,0,0
10158278392835762,2901,219,4,0,0,0
10158278313855762,1171,96,6,0,1,0
10158277922485762,750,46,1,1,1,0
10158274928200762,515,55,0,0,0,0
10158274407455762,743,28,1,0,0,0
10158269114880762,901,61,3,0,0,0
10158268933450762,219,15,0,0,1,1
10158268969230762,549,41,1,1,9,0
10158269542645762,80,3,0,0,0,2
10158269216415762,391,42,2,2,1,0
10158268872895762,125,3,1,1,1,0
10158268517615762,291,4,3,1,99,5
10158268446770762,297,2,7,1,66,1
3411508392206885,36533,616,480,159,8932,200
10158266526655762,170,2,0,0,1,0
10158265995145762,413,30,4,1,0,0
10158265473850762,6154,405,21,2,0,1
10158263779745762,318,9,0,0,0,0
10158263276890762,106,2,0,0,0,1
10158263075540762,2616,223,4,1,0,0
10158262817220762,139,1,0,0,0,0
10158262553350762,553,49,0,1,0,0
10158262183115762,1229,39,2,0,0,0
10158260784050762,338,13,1,3,0,0
10158260466320762,153,7,1,0,0,10
10158259746245762,124,0,0,0,0,0
10158257599270762,1103,136,8,25,0,0
10158257223045762,11303,508,53,7,1,0
10158256891940762,981,43,0,1,0,0
10158256578540762,110,2,2,0,0,0
10158256457130762,1173,69,5,0,0,0
10158254745390762,897,57,1,0,0,0
10158254103225762,505,48,0,0,0,0
10158253156690762,1023,142,7,2,0,0
10158252953525762,499,29,1,1,0,0
10158253009705762,2875,400,16,371,0,0
10158252944905762,545,19,1,0,0,0
10158251196125762,1817,148,1,1,0,0
10158251179445762,260,7,1,0,0,0
10158251683110762,1783,302,8,0,0,0
10158251340705762,2727,257,7,1,0,0
10158251172135762,430,40,0,2,0,0
10158251022225762,3725,412,6,5,0,1
10158250894680762,353,10,1,0,0,0
10158250873830762,2921,377,8,1,0,0
10158250861305762,572,54,2,0,0,0
10158250851785762,3406,494,6,8,1,0
10158250676460762,611,53,3,0,0,1
