post_id,like,love,wow,haha,sorry,anger
3258073790872485,314,39,0,0,0,0
3257984367548094,493,69,2,0,0,0
3256582767688254,608,68,1,0,2,0
3256629841016880,0,0,0,0,0,0
3255689924444205,294,11,2,1,0,0
3255693924443805,206,12,0,0,0,0
3255451961134668,908,195,7,23,0,0
3255548157791715,472,32,0,1,0,0
3254118727934658,415,43,0,0,0,0
3250697508276780,107,3,0,0,0,0
3253815641298300,1498,190,5,1,0,0
3253229678023563,1184,110,4,0,0,0
3248225628523968,354,15,1,19,0,0
3250684528278078,82,5,0,0,0,0
3248666858479845,164,8,0,0,0,0
3250907998255731,680,50,1,5,0,0
3248264898520041,447,28,0,0,0,0
3248267338519797,1678,237,1,0,254,0
3249082278438303,135,3,0,1,0,0
3249088138437717,0,0,0,0,0,0
3248243995188798,220,14,0,0,0,0
3246222072057657,88,2,0,0,0,0
3245834648763066,661,104,5,0,0,0
3247009828645548,839,183,2,1,0,1
3246913425321855,610,38,0,2,0,0
3246088022071062,699,55,1,0,0,0
3245946682085196,454,76,0,2,0,0
3245614265451771,1288,246,11,1,0,0
3246095085403689,918,82,1,0,0,0
3245935865419611,127,5,0,0,0,0
3245853225427875,246,20,0,0,0,0
3245680652111799,165,3,0,0,0,0
3244331105580087,748,46,1,2,0,0
3244538858892645,188,25,0,0,0,0
3243759602303904,282,32,1,4,0,0
3243370129009518,83,3,0,0,0,0
3243364055676792,154,7,0,0,0,0
3240655082614356,315,10,1,0,0,0
3241373112542553,543,82,2,6,0,0
1302726213252175,243,30,1,2,1,2
3239343166078881,218,8,0,0,0,0
3239049169441614,117,4,0,0,0,0
3238978839448647,570,73,3,0,0,0
3256208414392356,0,0,0,0,0,0
3238361556177042,89,3,0,0,0,0
3238138739532657,952,161,0,1,2,0
3233398146673383,125,5,0,0,0,0
3236523776360820,174,3,0,0,0,0
3230754876937710,1273,241,9,2,0,0
3231338990212632,268,15,0,0,1,0
3233773463302518,159,4,1,0,0,0
3233528359993695,184,7,0,1,0,0
3231711660175365,1486,29,2,0,0,0
3231860536827144,112,7,0,0,0,0
223020945638798,461,88,1,3,0,1
3230741266939071,453,28,0,0,0,0
3228291203850744,175,8,0,0,0,0
3230801886933009,228,9,1,0,0,0
3228815357131662,293,44,1,0,0,0
3228219103857954,1009,94,0,2,0,0
3228254110521120,178,6,0,0,0,0
3228248857188312,375,62,1,0,0,0
3227207040625827,507,50,4,1,0,0
3226566757356522,513,55,0,0,2,0
3226477880698743,544,67,0,0,0,0
3226009247412273,674,82,1,0,0,0
3225875614092303,502,43,0,0,1,0
3224285380917993,242,17,0,1,0,0
3223843087628889,317,21,0,0,0,0
3221017694578095,517,59,0,90,0,0
3220907114589153,583,59,0,52,0,0
3211028622243669,774,91,0,1,0,0
3218028044877060,767,17,2,2,0,1
3218242414855623,805,139,4,1,0,1
3218011558212042,307,27,4,21,0,0
3217967231549808,813,68,0,1,0,0
3210568362289695,1234,133,2,0,0,0
3215821485097716,266,18,0,3,0,0
3210854975594367,359,25,0,0,0,0
3213140975365767,714,51,2,0,0,0
3210540745625790,1647,329,2,23,0,0
3210752935604571,477,77,1,0,0,0
3211113782235153,1349,179,0,0,0,0
3210535882292943,562,68,1,0,0,0
3210785268934671,665,78,0,3,1,0
514778339206729,714,92,2,2,0,2
3210488605631004,147,11,0,0,0,0
3210417655638099,2027,521,0,1,0,0
3207990252547506,518,31,3,0,0,0
521166335214953,678,149,2,6,6,3
3208598375820027,2348,320,0,0,0,0
3208664919146706,97,6,0,0,0,0
3208504692496062,144,7,0,0,0,0
3208244685855396,249,34,0,0,0,0
3206450769368121,198,13,0,0,0,0
3205776222768909,3373,623,4,1,0,0
3206314976048367,562,63,0,3,0,0
3205592746120590,38,0,0,0,0,0
2711896045763369,5,0,0,0,0,0
3203801102966421,423,18,0,56,0,0
3203240083022523,294,23,0,0,0,0
3203449099668288,125,3,0,0,0,0
678268499641773,167,41,2,1,0,2
3203422756337589,113,2,0,0,0,0
3203160146363850,401,32,0,0,1,0
3200831436596721,99,2,1,0,0,0
3198843183462213,784,110,0,0,0,0
3199090410104157,222,10,2,0,3,0
3196850690328129,229,26,0,0,0,0
3198733393473192,945,215,2,0,0,0
3399664606714320,1801,405,10,0,0,0
3196731973673334,433,25,1,0,266,1
3196230580390140,325,12,0,0,0,0
3196712570341941,491,101,1,0,0,0
3193723620640836,298,7,0,29,0,0
3196248413721690,208,14,0,0,0,0
3196215883724943,250,22,0,1,0,0
3194393917240473,271,33,0,2,0,0
3194570090556189,213,29,0,0,0,0
3194494190563779,203,3,0,0,0,1
3193729297306935,97,3,0,0,0,1
3191989807480884,648,58,0,0,0,0
3192055554140976,899,101,1,1,0,0
3192018144144717,704,57,0,1,0,0
3191397104206821,213,12,0,0,0,0
3189084261104772,164,12,0,0,0,0
3187366027943262,588,35,1,0,0,1
3186866191326579,534,54,1,0,1,0
3187433821269816,824,71,0,0,0,0
3186650331348165,482,52,1,0,0,0
3181954801817718,1205,75,2,0,0,0
3184324014914130,242,7,0,1,0,0
3179145435431988,865,63,2,0,0,0
3182279755118556,926,161,3,1,0,0
3182007425145789,559,59,1,1,0,0
3181725238507341,460,80,0,0,0,0
3179227752090423,804,29,0,1,1,0
3180156651997533,646,90,1,0,0,1
3179984365348095,541,62,2,0,0,0
3179772918702573,442,65,0,0,0,0
3177157525630779,627,32,0,1,0,0
3177539725592559,2910,816,1,2,0,0
3177020915644440,199,1,1,0,69,1
3176310335715498,444,34,1,1,0,0
3175328469147018,212,5,1,1,0,0
3174909235855608,297,2,0,12,0,0
3174444512568747,170,6,1,0,0,0
3174153085931223,252,8,1,0,0,0
3173950425951489,443,38,0,2,0,0
3172140959465769,537,51,1,0,0,0
3171799256166606,436,25,0,1,0,0
3170441686302363,1031,107,1,0,0,0
3169762689703596,439,35,1,2,0,1
3169437826402749,508,65,0,1,0,0
3169165996429932,807,29,0,0,0,0
3167485943264604,1295,195,1,2,11,0
3164289436917588,163,7,0,0,0,0
3166987533314445,331,22,0,4,0,0
3162591917087340,695,94,1,0,0,0
3165407613472437,203,2,0,0,0,0
