post_id,like,love,wow,haha,sorry,anger
10159554079734638,23,1,0,0,0,0
10159554040959638,41,2,0,0,0,0
10159550869209638,69,2,0,0,0,0
10159539935404638,274,49,1,11,0,1
10159535126084638,263,48,0,0,0,1
10159535140699638,283,38,0,0,0,0
10159534690184638,259,21,0,0,0,0
10159534519374638,180,15,0,0,0,0
10159534218369638,120,8,3,1,0,0
10159533651864638,10,1,0,0,0,0
10159529078514638,136,13,0,0,0,0
10159528549074638,657,42,0,0,0,0
10159525165739638,34,3,0,0,0,0
10159524749029638,150,5,0,0,0,0
10159524730264638,53,2,0,0,0,0
10159524391704638,271,36,1,0,0,0
10159523965979638,426,18,0,0,1,0
10159523716399638,22,2,0,0,0,0
10159523548274638,823,67,0,2,0,3
10159519666999638,92,6,0,0,0,0
10159518707554638,212,6,0,1,0,0
10159515113689638,82,8,0,0,0,0
10159514114644638,65,1,0,0,0,0
10159513475079638,453,8,0,0,0,0
10159503445964638,311,101,0,0,0,0
10159502822009638,45,2,0,0,0,0
10159498918299638,166,25,0,0,0,0
10159497923504638,7,2,0,0,0,0
3538452492847910,2,1,0,0,0,0
10159494894274638,294,63,1,2,0,0
10159494855579638,390,49,1,0,0,0
10159494285974638,264,15,0,0,0,0
10159494169339638,241,18,0,0,0,0
10159493879659638,377,36,0,1,1,0
10159493792294638,307,38,1,0,1,0
10159489677259638,1118,158,10,2,1,0
10159489627069638,66,5,0,0,0,0
223219202351414,19,1,0,0,0,0
10159489412534638,28,1,0,0,0,0
10159489105674638,100,6,0,0,0,0
10159488677479638,294,57,2,0,1,0
10159485319024638,34,3,0,0,0,0
10159484197329638,300,7,0,0,0,0
10159480917109638,40,2,1,0,0,0
10159480301084638,338,70,1,0,0,1
10159479926344638,758,102,0,0,14,1
10159479843429638,129,6,0,0,0,1
10159472477914638,408,34,0,0,0,0
10159467826359638,36,5,0,0,0,0
10159466970404638,158,11,0,0,0,0
10159466188459638,306,51,0,1,1,0
10159462403969638,393,47,0,1,0,0
10159462389539638,47,5,0,0,0,0
219093722763962,14,2,0,0,0,0
10159462031059638,318,43,0,0,0,0
10159461892869638,36,3,0,0,0,0
10159461666759638,247,8,0,0,0,0
10159461447374638,126,9,0,0,0,0
10159459090274638,93,11,0,0,0,0
10159457839824638,45,2,0,0,0,0
218412946165373,8,0,0,0,0,0
10159449608724638,130,10,0,0,0,0
10159457302354638,217,9,0,0,0,0
10159449368789638,222,29,0,0,2,0
10159453605049638,56,3,0,0,0,0
217741999565801,11,0,0,0,0,0
10159453520294638,134,18,0,0,0,0
10159453324799638,441,64,0,0,0,0
10159453219599638,181,12,0,0,0,0
10159453074074638,22,2,0,0,0,0
10159449118819638,168,17,0,0,0,0
10159444460464638,102,3,0,0,0,0
10159442327159638,93,11,1,0,0,1
10159441583979638,131,8,1,0,0,0
10159441538054638,582,74,1,0,0,0
10159441188444638,422,29,0,0,0,0
10159441072169638,190,15,0,0,0,0
10159440579659638,64,2,0,0,0,0
10159440442959638,116,3,2,14,0,0
10159440149774638,60,2,0,0,0,0
10159439831229638,59,2,0,0,0,0
10159436916469638,455,69,1,0,0,1
10159436817384638,57,1,0,0,0,0
10159436504109638,71,4,0,0,0,0
10159436658669638,177,16,0,0,0,0
10159436497419638,115,3,0,0,0,0
10159436280584638,59,3,0,0,0,0
10159435486979638,521,49,0,0,0,0
10159432709514638,83,1,0,0,0,0
10159432356014638,82,4,0,0,0,0
10159432108314638,157,19,0,0,0,0
10159431094394638,373,35,0,0,4,0
10159428269339638,68,4,0,0,0,0
10159428121749638,191,15,0,0,0,0
10159427193259638,56,2,0,0,0,0
10159426868924638,62,5,0,0,0,0
213866603286674,15,0,0,0,0,0
10159426726554638,31,0,0,0,0,0
10159423682999638,829,294,1,0,0,0
10159423646049638,44,2,0,0,0,0
10159423559824638,516,86,1,0,0,0
10159423500229638,195,13,0,0,0,0
10159422936709638,485,75,0,1,0,0
10159422785444638,267,31,1,0,0,0
10159422614894638,51,1,0,0,0,0
10159422551379638,551,103,2,0,1,0
10159422440939638,55,4,0,0,0,0
213174930022508,13,1,0,0,0,0
10159422218099638,400,18,0,2,0,0
10159422112549638,154,9,0,0,0,0
10159418853589638,96,4,0,0,0,0
10159418292079638,322,30,0,0,0,0
10159417821259638,63,8,0,0,0,0
10159417600914638,59,3,0,0,0,0
10159408592589638,36,7,0,0,1,0
10159408187849638,251,9,0,0,0,0
10159404469124638,765,212,4,0,0,0
10159403989279638,90,2,5,16,0,22
10159403825629638,154,6,0,0,0,0
10159403465899638,61,2,0,0,0,0
10159400113629638,1957,439,20,14,0,1
10159400018709638,51,3,0,0,0,1
10159399651124638,28,1,0,0,0,0
10159399582699638,33,0,0,0,11,0
10159399077164638,121,16,0,0,0,0
209807643692570,15,2,0,0,0,0
10159398889004638,35,1,0,0,0,0
10159395434469638,43,3,0,0,0,0
10159394971509638,96,8,0,0,0,0
10159394585954638,322,64,0,0,0,0
10159394527459638,250,29,0,0,0,0
10159394474519638,190,3,0,0,0,0
10159394247554638,211,22,0,0,0,0
10159394223534638,116,10,0,0,0,1
10159390965949638,63,2,0,0,0,0
10159390792259638,74,1,0,0,0,0
10159390622559638,39,4,0,0,0,0
208573333816001,10,1,0,0,0,0
10159389680344638,1181,330,20,2,0,0
10159389625304638,253,4,0,1,3,0
10159387657779638,70,2,0,0,0,0
10159386875044638,42,1,0,0,0,0
10159386604709638,253,3,0,0,0,0
10159386044969638,355,13,0,0,0,0
10159385825604638,669,58,0,0,0,0
10159385064804638,105,9,2,0,0,0
10159380932164638,175,12,0,0,0,0
10159380161409638,435,48,0,0,0,0
10159377383534638,56,4,0,0,0,0
10159377337869638,102,8,0,0,0,0
10159377320054638,175,22,0,0,0,0
10159377287974638,77,3,0,0,0,0
10159377207054638,157,8,0,0,0,0
10159376832074638,46,4,0,0,0,0
10159376702514638,60,4,0,0,0,0
10159375810309638,98,2,0,0,0,0
