post_id,like,love,wow,haha,sorry,anger
3546456782035084,503,131,12,3,1,0
3546356352045127,33,1,0,0,0,0
3545049625509133,997,174,0,0,0,0
3544172732263489,111,8,0,0,0,0
3543968035617292,35,2,0,0,0,0
3542745882406174,507,53,6,2,0,0
3539766076037488,525,69,0,0,0,0
3539655219381907,20,0,0,0,0,0
3538816979465731,75,4,0,0,0,0
3536430469704382,227,26,0,0,0,0
3534733859874043,59,3,0,0,0,0
3533647916649304,111,10,0,0,0,0
3533639866650109,1192,100,0,0,2,0
3531248100222619,24,0,0,0,0,0
3530966293584133,288,6,1,12,0,2
3528550910492338,137,8,1,0,0,0
3528490803831682,44,2,0,0,0,0
3526899527324143,26,1,0,0,0,0
3526503727363723,152,3,0,0,1,0
3523674230980006,153,11,0,0,0,0
3373624069317584,24,5,0,0,0,0
3523316207682475,80,5,0,0,0,0
3520579294622833,39,1,0,0,0,0
3518579818156114,218,34,0,2,0,0
3513258835354879,206,34,0,0,0,0
3513201902027239,316,37,0,1,0,0
3512920082055421,1553,416,0,1,100,1
3511384905542272,47,1,0,0,0,0
3361227467223911,5,2,0,0,0,0
3510437992303630,525,54,0,1,0,0
3507783852569044,67,5,0,0,0,0
1128300540862736,25,1,0,1,0,0
3500476563299773,76,6,0,0,1,0
3065796376777107,17,2,0,0,0,0
3498053140208782,56,5,0,0,0,0
3348403748506283,11,1,0,0,0,0
3497776903569739,341,44,1,0,0,0
3497724623574967,1029,117,0,2,0,0
3495845210429575,338,63,0,0,0,0
3346213552058636,176,39,0,0,0,0
3495536507127112,105,14,0,0,0,0
1351386425052640,16,0,0,0,0,0
3495409533806476,643,85,1,0,0,0
3493210734026356,318,3,22,7,38,4
3491263784221051,32,4,0,0,0,0
3342032092476782,8,0,0,0,0,0
3491118594235570,116,3,1,0,0,0
3490905644256865,97,7,0,0,0,0
1349812795210003,16,1,0,0,0,0
3490597674287662,25,4,0,0,0,0
3490474900966606,233,25,2,0,0,0
3341224872557504,84,22,0,0,0,0
3485708718109891,51,3,0,0,0,0
3485576194789810,118,1,0,0,0,0
3483166778364085,154,12,0,1,0,0
3481696851844411,43,2,0,0,0,0
3331925490154109,33,1,0,0,0,0
3481463398534423,89,8,0,1,0,0
3480563405291089,124,11,0,0,0,0
2250875941682030,16,0,0,0,0,0
3478802158800547,45,1,0,0,0,0
3478779712136125,0,0,0,0,0,0
3478566505490779,222,20,0,0,0,0
1345610152296934,32,3,0,0,0,0
3478550018825761,77,6,0,0,0,0
3478292352184861,190,70,2,0,1,0
3476342465713183,96,4,0,0,0,0
3478029862211110,504,61,0,1,0,0
3329465810400077,77,9,0,0,0,0
3476133325734097,78,0,0,0,0,0
3473924342621662,17,0,0,0,0,0
3325442120802446,8,0,0,0,0,0
3473898855957544,77,1,1,0,0,0
3473138119366951,47,1,1,0,0,0
1343900785801204,11,0,0,0,0,0
3473068099373953,14,0,0,0,0,0
3473034866043943,50,0,0,0,0,0
3468200263194070,239,29,0,0,0,0
3468169436530486,239,21,0,0,2,0
3466168773397219,31,1,1,0,0,0
3466156303398466,62,2,0,0,0,0
1341435176047765,4,0,0,0,0,0
3465454900135273,116,7,0,0,0,0
3461055703908526,29,0,0,0,0,0
3464176943596402,792,155,0,0,0,0
3463008953713201,39,0,0,0,0,0
3462992213714875,193,16,0,0,0,0
3462993923714704,93,4,0,0,0,0
3312814565398535,44,7,0,0,0,0
3461331887214241,22,1,0,0,0,0
1339654762892473,6,0,0,0,0,0
3461028697244560,26,1,0,0,0,0
3460350120645751,68,0,0,0,0,0
3440399139307516,17,1,0,0,0,0
3460342613979835,131,4,0,0,0,0
3460331760647587,452,35,1,2,0,0
3459207507426679,169,20,1,0,1,0
3458073647540065,410,51,0,0,0,0
3458134510867312,203,21,0,4,0,0
3458043140876449,785,130,1,6,1,0
3457850474229049,338,25,0,0,0,0
3455532837794146,83,9,0,0,1,0
3456380921042671,26,1,0,0,0,0
1338049346386348,5,0,0,0,0,0
3455500584464038,63,6,0,0,0,0
3455990301081733,96,2,0,0,2,0
3455489057798524,18,1,0,0,0,0
3455502114463885,190,6,1,1,0,0
3455489907798439,958,100,0,1,0,0
2619391118307304,529,110,0,0,0,0
3453012224712874,29,1,0,0,0,0
3453000334714063,338,34,0,0,0,0
3450415184972578,1165,148,0,0,3,0
3450184038329026,332,48,1,0,0,0
3450183248329105,919,95,1,1,0,0
3448839128463517,153,10,0,1,0,0
3448411448506285,550,133,0,0,2,0
3448373238510106,126,4,0,11,0,0
3448100405204056,104,13,0,0,0,0
1335275319997084,4,2,0,0,0,0
3447505898596840,48,0,0,0,0,0
3440705835943513,20,3,0,0,0,0
3447514808595949,368,11,0,0,0,0
3446567108690719,48,7,0,0,0,0
3445352055478891,591,101,0,0,0,0
3445571772123586,83,0,0,0,15,2
3445340875480009,49,4,0,0,0,0
3445241192156644,157,11,0,0,0,0
3444096735604423,164,22,0,1,0,0
1333502343507715,32,6,0,0,0,0
3442617005752396,36,0,0,0,0,0
3440396829307747,22,3,0,0,0,0
3442606069086823,586,102,1,2,0,1
3441237649223665,22,0,0,0,0,0
1328671817324101,12,1,0,0,0,0
3440699739277456,566,163,2,3,0,0
3440680685946028,112,4,0,5,0,0
3440364312644332,466,64,2,1,0,1
3440459692634794,51,2,0,0,0,0
3440301635983933,341,36,1,0,0,1
3440084386005658,354,34,2,0,0,0
3437980059549424,89,2,0,0,0,0
3437964779550952,188,5,0,0,0,0
3438145366199560,65,1,0,0,0,0
3438057692874994,19,0,0,2,0,0
3437835959563834,72,2,0,0,1,0
3435864593094304,72,3,0,0,0,0
3435808609766569,80,1,1,1,0,0
2613357208910695,37,1,0,0,0,0
3433698269977603,1039,132,1,0,0,0
3431104986903598,78,0,1,1,4,0
3430862880261142,190,2,8,0,25,3
3430736710273759,76,0,0,0,3,0
3430695870277843,41,0,0,0,0,0
3428636693817094,242,8,0,1,0,0
3428492180498212,83,1,0,2,1,9
3428393650508065,44,1,0,1,0,1
3426953297318767,189,7,0,0,0,0
3426940947320002,108,5,0,2,0,1
3426527184028045,32,3,0,0,0,0
1327932204064729,6,2,0,0,0,0
3421909277823169,14,1,0,0,0,0
3426266457387451,151,8,0,2,1,0
3425164824164281,111,2,1,17,33,95
3424777990869631,437,40,1,3,0,4
3424298820917548,124,8,0,0,0,0
3424226144258149,30,0,0,1,0,0
1326974337493849,8,0,0,0,0,0
3424204497593647,71,1,0,0,0,0
3421505711196859,166,29,0,0,0,0
3423673104313453,479,6,0,0,0,0
3423667274314036,96,7,0,0,0,0
3421891567824940,358,30,0,2,0,0
3421899334490830,42,6,0,0,0,0
3422144311132999,100,1,0,0,0,0
1326272637564019,26,0,0,0,0,0
3421591351188295,110,3,0,2,10,14
3421467411200689,72,0,0,0,0,0
3421416811205749,142,8,0,0,0,1
2607172519529164,176,32,0,0,0,0
3421178814562882,54,0,0,0,0,0
3414687071878723,492,23,0,0,0,0
3418859238128173,281,27,2,3,0,0
3418867951460635,321,42,0,0,0,0
3417640848250012,90,1,0,5,10,18
3417615364919227,97,2,0,7,20,57
3417282908285806,262,6,0,0,0,0
3417200394960724,276,16,0,0,0,1
3417128221634608,343,26,1,2,0,1
3417036344977129,427,38,0,1,1,1
3416967758317321,665,49,1,0,0,0
3416550618359035,14,0,0,0,0,0
3416837014997062,76,6,2,0,0,0
3414549298559167,99,2,0,0,1,0
3416555441691886,492,77,1,1,0,0
3415235225157241,343,69,1,1,0,0
3414802928533804,60,5,0,0,0,0
1323687694489180,13,0,0,0,0,0
3412762795404484,234,15,1,0,0,0
3414533535227410,102,3,0,0,0,0
3406041042743326,70,6,0,0,0,0
3414456095235154,514,9,0,0,0,1
3412681915412572,67,0,1,0,0,0
3412967935383970,310,8,0,2,1,0
194542011883774,264,35,2,4,1,0
3412384555442308,60,2,0,0,0,0
