post_id,like,love,wow,haha,sorry,anger
10163539724540080,600,118,0,0,0,0
10163534628150080,341,55,0,0,0,0
10163533219590080,587,76,0,0,0,0
10163532800625080,847,136,1,0,0,0
10163526866365080,92,2,0,1,0,0
10163525986850080,80,2,0,0,0,0
10163513748030080,1206,243,4,1,0,0
10163512741110080,407,42,0,0,0,0
10163513703700080,726,89,0,5,0,0
10163513755555080,405,29,0,0,0,0
10163513520600080,160,6,1,1,1,0
10163513142550080,1050,180,4,7,0,0
10163511328510080,823,141,1,4,0,0
10163511258090080,89,3,0,0,0,0
10163510940430080,650,99,4,4,1,20
10163508742845080,769,25,0,0,0,0
10163505739830080,272,37,1,1,0,0
10163505075600080,92,6,1,0,0,0
10163503671415080,504,47,2,0,0,0
10163503810120080,447,22,2,0,0,0
10163503407835080,1296,96,0,0,0,0
10163497242345080,763,116,0,1,0,0
10163497383050080,249,4,0,2,0,0
10163496194200080,1596,110,0,0,0,0
10163489910655080,1723,711,5,0,0,0
10163491199215080,175,17,0,0,0,0
10163489405070080,44,3,0,0,0,0
10163488780575080,111,7,0,0,0,0
10163482830080080,1116,372,2,1,0,0
10163458784175080,394,57,3,0,0,0
10163482794620080,163,10,0,0,0,0
10163481005245080,708,75,0,1,0,0
10163480988205080,316,14,0,0,0,0
10163450663980080,364,19,0,0,0,0
10163474159210080,99,4,0,0,0,0
10163450667965080,1438,57,0,0,0,0
10163458951995080,299,19,0,0,0,0
10163451533215080,69,3,0,0,0,0
10163457369180080,1217,299,2,0,0,0
10163458537495080,334,52,0,0,0,0
10163451791985080,692,107,0,0,0,0
10163457329680080,638,132,3,0,0,0
10163457354950080,474,62,0,0,1,0
10163451486065080,2991,522,2,1,4,1
10163451337810080,566,98,0,0,0,0
10163444483175080,481,110,2,0,0,0
10163451697575080,582,85,0,0,0,0
10163451069170080,964,206,3,0,0,0
10163450266145080,621,58,0,0,0,0
10163450030680080,109,5,0,0,0,0
10163443325285080,347,28,0,2,0,0
10163442802120080,594,85,0,2,0,1
10163443215335080,289,6,0,0,0,0
10163442764530080,954,248,3,0,0,0
10163438727125080,87,3,0,1,0,0
10163436961250080,499,55,1,0,0,0
10163436438370080,267,34,1,1,1,0
10163430174670080,789,247,1,1,0,0
10163425584075080,103,3,0,0,0,0
10163423816320080,1479,324,0,1,0,0
10163406243040080,1197,132,0,0,0,0
10163406202615080,1179,217,1,1,2,0
10163406225790080,173,6,0,0,0,0
10163417378950080,98,1,0,0,0,0
10163406180860080,809,98,2,1,1,0
10163406025310080,778,124,0,1,1,1
10163410820350080,1411,348,0,0,0,0
10163406103445080,730,63,0,0,0,0
10163405383650080,323,68,0,0,0,0
10163405322540080,416,48,0,0,0,0
10163404855710080,451,57,0,0,0,0
10163404849415080,533,215,3,0,0,0
10163405365585080,311,53,0,0,0,0
10163404786600080,1390,452,1,0,0,0
10163401366795080,484,78,0,0,0,0
10163399822565080,325,19,0,0,0,0
10163399803230080,610,52,3,1,0,0
10163399125655080,118,7,1,0,0,0
10163398698825080,128,14,0,0,0,0
10163398641800080,27,1,0,0,0,0
10163393850735080,455,82,1,2,0,0
10163394328925080,117,2,0,0,0,0
