Date,HomeTeam,AwayTeam,FTHG,FTAG,7_day_before_like,7_day_before_love,7_day_before_wow,7_day_before_sorry,7_day_before_anger,7_day_before_haha,team
12/08/2018,Arsenal,Man City,0,2,67291,4496,337,15,2118,23,Arsenal
18/08/2018,Chelsea,Arsenal,3,2,121544,12690,577,282,445,248,Arsenal
25/08/2018,Arsenal,West Ham,3,1,72736,4272,471,632,2888,2205,Arsenal
02/09/2018,Cardiff,Arsenal,2,3,170809,7224,536,73,8441,87,Arsenal
15/09/2018,Newcastle,Arsenal,1,2,174287,8781,658,55,1383,47,Arsenal
23/09/2018,Arsenal,Everton,2,0,67202,5698,226,48,266,79,Arsenal
29/09/2018,Arsenal,Watford,2,0,186226,14365,1006,181,1717,125,Arsenal
07/10/2018,Fulham,Arsenal,1,5,259121,13540,1614,242,1657,808,Arsenal
22/10/2018,Arsenal,Leicester,3,1,262289,17939,2514,45,802,23,Arsenal
28/10/2018,Crystal Palace,Arsenal,2,2,375408,12806,809,172,3803,47,Arsenal
03/11/2018,Arsenal,Liverpool,1,1,276378,11824,1309,361,2658,90,Arsenal
11/11/2018,Arsenal,Wolves,1,1,719778,37717,13416,210,1097,213,Arsenal
25/11/2018,Bournemouth,Arsenal,1,2,4074,318,11,1,22,1,Arsenal
02/12/2018,Arsenal,Tottenham,4,2,5616,847,29,2,26,7,Arsenal
05/12/2018,Man United,Arsenal,2,2,20336,2492,96,200,170,874,Arsenal
08/12/2018,Arsenal,Huddersfield,1,0,23867,2709,94,586,210,1085,Arsenal
16/12/2018,Southampton,Arsenal,3,2,0,0,0,0,0,0,Arsenal
22/12/2018,Arsenal,Burnley,3,1,12822,766,58,857,433,1691,Arsenal
26/12/2018,Brighton,Arsenal,1,1,15888,1429,67,251,276,766,Arsenal
29/12/2018,Liverpool,Arsenal,5,1,7186,867,29,7,21,13,Arsenal
01/01/2019,Arsenal,Fulham,4,1,9529,635,74,536,1331,2423,Arsenal
12/01/2019,West Ham,Arsenal,1,0,61899,5959,681,24,187,36,Arsenal
19/01/2019,Arsenal,Chelsea,2,0,86866,4825,265,672,2666,3522,Arsenal
29/01/2019,Arsenal,Cardiff,2,1,21993,1761,122,392,891,1584,Arsenal
03/02/2019,Man City,Arsenal,3,1,129949,10728,830,186,864,204,Arsenal
09/02/2019,Huddersfield,Arsenal,1,2,122136,5295,168,1214,1525,2160,Arsenal
24/02/2019,Arsenal,Southampton,2,0,79078,7676,308,189,1140,152,Arsenal
27/02/2019,Arsenal,Bournemouth,5,1,115912,10952,449,154,1233,323,Arsenal
02/03/2019,Tottenham,Arsenal,1,1,72334,7736,433,56,297,242,Arsenal
10/03/2019,Arsenal,Man United,2,0,128868,8703,1876,352,930,1608,Arsenal
01/04/2019,Arsenal,Newcastle,2,0,86910,5438,324,177,611,60,Arsenal
07/04/2019,Everton,Arsenal,1,0,64726,7806,442,158,545,55,Arsenal
15/04/2019,Watford,Arsenal,0,1,55466,7501,344,138,255,107,Arsenal
21/04/2019,Arsenal,Crystal Palace,2,3,175471,15476,1438,89,639,308,Arsenal
24/04/2019,Wolves,Arsenal,3,1,171323,16682,1462,1619,1008,3646,Arsenal
28/04/2019,Leicester,Arsenal,3,0,73996,6312,1448,4238,21509,16164,Arsenal
05/05/2019,Arsenal,Brighton,1,1,150622,18688,431,11423,2387,3354,Arsenal
12/05/2019,Burnley,Arsenal,1,3,183124,29458,1194,5804,1100,2794,Arsenal
