Date,HomeTeam,AwayTeam,FTHG,FTAG,7_day_before_like,7_day_before_love,7_day_before_wow,7_day_before_sorry,7_day_before_anger,7_day_before_haha,team
11/08/2018,Wolves,Everton,2,2,28159,2479,351,50,704,19,Everton
18/08/2018,Everton,Southampton,2,1,18269,1233,79,12,259,8,Everton
25/08/2018,Bournemouth,Everton,2,2,16982,1795,115,13,484,14,Everton
01/09/2018,Everton,Huddersfield,1,1,26473,1898,211,399,81,51,Everton
16/09/2018,Everton,West Ham,1,3,8745,784,51,6,44,3,Everton
23/09/2018,Arsenal,Everton,2,0,13837,1014,98,62,357,345,Everton
29/09/2018,Everton,Fulham,3,0,11147,906,30,199,201,190,Everton
06/10/2018,Leicester,Everton,1,2,6688,735,59,49,35,217,Everton
21/10/2018,Everton,Crystal Palace,2,0,24115,1412,117,259,184,5,Everton
28/10/2018,Man United,Everton,2,1,34214,3722,162,23,724,11,Everton
03/11/2018,Everton,Brighton,3,1,8604,581,28,880,225,86,Everton
11/11/2018,Chelsea,Everton,0,0,8344,633,55,0,41,4,Everton
24/11/2018,Everton,Cardiff,1,0,3453,392,12,1,3,1,Everton
02/12/2018,Liverpool,Everton,1,0,564,50,0,0,10,1,Everton
05/12/2018,Everton,Newcastle,1,1,564,50,0,0,10,1,Everton
10/12/2018,Everton,Watford,2,2,2676,295,12,127,56,134,Everton
15/12/2018,Man City,Everton,3,1,5828,831,38,30,27,167,Everton
23/12/2018,Everton,Tottenham,2,6,0,0,0,0,0,0,Everton
26/12/2018,Burnley,Everton,1,5,5448,446,100,337,901,1192,Everton
29/12/2018,Brighton,Everton,1,0,8532,860,125,344,925,1318,Everton
01/01/2019,Everton,Leicester,0,1,6757,720,41,71,77,470,Everton
13/01/2019,Everton,Bournemouth,2,0,2619,108,31,3,19,3,Everton
19/01/2019,Southampton,Everton,2,1,13582,1415,55,8,107,136,Everton
29/01/2019,Huddersfield,Everton,0,1,6113,347,95,222,946,1024,Everton
02/02/2019,Everton,Wolves,1,3,11458,821,142,226,997,1041,Everton
06/02/2019,Everton,Man City,0,2,3796,210,41,197,381,1325,Everton
09/02/2019,Watford,Everton,1,0,9297,746,85,324,872,1753,Everton
26/02/2019,Cardiff,Everton,0,3,2287,222,7,0,19,0,Everton
03/03/2019,Everton,Liverpool,0,0,13052,1171,138,10,92,102,Everton
09/03/2019,Newcastle,Everton,3,2,18355,2556,110,11,132,133,Everton
17/03/2019,Everton,Chelsea,2,0,5478,913,24,2,23,1,Everton
30/03/2019,West Ham,Everton,0,2,9727,1679,21,134,7,1,Everton
07/04/2019,Everton,Arsenal,1,0,17802,1842,71,18,676,35,Everton
13/04/2019,Fulham,Everton,2,0,85917,4501,271,16,257,57,Everton
21/04/2019,Everton,Man United,4,0,86361,3620,281,381,408,24,Everton
27/04/2019,Crystal Palace,Everton,0,0,135161,9551,1028,88,1093,126,Everton
03/05/2019,Everton,Burnley,2,0,20760,558,73,5,72,21,Everton
12/05/2019,Tottenham,Everton,2,2,29300,1841,99,6,180,2,Everton
