Date,HomeTeam,AwayTeam,FTHG,FTAG,7_day_before_like,7_day_before_love,7_day_before_wow,7_day_before_sorry,7_day_before_anger,7_day_before_haha,team
11/08/2018,Fulham,Crystal Palace,0,2,3767,177,38,12,54,2,Fulham
18/08/2018,Tottenham,Fulham,3,1,3860,305,28,3,7,2,Fulham
26/08/2018,Fulham,Burnley,4,2,3248,176,12,3,12,1,Fulham
01/09/2018,Brighton,Fulham,2,2,5747,591,28,35,4,0,Fulham
15/09/2018,Man City,Fulham,3,0,1186,85,10,2,2,0,Fulham
22/09/2018,Fulham,Watford,1,1,1218,56,5,0,0,0,Fulham
29/09/2018,Everton,Fulham,3,0,1652,78,3,1,13,0,Fulham
07/10/2018,Fulham,Arsenal,1,5,1162,62,2,0,6,0,Fulham
20/10/2018,Cardiff,Fulham,4,2,708,25,3,0,0,0,Fulham
27/10/2018,Fulham,Bournemouth,0,3,0,0,0,0,0,0,Fulham
05/11/2018,Huddersfield,Fulham,1,0,726,22,1,0,10,0,Fulham
11/11/2018,Liverpool,Fulham,2,0,693,33,1,0,0,1,Fulham
24/11/2018,Fulham,Southampton,3,2,126,6,0,2,0,0,Fulham
02/12/2018,Chelsea,Fulham,2,0,609,31,3,0,1,3,Fulham
05/12/2018,Fulham,Leicester,1,1,609,31,3,0,1,3,Fulham
08/12/2018,Man United,Fulham,4,1,861,16,2,0,3,2,Fulham
15/12/2018,Fulham,West Ham,0,2,189,4,1,0,0,0,Fulham
22/12/2018,Newcastle,Fulham,0,0,0,0,0,0,0,0,Fulham
26/12/2018,Fulham,Wolves,1,1,0,0,0,0,0,0,Fulham
29/12/2018,Fulham,Huddersfield,1,0,0,0,0,0,0,0,Fulham
01/01/2019,Arsenal,Fulham,4,1,232,1,2,6,0,11,Fulham
12/01/2019,Burnley,Fulham,2,1,2293,70,35,73,266,193,Fulham
20/01/2019,Fulham,Tottenham,1,2,7596,378,207,12,194,19,Fulham
29/01/2019,Fulham,Brighton,4,2,2532,115,8,3,19,9,Fulham
02/02/2019,Crystal Palace,Fulham,2,0,18864,1745,196,122,325,64,Fulham
09/02/2019,Fulham,Man United,0,3,27141,3388,754,292,183,126,Fulham
22/02/2019,West Ham,Fulham,3,1,1380,82,4,0,35,1,Fulham
27/02/2019,Southampton,Fulham,2,0,3300,151,12,143,100,136,Fulham
03/03/2019,Fulham,Chelsea,1,2,5077,264,89,214,388,155,Fulham
09/03/2019,Leicester,Fulham,3,1,11907,560,313,85,63,15,Fulham
17/03/2019,Fulham,Liverpool,1,2,8003,161,32,5,31,2,Fulham
30/03/2019,Fulham,Man City,0,2,2780,115,6,2,7,0,Fulham
02/04/2019,Watford,Fulham,4,1,4866,215,13,84,130,14,Fulham
13/04/2019,Fulham,Everton,2,0,2661,99,11,5,45,2,Fulham
20/04/2019,Bournemouth,Fulham,0,1,7947,523,40,68,86,6,Fulham
27/04/2019,Fulham,Cardiff,1,0,3927,285,31,8,28,0,Fulham
04/05/2019,Wolves,Fulham,1,0,8865,1068,55,4,99,10,Fulham
12/05/2019,Fulham,Newcastle,0,4,3989,347,29,13,7,5,Fulham
