Date,HomeTeam,AwayTeam,FTHG,FTAG,7_day_before_like,7_day_before_love,7_day_before_wow,7_day_before_sorry,7_day_before_anger,7_day_before_haha,team
11/08/2018,Newcastle,Tottenham,1,2,23960.0,2201.0,290.0,8.0,90.0,49.0,Tottenham
18/08/2018,Tottenham,Fulham,3,1,82856.0,6558.0,323.0,50.0,2585.0,44.0,Tottenham
27/08/2018,Man United,Tottenham,0,3,26251.0,2318.0,332.0,4.0,61.0,11.0,Tottenham
02/09/2018,Watford,Tottenham,2,1,99967.0,8588.0,951.0,91.0,465.0,40.0,Tottenham
15/09/2018,Tottenham,Liverpool,1,2,115964.0,9691.0,549.0,192.0,2735.0,61.0,Tottenham
22/09/2018,Brighton,Tottenham,1,2,22674.0,1061.0,177.0,544.0,297.0,278.0,Tottenham
29/09/2018,Huddersfield,Tottenham,0,2,59635.0,4114.0,518.0,11.0,1018.0,24.0,Tottenham
06/10/2018,Tottenham,Cardiff,1,0,3018.0,188.0,14.0,9.0,1.0,0.0,Tottenham
20/10/2018,West Ham,Tottenham,0,1,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham
29/10/2018,Tottenham,Man City,0,1,2629.0,184.0,20.0,2.0,23.0,2.0,Tottenham
03/11/2018,Wolves,Tottenham,2,3,244852.0,5544.0,485.0,163.0,1323.0,57.0,Tottenham
10/11/2018,Crystal Palace,Tottenham,0,1,34998.0,2807.0,138.0,138.0,230.0,22.0,Tottenham
24/11/2018,Tottenham,Chelsea,3,1,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham
02/12/2018,Arsenal,Tottenham,4,2,2740.0,841.0,32.0,2.0,20.0,5.0,Tottenham
05/12/2018,Tottenham,Southampton,3,1,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham
08/12/2018,Leicester,Tottenham,0,2,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham
15/12/2018,Tottenham,Burnley,1,0,4646.0,1080.0,19.0,7.0,79.0,7.0,Tottenham
23/12/2018,Everton,Tottenham,2,6,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham
26/12/2018,Tottenham,Bournemouth,5,0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham
29/12/2018,Tottenham,Wolves,1,3,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham
01/01/2019,Cardiff,Tottenham,0,3,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham
13/01/2019,Tottenham,Man United,0,1,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham
20/01/2019,Fulham,Tottenham,1,2,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham
30/01/2019,Tottenham,Watford,2,1,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham
02/02/2019,Tottenham,Newcastle,1,0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham
10/02/2019,Tottenham,Leicester,3,1,2223.0,593.0,15.0,3.0,21.0,6.0,Tottenham
23/02/2019,Burnley,Tottenham,2,1,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham
27/02/2019,Chelsea,Tottenham,2,0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham
02/03/2019,Tottenham,Arsenal,1,1,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham
09/03/2019,Southampton,Tottenham,2,1,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham
31/03/2019,Liverpool,Tottenham,2,1,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham
03/04/2019,Tottenham,Crystal Palace,2,0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham
13/04/2019,Tottenham,Huddersfield,4,0,6048.0,1356.0,45.0,6.0,27.0,13.0,Tottenham
20/04/2019,Man City,Tottenham,1,0,21803.0,4108.0,127.0,15.0,112.0,43.0,Tottenham
23/04/2019,Tottenham,Brighton,1,0,19246.0,2861.0,104.0,6.0,83.0,20.0,Tottenham
27/04/2019,Tottenham,West Ham,0,1,3368.0,319.0,13.0,3.0,27.0,3.0,Tottenham
04/05/2019,Bournemouth,Tottenham,1,0,15006.0,4332.0,96.0,43.0,164.0,51.0,Tottenham
12/05/2019,Tottenham,Everton,2,2,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham
