Date,HomeTeam,AwayTeam,FTHG,FTAG,7_day_before_like,7_day_before_love,7_day_before_wow,7_day_before_sorry,7_day_before_anger,7_day_before_haha,team
11/08/2018,Wolves,Everton,2,2,8674.0,913.0,157.0,6.0,25.0,5.0,Wolves
18/08/2018,Leicester,Wolves,2,0,12616.0,1817.0,108.0,4.0,106.0,42.0,Wolves
25/08/2018,Wolves,Man City,1,1,3970.0,334.0,13.0,15.0,43.0,58.0,Wolves
01/09/2018,West Ham,Wolves,0,1,11210.0,1366.0,123.0,13.0,40.0,15.0,Wolves
16/09/2018,Wolves,Burnley,1,0,5144.0,858.0,59.0,1.0,47.0,6.0,Wolves
22/09/2018,Man United,Wolves,1,1,14907.0,2073.0,130.0,1.0,50.0,12.0,Wolves
29/09/2018,Wolves,Southampton,2,0,9817.0,1472.0,95.0,13.0,17.0,2.0,Wolves
06/10/2018,Crystal Palace,Wolves,0,1,5129.0,687.0,30.0,1.0,29.0,63.0,Wolves
20/10/2018,Wolves,Watford,0,2,1405.0,90.0,1.0,0.0,1.0,0.0,Wolves
27/10/2018,Brighton,Wolves,1,0,77.0,9.0,1.0,0.0,0.0,0.0,Wolves
03/11/2018,Wolves,Tottenham,2,3,1126.0,98.0,3.0,7.0,3.0,7.0,Wolves
11/11/2018,Arsenal,Wolves,1,1,980.0,68.0,2.0,2.0,3.0,3.0,Wolves
25/11/2018,Wolves,Huddersfield,0,2,222.0,20.0,0.0,0.0,0.0,0.0,Wolves
30/11/2018,Cardiff,Wolves,2,1,157.0,1.0,0.0,0.0,7.0,1.0,Wolves
05/12/2018,Wolves,Chelsea,2,1,1004.0,62.0,31.0,8.0,21.0,3.0,Wolves
09/12/2018,Newcastle,Wolves,1,2,2373.0,273.0,39.0,10.0,19.0,3.0,Wolves
15/12/2018,Wolves,Bournemouth,2,0,1990.0,233.0,9.0,1.0,4.0,1.0,Wolves
21/12/2018,Wolves,Liverpool,0,2,1005.0,105.0,6.0,0.0,6.0,0.0,Wolves
26/12/2018,Fulham,Wolves,1,1,2915.0,306.0,11.0,0.0,121.0,1.0,Wolves
29/12/2018,Tottenham,Wolves,1,3,2923.0,278.0,10.0,39.0,119.0,2.0,Wolves
02/01/2019,Wolves,Crystal Palace,0,2,7068.0,977.0,97.0,40.0,79.0,6.0,Wolves
14/01/2019,Man City,Wolves,3,0,6720.0,1014.0,104.0,3.0,28.0,3.0,Wolves
19/01/2019,Wolves,Leicester,4,3,4567.0,316.0,14.0,16.0,8.0,0.0,Wolves
29/01/2019,Wolves,West Ham,3,0,5599.0,744.0,34.0,0.0,24.0,1.0,Wolves
02/02/2019,Everton,Wolves,1,3,4747.0,371.0,41.0,29.0,41.0,7.0,Wolves
11/02/2019,Wolves,Newcastle,1,1,5908.0,532.0,47.0,1.0,10.0,6.0,Wolves
23/02/2019,Bournemouth,Wolves,1,1,11472.0,1076.0,144.0,13.0,55.0,12.0,Wolves
26/02/2019,Huddersfield,Wolves,1,0,7299.0,1000.0,84.0,70.0,54.0,99.0,Wolves
02/03/2019,Wolves,Cardiff,2,0,5816.0,622.0,54.0,110.0,28.0,140.0,Wolves
10/03/2019,Chelsea,Wolves,1,1,15784.0,873.0,73.0,3.0,7.0,12.0,Wolves
30/03/2019,Burnley,Wolves,2,0,3199.0,196.0,36.0,1.0,4.0,3.0,Wolves
02/04/2019,Wolves,Man United,2,1,3199.0,196.0,36.0,1.0,4.0,3.0,Wolves
13/04/2019,Southampton,Wolves,3,1,9422.0,1346.0,23.0,640.0,63.0,13.0,Wolves
20/04/2019,Wolves,Brighton,0,0,2168.0,160.0,7.0,76.0,8.0,12.0,Wolves
24/04/2019,Wolves,Arsenal,3,1,6597.0,373.0,35.0,43.0,109.0,37.0,Wolves
27/04/2019,Watford,Wolves,1,2,10700.0,857.0,71.0,44.0,113.0,40.0,Wolves
04/05/2019,Wolves,Fulham,1,0,29438.0,6244.0,321.0,13.0,217.0,62.0,Wolves
12/05/2019,Liverpool,Wolves,2,0,3059.0,255.0,18.0,3.0,4.0,0.0,Wolves
