Date,HomeTeam,AwayTeam,FTHG,FTAG,7_day_before_like,7_day_before_love,7_day_before_wow,7_day_before_sorry,7_day_before_anger,7_day_before_haha,team
11/08/2018,Bournemouth,Cardiff,2,0,2594,152,17,0,13,1,Bournemouth
18/08/2018,West Ham,Bournemouth,1,2,3930,389,10,1,55,4,Bournemouth
25/08/2018,Bournemouth,Everton,2,2,1320,96,2,1,7,2,Bournemouth
01/09/2018,Chelsea,Bournemouth,2,0,3478,284,9,4,20,3,Bournemouth
15/09/2018,Bournemouth,Leicester,4,2,518,34,1,0,0,0,Bournemouth
22/09/2018,Burnley,Bournemouth,4,0,2188,169,3,1,2,2,Bournemouth
01/10/2018,Bournemouth,Crystal Palace,2,1,951,53,6,1,5,0,Bournemouth
06/10/2018,Watford,Bournemouth,0,4,1032,56,4,0,20,1,Bournemouth
20/10/2018,Bournemouth,Southampton,0,0,139,7,0,0,0,0,Bournemouth
27/10/2018,Fulham,Bournemouth,0,3,644,64,1,1,0,0,Bournemouth
03/11/2018,Bournemouth,Man United,1,2,2108,189,7,0,2,0,Bournemouth
10/11/2018,Newcastle,Bournemouth,2,1,497,60,2,3,0,0,Bournemouth
25/11/2018,Bournemouth,Arsenal,1,2,199,18,1,0,1,0,Bournemouth
01/12/2018,Man City,Bournemouth,3,1,131,9,0,0,2,0,Bournemouth
04/12/2018,Bournemouth,Huddersfield,2,1,0,0,0,0,0,0,Bournemouth
08/12/2018,Bournemouth,Liverpool,0,4,1122,113,1,1,2,0,Bournemouth
15/12/2018,Wolves,Bournemouth,2,0,772,30,6,1,2,0,Bournemouth
22/12/2018,Bournemouth,Brighton,2,0,781,46,2,0,1,1,Bournemouth
26/12/2018,Tottenham,Bournemouth,5,0,1727,158,6,0,1,2,Bournemouth
30/12/2018,Man United,Bournemouth,4,1,618,55,0,0,0,0,Bournemouth
02/01/2019,Bournemouth,Watford,3,3,607,66,0,0,0,0,Bournemouth
13/01/2019,Everton,Bournemouth,2,0,1752,102,11,1,7,0,Bournemouth
19/01/2019,Bournemouth,West Ham,2,0,843,27,5,1,2,4,Bournemouth
30/01/2019,Bournemouth,Chelsea,4,0,1624,60,21,1,4,1,Bournemouth
02/02/2019,Cardiff,Bournemouth,2,0,6074,663,98,3,24,4,Bournemouth
09/02/2019,Liverpool,Bournemouth,3,0,1947,130,12,0,6,1,Bournemouth
23/02/2019,Bournemouth,Wolves,1,1,1043,70,0,1,1,0,Bournemouth
27/02/2019,Arsenal,Bournemouth,5,1,2109,161,11,2,4,6,Bournemouth
02/03/2019,Bournemouth,Man City,0,1,2352,152,13,5,12,6,Bournemouth
09/03/2019,Huddersfield,Bournemouth,0,2,4711,529,24,18,5,1,Bournemouth
16/03/2019,Bournemouth,Newcastle,2,2,11705,191,40,1,8,0,Bournemouth
30/03/2019,Leicester,Bournemouth,2,0,1088,47,12,6,1,0,Bournemouth
06/04/2019,Bournemouth,Burnley,1,3,934,30,2,1,4,2,Bournemouth
13/04/2019,Brighton,Bournemouth,0,5,777,27,1,0,0,0,Bournemouth
20/04/2019,Bournemouth,Fulham,0,1,720,33,1,0,1,0,Bournemouth
27/04/2019,Southampton,Bournemouth,3,3,2154,226,16,22,18,44,Bournemouth
04/05/2019,Bournemouth,Tottenham,1,0,10322,448,37,359,7,4,Bournemouth
12/05/2019,Crystal Palace,Bournemouth,5,3,2599,198,9,1,3,3,Bournemouth
