Date,HomeTeam,AwayTeam,FTHG,FTAG,7_day_before_like,7_day_before_love,7_day_before_wow,7_day_before_sorry,7_day_before_anger,7_day_before_haha,team
11/08/2018,Bournemouth,Cardiff,2,0,879,48,2,0,1,1,Cardiff
18/08/2018,Cardiff,Newcastle,0,0,1881,125,16,16,13,3,Cardiff
25/08/2018,Huddersfield,Cardiff,0,0,2585,170,58,9,9,1,Cardiff
02/09/2018,Cardiff,Arsenal,2,3,696,29,5,37,25,25,Cardiff
15/09/2018,Chelsea,Cardiff,4,1,1192,59,31,4,11,1,Cardiff
22/09/2018,Cardiff,Man City,0,5,785,32,4,1,6,0,Cardiff
30/09/2018,Cardiff,Burnley,1,2,184,10,0,0,2,6,Cardiff
06/10/2018,Tottenham,Cardiff,1,0,378,23,0,7,0,2,Cardiff
20/10/2018,Cardiff,Fulham,4,2,718,30,2,0,0,0,Cardiff
27/10/2018,Liverpool,Cardiff,4,1,1941,245,17,1,4,1,Cardiff
03/11/2018,Cardiff,Leicester,0,1,129,6,2,11,2,3,Cardiff
10/11/2018,Cardiff,Brighton,2,1,1125,120,2,57,1,0,Cardiff
24/11/2018,Everton,Cardiff,1,0,756,28,6,0,0,0,Cardiff
30/11/2018,Cardiff,Wolves,2,1,780,43,2,21,0,0,Cardiff
04/12/2018,West Ham,Cardiff,3,1,1896,195,3,10,14,3,Cardiff
08/12/2018,Cardiff,Southampton,1,0,1181,73,0,16,18,10,Cardiff
15/12/2018,Watford,Cardiff,3,2,2823,300,12,0,8,0,Cardiff
22/12/2018,Cardiff,Man United,1,5,1353,58,12,50,4,26,Cardiff
26/12/2018,Crystal Palace,Cardiff,0,0,2103,101,13,102,79,22,Cardiff
29/12/2018,Leicester,Cardiff,0,1,3277,174,14,103,84,21,Cardiff
01/01/2019,Cardiff,Tottenham,0,3,3561,379,15,3,6,1,Cardiff
12/01/2019,Cardiff,Huddersfield,0,0,2616,132,16,138,157,89,Cardiff
19/01/2019,Newcastle,Cardiff,3,0,499,4,4,10,15,18,Cardiff
29/01/2019,Arsenal,Cardiff,2,1,8967,1204,28,5719,14,9,Cardiff
02/02/2019,Cardiff,Bournemouth,2,0,8210,1200,10,1008,19,3,Cardiff
09/02/2019,Southampton,Cardiff,1,2,17373,3679,67,5755,27,12,Cardiff
22/02/2019,Cardiff,Watford,1,5,664,26,1,0,5,0,Cardiff
26/02/2019,Cardiff,Everton,0,3,1378,58,5,30,29,18,Cardiff
02/03/2019,Wolves,Cardiff,2,0,1032,64,5,20,12,23,Cardiff
09/03/2019,Cardiff,West Ham,2,0,870,37,11,110,38,99,Cardiff
31/03/2019,Cardiff,Chelsea,1,2,10403,1550,39,10,59,2,Cardiff
03/04/2019,Man City,Cardiff,2,0,11757,1617,47,118,106,186,Cardiff
13/04/2019,Burnley,Cardiff,2,0,196,11,1,0,0,0,Cardiff
16/04/2019,Brighton,Cardiff,0,2,1091,52,8,139,25,70,Cardiff
21/04/2019,Cardiff,Liverpool,0,2,6984,1186,64,2,38,3,Cardiff
27/04/2019,Fulham,Cardiff,1,0,2178,146,21,32,83,44,Cardiff
04/05/2019,Cardiff,Crystal Palace,2,3,2063,100,16,270,90,123,Cardiff
12/05/2019,Man United,Cardiff,0,2,2864,345,7,27,5,0,Cardiff
