Date,HomeTeam,AwayTeam,FTHG,FTAG,7_day_before_like,7_day_before_love,7_day_before_wow,7_day_before_sorry,7_day_before_anger,7_day_before_haha,team
11/08/2018,Huddersfield,Chelsea,0,3,817,48,5,1,1,1,Huddersfield
19/08/2018,Man City,Huddersfield,6,1,176,0,0,0,1,0,Huddersfield
25/08/2018,Huddersfield,Cardiff,0,0,264,8,0,0,2,4,Huddersfield
01/09/2018,Everton,Huddersfield,1,1,260,8,0,0,1,0,Huddersfield
15/09/2018,Huddersfield,Crystal Palace,0,1,541,12,3,0,0,0,Huddersfield
22/09/2018,Leicester,Huddersfield,3,1,162,4,0,12,1,0,Huddersfield
29/09/2018,Huddersfield,Tottenham,0,2,368,36,5,1,1,0,Huddersfield
06/10/2018,Burnley,Huddersfield,1,1,45,0,0,0,0,0,Huddersfield
20/10/2018,Huddersfield,Liverpool,0,1,226,4,0,1,0,1,Huddersfield
27/10/2018,Watford,Huddersfield,3,0,328,8,0,1,2,2,Huddersfield
05/11/2018,Huddersfield,Fulham,1,0,349,23,1,0,5,1,Huddersfield
10/11/2018,Huddersfield,West Ham,1,1,899,55,3,0,2,1,Huddersfield
25/11/2018,Wolves,Huddersfield,0,2,185,3,1,0,10,0,Huddersfield
01/12/2018,Huddersfield,Brighton,1,2,944,87,0,0,2,1,Huddersfield
04/12/2018,Bournemouth,Huddersfield,2,1,274,14,0,0,1,0,Huddersfield
08/12/2018,Arsenal,Huddersfield,1,0,508,34,1,0,4,1,Huddersfield
15/12/2018,Huddersfield,Newcastle,0,1,354,15,0,0,1,0,Huddersfield
22/12/2018,Huddersfield,Southampton,1,3,272,5,0,1,1,1,Huddersfield
26/12/2018,Man United,Huddersfield,3,1,370,5,1,6,20,3,Huddersfield
29/12/2018,Fulham,Huddersfield,1,0,946,143,12,18,112,13,Huddersfield
02/01/2019,Huddersfield,Burnley,1,2,788,139,11,12,93,11,Huddersfield
12/01/2019,Cardiff,Huddersfield,0,0,328,14,2,2,16,2,Huddersfield
20/01/2019,Huddersfield,Man City,0,3,2567,305,177,1235,44,20,Huddersfield
29/01/2019,Huddersfield,Everton,0,1,432,38,4,1,0,0,Huddersfield
02/02/2019,Chelsea,Huddersfield,5,0,590,24,5,0,54,1,Huddersfield
09/02/2019,Huddersfield,Arsenal,1,2,576,87,2,0,0,0,Huddersfield
23/02/2019,Newcastle,Huddersfield,2,0,685,40,3,0,1,0,Huddersfield
26/02/2019,Huddersfield,Wolves,1,0,705,19,4,4,11,0,Huddersfield
02/03/2019,Brighton,Huddersfield,1,0,568,36,1,4,10,0,Huddersfield
09/03/2019,Huddersfield,Bournemouth,0,2,410,20,0,2,4,1,Huddersfield
16/03/2019,West Ham,Huddersfield,4,3,206,5,0,6,3,4,Huddersfield
30/03/2019,Crystal Palace,Huddersfield,2,0,139,1,0,0,0,0,Huddersfield
06/04/2019,Huddersfield,Leicester,1,4,436,23,2,70,57,7,Huddersfield
13/04/2019,Tottenham,Huddersfield,4,0,1062,152,4,10,8,6,Huddersfield
20/04/2019,Huddersfield,Watford,1,2,121,3,0,12,5,6,Huddersfield
26/04/2019,Liverpool,Huddersfield,5,0,372,16,4,4,13,9,Huddersfield
05/05/2019,Huddersfield,Man United,1,1,201,4,0,2,0,0,Huddersfield
12/05/2019,Southampton,Huddersfield,1,1,1066,110,0,2,9,0,Huddersfield
