Date,HomeTeam,AwayTeam,FTHG,FTAG,7_day_before_like,7_day_before_love,7_day_before_wow,7_day_before_sorry,7_day_before_anger,7_day_before_haha,team
12/08/2018,Arsenal,Man City,0,2,89794.0,4642.0,366.0,73.0,15092.0,66.0,Man City
19/08/2018,Man City,Huddersfield,6,1,75123.0,5809.0,424.0,50.0,953.0,47.0,Man City
25/08/2018,Wolves,Man City,1,1,54176.0,5128.0,398.0,45.0,177.0,221.0,Man City
01/09/2018,Man City,Newcastle,2,1,38445.0,2551.0,174.0,35.0,309.0,72.0,Man City
15/09/2018,Man City,Fulham,3,0,30991.0,2741.0,348.0,8.0,200.0,29.0,Man City
22/09/2018,Cardiff,Man City,0,5,31814.0,1863.0,221.0,25.0,156.0,58.0,Man City
29/09/2018,Man City,Brighton,2,0,55526.0,7133.0,489.0,19.0,1839.0,32.0,Man City
07/10/2018,Liverpool,Man City,0,0,60636.0,3503.0,416.0,11.0,196.0,165.0,Man City
20/10/2018,Man City,Burnley,5,0,10113.0,557.0,82.0,2.0,12.0,1.0,Man City
29/10/2018,Tottenham,Man City,0,1,74543.0,3424.0,420.0,26.0,75.0,121.0,Man City
04/11/2018,Man City,Southampton,6,1,180843.0,7570.0,598.0,582.0,238.0,76.0,Man City
11/11/2018,Man City,Man United,3,1,92385.0,2284.0,151.0,10.0,517.0,281.0,Man City
24/11/2018,West Ham,Man City,0,4,3124.0,418.0,18.0,2.0,25.0,2.0,Man City
01/12/2018,Man City,Bournemouth,3,1,2930.0,471.0,18.0,3.0,26.0,10.0,Man City
04/12/2018,Watford,Man City,1,2,0.0,0.0,0.0,0.0,0.0,0.0,Man City
08/12/2018,Chelsea,Man City,2,0,0.0,0.0,0.0,0.0,0.0,0.0,Man City
15/12/2018,Man City,Everton,3,1,0.0,0.0,0.0,0.0,0.0,0.0,Man City
22/12/2018,Man City,Crystal Palace,2,3,0.0,0.0,0.0,0.0,0.0,0.0,Man City
26/12/2018,Leicester,Man City,2,1,0.0,0.0,0.0,0.0,0.0,0.0,Man City
30/12/2018,Southampton,Man City,1,3,0.0,0.0,0.0,0.0,0.0,0.0,Man City
03/01/2019,Man City,Liverpool,2,1,35200.0,2061.0,87.0,6.0,222.0,22.0,Man City
14/01/2019,Man City,Wolves,3,0,97675.0,3728.0,420.0,14.0,614.0,235.0,Man City
20/01/2019,Huddersfield,Man City,0,3,83115.0,2244.0,238.0,9.0,189.0,299.0,Man City
29/01/2019,Newcastle,Man City,2,1,114974.0,2528.0,290.0,19.0,205.0,414.0,Man City
03/02/2019,Man City,Arsenal,3,1,73289.0,1370.0,115.0,28.0,191.0,214.0,Man City
06/02/2019,Everton,Man City,0,2,79625.0,7112.0,482.0,99.0,751.0,4257.0,Man City
10/02/2019,Man City,Chelsea,6,0,269490.0,19463.0,1314.0,173.0,1268.0,7252.0,Man City
27/02/2019,Man City,West Ham,1,0,298025.0,18980.0,1428.0,246.0,1042.0,2673.0,Man City
02/03/2019,Bournemouth,Man City,0,1,280526.0,21280.0,1537.0,148.0,1258.0,3116.0,Man City
09/03/2019,Man City,Watford,3,1,126740.0,3844.0,308.0,19.0,392.0,37.0,Man City
30/03/2019,Fulham,Man City,0,2,83850.0,4278.0,959.0,64.0,862.0,100.0,Man City
03/04/2019,Man City,Cardiff,2,0,66427.0,2370.0,251.0,12.0,256.0,36.0,Man City
14/04/2019,Crystal Palace,Man City,1,3,131806.0,4671.0,658.0,28.0,221.0,55.0,Man City
20/04/2019,Man City,Tottenham,1,0,220963.0,13410.0,1291.0,18610.0,15880.0,1335.0,Man City
24/04/2019,Man United,Man City,0,2,286050.0,15239.0,1405.0,18631.0,16408.0,1726.0,Man City
28/04/2019,Burnley,Man City,0,1,239561.0,15595.0,1040.0,90.0,1278.0,585.0,Man City
06/05/2019,Man City,Leicester,1,0,113436.0,5780.0,624.0,21.0,191.0,169.0,Man City
12/05/2019,Brighton,Man City,1,4,73895.0,6190.0,579.0,22.0,125.0,101.0,Man City
