Date,HomeTeam,AwayTeam,FTHG,FTAG,7_day_before_like,7_day_before_love,7_day_before_wow,7_day_before_sorry,7_day_before_anger,7_day_before_haha,team
11/08/2018,Newcastle,Tottenham,1,2,3922,241,10,13,42,5,Newcastle
18/08/2018,Cardiff,Newcastle,0,0,4728,214,10,21,29,9,Newcastle
26/08/2018,Newcastle,Chelsea,1,2,3555,188,8,7,38,27,Newcastle
01/09/2018,Man City,Newcastle,2,1,2513,118,16,40,58,28,Newcastle
15/09/2018,Newcastle,Arsenal,1,2,3331,398,3,348,3,1,Newcastle
22/09/2018,Crystal Palace,Newcastle,0,0,5445,1151,43,416,26,26,Newcastle
29/09/2018,Newcastle,Leicester,0,2,750,20,1,6,14,7,Newcastle
06/10/2018,Man United,Newcastle,3,2,719,26,0,27,32,59,Newcastle
20/10/2018,Newcastle,Brighton,0,1,606,26,0,0,4,0,Newcastle
27/10/2018,Southampton,Newcastle,0,0,113,8,0,0,2,2,Newcastle
03/11/2018,Newcastle,Watford,1,0,35,1,0,0,0,0,Newcastle
10/11/2018,Newcastle,Bournemouth,2,1,46,7,0,0,0,0,Newcastle
26/11/2018,Burnley,Newcastle,1,2,0,0,0,0,0,0,Newcastle
01/12/2018,Newcastle,West Ham,0,3,278,16,0,2,0,0,Newcastle
05/12/2018,Everton,Newcastle,1,1,409,15,0,0,0,0,Newcastle
09/12/2018,Newcastle,Wolves,1,2,153,2,0,0,0,0,Newcastle
15/12/2018,Huddersfield,Newcastle,0,1,355,13,0,8,3,9,Newcastle
22/12/2018,Newcastle,Fulham,0,0,774,29,3,2,74,19,Newcastle
26/12/2018,Liverpool,Newcastle,4,0,323,8,1,12,1,12,Newcastle
29/12/2018,Watford,Newcastle,1,1,860,35,3,74,7,12,Newcastle
02/01/2019,Newcastle,Man United,0,2,692,34,2,62,6,0,Newcastle
12/01/2019,Chelsea,Newcastle,2,1,3382,182,5,1,45,2,Newcastle
19/01/2019,Newcastle,Cardiff,3,0,1731,81,1,2,14,3,Newcastle
29/01/2019,Newcastle,Man City,2,1,2507,143,3,103,10,36,Newcastle
02/02/2019,Tottenham,Newcastle,1,0,9246,717,50,27,14,14,Newcastle
11/02/2019,Wolves,Newcastle,1,1,8550,1177,45,289,23,4,Newcastle
23/02/2019,Newcastle,Huddersfield,2,0,3838,718,4,154,5,34,Newcastle
26/02/2019,Newcastle,Burnley,2,0,3433,278,6,1,25,34,Newcastle
02/03/2019,West Ham,Newcastle,2,0,5027,381,15,0,23,0,Newcastle
09/03/2019,Newcastle,Everton,3,2,2137,112,0,14,7,4,Newcastle
16/03/2019,Bournemouth,Newcastle,2,2,1512,65,5,4,27,1,Newcastle
01/04/2019,Arsenal,Newcastle,2,0,1724,96,9,1,12,13,Newcastle
06/04/2019,Newcastle,Crystal Palace,0,1,2182,112,2,9,3,0,Newcastle
12/04/2019,Leicester,Newcastle,0,1,9334,992,143,21,10,2,Newcastle
20/04/2019,Newcastle,Southampton,3,1,1010,61,4,5,1,1,Newcastle
27/04/2019,Brighton,Newcastle,1,1,2053,144,5,0,8,0,Newcastle
04/05/2019,Newcastle,Liverpool,2,3,1956,84,5,1,9,0,Newcastle
12/05/2019,Fulham,Newcastle,0,4,1733,56,9,8,11,55,Newcastle
