Date,HomeTeam,AwayTeam,FTHG,FTAG,7_day_before_like,7_day_before_love,7_day_before_wow,7_day_before_sorry,7_day_before_anger,7_day_before_haha,team
11/08/2018,Watford,Brighton,2,0,503,20,2,0,1,1,Brighton
19/08/2018,Brighton,Man United,3,2,605,26,3,1,1,0,Brighton
25/08/2018,Liverpool,Brighton,1,0,7048,955,59,13,92,27,Brighton
01/09/2018,Brighton,Fulham,2,2,662,51,4,0,1,1,Brighton
17/09/2018,Southampton,Brighton,2,2,923,54,6,11,5,0,Brighton
22/09/2018,Brighton,Tottenham,1,2,1397,87,4,3,7,2,Brighton
29/09/2018,Man City,Brighton,2,0,900,42,1,4,3,0,Brighton
05/10/2018,Brighton,West Ham,1,0,872,23,2,1,11,1,Brighton
20/10/2018,Newcastle,Brighton,0,1,1167,99,4,3,8,0,Brighton
27/10/2018,Brighton,Wolves,1,0,583,36,2,0,0,2,Brighton
03/11/2018,Everton,Brighton,3,1,611,23,1,14,1,1,Brighton
10/11/2018,Cardiff,Brighton,2,1,313,28,0,0,0,0,Brighton
24/11/2018,Brighton,Leicester,1,1,102,0,0,0,0,0,Brighton
01/12/2018,Huddersfield,Brighton,1,2,181,1,0,0,0,0,Brighton
04/12/2018,Brighton,Crystal Palace,3,1,771,50,2,0,0,0,Brighton
08/12/2018,Burnley,Brighton,1,0,1156,90,6,5,0,1,Brighton
16/12/2018,Brighton,Chelsea,1,2,77,2,0,0,0,0,Brighton
22/12/2018,Bournemouth,Brighton,2,0,23,2,0,0,0,0,Brighton
26/12/2018,Brighton,Arsenal,1,1,0,0,0,0,0,0,Brighton
29/12/2018,Brighton,Everton,1,0,145,2,0,0,0,5,Brighton
02/01/2019,West Ham,Brighton,2,2,434,18,1,0,0,5,Brighton
12/01/2019,Brighton,Liverpool,0,1,2470,77,29,2,9,8,Brighton
19/01/2019,Man United,Brighton,2,1,131,3,0,1,1,0,Brighton
29/01/2019,Fulham,Brighton,4,2,962,36,5,18,5,3,Brighton
02/02/2019,Brighton,Watford,0,0,1046,40,5,49,10,58,Brighton
09/02/2019,Brighton,Burnley,1,3,2542,219,9,11,3,3,Brighton
26/02/2019,Leicester,Brighton,2,1,929,89,9,120,0,1,Brighton
02/03/2019,Brighton,Huddersfield,1,0,1195,92,10,141,2,21,Brighton
09/03/2019,Crystal Palace,Brighton,1,2,18000,319,50,1,25,0,Brighton
30/03/2019,Brighton,Southampton,0,1,882,54,3,0,12,3,Brighton
03/04/2019,Chelsea,Brighton,3,0,4331,86,18,24,29,4,Brighton
13/04/2019,Brighton,Bournemouth,0,5,4514,1065,3,2,9,1,Brighton
16/04/2019,Brighton,Cardiff,0,2,1239,79,0,60,20,78,Brighton
20/04/2019,Wolves,Brighton,0,0,1442,91,0,61,22,87,Brighton
23/04/2019,Tottenham,Brighton,1,0,3041,170,2,9,16,36,Brighton
27/04/2019,Brighton,Newcastle,1,1,4732,218,5,11,23,29,Brighton
05/05/2019,Arsenal,Brighton,1,1,3375,514,8,6,38,10,Brighton
12/05/2019,Brighton,Man City,1,4,7744,1343,31,1008,29,8,Brighton
