Date,HomeTeam,AwayTeam,FTHG,FTAG,7_day_before_like,7_day_before_love,7_day_before_wow,7_day_before_sorry,7_day_before_anger,7_day_before_haha,team
12/08/2018,Southampton,Burnley,0,0,1752,189,8,10,4,2,Burnley
19/08/2018,Burnley,Watford,1,3,4116,451,67,3,24,11,Burnley
26/08/2018,Fulham,Burnley,4,2,2422,308,5,319,87,19,Burnley
02/09/2018,Burnley,Man United,0,2,1273,102,5,8,33,10,Burnley
16/09/2018,Wolves,Burnley,1,0,1160,86,0,1,28,0,Burnley
22/09/2018,Burnley,Bournemouth,4,0,827,41,0,20,23,3,Burnley
30/09/2018,Cardiff,Burnley,1,2,477,24,0,0,9,1,Burnley
06/10/2018,Burnley,Huddersfield,1,1,1418,137,3,1,33,1,Burnley
20/10/2018,Man City,Burnley,5,0,295,12,0,0,2,1,Burnley
28/10/2018,Burnley,Chelsea,0,4,1243,139,6,0,14,1,Burnley
03/11/2018,West Ham,Burnley,4,2,932,82,6,137,15,2,Burnley
10/11/2018,Leicester,Burnley,0,0,47131,495,258,14,32,6,Burnley
26/11/2018,Burnley,Newcastle,1,2,711,19,3,0,3,1,Burnley
01/12/2018,Crystal Palace,Burnley,2,0,271,4,1,2,0,1,Burnley
05/12/2018,Burnley,Liverpool,1,3,481,36,1,7,4,17,Burnley
08/12/2018,Burnley,Brighton,1,0,942,94,5,6,30,18,Burnley
15/12/2018,Tottenham,Burnley,1,0,621,79,1,1,1,0,Burnley
22/12/2018,Arsenal,Burnley,3,1,528,67,1,4,5,1,Burnley
26/12/2018,Burnley,Everton,1,5,930,80,1,0,10,1,Burnley
30/12/2018,Burnley,West Ham,2,0,531,28,1,2,14,1,Burnley
02/01/2019,Huddersfield,Burnley,1,2,232,30,3,2,8,2,Burnley
12/01/2019,Burnley,Fulham,2,1,1127,69,7,0,2,2,Burnley
19/01/2019,Watford,Burnley,0,0,556,34,1,0,19,0,Burnley
29/01/2019,Man United,Burnley,2,2,774,39,2,0,0,0,Burnley
02/02/2019,Burnley,Southampton,1,1,6661,781,81,369,1593,104,Burnley
09/02/2019,Brighton,Burnley,1,3,1377,76,2,2,2,13,Burnley
23/02/2019,Burnley,Tottenham,2,1,416,12,0,0,2,0,Burnley
26/02/2019,Newcastle,Burnley,2,0,1530,126,8,1,4,3,Burnley
02/03/2019,Burnley,Crystal Palace,1,3,4616,284,75,1,8,3,Burnley
10/03/2019,Liverpool,Burnley,4,2,390,14,2,0,3,1,Burnley
16/03/2019,Burnley,Leicester,1,2,1322,96,1,0,5,8,Burnley
30/03/2019,Burnley,Wolves,2,0,603,34,1,1,5,2,Burnley
06/04/2019,Bournemouth,Burnley,1,3,687,73,4,3,1,33,Burnley
13/04/2019,Burnley,Cardiff,2,0,625,54,2,0,5,0,Burnley
22/04/2019,Chelsea,Burnley,2,2,1061,68,2,9,7,15,Burnley
28/04/2019,Burnley,Man City,0,1,758,72,7,0,11,3,Burnley
03/05/2019,Everton,Burnley,2,0,1870,262,22,36,36,8,Burnley
12/05/2019,Burnley,Arsenal,1,3,931,66,3,0,1,0,Burnley
