Date,HomeTeam,AwayTeam,FTHG,FTAG,7_day_before_like,7_day_before_love,7_day_before_wow,7_day_before_sorry,7_day_before_anger,7_day_before_haha,team
11/08/2018,Fulham,Crystal Palace,0,2,2454,159,5,1,16,1,Crystal Palace
20/08/2018,Crystal Palace,Liverpool,0,2,5378,524,41,1,153,6,Crystal Palace
26/08/2018,Watford,Crystal Palace,2,1,3073,215,12,45,98,21,Crystal Palace
01/09/2018,Crystal Palace,Southampton,0,2,3892,311,15,3,8,3,Crystal Palace
15/09/2018,Huddersfield,Crystal Palace,0,1,1300,52,1,0,15,1,Crystal Palace
22/09/2018,Crystal Palace,Newcastle,0,0,2685,199,12,0,12,3,Crystal Palace
01/10/2018,Bournemouth,Crystal Palace,2,1,2351,133,3,0,23,2,Crystal Palace
06/10/2018,Crystal Palace,Wolves,0,1,1431,97,5,0,16,2,Crystal Palace
21/10/2018,Everton,Crystal Palace,2,0,484,25,2,0,1,0,Crystal Palace
28/10/2018,Crystal Palace,Arsenal,2,2,1486,74,5,29,5,3,Crystal Palace
04/11/2018,Chelsea,Crystal Palace,3,1,2735,198,15,41,29,7,Crystal Palace
10/11/2018,Crystal Palace,Tottenham,0,1,986,51,8,3,7,0,Crystal Palace
24/11/2018,Man United,Crystal Palace,0,0,432,19,1,0,4,0,Crystal Palace
01/12/2018,Crystal Palace,Burnley,2,0,407,35,1,0,4,0,Crystal Palace
04/12/2018,Brighton,Crystal Palace,3,1,1174,102,10,0,13,2,Crystal Palace
08/12/2018,West Ham,Crystal Palace,3,2,1221,97,11,0,20,2,Crystal Palace
15/12/2018,Crystal Palace,Leicester,1,0,331,14,12,0,2,1,Crystal Palace
22/12/2018,Man City,Crystal Palace,2,3,762,28,5,2,4,2,Crystal Palace
26/12/2018,Crystal Palace,Cardiff,0,0,2892,384,87,1,31,5,Crystal Palace
30/12/2018,Crystal Palace,Chelsea,0,1,2587,215,5,5,20,18,Crystal Palace
02/01/2019,Wolves,Crystal Palace,0,2,1569,81,2,5,15,16,Crystal Palace
12/01/2019,Crystal Palace,Watford,1,2,1745,41,11,1,19,6,Crystal Palace
19/01/2019,Liverpool,Crystal Palace,4,3,987,47,7,0,18,0,Crystal Palace
30/01/2019,Southampton,Crystal Palace,1,1,5704,437,46,5,37,19,Crystal Palace
02/02/2019,Crystal Palace,Fulham,2,0,5658,517,33,3,47,10,Crystal Palace
09/02/2019,Crystal Palace,West Ham,1,1,6683,314,19,12,89,8,Crystal Palace
23/02/2019,Leicester,Crystal Palace,1,4,3982,280,15,5,11,2,Crystal Palace
27/02/2019,Crystal Palace,Man United,1,3,3477,151,12,5,26,2,Crystal Palace
02/03/2019,Burnley,Crystal Palace,1,3,7513,345,29,5,41,7,Crystal Palace
09/03/2019,Crystal Palace,Brighton,1,2,5980,367,34,2,201,9,Crystal Palace
30/03/2019,Crystal Palace,Huddersfield,2,0,290,6,0,0,0,0,Crystal Palace
03/04/2019,Tottenham,Crystal Palace,2,0,483,11,0,0,1,0,Crystal Palace
06/04/2019,Newcastle,Crystal Palace,0,1,2422,48,5,181,32,81,Crystal Palace
14/04/2019,Crystal Palace,Man City,1,3,5039,238,6,3,8,0,Crystal Palace
21/04/2019,Arsenal,Crystal Palace,2,3,2054,50,6,195,43,106,Crystal Palace
27/04/2019,Crystal Palace,Everton,0,0,20339,2545,214,51,3586,56,Crystal Palace
04/05/2019,Cardiff,Crystal Palace,2,3,10439,275,41,36,28,18,Crystal Palace
12/05/2019,Crystal Palace,Bournemouth,5,3,5395,258,7,7,11,25,Crystal Palace
