Date,HomeTeam,AwayTeam,FTHG,FTAG,7_day_before_like,7_day_before_love,7_day_before_wow,7_day_before_sorry,7_day_before_anger,7_day_before_haha,team
12/08/2018,Southampton,Burnley,0,0,7348.0,657.0,29.0,17.0,49.0,9.0,Southampton
18/08/2018,Everton,Southampton,2,1,3744.0,320.0,19.0,7.0,37.0,16.0,Southampton
25/08/2018,Southampton,Leicester,1,2,4174.0,291.0,33.0,27.0,38.0,20.0,Southampton
01/09/2018,Crystal Palace,Southampton,0,2,3364.0,239.0,17.0,17.0,16.0,47.0,Southampton
17/09/2018,Southampton,Brighton,2,2,2556.0,188.0,6.0,12.0,6.0,3.0,Southampton
22/09/2018,Liverpool,Southampton,3,0,1415.0,85.0,10.0,3.0,5.0,2.0,Southampton
29/09/2018,Wolves,Southampton,2,0,3105.0,306.0,46.0,17.0,18.0,10.0,Southampton
07/10/2018,Southampton,Chelsea,0,3,2335.0,162.0,5.0,23.0,16.0,5.0,Southampton
20/10/2018,Bournemouth,Southampton,0,0,766.0,63.0,6.0,2.0,12.0,6.0,Southampton
27/10/2018,Southampton,Newcastle,0,0,538.0,50.0,1.0,1.0,5.0,2.0,Southampton
04/11/2018,Man City,Southampton,6,1,113.0,6.0,3.0,2.0,1.0,1.0,Southampton
10/11/2018,Southampton,Watford,1,1,428.0,50.0,6.0,7.0,25.0,30.0,Southampton
24/11/2018,Fulham,Southampton,3,2,0.0,0.0,0.0,0.0,0.0,0.0,Southampton
01/12/2018,Southampton,Man United,2,2,145.0,9.0,1.0,6.0,12.0,68.0,Southampton
05/12/2018,Tottenham,Southampton,3,1,1348.0,279.0,9.0,14.0,22.0,85.0,Southampton
08/12/2018,Cardiff,Southampton,1,0,1639.0,333.0,10.0,8.0,12.0,17.0,Southampton
16/12/2018,Southampton,Arsenal,3,2,866.0,152.0,9.0,5.0,5.0,2.0,Southampton
22/12/2018,Huddersfield,Southampton,1,3,903.0,162.0,3.0,4.0,9.0,5.0,Southampton
27/12/2018,Southampton,West Ham,1,2,400.0,79.0,0.0,1.0,2.0,0.0,Southampton
30/12/2018,Southampton,Man City,1,3,590.0,162.0,0.0,1.0,6.0,2.0,Southampton
02/01/2019,Chelsea,Southampton,0,0,752.0,169.0,0.0,1.0,6.0,2.0,Southampton
12/01/2019,Leicester,Southampton,1,2,3434.0,228.0,7.0,6.0,13.0,8.0,Southampton
19/01/2019,Southampton,Everton,2,1,6779.0,705.0,17.0,114.0,48.0,83.0,Southampton
30/01/2019,Southampton,Crystal Palace,1,1,4738.0,435.0,9.0,2.0,12.0,2.0,Southampton
02/02/2019,Burnley,Southampton,1,1,3150.0,328.0,10.0,1.0,16.0,3.0,Southampton
09/02/2019,Southampton,Cardiff,1,2,4718.0,235.0,59.0,114.0,32.0,147.0,Southampton
24/02/2019,Arsenal,Southampton,2,0,2422.0,188.0,16.0,5.0,11.0,8.0,Southampton
27/02/2019,Southampton,Fulham,2,0,4771.0,260.0,25.0,186.0,80.0,104.0,Southampton
02/03/2019,Man United,Southampton,3,2,8360.0,527.0,30.0,250.0,88.0,100.0,Southampton
09/03/2019,Southampton,Tottenham,2,1,25369.0,375.0,92.0,538.0,272.0,68.0,Southampton
30/03/2019,Brighton,Southampton,0,1,6965.0,237.0,41.0,1.0,24.0,0.0,Southampton
05/04/2019,Southampton,Liverpool,1,3,10603.0,410.0,10.0,3.0,17.0,2.0,Southampton
13/04/2019,Southampton,Wolves,3,1,10530.0,319.0,30.0,4.0,16.0,7.0,Southampton
20/04/2019,Newcastle,Southampton,3,1,20733.0,1416.0,399.0,7.0,65.0,8.0,Southampton
23/04/2019,Watford,Southampton,1,1,15900.0,333.0,49.0,12.0,34.0,8.0,Southampton
27/04/2019,Southampton,Bournemouth,3,3,22088.0,1086.0,219.0,150.0,76.0,43.0,Southampton
04/05/2019,West Ham,Southampton,3,0,15991.0,618.0,32.0,6.0,29.0,18.0,Southampton
12/05/2019,Southampton,Huddersfield,1,1,25230.0,717.0,27.0,4.0,56.0,11.0,Southampton
