Date,HomeTeam,AwayTeam,FTHG,FTAG,7_day_before_like,7_day_before_love,7_day_before_wow,7_day_before_sorry,7_day_before_anger,7_day_before_haha,team
11/08/2018,Watford,Brighton,2,0,2209.0,141.0,10.0,3.0,9.0,0.0,Watford
19/08/2018,Burnley,Watford,1,3,1843.0,77.0,11.0,0.0,1.0,0.0,Watford
26/08/2018,Watford,Crystal Palace,2,1,2470.0,119.0,7.0,0.0,2.0,0.0,Watford
02/09/2018,Watford,Tottenham,2,1,4220.0,293.0,21.0,1.0,5.0,2.0,Watford
15/09/2018,Watford,Man United,1,2,1465.0,88.0,4.0,0.0,40.0,0.0,Watford
22/09/2018,Fulham,Watford,1,1,3208.0,167.0,9.0,117.0,52.0,19.0,Watford
29/09/2018,Arsenal,Watford,2,0,3448.0,150.0,20.0,87.0,12.0,40.0,Watford
06/10/2018,Watford,Bournemouth,0,4,1015.0,33.0,3.0,69.0,34.0,14.0,Watford
20/10/2018,Wolves,Watford,0,2,1800.0,88.0,13.0,1.0,0.0,0.0,Watford
27/10/2018,Watford,Huddersfield,3,0,2131.0,220.0,10.0,1.0,6.0,5.0,Watford
03/11/2018,Newcastle,Watford,1,0,15708.0,1398.0,337.0,13.0,44.0,10.0,Watford
10/11/2018,Southampton,Watford,1,1,803.0,25.0,0.0,49.0,19.0,62.0,Watford
24/11/2018,Watford,Liverpool,0,3,1012.0,68.0,5.0,0.0,0.0,0.0,Watford
01/12/2018,Leicester,Watford,2,0,2164.0,91.0,10.0,61.0,81.0,13.0,Watford
04/12/2018,Watford,Man City,1,2,2094.0,88.0,8.0,44.0,64.0,36.0,Watford
10/12/2018,Everton,Watford,2,2,1062.0,61.0,5.0,16.0,21.0,12.0,Watford
15/12/2018,Watford,Cardiff,3,2,1179.0,33.0,11.0,60.0,16.0,41.0,Watford
22/12/2018,West Ham,Watford,0,2,2545.0,80.0,12.0,1.0,13.0,2.0,Watford
26/12/2018,Watford,Chelsea,1,2,4209.0,313.0,27.0,3.0,13.0,4.0,Watford
29/12/2018,Watford,Newcastle,1,1,3329.0,303.0,31.0,69.0,11.0,9.0,Watford
02/01/2019,Bournemouth,Watford,3,3,3185.0,259.0,27.0,68.0,22.0,29.0,Watford
12/01/2019,Crystal Palace,Watford,1,2,3927.0,405.0,12.0,1.0,12.0,3.0,Watford
19/01/2019,Watford,Burnley,0,0,979.0,75.0,3.0,69.0,0.0,0.0,Watford
30/01/2019,Tottenham,Watford,2,1,781.0,34.0,4.0,0.0,7.0,10.0,Watford
02/02/2019,Brighton,Watford,0,0,1365.0,86.0,9.0,115.0,25.0,42.0,Watford
09/02/2019,Watford,Everton,1,0,908.0,21.0,4.0,13.0,7.0,4.0,Watford
22/02/2019,Cardiff,Watford,1,5,4504.0,213.0,26.0,1.0,23.0,0.0,Watford
27/02/2019,Liverpool,Watford,5,0,5594.0,600.0,83.0,11.0,32.0,6.0,Watford
03/03/2019,Watford,Leicester,2,1,24695.0,724.0,265.0,132.0,112.0,29.0,Watford
09/03/2019,Man City,Watford,3,1,3866.0,363.0,16.0,0.0,35.0,0.0,Watford
30/03/2019,Man United,Watford,2,1,2484.0,151.0,12.0,0.0,14.0,0.0,Watford
02/04/2019,Watford,Fulham,4,1,2211.0,51.0,12.0,29.0,27.0,3.0,Watford
15/04/2019,Watford,Arsenal,0,1,1871.0,214.0,22.0,1.0,25.0,1.0,Watford
20/04/2019,Huddersfield,Watford,1,2,2705.0,142.0,10.0,56.0,330.0,23.0,Watford
23/04/2019,Watford,Southampton,1,1,4167.0,346.0,15.0,9.0,12.0,5.0,Watford
27/04/2019,Watford,Wolves,1,2,5480.0,434.0,19.0,4.0,34.0,6.0,Watford
05/05/2019,Chelsea,Watford,3,0,2568.0,103.0,13.0,0.0,9.0,0.0,Watford
12/05/2019,Watford,West Ham,1,4,0.0,0.0,0.0,0.0,0.0,0.0,Watford
